Título,Notícia,Data-Hora,Link
Witzel quer negociar ações da Cedae na Bolsa de Valores após privatização,"O governador do Rio, Wilson Witzel, anunciou nesta terça-feira (18) que, após a privatização da Companhia Estadual de Águas e Esgoto (Cedae), a parte que sobrar com o estado da companhia poderá ser negociada na Bolsa de Valores.  Segundo Witzel, a negociação na Bolsa de Valores seria de 60% das ações da parte de captação e tratamento de água. Os outros 40% ficariam com o estado. A operação aconteceria no ano que vem.  O modelo de leilão da Cedae já foi aprovado pelo conselho dos municípios da Região Metropoitana, que prevê a Cedae como responsável pela captação e tratamento de água.  Serão leiloados para a iniciativa privada:  Segundo o Banco Nacional do Desenvolvimento Econômico e Social (BNDES), que elaborou o projeto de venda, já há mais de 20 empresas interessadas na compra. O leilão deve render R$ 11 bilhões.  O pesquisador Edson Goncalvez explica que seriam necessários estudos detalhados pra saber se o melhor negócio para essa segunda parte da Cedae seria leiloar no modelo do BNDES ou vender ações.  ""A Cedae vai ter que se adequar à transparência da informação, informação de qualidade para passar pelo investidores"", afirmou.  Witzel também confirmou que pretende leiloar a Estação de Tratamento de Água (ETA) Guandu 2.",2020-02-18,https://g1.globo.com/rj/rio-de-janeiro/noticia/2020/02/18/witzel-quer-negociar-acoes-da-cedae-na-bolsa-de-valores-apos-privatizacao.ghtml
Bolsa de valores de Tóquio cai 5% nesta segunda-feira ,"As principais Bolsas da Ásia registraram grandes perdas nesta segunda-feira (9), arrastadas pela propagação da epidemia mundial de coronavírus e pela queda no preço do petróleo.  A Bolsa de Tóquio foi especialmente afetada, com a disparada da cotação do iene, considerado um valor refúgio, na comparação com o dólar.  O índice Nikkei registrou queda de 5,07%, a 19.698,76 pontos, algo que não acontecia desde fevereiro de 2018, no início da guerra comercial entre Estados Unidos e China.  Os mercados chineses também operavam em forte queda. O índice Hang Seng de Hong Kong recuou quase 3,7%. A Bolsa de Shenzhen retrocedia 2,86% e a de Xangai mais de 3%.  Os preços do petróleo desabaram nesta segunda-feira ao pior nível desde a primeira guerra do Golfo em 1991. Às 4h de Brasília, o barril de WTI caía 27,83% a 29,78 dólares, e o barril de Brent do Mar do Norte recuava 26,02%, a 33,49 dólares.  A queda nas cotações foi provocada pela decisão da Arábia Saudita de reduzir de forma drástica os preços do petróleo após o fracasso das negociações da semana passada entre a Organização dos Países Exportadores de Petróleo (OPEP) e a Rússia.  A Rússia, principal aliada da OPEP, não aceitou reduzir sua produção para manter os preços em alta.",2020-03-09,https://g1.globo.com/economia/noticia/2020/03/09/bolsas-asiaticas.ghtml
"O Assunto #140: Bolsa de Valores, como funciona e o impacto na sua vida","Você pode ouvir O Assunto no G1, no Spotify, no Castbox, no Google Podcasts, no Apple Podcasts, no Deezer ou no aplicativo de sua preferência. Assine ou siga O Assunto, para ser avisado sempre que tiver novo episódio no ar.  No começo do ano, a Bolsa de Valores animou os investidores. Em janeiro, o índice Ibovespa, uma média entre as empresas que têm ações negociadas no maior mercado brasileiro, a B3, ultrapassou os 119 mil pontos, recorde histórico.  E em um ambiente de juros mais baixos da história brasileira, a Bolsa atraiu quantidade inédita de novos investidores. De janeiro de 2019 para cá, o número mais que dobrou e está, agora, em torno de 2 milhões de brasileiros. Nesta segunda-feira (9), eles enfrentaram um revés inesperado.  A guerra de preços travada entre Arábia Saudita e Rússia para o barril de petróleo derrubou Bolsas em todo o mundo. No Brasil, o tombo foi o mais acentuado: mais de 12% em um dia - maior perda desde a crise russa de 1998. Mas a gangorra do mercado financeiro trouxe o índice pra cima nesta terça (10), e a Bovespa subiu 7%.  O sobe-e-desce da Bolsa foi o principal assunto do começo desta semana. Mas o que, afinal, a Bolsa de Valores significa? E como ela afeta sua vida?  Para explicar como a Bolsa surgiu, o que querem dizer as quedas e altas das ações, Renata Lo Prete conversa com Mauro Rodrigues Jr, professor de economia da USP. Participa também Luiz Gerbelli, repórter de economia do G1, que explica como começar a investir e quais cuidados tomar para não levar sustos com as turbulências dos mercados.  O podcast O Assunto é produzido por: Mônica Mariotti, Isabel Seta, Gessyca Rocha, Luiz Felipe Silva, Thiago Kaczuroski e Giovanni Reginato. Apresentação: Renata Lo Prete.   Um podcast é como se fosse um programa de rádio, mas não é: em vez de ter uma hora certa para ir ao ar, pode ser ouvido quando e onde a gente quiser. E em vez de sintonizar numa estação de rádio, a gente acha na internet. De graça.  Dá para escutar num site, numa plataforma de música ou num aplicativo só de podcast no celular, para ir ouvindo quando a gente preferir: no trânsito, lavando louça, na praia, na academia...  Os podcasts podem ser temáticos, contar uma história única, trazer debates ou simplesmente conversas sobre os mais diversos assuntos. É possível ouvir episódios avulsos ou assinar um podcast – de graça - e, assim, ser avisado sempre que um novo episódio for publicado.",2020-03-11,https://g1.globo.com/podcast/o-assunto/noticia/2020/03/11/o-assunto-140-bolsa-de-valores-como-funciona-e-o-impacto-na-sua-vida.ghtml
5 pontos para entender por que as Bolsas de Valores sobem e descem tanto,"O senhor Mercado é um homem que aposta nas Bolsas de Valores motivado por pânico, euforia ou apatia.  É um personagem imaginário criado por Benjamin Graham em seu livro de 1949 O Investidor Inteligente que, numa interpretação contemporânea, poderia ser descrito como um investidor bipolar, que muda rapidamente do otimismo para o pessimismo.  Graham usa a metáfora para dizer que, no curto prazo, os mercados de ações se comportam como o Sr. Mercado: eles reagem loucamente a más e boas notícias, fazendo com que os mercados subam e desçam como uma montanha-russa.  E é essa volatilidade que estamos vendo agora, com a propagação rápida do coronavírus e a queda do preço do petróleo.  Na segunda-feira, seguindo tendência global de queda, a Bolsa brasileira encerrou o pregão em baixa de 12%. Na terça, avançou 7% e recuperou parte da queda acentuada registrada no dia anterior.  Em meio a esse sobe e desce, muitas pessoas se perguntam como as bolsas funcionam, por que elas desmoronam e se levantam novamente, e qual o impacto na vida da população.  Um fator-chave na determinação do preço das ações é a expectativa, ou seja, o que os investidores acreditam que poderá acontecer no futuro com aquela determinada empresa, com o setor em que ela opera ou com a economia de um país ou mesmo com a economia global.  ""O valor das coisas é extremamente subjetivo"", disse Diego Mora, analista sênior da consultoria XTB.  Por exemplo, se você comprar um telefone celular com preço de US$ 1 mil e sair da loja, já não poderá vendê-lo por mais de US$ 700, ele explica.  No caso das bolsas de valores, inúmeras pessoas avaliam quanto vale uma empresa e, portanto, opinam sobre o preço de suas ações.  ""No final, você chega a um tipo de consenso sobre o valor de uma empresa, mas é um consenso que muda de segundo para segundo"", diz Mora.  Uma ação é uma participação em uma empresa que abriu seu capital como uma forma de obter financiamento, geralmente quando ela tem planos de expansão.  E é aí que, além da análise técnica da saúde financeira de uma empresa, o fator psicológico entra em jogo.  ""As bolsas de valores são um reflexo psicológico da sociedade"" porque se movem em relação às expectativas das pessoas, disse Borja Ribera, professora do mestrado em Bolsa de Valores e Mercados Financeiros da EAE Business School, na Espanha.  Também é possível investir em índices de ações, que são conjuntos de ações de diferentes empresas usadas como referência. Um índice de ações tem um valor numérico, calculado de acordo com o preço de mercado de cada uma das empresas que o compõem. Ele pode representar a evolução das ações de um determinado país ou de um setor.  No Brasil, o Ibovespa é o principal indicador de desempenho das ações negociadas na B3 (antiga BM&FBovespa) e reúne as empresas mais importantes do mercado de capitais brasileiro. O índice, que é resultado de uma carteira teórica de ativos, existe desde 1968 e é reavaliado a cada quatro meses.  Embora existam muitas bolsas de valores e índices no mundo (como o Nikkei 225 - Bolsa de Tóquio, FTSE 100 - Londres, Eurostoxx 50 - Zona do Euro ou o Ibex 35 - Madri), o mercado mais emblemático é Wall Street, em Nova York. Os principais índices são Dow Jones, S&P 500 e Nasdaq, que costumam ganhar as manchetes na imprensa.  Os especialistas geralmente recomendam que os inexperientes que procuram o mercado de ações invistam em um índice antes de concentrar seu dinheiro em uma única empresa, para reduzir o risco de perdas.  Os índices refletem o comportamento da cotação do preço de um grupo de ações, diluindo o risco para o investidor.  Se o comportamento do mercado de ações é um reflexo psicológico da sociedade, como afirma Ribera, em uma situação de pânico ou estresse financeiro ""os interessados ​​em comprar querem comprar a um preço muito barato e aqueles que querem vender estão dispostos a fazê-lo a qualquer preço"".  E, como o medo alimenta o medo, pode ocorrer o colapso. Isso é explicado pela ""psico-trading"", ou psicologia do investidor, que se dedicou a investigar esses comportamentos. Se todo mundo quer vender porque teme que as ações continuem caindo, pode haver poucos querendo comprar.  No mundo dos investimentos, é possível fazer uma distinção entre investidores mais cautelosos, como fundos de pensão, e aqueles que buscam riscos.  Os mais conservadores tendem a se refugiar em instrumentos que proporcionam retornos fixos de longo prazo (como os títulos do tesouro dos EUA), porque são mais seguros.  Os investidores normalmente diversificam seus recursos entre ativos financeiros de renda fixa (mais seguros) e ativos de renda variável (mais arriscados), como ações.  ""Existe uma relação inversa entre risco e retorno"", diz Ribera. ""Quanto menor o risco que estou disposto a correr, menor a lucratividade que posso ter.""  ""Os especuladores se beneficiam com essas quedas no mercado de ações"", explica Mora.""Quanto mais as ações caem, mais dinheiro eles ganham. E os especuladores se aproveitam de qualquer movimento, seja de alta ou de baixa"".  Alguns os veem como o ""vilão do filme"", motivados pela ganância, e outros os veem como os vencedores do jogo.  No mercado de ações, não são só os humanos que investem. Também existem robôs que compram e vendem ações usando algoritmos, em um processo conhecido como ""trading algorítmico"".  Esses robôs se dedicam à especulação no mercado de ações, seguindo a oferta e a demanda nas bolsas de valores. E eles fazem isso em décimos de segundos.  Os investidores inserem os parâmetros para o robô operar de acordo com certas circunstâncias.  ""Posso dizer à máquina: quando isso acontece no mercado, quero que você compre e quando aquilo acontece, quero que você venda"", diz Ribera.  O interessante é que atualmente existem mais transações feitas por robôs do que diretamente por humanos. E os responsáveis ​​por inserir os parâmetros na máquina são matemáticos e físicos que se especializaram nessa área.",2020-03-12,https://g1.globo.com/economia/noticia/2020/03/12/5-pontos-para-entender-porque-as-bolsas-de-valores-sobem-e-descem-tanto.ghtml
Suspeito de participar de assalto a transportadora de valores no Paraguai é preso em Barra Velha,"Um homem de 34 anos suspeito de participar do mega-assalto à Prosegur ocorrido no Paraguai em 2017 foi preso em Barra Velha, no Litoral Norte, informaram as polícias Militar e Civil. Ele era monitorado e apresentou documento falso. A prisão ocorreu na segunda-feira (9) e até esta terça (10) ele estava preso na cidade.  Por volta das 17h50 de segunda, a PM fazia rondas na cidade quando viu o homem, que era monitorado pela Polícia Civil. ""Já tínhamos ele como alvo. Ele estava sem emprego e tinha uma condição de vida um pouco acima da média. Tínhamos suspeitas por movimentações de pessoas na casa dele de que ele fosse traficante de drogas"", explicou o delegado Eduardo Ferraz.  A PM abordou o suspeito e, segundo a corporação, ele se identificou com um nome falso e apresentou Cadastro de Pessoa Física (CPF) e Registro Geral (RG) de Santa Catarina, feitos em 2019.  Questionado sobre de onde veio e se teria identidade em outro estado, o homem disse ter RG no Rio Grande do Sul. Porém, os policiais entraram em contato com a polícia gaúcha e não foi encontrado documento com o nome informado pelo suspeito.  Os policiais, então, entraram em contato com a delegacia e com o Instituto Geral de Perícias (IGP). ""A documentação estava com inconsistência, tinha sido feita há muito pouco tempo. Entramos em contato com a perícia, que revelou que a identidade tinha sido feita com base em outros documentos fraudulentos"", relatou o delegado.  Dessa forma, os policiais deram voz de prisão ao homem e o levaram à delegacia de Barra Velha. No local, após troca de informações com outros estados, a polícia chegou à identidade do preso. De acordo com o delegado, ele tinha dois mandados de prisão em aberto: um por latrocínio (roubo seguido de morte) e outro por tráfico de drogas.  O homem também foi preso em flagrante por causa dos documentos falsos. O delegado confirmou que ele é suspeito de participar do assalto no Paraguai e disse que este caso está com a Polícia Federal. ""Eles têm uma operação para investigar isso. Já entramos em contato com eles"", afirmou Ferraz. O G1 tentou contato com a PF, sem sucesso até a publicação desta notícia.  Durante o depoimento, o suspeito ficou em silêncio, segundo o delegado. Ele foi levado para a Unidade Prisional Avançada (UPA) de Barra Velha, passou por audiência de custódia e continua no local. O Poder Judiciário vai decidir posteriormente se ele permanecerá na UPA de Barra Velha ou será transferido para outra unidade prisional relacionada aos mandados de prisão dele.  Na madrugada do dia 24 de abril de 2017, cerca de 40 assaltantes participaram do roubo de mais de US$ 11,7 milhões – o equivalente a R$ 40 milhões - da transportadora de valores.  As investigações conjuntas entre a Polícia Nacional paraguaia e a PF, batizadas de Operação Resposta Integrada, indicam que o maior assalto da história do país vizinho foi praticado por membros de uma facção criminosa brasileira.  Veja mais notícias do estado no G1 SC",2020-03-10,https://g1.globo.com/sc/santa-catarina/noticia/2020/03/10/suspeito-de-participar-de-assalto-a-transportadora-de-valores-no-paraguai-e-preso-em-barra-velha.ghtml
"Indaiatuba abre inscrições de bolsa-auxílio para atletas e paratletas; valores chegam a R$ 1,3 mil","A Prefeitura de Indaiatuba (SP) abriu as inscrições para o benefício de ""Bolsa Atleta"", voltado aos competidores representantes do município que conquistaram resultados classificatórios no ano passado. As candidaturas seguem até o dia 28 de fevereiro. Os valores variam de R$ 350 a R$ 1,3 mil.  Os interessados devem comparecer à sede da Prefeitura, na Avenida Engenheiro Fábio Roberto Barnabé, 2.800, no Jardim Esplanada II. O atendimento é de segunda a sexta-feira, das das 8h às 17h.  É necessário apresentar toda a documentação exigida pelo edital publicado na edição 1.596 da Imprensa Oficial do Município. A falta de qualquer documento solicitado implicará na anulação da inscrição, sem obrigatoriedade de aviso prévio por parte da Secretaria Municipal de Esportes. Veja documentos abaixo.  Para mais informações, basta procurar a sede da Secretaria Municipal, localizado na Avenida Visconde de Indaiatuba, 1.250, no Jardim América de Esportes ou ligar para (19) 3825-6270. O atendimento acontece de segunda a sexta-feira, das 8h às 17h.  O candidato também deverá entregar declaração para Inscrição da Entidade de Prática do Esporte, onde deverá constar:  Veja mais notícias da região no G1 Campinas",2020-02-19,https://g1.globo.com/sp/campinas-regiao/noticia/2020/02/19/indaiatuba-abre-inscricoes-de-bolsa-auxilio-para-atletas-e-paratletas-valores-chegam-a-r-13-mil.ghtml
Quadrilha é presa durante operação contra roubo de valores a casas lotéricas ,"Uma quadrilha suspeita roubar casas lotéricas foi presa durante uma operação da Polícia Civil, na manhã desta segunda-feira (17), em Itaberá (SP).  De acordo com as informações da polícia, as prisões fazem parte da Operação Maloteiros, que investiga quadrilhas especializadas em roubar valores durante a retirada do montante das casas lotéricas.  Ainda segundo a polícia, quadrilha era suspeita de praticar outros crimes em Buri e Apiaí (SP), onde foram roubados mais de R$ 200 mil.  A abordagem foi feita a três homens que estavam em um carro e uma motocicleta. Eles e outras duas pessoas que os aguardavam na SP-249 foram presos. A suspeita é de que eles planejavam roubar uma casa lotérica de Itaberá (SP).  Durante a abordagem um dos suspeitos tentou fugir, mas acabou abordado pela equipe. Além das prisões, a polícia apreendeu veículos.  Participaram da operação policiais civis da Delegacia de Investigações Gerais (DIG) e Delegacia de Investigações Sobre Entorpecentes (Dise) de Itapeva, além da delegacia de Itaberá.  Veja mais notícias no G1 Itapetininga e Região",2020-02-17,https://g1.globo.com/sp/itapetininga-regiao/noticia/2020/02/17/quadrilha-e-presa-em-itapeva-durante-operacao-contra-roubo-de-valores-a-casas-lotericas.ghtml
Prefeitura pede à Justiça penhora de valores em contas e investimentos da empresa Monte Cristo Transportes,"A Prefeitura de Santarém, no oeste do Pará, aguarda decisão da Justiça sobre pedido feito junto a 6ª Vara da Fazenda Pública, para penhora, em todas as contas correntes, poupanças, aplicações e demais investimentos financeiros vinculados ao CNPJ e CPF da Monte Cristo Transportes Ltda e do empresário Márcio Antonio Lassance Pamplona Cunha, no valor de R$ 210.115.920,00.  O valor corresponde a multa de 20% do total do contrato firmado entre a Monte Cristo e a Prefeitura de Santarém, pela concessão do serviço de transporte público no município, de R$ 1.050.579.600,00. O contrato não foi cumprido por parte da empresa que ainda tenta na Justiça uma nova conciliação com a administração pública.  No documento protocolado pela Procuradoria Jurídica do Município em 17 de fevereiro deste ano, o município também manifesta que é contrário a uma nova audiência de conciliação. ""Sem maiores considerações, visando, sobretudo, ser técnica, o acordo judicial homologado nestes autos, operou coisa julgada material, nos termos do art. 502 do CPC/2015, o que impede sua rediscussão na lide"", destacou a Procuradoria no pedido.  A Monte Cristo Transportes alegou que foi “enganada” pelo sócio compromissado Márcio Antonio Pamplona Lassance Cunha que apresentou a proposta de compra de 110 ônibus novos elétricos, da China, em acordo homologado pela Justiça em novembro de 2019. Porém, Márcio não se tornou sócio de fato da Monte Cristo e também não adquiriu os ônibus, voltando o contrato à condição de rescindido pela Prefeitura.  A Procuradoria Jurídica do Município pede além da penhora de valores nas contas e investimentos da Monte Cristo e de Márcio Lassance, a inclusão dos nomes de ambos em cadastro de inadimplentes.  A Prefeitura de Santarém realizou em janeiro de 2019 licitação para concessão do serviço de transporte público do município. A empresa Resende e Batista Ltda (Monte Cristo) foi a vencedora da licitação. Em fevereiro do mesmo ano foi assinado contrato e emitida a ordem de serviço para a empresa que tinha prazo até 17 de julho para entrar em operação com 110 ônibus, sendo 60 novos e 50 seminovos.  A empresa não conseguiu comprar ônibus novos e nem seminovos, deixou de cumprir outras etapas previstas no cronograma de execução, e teve o contrato rescindido unilateralmente pela Prefeitura.  Uma multa de pouco mais de R$ 500 foi aplicada à empresa pela Prefeitura de Santarém em agosto de 2020. Mas, a empresa não se deu por vencida e ingressou na Justiça pedindo um novo prazo para entrega do objeto.  Da audiência de conciliação realizada em 4 de novembro de 2019, participaram o proprietário da Monte Cristo, João Batista e o sócio compromissado Márcio Lassance, representantes do Ministério Público, Subseção da Ordem dos Advogados do Brasil e da Prefeitura de Santarém.  Um acordo foi homologado estabelecendo prazo até 30 de novembro para que a empresa apresentasse o cronograma de implantação e comprovação de encomenda ou compra dos ônibus. O cronograma foi informado, porém nenhuma das etapas foi cumprida e novamente, nenhum ônibus novo foi adquirido.",2020-03-09,https://g1.globo.com/pa/santarem-regiao/noticia/2020/03/09/prefeitura-pede-a-justica-penhora-de-valores-em-contas-e-investimentos-da-empresa-monte-cristo-transportes.ghtml
"Empresas listadas na bolsa perderam R$ 1,1 trilhão em valor de mercado em março","As empresas listadas no principal índice da bolsa de valores brasileira, a B3, perderam R$ 1,187 trilhão em valor de mercado em março, mês em que a Bovespa registrou a sua maior queda desde agosto de 1998.  No acumulado de 2020, as 281 companhias de capital aberto perderam R$ 1,561 trilhão, segundo dados da Economatica.  A Petrobras lidera a lista de empresas que mais perderam valor de mercado em março, com queda de R$ 160,4 bilhões no período. Logo depois da estatal, estão o Itaú Unibanco (R$ 75 bilhões), Bradesco (R$ 73,2 bilhões), Banco do Brasil (R$ 54 bilhões), Santander (R$ 45,2 bilhões) e Ambev (R$ 41,2 bilhões).  Já no ano, as maiores perdas são: Petrobras (R$ 223 bilhões), Bradesco (123 bilhões), Itau Unibanco (116 bilhões), Ambev (R$ 106 bilhões) e Santander (R$ 81 bilhões).",2020-03-31,https://g1.globo.com/economia/noticia/2020/03/31/empresas-listadas-na-bolsa-perderam-r-11-trilhao-em-valor-de-mercado-em-marco.ghtml
Polícia de MT alerta sobre mensagens com link falso para cadastro e liberação de valores de auxílio emergencial,"A Polícia Civil de Mato Grosso emitiu um comunicado alertando a população do estado sobre mensagens que estão circulando em redes sociais, com um link que pede ao usuário que se cadastre para o desbloqueio e liberação de valores de auxílio emergencial, que será concedido a trabalhadores informais de baixa renda no período da pandemia da Covid-19.  A concessão do benefício, que a data de liberação ainda não foi informada, será de acordo com critérios definidos na Lei sancionada pelo presidente Jair Bolsonaro nesta semana.  Apesar da aprovação, ainda não há nenhuma liberação do pagamento do auxílio emergencial de R$ 600 para pessoas de baixa renda.  A Gerência de Combate a Crimes de Alta Tecnologia (Gecat) explicou que quem receber esse tipo de informação não deve acessar o endereço eletrônico, pois se trata de golpe ou crime cibernético.  De acordo com a polícia, a população deve buscar órgão oficiais para saber mais informações e tirar dúvidas.  Uma equipe da Gecat, segundo a polícia, está atuando de forma intensa no combate e repressão a informações falsas, assim como comportamentos delitivos que possam causar prejuízos ou pânico à sociedade.  Veja mais notícias do estado no G1 Mato Grosso.",2020-04-02,https://g1.globo.com/mt/mato-grosso/noticia/2020/04/02/policia-de-mt-alerta-para-mensagens-com-link-falso-sobre-liberacao-de-valores-de-auxilio-emergencial.ghtml
