Título,Notícia,Data-Hora,Link
"Exército já produziu 2,2 milhões de comprimidos de cloroquina, diz jornal","O Exército produziu 2,2 milhões de comprimidos de cloroquina. O medicamento é usado no tratamento do coronavírus no Brasil, apesar de não ter estudo científico que comprove a eficácia da droga. De acordo com o Painel, da Folha, a produção será ampliada para 1 milhão por semana por determinação do presidente Jair Bolsonaro. O custo da pílula é R$ 0,20. O Ministério da Defesa será o responsável pela destinação dos medicamentos.",2020-04-14,https://www.gazetadopovo.com.br/republica/breves/exercito-ja-produziu-22-milhoes-de-comprimidos-de-cloroquina-diz-jornal/
Primeiro voo brasileiro para buscar máscaras segue para a China nesta semana,"O primeiro voo para trazer ao país máscaras de proteção compradas pelo governo brasileiro na China segue para a Ásia ainda nesta semana. Nesse primeiro transporte devem ser embarcadas 15 milhões dos 240 milhões equipamentos para proteção de profissionais da saúde durante o enfrentamento à Covid-19. De acordo com informações do Estado de S.Paulo, o voo deve fazer escala em Doha (evitando países europeus ou os EUA para reduzir os riscos de confisco dos EPIs). A Latam será responsável pelo voo a ser pago com recursos doados pela iniciativa privada como ajuda no combate à pandemia.",2020-04-13,https://www.gazetadopovo.com.br/republica/breves/primeiro-voo-brasileiro-mascaras-china/
Pandemia de coronavírus reduziu acidentes e roubos em estradas,"As restrições no tráfego em rodovias brasileiras durante a pandemia do novo coronavírus provocaram uma queda de 28% no número de acidentes e redução de 7% de mortes entre março e abril. A informação foi divulgada pelo ministro da Justiça e Segurança Pública, Sergio Moro, com base em dados da Polícia Rodoviária Federal (PRF). ""O dado, pelo menos um efeito lateral [do novo coronavírus] que é positivo, decorre da diminuição do transporte rodoviário no âmbito das rodovias federais"", afirmou Moro durante entrevista coletiva no Palácio do Planalto, nesta segunda-feira (13). Moro disse também que a diminuição nos casos graves foi de 23% no mesmo intervalo e o número de feridos caiu 30%. ""Isso também tem um efeito salutar no sentido de diminuir a pressão do atendimento médico, inclusive em UTIs"", pontuou. Houve, ainda, uma diminuição de 19% no número de roubos de carga e de 49% no número de roubos a ônibus. ""A pandemia gera dificuldades logísticas aos criminosos também"", comentou Moro.",2020-04-13,https://www.gazetadopovo.com.br/republica/breves/coronavirus-reduziu-acidentes-e-roubos-em-estradas/
Senado pauta projeto que suspende pagamento de precatórios durante pandemia,"Os senadores podem avaliar na próxima quarta-feira (15) o projeto de decreto legislativo que susta o pagamento de precatórios durante o estado de emergência de saúde pública por causa da pandemia do novo coronavírus. O texto é de autoria do senador Otto Alencar (PSD-BA). Em sua justificativa, o senador afirma que a propagação da Covid-19, que causou uma crise na economia global, exige muitos recursos para atender a população doente e desempregados. ""A crise decorrente da atual situação fiscal não deve impedir uma robusta atuação do Estado. Os Estados precisam de todas as possibilidades para angariar recursos para enfrentamento esta crise, e os recursos dos pagamentos dos precatórios não poderiam ficar de fora"", escreveu.",2020-04-13,https://www.gazetadopovo.com.br/republica/breves/senado-pauta-projeto-suspende-precatorios-durante-pandemia/
"Caixa afirma que pagará auxílio emergencial a 9,4 milhões nesta semana","A Caixa informou que pagará nesta semana o auxílio emergencial a 9,4 milhões de pessoas que já estavam cadastradas no CadÚnico e a quem já é beneficiário do Bolsa Família. De acordo com o banco estatal, R$ 4,7 bilhões serão depositados. Para pagar o benefício, vão ser abertas mais de 6,6 milhões de poupanças digitais gratuitamente. Segundo a Caixa, o auxílio emergencial foi pago, até o momento, a mais de 2,5 milhões de brasileiros, que receberam juntos R$ 1,5 bilhão. Até às 19h desta segunda (13), mais de 34 milhões de brasileiros já haviam se cadastrado no aplicativo e no site do banco para receber o benefício de R$ 600. Ainda de acordo com a Caixa, há previsão de que a Dataprev envie nesta terça-feira (14) pela manhã um primeiro lote de informações dos brasileiros que efetuaram o cadastro pelo aplicativo Caixa Auxílio Emergencial e pelo site auxilio.caixa.gov.br e que cumprem os critérios de elegibilidade do benefício. Para quem fez o cadastro pelo site ou pelo aplicativo, a Caixa diz que o pagamento começará a partir da próxima quinta-feira (16).",2020-04-13,https://www.gazetadopovo.com.br/republica/breves/caixa-pagamentos-auxilio-emergencial-segunda-semana/
"Projeto para uso de tablets em penitenciárias está “em concepção”, afirma Depen","O Departamento Penitenciário Nacional divulgou nota de esclarecimento nesta segunda-feira (13) informando sobre a aquisição de tablets a serem usados em unidades prisionais. Conforme o Depen, ligado ao Ministério da Justiça e Segurança Pública, ""o projeto ainda está em fase de concepção e visa auxiliar as unidades da Federação na intensificação de ensino EAD para servidores, videoconferências administrativas, judiciais e também para visitas virtuais e controladas entre presos e seus visitantes"". O texto foi distribuído no mesmo dia em que críticas à iniciativa foram replicadas em redes sociais (inclusive pelo vereador Carlos Bolsonaro e o deputado Eduardo Bolsonaro, filhos do presidente da República). Ainda conforme a nota, ""o projeto não permitirá que os equipamentos fiquem sob o controle dos presos e vai aprimorar a segurança das unidades. Destaque-se que atualmente todas as unidades prisionais do Brasil estão com suas visitas suspensas a fim de prevenir proliferação do covid19"", conclui do departamento. As críticas retuitadas pelos filhos de Jair Bolsonaro falavam em ""inversão de valores"", comparando a aquisição dos equipamentos para utilização pelos detentos às medidas de isolamento social para o combate ao coronavírus.",2020-04-13,https://www.gazetadopovo.com.br/republica/breves/depen-compra-de-tablets-penitenciarias/
Erros de preenchimento no cadastro para auxílio emergencial não podem ser corrigidos,"A Caixa informou nesta segunda-feira (13) que eventuais erros cometidos pelo trabalhador autônomo, informal ou MEI interessado em receber o auxílio emergencial  durante o preenchimento do cadastro não podem passar por correções posteriores ao envio dos dados. A informação foi dada ao portal UOL, que questionou o banco sobre quais procedimentos deveriam ser adotados em caso de incorreção. Conforme a instituição, se o erro for percebido antes de o cadastramento ser finalizado é possível ""voltar"" e ""corrigir informações""; caso o cadastro já tenha sido enviado ""não será possível realizar correções"", disse a Caixa.",2020-04-13,https://www.gazetadopovo.com.br/republica/breves/erros-cadastro-auxilio-emergencial/
Alcolumbre questiona uso de fundos partidário e eleitoral contra coronavírus,"Pressionado por parlamentares, o presidente do Senado, Davi Alcolumbre (DEM-AP), questionou a necessidade de destinar recursos do fundo partidário e do fundo eleitoral ao enfrentamento da Covid-19. O dinheiro para os partidos em 2020, ano de eleições municipais, soma R$ 3 bilhões no Orçamento. As cúpulas da Câmara e do Senado rejeitaram destinar o ""fundão"" para ações contra o novo coronavírus na PEC do Orçamento de Guerra, argumentando que o tema precisa ser tratado de forma separada e em outro momento. Em sessão do Senado, Alcolumbre citou um levantamento apontando que as medidas anunciadas pelo governo para reduzir os impactos da pandemia atingiram R$ 568,6 bilhões até o momento, ou seja, 7,8% do Produto Interno Bruto (PIB). No argumento do parlamentar, o valor do fundo eleitoral não seria tão necessário nesse cenário. ""Será que esses R$ 2 bilhões do financiamento da democracia são eles que são fundamentais para o combate ao coronavírus, onde todos nós temos nos dedicados na defesa dos brasileiros?"", questionou.",2020-04-13,https://www.gazetadopovo.com.br/republica/breves/alcolumbre-questiona-uso-de-fundao-na-saude/
Anvisa passa a controlar exportação de cloroquina e hidroxicloroquina,"Medicamentos em teste para tratamento da Covid-19, como a cloroquina e hidroxicloroquina, só podem ser exportados com autorização prévia da Agência Nacional de Vigilância Sanitária. A mudança foi divulgada nesta segunda-feira (13) em edição extra do Diário Oficial da União. A decisão também controla a venda ao exterior de matéria-prima para produção destes fármacos e do produto semi-elaborado. Além da cloroquina, a Anvisa decidiu endurecer regras sobre a exportação de ingredientes e comprimidos de azitromicina, fentanil, midazolam, etossuximida, propofol, pancurônio, vancurônio, rocurônio, succinilcolina e ivermectina, todos testados contra a Covid-19.",2020-04-13,https://www.gazetadopovo.com.br/republica/breves/anvisa-passa-a-controlar-exportacao-cloroquina/
"Governo vai avaliar veto ao projeto de socorro aos estados e municípios, diz Vitor Hugo","O líder do governo na Câmara, deputado Vitor Hugo (PSL-GO), afirmou que a equipe econômica estuda recomendar vetos a trechos do projeto de ajuda aos estados e municípios. Segundo Vitor Hugo, a equipe econômica teme que o auxílio seja usado para outros fins, que não o combate ao coronavírus.  ""É dar um cheque em branco para governadores e prefeitos sem ser comprovada a preservação de vidas"", afirmou o líder durante a sessão de votação. A equipe econômica também afirma que o impacto da medida é muito alto e que o cálculo é de difícil operacionalização. O texto - que está sendo votado neste momento na Câmara - obriga a União a compensar a perda de arrecadação de estados e municípios. O texto deve ser aprovado, já que somente o governo orientou contra. O partido Novo liberou a sua bancada. O projeto, contudo, ainda precisa passar pelo Senado antes de chegar à mesa do presidente Jair Bolsonaro.",2020-04-13,https://www.gazetadopovo.com.br/republica/breves/governo-vai-avaliar-veto-ao-projeto-de-socorro-aos-estados-e-municipios-diz-vitor-hugo/
"Lewandowski chancelou entendimento do governo, diz Bruno Bianco","O secretário especial da Previdência e do Trabalho, Bruno Bianco, afirmou nesta segunda-feira (13) que considera oportuna a decisão do ministro Ricardo Lewandowski, do Supremo Tribunal Federal, que deu validade imediata a acordos individuais entre empregados e patrões. ""O ministro chancelou o nosso entendimento, reconheceu, até, quando disse de maneira muito positiva que esse já era o entendimento dele"", disse o secretário, durante participação em transmissão ao vivo realizada pela MAG Investimentos. Nesta segunda, o ministro negou recurso da União na ação que questiona o Programa Emergencial de Manutenção de Emprego e Renda, mas esclareceu que os acordos individuais firmados entre empregadores e empregados têm validade imediata. ""É uma decisão oportuna, que não causou nenhum prejuízo momentâneo"", afirmou o secretário na transmissão. Bianco disse também que o governo está focado no desenho de medidas para o mercado de trabalho no ""pós-crise"", mas não detalhou quais iniciativas são cogitadas.",2020-04-13,https://www.gazetadopovo.com.br/republica/breves/lewandowski-chancelou-entendimento-do-governo-diz-bruno-bianco/
"Por coronavírus, governo vai investir R$ 4,7 bilhões em ações junto a povos indígenas","A ministra da Mulher, Família e Direitos Humanos, Damares Alves, apresentou um plano de contingência para os povos tradicionais em coletiva de imprensa nesta segunda-feira (13). “A gente quer assegurar os direitos sociais dos mais vulneráveis, assegurar o direito à saúde dos membros dos povos e comunidades tradicionais no Brasil”, disse. Para isso, o governo federal vai investir, até junho deste ano, R$ 4,7 bilhões em ações junto a esses povos – são R$ 23 milhões em ações de prevenção e atendimento à saúde, R$ 3,2 bilhões de transferência de renda (auxílio emergencial e Bolsa Família) e R$ 1,5 bilhão em cestas básicas, kits de higiene e reforço alimentar. Também haverá distribuição de material em 274 línguas indígenas a todos os distritos da Funai. “Falar com os povos indígenas sobre o coronavírus requer todo um cuidado, toda uma atenção especial. Temos que entender as especificidades de cada povo”, disse.",2020-04-13,https://www.gazetadopovo.com.br/republica/breves/indigenas-plano-contingencia-coronavirus-governo-federal/
"Mesmo após recuo da Câmara, governo vai orientar contra projeto de ajuda aos estados","Apesar de a Câmara ter recuado e flexibilizado parcialmente o projeto de ajuda a estados e municípios, o líder do governo na Casa, deputado Vigor Hugo (PSL-GO), anunciou que vai orientar a base governista a votar contra o texto.  A votação deve acontecer ainda na noite desta segunda-feira (13). O processo de votação já foi iniciado. O texto apresentado pelo deputado Pedro Paulo (DEM-RJ) e que conta com o apoio de Rodrigo Maia (DEM-RJ) obriga a União a compensar a perda de arrecadação de estados e municípios pelos próximos seis meses (maio a outubro).",2020-04-13,https://www.gazetadopovo.com.br/republica/breves/mesmo-apos-recuo-da-camara-governo-vai-orientar-contra-projeto-de-ajuda-aos-estados/
Lava Jato vê oportunismo e nega soltura de operador do “doleiro dos doleiros”,"O Ministério Público Federal emitiu parecer contrário a pedido de relaxamento da prisão preventiva de Roland Pascal Gerbauld, diretor de offshore nas Bahamas denunciado no âmbito da Operação Patrón, etapa da Lava Jato no Rio que mirou o ex-presidente do Paraguai Horácio Cartes. Réu por lavagem de dinheiro e organização criminosa, Gerbauld é apontado como suposto operador financeiro do doleiro Dario Messer e, segundo a Procuradoria, teria auxiliado o ""doleiro dos doleiros"" a ocultar mais de US$ 17 milhões. Ele está foragido desde a deflagração da operação, em novembro de 2019. Gerbauld pediu sua soltura por causa da pandemia do novo coronavírus, por ter necessidade diária de medicamentos de uso controlado. No entanto, a força-tarefa Lava Jato no Rio de Janeiro, considerou que sua prisão preventiva para impedir a continuidade dos crimes cometidos e registrou ""oportunismo"" por parte da defesa do réu.",2020-04-13,https://www.gazetadopovo.com.br/republica/breves/lava-jato-contrario-soltura-operador/
Coronavírus: Brasil tem 1.328 mortes e 23.430 casos confirmados,"O Ministério da Saúde atualizou nesta segunda-feira (13) os dados sobre a expansão do coronavírus no Brasil. O país tem 1.328 mortes pela doença e 23.430 casos confirmados. São Paulo, Rio de Janeiro e Pernambuco são os estados com mais mortes até o momento, com 608, 188 e 102, respectivamente. De domingo para segunda, o Brasil teve um acréscimo de 105 mortes pela Covid-19 e de 1.261 casos confirmados. Confira outros dados sobre o coronavírus no Brasil em gráficos elaborados pela Gazeta do Povo.",2020-04-13,https://www.gazetadopovo.com.br/republica/breves/coronavirus-brasil-1304/
Relatório de PEC mantém permissão para governo descumprir regra de ouro,"O parecer da Proposta de Emenda à Constituição do Orçamento de Guerra no Senado, apresentado pelo senador Antonio Anastasia (PSD-MG), mantém a permissão para o governo descumprir a chamada regra de ouro enquanto durar a calamidade pública pelo novo coronavírus, ou seja, até o fim do ano. A regra de ouro proíbe o Executivo de se endividar para pagar as despesas correntes (como são chamados os gastos da administração pública para manter seus serviços funcionando). O relatório será lido nesta segunda-feira (13) em sessão do Senado. A votação foi adiada para quarta (15). O líder do governo na Casa, Fernando Bezerra Coelho (MDB-PE), já afirmou que o Planalto concorda com a versão do parecer apresentado por Anastasia. O relator aceitou uma sugestão de Bezerra Coelho e incluiu na PEC a permissão para que empresas em dívida com a Previdência Social fechem contratos com o poder público e recebam incentivos fiscais durante a calamidade pública; essa possibilidade atualmente é vedada pela Constituição. A suspensão de regularidade previdenciária vai na linha de medida provisória assinada pelo presidente Jair Bolsonaro para dar fôlego a empresas durante a pandemia da covid-19.",2020-04-13,https://www.gazetadopovo.com.br/republica/breves/relatorio-pec-orcamento-de-guerra-regra-de-ouro/
"Câmara cede e retira dois pontos polêmicos do projeto de socorro aos estados, diz Maia","O presidente da Câmara dos Deputados, Rodrigo Maia (DEM-RJ), anunciou que o relator do projeto de socorro a estados e municípios, deputado Pedro Paulo (DEM-RJ), vai retirar dois pontos polêmicos do texto. O primeiro ponto que será retirado é a possibilidade de os estados contraírem novos empréstimos com aval da União durante a pandemia do coronavírus, o que traria um impacto de R$ 55 bilhões. O segundo ponto que será excluído é a previsão de suspensão da dívida dos estados e do Distrito Federal com a União. Segundo Maia, com essas alterações, o projeto terá um impacto de R$ 80 bilhões. A equipe econômica tinha se manifestado contra a proposta relatada pelo deputado Pedro Paulo, pois seu impacto fiscal poderia chegar a R$ 222 bilhões. Maia informou, ainda, que vai trabalhar para votar o projeto ainda nesta segunda-feira (13).",2020-04-13,https://www.gazetadopovo.com.br/republica/breves/camara-cede-e-retira-dois-pontos-polemicos-do-projeto-de-socorro-aos-estados-diz-maia/
Doria desiste de usar PM para fiscalizar isolamento em SP,"Depois de cogitar o uso da Polícia Militar para garantir o isolamento social no Estado de São Paulo, o governador João Doria (PSDB) disse nesta segunda-feira (13), em entrevista coletiva no Palácio dos Bandeirantes, que serão agentes da Vigilância Sanitária que devem começar a visitar comércios e outros estabelecimentos não essenciais que insistem em ficar abertos em meio à quarentena contra o novo coronavirus. A PM, segundo o governador, dará apoio a esses agentes. No último domingo de Páscoa, o índice de isolamento social no Estado chegou a 59% - o governo considera ideal 70%.",2020-04-13,https://www.gazetadopovo.com.br/republica/breves/doria-fiscalizacao-pm-isolamento-social/
PF prende um dos criminosos mais procurados do Brasil,"A Polícia Federal prendeu, nesta segunda-feira (13), em Moçambique, um dos criminosos mais procurados do Brasil. Gilberto Aparecido dos Santos, o Fuminho, estava foragido há 21 anos. O traficante, segundo a Polícia Federal, é um dos líderes do Primeiro Comando da Capital (PCC) e figura na lista dos mais procurados elaborada pelo Ministério da Justiça e Segurança Pública, do ministro Sergio Moro, publicada em janeiro. Ele é apontado pela PF como responsável pelo plano de fuga de Marcos Willians Herbas Camacho, o Marcola, em 2018, um dos líderes da facção preso na penitenciária federal de segurança máxima de Brasília. Também é apontado pela Polícia Civil do Ceará como o mandante das mortes de Gegê do Mangue e Paca, integrantes da facção.",2020-04-13,https://www.gazetadopovo.com.br/republica/breves/pf-criminosos-mais-procurados-do-brasil/
Cartórios em todo o país reabrem em esquema de plantão especial,"Cartórios de todo o país reabriram nesta segunda-feira (13) em esquema de plantão após serem listados como serviços de atividades essenciais durante a pandemia do novo coronavírus. A ordem é da Corregedoria Nacional de Justiça. O novo esquema prevê regime de plantões à distância, que deverá ter duração de pelo menos quatro horas, e plantões presenciais, que deverão ter duração mínima de duas horas - em ambas as situações deve ser mantido o atendimento remoto por ao menos quatro horas. De acordo com a norma nacional, em vigor até 30 de abril, a recomendação é que apenas serviços urgentes sejam feitos de forma física, evitando aglomerações.",2020-04-13,https://www.gazetadopovo.com.br/republica/breves/cartorios-reabrem-esquema-de-plantao-especial/
"Governo lança projeto para apoiar idosos, deficientes e população de rua","O governo federal lançou nesta segunda-feira (13), o projeto Brasil Acolhedor. O objetivo principal será ajudar grupos mais vulneráveis pelas consequências da pandemia do coronavírus, como pessoas em situação de rua, com deficiência e idosos. A iniciativa é uma parceria com a plataforma digital Transforma Brasil, que reúne uma rede de 500 mil voluntários. O projeto será conduzido pelo programa Pátria Voluntária, coordenado pela primeira-dama Michelle Bolsonaro, e pelo Transforma Brasil, que atuará para fortalecer iniciativas de voluntariado de instituições sem fins lucrativos. A iniciativa foi divulgada pela primeira-dama, pela ministra da Mulher, da Família e dos Direitos Humanos, Damares Alves, e pelo ministro da Cidadania, Onyx Lorenzoni.",2020-04-13,https://www.gazetadopovo.com.br/republica/breves/governo-lanca-projeto-para-apoiar-idosos-deficientes-e-populacao-de-rua/
"Retirada temporária de PIS/Cofins sobre etanol é consenso, diz ministra","A retirada da cobrança do PIS/Cofins sobre o etanol já é um consenso entre o Ministério da Agricultura e o Ministério de Minas e Energia, afirmou a ministra da Agricultura, Tereza Cristina, em transmissão na rádio Bandnews. Sobre medidas para o setor sucroenergético em meio à crise do petróleo entre Arábia Saudita e Rússia, a ministra disse que, em virtude da importância do setor, Minas e Energia está estudando um aumento na Contribuição de Intervenção no Domínio Econômico (Cide) para gasolina. Já a Agricultura está tentando tornar viável uma linha de crédito para estocagem a fim de minimizar os prejuízos dos produtores. ""Essa semana já teremos resultados para que o produtor tenha tranquilidade para colher a cana"", garantiu.",2020-04-13,https://www.gazetadopovo.com.br/republica/breves/retirada-temporaria-pis-cofins-etanol/
"Arrecadação de estados e municípios começou a cair de 30% a 40%, diz Maia","O presidente da Câmara dos Deputados, Rodrigo Maia, afirmou nesta segunda-feira (13), que estados e municípios viram a arrecadação cair de 30% a 40%. Em videoconferência, Maia voltou a falar que, em algum momento, terá de se discutir a redução salarial do setor público, mas isso terá de ser feito em conjunto pelos Três Poderes. ""Não tem como ter um país que vai crescer com a atual estrutura, hoje Estado só gera burocracia, tem saúde questionável e educação ruim”, disse. Indagado sobre quem pagará a conta da crise, o presidente da Câmara disse que o governo brasileiro e todos os cidadãos. ""A saída da crise tem de ser muito bem pensada pelo governo para que na segunda fase, da recuperação, a economia sinta os efeitos cresça mais rápido e gere um custo menor para a sociedade.""",2020-04-13,https://www.gazetadopovo.com.br/republica/breves/arrecadacao-estados-municipios-maia/
"Caixa soma 33,6 milhões de cadastros para auxílio emergencial","A Caixa Econômica Federal informou que 33,6 milhões de brasileiros concluíram cadastro para o auxílio emergencial de R$ 600,00 até as 12 horas desta segunda-feira (13). O valor será pago pelo governo federal durante a crise do novo coronavírus. Até o momento, conforme o banco, 2,5 milhões de pessoas já foram beneficiadas, totalizando R$ 1,5 bilhão em recursos já creditados. O cadastro pode ser feito pelo site ou por aplicativos para Android e iOS. Veja o calendário.",2020-04-13,https://www.gazetadopovo.com.br/republica/breves/caixa-cadastros-auxilio-emergencial/
Mercado financeiro revisa PIB do Brasil em 2020 e prevê queda de 2%,"Os efeitos da pandemia do novo coronavírus sobre a economia brasileira fizeram os economistas do mercado financeiro revisarem as projeções para o Produto Interno Bruto (PIB) em 2020. Conforme o Relatório de Mercado Focus, a expectativa para a economia este ano passou de retração de 1,18% para queda de 1,96%. Há quatro semanas, a estimativa era de alta de 1,68%. Para 2021, no entanto, a previsão do PIB sofreu elevação de 2,50% para 2,70%. Quatro semanas atrás, estava em 2,50%. Os dados foram apresentados nesta segunda-feira (13).",2020-04-13,https://www.gazetadopovo.com.br/republica/breves/mercado-financeiro-pib-2020/
"25% dos mortos por coronavírus no Brasil estão fora do grupo de risco, diz levantamento","Um levantamento revela que 25% das mortes causadas pelo novo coronavírus no Brasil ocorreram em pessoas fora do grupo de risco, que inclui maiores de 60 anos e com doenças já existentes. Os dados são do Ministério da Saúde e o levantamento foi organizado pelo O Globo até 11 de abril. Nos últimos 15 dias o número de vítimas fora desse grupo aumentou no país e já é cinco vezes maior do que na Espanha, de 4,6%. O Brasil registrou mais de 20 mil casos e 1.124 mortes até sábado (11). Um levantamento realizado pela Gazeta do Povo na última semana já apontava a tendência de crescimento nos dados.",2020-04-13,https://www.gazetadopovo.com.br/republica/breves/coronavirus-grupo-de-risco-levantamento/
Bolsonaro evita comentar entrevista de Mandetta na saída do Alvorada,"O presidente Jair Bolsonaro evitou comentar nesta segunda-feira (13) a entrevista concedida pelo ministro da Saúde, Luiz Henrique Mandetta, ao programa Fantástico no último domingo. Na saída do Palácio da Alvorada, o presidente disse para apoiadores e depois para jornalistas que não assistia à emissora. ""Eu não assisto a Globo. Pessoal da imprensa, eu não assisto a Globo, tá ok? Bom dia para vocês"", declarou. No domingo, Mandetta defendeu em entrevista uma ""fala única"" do governo sobre as estratégias de enfrentamento ao novo coronavírus para não confundir a população.",2020-04-13,https://www.gazetadopovo.com.br/republica/breves/bolsonaro-entrevista-mandetta-fantastico/
