Título,Notícia,Data-Hora,Link
Mandetta irá hoje ao Planalto,"Está prevista a participação de Luiz Henrique Mandetta na entrevista coletiva diária que o Palácio do Planalto organiza.Ele conversará com os jornalistas ao lado dos ministros Walter Braga Netto, Sergio Moro e Damares Alves.Não está prevista nenhuma conversa com Bolsonaro, criticado ontem por Mandetta em entrevista à TV Globo.ACESSE A HOME DA COLUNA E LEIA TODAS AS NOTAS, ENTREVISTAS E ANÁLISESLeia também:Acompanhe nas redes sociais: Facebook | Twitter | Instagram",2020-04-13,https://epoca.globo.com/guilherme-amado/mandetta-ira-hoje-ao-planalto-24368146
Mandetta não vai se calar a desrespeitos de Bolsonaro ao isolamento,"A decisão de Luiz Henrique Mandetta de criticar ontem o comportamento de Jair Bolsonaro foi tomada após o sábado, quando o ministro ficou muito incomodado com a postura do presidente na visita às obras de um hospital de campanha em Águas Lindas de Goiás.O ministro avaliou que o presidente estava mais preocupado em causar aglomerações e ostensivamente violar, de maneira proposital, a recomendação de distanciamento social, do que em visitar a obra.Ronaldo Caiado, que se constrangeu com o abraço que recebeu de Bolsonaro, teve a mesma percepção.Mandetta comentou com assessores próximos que não irá se calar quando Jair Bolsonaro desrespeitar as regras de isolamento, como fez nos últimos três dias.O ministro disse que ""não dá"" para ele ir à televisão diariamente defender o isolamento e o presidente também todos dias desrespeitar o que é recomendado para toda a população.ACESSE A HOME DA COLUNA E LEIA TODAS AS NOTAS, ENTREVISTAS E ANÁLISESLeia também:Acompanhe nas redes sociais: Facebook | Twitter | Instagram",2020-04-13,https://epoca.globo.com/guilherme-amado/mandetta-nao-vai-se-calar-desrespeitos-de-bolsonaro-ao-isolamento-24368092
Coluna | Como entender as citações literárias de Mandetta?,"Em Respiração artificial, romance para se ler de joelhos do argentino Ricardo Piglia , Tardewski, um fracassado filósofo polonês, diz a Emilio Renzi: “Sou um homem inteiramente feito de citações”. Até para falar de Marcelo Maggi, o tio a quem Renzi fora procurar na província argentina, conhecido de Tardweski, o filósofo precisava abrir um caderno e ler.É curiosa a ideia de um homem inteiramente feito de citações. O que ele quer dizer quando cita isto ou aquilo? Ele cita para explicar melhor o que pensa ou para se esconder por trás das palavras de alguém? O que revelam, por exemplo, as citações do ministro da Saúde Luiz Henrique Mandetta, que nas últimas semanas já emprestou palavras de Khalil Gibran, Carlos Drummond de Andrade, Augusto dos Anjos e Platão?Segundo o Estadão, no dia 29 de março, quando o presidente Jair Bolsonaro saiu para passear e Brasília e fazer festinha com seus apoiadores, provocando as aglomerações de que o novo coronavírus tanto gosta, Mandetta pediu paciência à equipe do Ministério da Saúde e citou o poema de Drummond: No meio do caminho tinha uma pedra/ Tinha uma pedra no meio do caminho/ Tinha uma pedra/ No meio do caminho tinha uma pedra// Nunca me esquecerei desse acontecimento/ Na vida de minhas retinas tão fatigadas/ Nunca me esquecerei que no meio do caminho/ Tinha uma pedra/ Tinha uma pedra no meio do caminho/ No meio do caminho tinha uma pedra.No dia seguinte, numa coletiva, falando sobre a perseverança dos doentes, Mandetta citou o escritor libanês Gibran K/alil Gibran: “Somos os filhos e filhas da ânsia da vida por si mesma”. No dia 3 de abril, disse a Folha, o ministro citou versos de Augusto dos Anjos, poeta pré-modernista, ao comentar o aumento de sua popularidade: A mão que afaga é a mesma que apedreja. Felizmente Mandetta não citou a última linha do poema “Versos íntimos” – Escarra nessa boca que te beija! –, que contradiz as recomendações profiláticas do Ministério da Saúde.Na última segunda-feira (6), Mandetta fez sua citação mais erudita: contou ter aproveitado o fim de semana para reler o “Mito da caverna”, que aparece em “A República”, de Platão. “Já li umas 20 vezes e até hoje não consegui entender”, disse. No Livro VII de “A República”, Platão narra um diálogo de seu mestre, Sócrates, com Glauco.Sócrates pede a Glauco, irmão de Platão, para imaginar homens que, desde a infância, vivem acorrentados numa caverna, sem poder se mexer ou espiar o lado de fora. Lá dentro, eles veem apenas as sombras de objetos manuseados por homens do lado de fora.Quando um deles se liberta das correntes e sai da caverna, vê o sol que ilumina os objetos dos quais ele antes só conhecia as sombras. Deslumbrado, ele se pergunta se deve retornar e contar a seus companheiros do mundo que existe para além da caverna, mesmo que eles o julguem louco ou até o matem.Mandetta não começou a citar literatura nesta pandemia. Em 2014, quando era deputado federal, lembrou “A roupa nova do imperador”, de Hans Christian Andersen para criticar a organização da Copa do Mundo pelo governo de Dilma Rousseff: “Tal qual o conto de Christian Andersen, o povo disse a esse Governo que aí está, à Presidenta Dilma: ‘O rei está nu. A rainha está nua’. A promessa de gestão, a promessa de eficiência... A Presidenta gerente relaxou, esqueceu que administrar é duro, é dizer não, é cobrar prazos, é zelar, antes de mais nada, pelo nome e pela figura deste País.”Um perfil publicado em ÉPOCA, disse que “o ministro é aficionado por livros de história sobre a Guerra do Paraguai (1864-1870)” (). O El Pais afirmou que Mandetta é “voraz leitor da Bíblia e de livros clássicos”.Mas o que querem dizer as citações de Mandetta? Toda vez que uma referência sai da boca do ministro, a internet corre para tentar decifrar as entrelinhas, descobrir se a citação é uma crítica a Bolsonaro. Quando citou Platão, estaria ele ironizando o apelido dado ao presidente Jair Bolsonaro por seus apoiadores, “mito”?Ou sugerindo que ele, Mandetta, ao recorrer à ciência para vencer a epidemia de Covid-19, seria como o homem liberto das correntes que vê a luz e volta para pregar a palavra da razão até para quem não quer ouvi-la, enquanto o presidente, crítico das medidas de isolamento social, preferiria continuar nas sombras? Bolsonaro e sua obsessão pela hidroxicloroquina seriam a “pedra no meio do caminho”? O presidente, que não sabe se demite ou não o ministro, é também a boca que beija e escarra, a mão que afaga e apedreja?As citações literárias certamente ajudam popularidade do ministro. Primeiro porque o afastam de Bolsonaro e pintam como um homem culto, leitor, um bondoso médico que cita de cor versos a seus pacientes.Já o presidente, cuja falta de cadência o impede de recitar poemas, só sabe um versículo bíblico de cabeça –“Conhecereis a verdade e a verdade vos libertará” (João 8, 32) –, um versículo que ele cita pecaminosamente, pois o faz quando parece querer afastar as pessoas da verdade, como no pronunciamento da última quinta (8). Para o presidente, a “verdade” não é a que liberdade, celebrada na Páscoa, mas a “verdade sufocada” do torturador Carlos Alberto Brilhante Ustra, autor seu livro de cabeceira.As referências literárias também jogam a favor de Mandetta porque talvez não haja nada que nós, brasileiros, estejamos mais acostumados a fazer do que baixar a cabeça para um homem culto, conhecedor de versos, que repete proparoxítonas com naturalidade, como os bacharéis beletristas que vira e mexe voltam à cadeira presidencial.As citações de Drummond, Platão e até de Khalil Gibran transformam Mandetta num estadista e nos fazem esquecer que ele não chegou há poucas semanas ao governo, que aceitou o Ministério sabendo que o bolsonarismo despreza a ciência e a verdade, que ele próprio já criticou campanhas de educação sexual, como bem lembrou Rafael Ciscati aqui no colunismo virtual de ÉPOCA: “Ao Globo, dias antes de ser apontado como titular da pasta, Mandetta disse descrer da eficiência de campanhas de prevenção contra HIV realizadas em escolas e Unidades Básicas de Saúde: ‘Sexualidade é uma questão para tratar dentro de casa’, disse quando perguntei sobre estratégias de prevenção. ‘É como segurança pública. Onde você aprendeu que não pode roubar? Em casa.’”O Mandetta que vemos todos os dias na TV não lembra em nada com a grosseria bolsonarista. O ministro parece um oásis de racionalidade no governo.Também vale recordar que ele divergiu da política de abstinência sexual da ministra da Família, Damares Alves: “As campanhas falarem sobre isso (iniciação sexual tardia), eu não vejo problema. O que não pode é que essa seja a nossa única política. Não pode ser a única, nem a principal”, disse.Não é estranho que Mandetta, que livre e espontaneamente abraçou este governo, agora divirja publicamente dele e pareça fazer oposição ao próprio chefe? Para entender essa aparente contradição, talvez valha a pena recorrer a uma citação literária. No romance A ordem do dia, o francês Éric Vuillard conta que, quando os nazistas invadiram a Áustria, em março de 1938, ninguém na imprensa deu um pio.A não ser Emil Löbl, redator-chefe do Neues Wienger Tagblatt, que assinou um artigo em apoio ao “minúsculo ato de resistência” do primeiro-ministro Kurt Schuschnigg ao tentar se opor à anexação. Löbl não era nenhum vermelho. Seu jornal apoiara a perseguição à esquerda, as demissões de jornalistas incômodos ao governo, a intromissão da Igreja Católica nos assuntos Estado e o assédio ao parlamento. Mas, naquela manhã, Löbl apontou sua caneta contra o nazismo. “O heroísmo é uma coisa bizarra, relativa e, além disso, nessa manhã, é a mesmo tempo emocionante e inquietante”, diz o narrador.Leia também:",2020-04-11,https://epoca.globo.com/ruan-de-sousa-gabriel/coluna-como-entender-as-citacoes-literarias-de-mandetta-1-24364579
Mandetta sobre ataques de Onyx e Terra: 'Vivemos uma crise ética',"Luiz Henrique Mandetta foi econômico há pouco sobre o que achou da conversa em que Osmar Terra e Onyx Lorenzoni foram flagrados falando mal dele, revelada pelo repórter Caio Junqueira.Disse Mandetta:""Vivemos uma crise ética. Cada um que tire suas conclusões"".Na conversa, Onyx diz que teria ""cortado a cabeça"" de Mandetta, se a decisão lhe coubesse. Terra, que defende a queda do ministro, afirma que ele ""se acha"". Os dois também fazem conjecturas sobre quantas mortes haverá com Covid-19.ACESSE A HOME DA COLUNA E LEIA TODAS AS NOTAS, ENTREVISTAS E ANÁLISESLeia também:Acompanhe nas redes sociais: Facebook | Twitter | Instagram",2020-04-09,https://epoca.globo.com/guilherme-amado/mandetta-sobre-ataques-de-onyx-terra-vivemos-uma-crise-etica-24362784
DEM revoltado com flagra de Onyx fritando o 'amigo' Mandetta,"O DEM está pegando fogo, diante do flagra de Onyx Lorenzoni falando mal de Henrique Mandetta, de quem ele se dizia amigo.A conversa doi ouvida pelo repórter Caio Junqueira, após telefonar a Osmar Terra na manhã de hoje e o ex-ministro encerrar a conversa sem desligar a chamada.Nela, Onyx afirma que teria ""cortado a cabeça"" de Mandetta, com quem estaria sem falar ""há dois meses"", por ele discordar do que Bolsonaro prega — por exemplo, o isolamento vertical e a mensagem de que a cloroquina deve ser usada em todos os pacientes.ACESSE A HOME DA COLUNA E LEIA TODAS AS NOTAS, ENTREVISTAS E ANÁLISESLeia também:Acompanhe nas redes sociais: Facebook | Twitter | Instagram",2020-04-09,https://epoca.globo.com/guilherme-amado/dem-revoltado-com-flagra-de-onyx-fritando-amigo-mandetta-24362338
Mandetta e O mito da caverna,"Luiz Henrique Mandetta disse há pouco em seu discurso aos jornalistas que leu no fim de semana O mito da caverna, de Platão.No livro, a saída da caverna é por meio do conhecimento, do racional e da verdade.ACESSE A HOME DA COLUNA E LEIA TODAS AS NOTAS, ENTREVISTAS E ANÁLISESLeia também:Acompanhe nas redes sociais: Facebook | Twitter | Instagram",2020-04-06,https://epoca.globo.com/guilherme-amado/mandetta-o-mito-da-caverna-24355334
Bolsonaro e Mandetta se reúnem amanhã a sós,"Jair Bolsonaro e Luiz Henrique Mandetta terão uma reunião amanhã, às 9h, a sós, no Palácio do Planalto. Oficialmente, o assunto são ações de combate à Covid-19. A Mandetta, foi pedido que leve um balanço do que foi feito até agora contra a pandemia.Mas, como o humor de Bolsonaro é previsível como um vulcão em chamas, tudo pode acontecer.ACESSE A HOME DA COLUNA E LEIA TODAS AS NOTAS, ENTREVISTAS E ANÁLISESLeia também:Acompanhe nas redes sociais: Facebook | Twitter | Instagram",2020-04-07,https://epoca.globo.com/guilherme-amado/bolsonaro-mandetta-se-reunem-amanha-sos-24358046
Médicos gravam vídeo de apoio a Mandetta,"Presidentes de colégios e sociedades médicas de todo o país gravaram um vídeo de apoio ao ministro da Saúde, Henrique Mandetta.Entre as entidades representadas estão as sociedades brasileiras de Angiologia e Cirurgia, de Patologia, de Ortopedia e Traumatologia, a Academia Brasileira de Neurologia, a Associação Médica do Paraná e o Instituto Brasil de Medicina.""O Colégio Brasileiro de Cirurgiões (CBC) apoia o ministro Mandetta na condução da pandemia da Covid-19. O Ministério da Saúde é o órgão técnico e responsável para determinar qual o melhor caminho para os brasileiros. O confinamento voluntário é necessário"", disse o presidente do CBC, Luiz Carlos Von Bahten.Já Luiz Darcy, da Associação Médica Homeopática Brasileira, elogiou o ""desempenho muito acima da média para um ministro da Saúde"" e a ""atitude ética e pró-ativa"" de Mandetta. Médicos gravam vídeo de apoio a Mandetta. Presidentes de colégios e sociedades médicas de todo o país gravaram um vídeo de apoio ao ministro da Saúde. Leia e assista ao vídeo na coluna. Link na bio. #Mandetta #Coronavírus #saúdeUma publicação compartilhada por  Guilherme Amado (@guilhermeamado) em 7 de Abr, 2020 às 9:34 PDT (Por Guillherme Amado e Naomi Matsui)ACESSE A HOME DA COLUNA E LEIA TODAS AS NOTAS, ENTREVISTAS E ANÁLISESLeia também:Acompanhe nas redes sociais: Facebook | Twitter | Instagram",2020-04-07,https://epoca.globo.com/guilherme-amado/medicos-gravam-video-de-apoio-mandetta-24356691
As faces de Mandetta,"O dia do “fico” de Luiz Henrique Mandetta começou com uma videoconferência e terminou com lamentos de frustração. Era manhã da quarta-feira 25, e o ministro fora desautorizado de forma constrangedora pelo presidente da República na noite anterior, quando Jair Bolsonaro fez um pronunciamento à nação negando a necessidade de isolamento social como forma de conter o avanço do novo coronavírus. Ao contrariar publicamente a orientação mais premente de seu ministro da Saúde, o presidente abriu uma vala de distanciamento com Mandetta e colocou-o entre a cruz e a espada. Se ficasse no governo, estaria sujeito a um chefe que o diminuía diariamente. Se saísse, deixaria a pasta à mercê da ala mais radical do bolsonarismo, que enxerga na paralisação provocada pela pandemia um obstáculo à reeleição do presidente em 2022. Naquela manhã, Mandetta participou da videoconferência em que Bolsonaro e o governador de São Paulo, João Doria, se desentenderam. Depois da contenda, foi chamado pelo presidente a permanecer na sala.Ciente dos rumores de que Mandetta pediria o chapéu, Bolsonaro fez elogios ao subordinado na presença de pelo menos dez ministros. Disse querer que ele ficasse à frente da pasta e que continuasse “tocando seu trabalho da maneira que achasse correto”, segundo relatos de aliados que assistiram à cena. Mandetta consentiu com a cabeça, refletiu por alguns segundos e disse ao presidente que havia decidido permanecer no cargo “pelo Brasil”. “Eu poderia estar em Campo Grande com meu pai, para auxiliar no que fosse possível, mas estou aqui, em Brasília, pelo Brasil, por acreditar que posso ajudar”, disse, referindo-se a Hélio Mandetta, médico ortopedista como o filho e que tem 89 anos. Em conversa, naquela manhã, com o amigo e governador de Goiás, Ronaldo Caiado (DEM-GO), Mandetta já havia sinalizado que não sairia, a não ser que fosse demitido. “Lógico que pedi que ele não pedisse demissão. No momento que estiver nessa luta, não pode deixar o barco, não pode sair como quem fugiu”, disse Caiado.O ministro ficou — pelo menos até o final da pandemia. Tem dito a pessoas próximas que, quando tudo passar, não pensa em continuar no ministério. Mas, naquela quarta-feira, na entrevista diária que concede à imprensa para divulgar os números da doença, tentou distensionar a relação com o presidente e, para isso, flexibilizou a recomendação de isolamento que Bolsonaro tanto criticava. Depois de sua fala colocando em xeque o isolamento, Mandetta foi bombardeado por ligações de aliados e técnicos da saúde. Ainda muito ligado à classe médica de Campo Grande, Mato Grosso do Sul, ele tem o mesmo número de celular desde quando atendia em consultório. Também permanece em grupos de WhatsApp dos quais fazia parte antes de virar ministro. Nesses grupos, foi duramente criticado. Cobravam dele uma defesa mais enérgica das medidas de isolamento social, conforme as diretrizes das principais autoridades sanitárias do mundo. Sua mulher, Terezinha, médica em um hospital público de Brasília, é também defensora da política de isolamento — e usou a hashtag #ficaemcasa justamente ao publicar uma foto do casal. Em uma postagem, o deputado federal Fábio Trad (PSD-MS), primo de Mandetta, fazia um apelo para que o ministro não abandonasse suas convicções. “Fique com a ciência. Se isto lhe custar o ministério, paciência. Sangue não vira água!”, escreveu o político em sua conta no Twitter.“Depois de sua fala colocando em xeque o isolamento, Mandetta foi bombardeado. Nos grupos de WhatsApp de médicos dos quais faz parte, foi duramente criticado. Até sua esposa, Terezinha, postou nas redes sociais uma foto com a hashtag #ficaemcasa”As cobranças surtiram efeito. Mandetta recuou da retórica presidencial e, no sábado pela manhã, se dirigiu ao Palácio da Alvorada para uma reunião com ministros e Bolsonaro. Lá, informou ao presidente que teria de “endurecer” o discurso para que as pessoas permanecessem isoladas. Caso contrário, todos assistiriam a milhares de mortes de infectados pela Covid-19. Deu ainda uma reprimenda no presidente, em tom cordial, mas sério. Disse que, quando Bolsonaro sai às ruas para se encontrar com o povo ou diz que o brasileiro “pula no esgoto” e “não acontece nada”, está desautorizando seu ministro da Saúde. E avisou: quando houvesse pronunciamentos desse tipo, ele teria de divergir do próprio chefe. Foi o que fez na coletiva dada naquele mesmo dia. No domingo, em sua casa, em Brasília, Mandetta acompanhou pela TV a cena do presidente passeando por cidades-satélites, provocando aglomerações por onde passava. Aos aliados que demonstraram incredulidade diante das ações de Bolsonaro, Mandetta evitou elevar a temperatura do episódio e pediu paciência.De lá para cá, Mandetta tem procurado fugir de conflito. Mas não cessam em Brasília as especulações sobre quem poderá substituí-lo caso Bolsonaro o demita. Um dos interessados na vaga é o almirante Antonio Barra Torres, atual chefe da Agência Nacional de Vigilância Sanitária (Anvisa). Ao lado do presidente nas manifestações de 15 de março, Barra Torres é um militar de perfil político que compartilha com Bolsonaro não só a visão conservadora, mas também o interesse por motocicletas e tiros. Ambos se conheceram quando Barra Torres era vice-diretor do Hospital Naval Marcílio Dias, no Rio de Janeiro, local que recebeu recursos de emendas parlamentares de Bolsonaro, quando deputado. O novo coronavírus os aproximou ainda mais. Outro na fila é o ex-ministro Osmar Terra, também médico e crítico das medidas de isolamento. Na reunião organizada no Palácio do Planalto, na quinta-feira 2, para tratar das pesquisas sobre o uso da cloroquina nos tratamentos de pacientes com coronavírus, para a qual Mandetta nem sequer fora convidado, era Terra quem dava as explicações. Ele estava no comando da Secretaria da Saúde do Rio Grande do Sul quando estourou a epidemia de H1N1 e tem feito comparações entre as duas doenças — quase sempre diminuindo a importância do novo coronavírus.“Quando deputado, na Câmara, Mandetta fazia discursos inflamados contra a contratação de médicos cubanos pelo governo petista. Mas, na vida privada, mantinha boa relação com parlamentares da esquerda, como Jandira Feghali (PCdoB-RJ)”Mais do que compromisso com o Brasil, aliados enxergam cálculo político no vaivém retórico de Mandetta. De um ministro com pouco mais de 3 mil seguidores no Twitter em janeiro, ele hoje acumula mais de 300 mil e uma popularidade superior à do presidente. Segundo uma pesquisa do Datafolha feita em março, 55% das pessoas ouvidas avaliaram positivamente suas atitudes diante da pandemia, ante 35% quando o nome em questão era o de Bolsonaro.Os números refletem, de certa forma, sua presença. Há quase um mês, Mandetta está diariamente em rede nacional dando orientações em tom professoral a uma população majoritariamente confinada. Em suas últimas aparições, elevou os decibéis sobre a gravidade do problema, pedindo que fossem redobrados os cuidados com o contágio. No Ministério da Saúde circulam estimativas assustadoras sobre números de mortos e infectados — que vão além dos dados oficiais divulgados, em razão da subnotificação decorrente da falta de testes. Seu protagonismo foi, inclusive, um dos fatores a motivar a unificação da comunicação do governo sobre a pandemia. As coletivas diárias no Ministério da Saúde foram transferidas para o Palácio do Planalto e são, hoje, comandadas pelo ministro-chefe da Casa Civil, Walter Braga Netto. O chefe da Saúde acabou vendo sua participação ser diluída.Bolsonaro tem por hábito se irritar quando um ministro ganha mais créditos por sua gestão do que ele próprio. Foi assim com Sergio Moro, na Justiça, e, menos frequentemente, com Paulo Guedes, na Economia. A exposição de Mandetta suscitou reação parecida. O presidente procurou dizer reiteradas vezes, em entrevistas, que, se a condução da Saúde agradava, era porque havia colocado uma equipe técnica, “diferente de outros governos”. Em outras ocasiões, deixou a ciumeira transparecer de forma mais cristalina. Em reunião no Planalto com o presidente do MDB, o deputado federal Baleia Rossi (SP), e com Carlos Marun, ex-ministro de Michel Temer, mostrou-se incomodado com o fato de Mandetta ter se reunido com os presidentes da Câmara, do Senado e do Supremo Tribunal Federal sem sua presença. “Eles fizeram uma reunião e nem me chamaram. Só chamaram o Mandetta”, reclamou Bolsonaro, segundo fontes que estiveram no encontro. Marun respondeu advertindo que, quando um presidente quer uma reunião, cabe a ele convocá-la.A desenvoltura política que o ministro da Saúde tem mostrado, passeando sem maiores escoriações pelo fogo amigo do gabinete do ódio sem perder a credibilidade técnica como médico, foi conquistada ao longo de 15 anos de vida pública. Em 2004, seu primeiro cargo no Executivo foi como secretário de Saúde de Campo Grande, quando seu primo, o atual senador Nelsinho Trad (PSD-MS), elegeu-se prefeito. Mandetta, filiado ao MDB, mudou-se para o DEM antes de se eleger pela primeira vez deputado federal, em 2010. Em 2014, ele se reelegeu, mas, em 2018, não quis se candidatar temendo uma derrota.Em sua vida política, Mandetta passou por transformações. No DEM, terminou deslocando-se à direita do partido, mais alinhado à elite agrária sul-mato-grossense que tinha por hábito se reunir na churrascaria Vermelho Grill para praguejar contra o PT. O político terminou, portanto, guardando distanciamento de lideranças como o atual presidente da Câmara, Rodrigo Maia, e ACM Neto, que preside a sigla.Na Câmara, fazia discursos inflamados contra a contratação de médicos cubanos pelo governo petista, sempre comparando a prática ao trabalho escravo. Atuava muitas vezes em dupla com Ronaldo Caiado, que, como ele, é médico ortopedista. Contudo, a divergência política não o impedia de dialogar com a esquerda. O deputado federal Vander Loubet (PT-MS) elogiou o convívio com o ministro. “O Zeca Dirceu tinha um problema de quadril e o Mandetta vivia cobrando que ele operasse: ‘Está na idade de fazer’”, contou Loubet, recordando o cuidado com o adversário que é filho do petista José Dirceu. Quando a vereadora Marielle Franco (PSOL-RJ) foi assassinada, em 2018, Mandetta postou em suas redes uma extensa nota de pesar e repúdio — atitude que, na atual gestão, seria malvista.A deputada Jandira Feghali (PCdoB-RJ), também médica, relatou boa relação com o ex-colega. “É uma pessoa que trata com diálogo. Sempre foi gentil. Até para divergir é com diálogo”, disse. Para ela, Mandetta tinha uma atuação considerada “séria” na Câmara. Em atitude hoje impensável para um ministro bolsonarista, ele chegou a postar em uma rede social uma foto de Feghali com sua filha, Marina, advogada no Rio de Janeiro, no dia em que as duas se conheceram, durante um festival de cinema. Marina é mãe do único neto do ministro, Gabriel, de quase 2 anos. Em suas redes sociais, ela demonstra pouca afinidade com as ideias do governo que o pai integra. Em uma delas, no período eleitoral, repostou um texto que dizia o seguinte: “Se seu voto é no Bolsonaro, peço desesperadamente que você escute suas piores frases de novo. ‘Sou a favor da tortura’; ‘Homossexualidade se cura com cascudos na infância’; ‘Mulher tem que ganhar menos que homem porque engravida’; (…) Se você não quer o PT no governo, ainda existem opções”.Se nas relações pessoais não escondia seu lado moderado, na Câmara Mandetta tinha como principais aliados expoentes da direita que primeiro deu guarida a Bolsonaro. Além de Caiado, entre seus colegas mais frequentes estavam Onyx Lorenzoni (RS), Alberto Fraga (DF) e Abelardo Lupion (PR), todos do DEM, mas muito bem encaixados no bolsonarismo. Esse núcleo, acrescido do governador dissidente, foi responsável por sua indicação para chefiar o ministério. Assim como no caso de Tereza Cristina, ministra da Agricultura, Mandetta não foi uma indicação do partido. Hoje, exceto por Caiado, de quem segue amigo, o ministro está afastado do núcleo que um dia integrou. Fraga, outrora aliado, chegou até mesmo a empreender uma tentativa frustrada de fritá-lo em 2019, para que pudesse ocupar uma pasta na Esplanada.No início do governo Bolsonaro, Mandetta era ávido defensor da ideia de frear o crescimento da verba para a saúde pública. Para ele, o ministério, que tem o segundo maior orçamento, atrás apenas da Educação, já era “muito grande”. A pandemia o fez deixar essas convicções de lado, ao menos temporariamente. Mas, se o ministro não costumava advogar por aumento nas despesas públicas, amealhou alguns problemas trazidos pelo dinheiro privado. Ele, seu primo, o senador Nelsinho Trad e outras 24 pessoas são alvo de duas ações por improbidade administrativa, além de um inquérito que tramita na Justiça Federal de Mato Grosso do Sul. São acusados de desviar R$ 8,1 milhões da Secretaria Municipal de Saúde de Campo Grande para a implantação de um sistema eletrônico que deveria unificar as informações de Saúde. O caso ficou conhecido em Campo Grande como escândalo Gisa, o nome do sistema — que nunca funcionou totalmente. As investigações apontam ilegalidades na licitação, como o favorecimento de um consórcio formado por empresas sem qualificação técnica, sendo que uma delas teria pago uma viagem de Mandetta para Portugal. O MPF também aponta a existência de doações ilegais de campanha ao hoje ministro por parte de uma das empresas envolvidas no certame. O caso corre em sigilo no estado e o ministro nega as irregularidades. “As provas apresentadas no processo comprovarão que são infundadas todas as alegações do Ministério Público”, disse o Ministério da Saúde, em nota.“Mandetta e outras 24 pessoas são alvo de duas ações por improbidade administrativa, além de um inquérito que tramita na Justiça. O MPF os acusa de desviar R$ 8,1 milhões da Secretaria Municipal de Saúde de Campo Grande”Em Campo Grande, cidade onde nasceu, ele é Henrique Mandetta — sem o primeiro nome. Em família, era chamado de “cabeça amarela”, pois, quando criança, seu cabelo era mais claro que o dos irmãos e primos. É o caçula de cinco filhos do casal Hélio e Maria Olga. Depois de cursar medicina na Universidade Gama Filho, no Rio de Janeiro, especializou-se em ortopedia em Campo Grande e, posteriormente, em ortopedia infantil no Scottish Rite Hospital, em Atlanta, Estados Unidos. Nos tempos da faculdade, conheceu Terezinha Alves, com quem se casou, em 1990, na Igreja de Nossa Senhora do Outeiro da Glória, no Rio. Além de Marina, o casal tem dois filhos mais jovens, Pedro Henrique e Paulo Henrique. Devoto da leitura, o ministro é aficionado por livros de história sobre a Guerra do Paraguai (1864-1870), um dos maiores conflitos da América do Sul e que marcou seu estado, que faz fronteira com o país vizinho. Na intimidade, prefere uísque a cerveja, mas é o cigarro seu maior vício — fumante aos 55 anos, ele está no grupo de risco segundo os parâmetros do novo coronavírus. No ministério, costuma usar a pausa do cigarro para bater papo com os servidores na calçada.Mandetta também é botafoguense doente. No quintal de terra batida da casa de sua avó Antonieta, a “vovó Teta”, aprendeu a jogar futebol, sempre no meio de campo. O time que formava com seus irmãos e primos se chamava Manequinho, em homenagem ao mascote do Botafogo. Uma vez, nos idos dos anos 1970, jogaram contra uma equipe de garotos de 10 a 14 anos integrada pelo atacante Müller, que depois ganhou fama no São Paulo e já disputou a Copa do Mundo. Mandetta gostava muito do esporte, mas estava longe de ser um gênio do gramado. Não gostava do ataque. Nas palavras de seu primo, Fábio Trad, uma expressão o define: “Um volante esforçado”.",2020-04-03,https://epoca.globo.com/brasil/as-faces-de-mandetta-24347357
"Te cuida, Mandetta: depois de Jorge & Matheus, agora foi Marília Mendonça","Depois de despertar a ira (e outros pecados capitais) de Jair Bolsonaro no fim de semana, ao participar de uma live com a dupla sertaneja Jorge & Matheus, é bom Henrique Mandetta se benzer novamente.Agora foi a sertaneja Marília Mendonça quem elogiou Mandetta, com direito a um vídeo do ministro gravado especialmente para aparecer na live, reforçando o pedido para a população ficar em casa — ao contrário do chefe.Disse Marília:""Parabéns ao Ministro da Saúde pelo trabalho incrível que está fazendo"".ACESSE A HOME DA COLUNA E LEIA TODAS AS NOTAS, ENTREVISTAS E ANÁLISESLeia também:Acompanhe nas redes sociais: Facebook | Twitter | Instagram",2020-04-08,https://epoca.globo.com/guilherme-amado/te-cuida-mandetta-depois-de-jorge-matheus-agora-foi-marilia-mendonca-24360703
