Título,Notícia,Data,Link
#ConexãoFGM reexibe séries financiadas pelo edital Arte na TV: 'Tabuh!' e 'Saberes Passados',"O projeto #ConexãoFGM desta semana, segunda (1) a domingo (7), traz de volta as séries financiadas pelo edital Arte na TV: a infanto-juvenil ""Tabuh!"" e ""Saberes Passados"", que trata da ancestralidade africana na cultura baiana.  As obras são disponibilizadas no Youtube, pelo canal da FGM. Será exibido um episódio de cada série, de segunda (1) a quinta-feira (4), das 8h às 21h,  Na sexta-feira (5), serão exibidos todos os episódios, que ficarão disponíveis em horário especial, das 7h de sexta à 0h do domingo (7)  Em outras edições, o projeto já reprisou filmes do Cineclube Boca de Brasa e outras produções audiovisuais com apoio ou financiamento da Fundação Gregório de Mattos.  ""Tabuh!"" é uma série de ficção infanto-juvenil, com roteiro e direção de Sofia Federico. Retrata, com leveza e humor, histórias sobre morte, sexo, gênero, racismo e outros temas considerados tabu para crianças.  ""Saberes Passados"" é uma série que aborda nossa ancestralidade africana, mostrando personagens importantes da cultura brasileira e baiana que enxergam suas origens milenares. É uma produção da Origem Produtora de Conteúdo, da DPE Produções e da Liberato Produções Culturais.  Veja mais notícias do estado no G1 Bahia.",2020-06-01,https://g1.globo.com/ba/bahia/noticia/2020/06/01/conexaofgm-reexibe-series-financiadas-pelo-edital-arte-na-tv-tabuh-e-saberes-passados.ghtml
'Arte Salva': governo de MG lança programa de apoio a artistas durante pandemia,"O governo de Minas Gerais lançou, nesta segunda-feira (1º), o programa ""Arte Salva"", de apoio aos artistas durante a pandemia. Segundo o governador Romeu Zema (Novo), categoria é uma das mais afetadas pela crise do coronavírus.  ""Não estamos falando dos artistas famosos, que representam talvez menos de 0,5% da categoria. Falamos de pessoas que trabalham no circo, nas ruas, que vão a bares e a casas de shows e fazem performance. Com o advento da pandemia, essas aglomerações ficaram suspensas, e esses artistas foram muito afetados. Temos ainda artesãos que dependiam de atividades turísticas. O que estamos propondo, neste momento, é manter essas pessoas com certa dignidade "", disse Zema.  O secretário Cultura e Turismo, Leônidas Oliveira, explicou que serão publicados três editais, de R$ 2,5 milhões cada, voltados para profissionais como músicos, dançarinos, artesãos e guias de turismo. O primeiro deve ser divulgado já nesta terça-feira (2).  O governo informou ainda que a maior parte do recurso vem de doações do setor privado, com a participação de mais de 60 instituições.  Ainda de acordo com Leônidas Oliveira, o programa é apartidário, sem discriminação de religião e sem discriminação ideológica.  ""Esperança e solidariedade para aqueles que estão precisando. Através da arte, trazer salvação para essas pessoas"", definiu a secretária de Desenvolvimento Social, Elizabeth Jucá. A pasta mapeou pelo menos 30 mil famílias de povos e comunidades tradicionais que estão passando necessidade.  Empresas interessadas em fazer doações podem procurar a sede do projeto, instalada no Museu Mineiro, no bairro Funcionários, na Região Centro-Sul de BH.",2020-06-01,https://g1.globo.com/mg/minas-gerais/noticia/2020/06/01/arte-salva-governo-de-mg-lanca-programa-de-apoio-a-artistas-durante-pandemia.ghtml
"Em atividade escolar de releitura de obras de arte, aluna se veste de 'Mona Lisa agredida' em crítica à violência contra a mulher no RN","Uma atividade virtual proposta por duas escolas estaduais de Parelhas, na região Seridó do Rio Grande do Norte, estimulou a criatividade de alunos dos ensinos fundamental e médio. Foram feitas 165 releituras de obras de artes das mais variadas épocas, que ganharam novas versões nas mãos dos estudantes das escolas Manoel Noberto e Monsenhor Amancio Ramalho.  Um rosto com marcas roxas e um semblante de medo e timidez que revelam um ato de agressão foi a maneira utilizada pela estudante potiguar Hellen Adriane de Medeiros, de 17 anos, para fazer uma releitura da Mona Lisa, obra mais notável do italiano Leonardo da Vinci.  ""Eu quis fazer uma crítica sobre a violência contra as mulheres através de Mona Lisa. E eu fiz essa maquiagem porque agora na quarentena aumentou muito a violência contra mulheres e precisamos dar um basta nisso"", explica a estudante, que cursa o terceiro ano do ensino médio na Escola Estadual Monsenhor Amancio Ramalho.  O tema abordado por Hellen está em um estudo realizado pelo Fórum Brasileiro de Segurança Pública, que revelou um aumento no número de feminicídios e denúncias de violência doméstica no RN durante o período de isolamento social por causa da Covid-19.  Além de fazer a releitura em forma de protesto, Hellen conta que o trabalho escolar expandiu os seus conhecimentos na área das artes visuais. ""Essa atividade foi bem interessante porque nós conhecemos novos artistas e novas obras de arte"", ressalta a aluna.  Já Maíra Karla da Silva, contou com a ajuda da irmã mais nova e as roupas dos pais para refazer uma releitura da Virgem das Uvas, do pintor francês Pierre Mignard. ""Eu usei o casaco do meu pai, a roupa da minha mãe, um lençol e a capa do sofá. Como eu estava em casa de quarentena, pensei em fazer com ela"", explica a estudante de 11 anos, da escola Manoel Noberto.  Sara Heloísa, de 12 anos, fez tudo sozinha. Com uma selfie feita no celular, ela recriou a Mulher Sentada com Joelho Dobrado, do austríaco Egon Schiele. ""Eu achava que ninguém era capaz de recriar obras, mas sim, todo mundo é capaz. É só tentar"", conta a aluna do sétimo ano do ensino fundamental.  A atividade foi desenvolvida no mês de maio pelo professor de artes Matheus Ginnini, que se diz satisfeito com o resultado dos trabalhos escolares. ""Foi bem interessante o resultado porque vários alunos, que na aula presencial tinham dificuldade de se expressar, de apresentar trabalho, mostraram uma produção bem significativa"", avalia.  O educador também participou da trabalho e fez a releitura da tela A Morte de Marat, do francês Jacques-Louis David, para estimular os alunos.  Confira outras releituras:",2020-06-02,https://g1.globo.com/rn/rio-grande-do-norte/noticia/2020/06/02/em-atividade-escolar-de-releitura-de-obras-de-arte-aluna-se-veste-de-mona-lisa-agredida-em-critica-a-violencia-contra-a-mulher-no-rn.ghtml
Aves viram arte nas mãos de bordadeiras do Espírito Santo,"Quando a natureza serve de inspiração para a arte, o resultado normalmente não decepciona. Um grupo de mulheres que vivem próximas ao Parque Nacional do Caparaó, no Espírito Santo, conseguiu, depois de quase três anos de estudo, reproduzir os detalhes das aves locais em peças impressionantes.  O artesanato fez tanto sucesso que as aves se transformam em chaveiros, bolsas, carteiras, quadros e, principalmente, em miniaturas. Tudo com a ajuda dos pontos do bordado.  O trabalho é enviado para amantes da natureza de todo o Brasil e do mundo, com pedidos exportados até para a Coréia do Sul.  Conheça mais sobre a história dessas mulheres e entenda como a atividade mudou não só a rotina delas, mas também gerou renda para as famílias dessa área tão especial do Espírito Santo.  A reportagem completa vai ao ar neste sábado (30/05), a partir das 14h, na EPTV.",2020-05-29,https://g1.globo.com/sp/campinas-regiao/terra-da-gente/noticia/2020/05/29/aves-viram-arte-nas-maos-de-bordadeiras-do-espirito-santo.ghtml
"Fechado por causa do coronavírus, Cine Arte Pajuçara lança opção de exibição de filmes online","O Centro Cultural Arte Pajuçara traz mais uma opção de entretenimento durante o isolamento social, medida para conter o avanço do novo coronavírus. Como os cinemas estão proibidos de abrir, foi firmada uma parceria com a plataforma Cinema Virtual para disponibilizar online filmes de arte que não puderam ser lançados no cinema por causa da pandemia. A iniciativa começou na quinta-feira (28).  De acordo com o coordenador do Arte Pajuçara, Marcos Sampaio, serão ofertados, inicialmente, 10 filmes de drama, comédia e ação. Ele ainda contou que cada filme tem um custo de locação, e um percentual dessas locações vai ser destinado para a manutenção do Arte Pajuçara e de sua equipe durante a pandemia.  ""Essa iniciativa é para o momento da pandemia. Os filmes que iríamos exibir vão estar disponibilizados na plataforma. Atualmente estamos cuidando da manutenção do espaço, reforma das poltronas na medida do possível em função da liberação de alguns serviços"", disse Sampaio.  Na plataforma, é possível comprar ou alugar os filmes premiados, escolhendo a opção de sala do Arte Pajuçara, no site www.cinemavirtual.com.br, que pode ser acessado do computador, celular e tablet. É necessário criar uma conta na plataforma ou vincular com o perfil de outra plataforma chamada Looke.  ""Acredito que o reinício vai ser muito lento e aos poucos é que nós vamos estar retomando a atividade normal, mas trabalhamos na perspectiva de em breve retornarmos com o Cine Arte Pajuçara"", afirmou.  Veja mais notícias da região no G1 Alagoas",2020-05-29,https://g1.globo.com/al/alagoas/noticia/2020/05/29/fechado-por-causa-do-coronavirus-cine-arte-pajucara-lanca-opcao-de-exibicao-de-filmes-online.ghtml
Museus do Vaticano reabrem para público com visitas agendadas e testes de temperatura ,"Os Museus do Vaticano reabriram ao público nesta segunda-feira (1), depois de ficarem quase três meses fechados por causa do isolamento do coronavírus.  Com algumas das maiores obras-primas da Renascença, além de artefatos romanos e egípcios antigos, os museus só podem ser visitados atualmente por meio de reservas pela internet para controlar o número de pessoas presentes ao mesmo tempo.  Os visitantes passam por um teste de temperatura feito por escâneres termais remotos e têm que usar máscaras.  Mesmo assim, é um inconveniente pequeno em troca de ser uma das cerca de 25 pessoas que visitaram nesta segunda-feira a Capela Sistina com seu teto famoso e o Juízo Final pintado por Michelangelo no século 16.  ""Os Museus do Vaticano normalmente são inacessíveis por causa das multidões enormes de turistas, particularmente estrangeiros"", disse Marisa, uma romana que não quis informar o sobrenome.  Durante o fechamento, os amantes da arte puderam visitar os museus graças a turnês virtuais, mas a maioria concorda que nada se compara à presença física.  ""É claro que uma turnê digital é importante, mas uma visita de verdade a obras de arte de verdade jamais pode ser substituída por uma turnê virtual de nosso patrimônio"", disse Barbara Jatta, diretora dos museus.  Os museus receberam cerca de 7 milhões de visitantes no ano passado e são a fonte de renda mais confiável da Santa Sé, tendo gerado estimados US$ 100 milhões anuais no passado.",2020-06-02,https://g1.globo.com/pop-arte/noticia/2020/06/02/museus-do-vaticano-reabrem-para-publico-com-visitas-agendadas-e-testes-de-temperatura.ghtml
Moradores da Ilha de Cotijuba vivem da arte da cerâmica ,"Para algumas famílias que vivem na Ilha de Cotijuba, a ceramica é o objeto de sustento de quem vive no local. Itens de decoração e muitas panelas fazem parte do dia-a-dia de quem trabalha com artesanato local. Veja a produção que é feita pela família da Maria do Socorro no vídeo:",2020-05-23,https://g1.globo.com/pa/para/e-do-para/noticia/2020/05/23/moradores-da-ilha-de-cotijuba-vivem-da-arte-da-ceramica.ghtml
Artistas de Goiás transformam máscaras em obras de arte e expõem na internet,"Por conta da pandemia, artistas plásticos, fotógrafos e pintores de tela começaram a transformar máscaras faciais em obras de arte em Goiás. São mais de 40 artistas que se reinventaram e decidiram expor na internet o trabalho por meio da Galeria Virtual de Goiás.  Além de goianos, a exposição é composta por artistas convidados de São Paulo, Rio Grande de Sul e até de Paris. O projeto foi batizado de ‘Convida’, em alusão à Covid-19, e ressalta a importância da vida com a arte, além de convidar as pessoas a conferirem a exposição.  “Espero que as pessoas visitem nossa página e vejam nossa exposição com muito amor, alegria e vida. Nós usamos o isolamento para fazer arte, levar cor e mostrar criatividade em um acessório que pode proteger você e milhões de vidas. Logo tudo isso vai passar”, diz o curador da exposição, Gutto Lemes.  Dalmo Antônio é artista retratista e não se imaginava pintando máscaras. “Nunca pensei em pintar uma máscara. Minha arte é bem distinta, sou retratista. Mas está sendo interessante participar do projeto”, afirma Dalmo.  As máscaras são feitas de algodão, cetim e até mesmo de material reciclável. Há acessórios com várias pinturas, desde o art déco com o desenho da mureta do Lago das Rosas, em Goiânia, à arte abstrata. Alguns profissionais ainda se inspiraram em máscaras usadas pelos médicos do século 17 durante a pandemia da peste negra.  Os desenhos são pintados a mão sobre as máscaras, seja com canetinha, acrílico ou aquarela. Há também imagens feitas por fotógrafos que são impressas e reproduzidas no tecido das máscaras.  Gutto Lemes, que também é artista plástico, conta que viu na internet uma forma de expor o trabalho, pois, devido ao isolamento social, não haveria outra maneira de as pessoas terem acesso à arte.  Após a pandemia, a exposição será realizada de forma presencial. Gutto disse que a intenção é divulgar o projeto por diversas cidades e países.  “Recebi convite de uma artista plástica para expor as máscaras nos Estados Unidos após a pandemia. A exposição está aberta para receber apoio de empresas, principalmente da área da saúde, para que possamos dar amplitude ao trabalho artístico deste momento de pandemia e ainda ajudar os artistas participantes. Posteriormente, parte das máscaras será vendida, e o dinheiro arrecadado será revertido em doação de cestas básicas"", ressalta Gutto.  Veja outras notícias da região no G1 Goiás.",2020-05-25,https://g1.globo.com/go/goias/noticia/2020/05/25/artistas-de-goias-transformam-mascaras-em-obras-de-arte-e-expoem-na-internet.ghtml
Artista leva o lúdico de suas obras de arte para a vida real e mostra que é possível até soltar pipa no ventilador,"Assim como muitas pessoas que tiveram que pausar as atividades do dia-a-dia por conta da pandemia de Covid-19 e adaptar suas rotinas com atividades a distância, o artista plástico Ivan Cruz, de 72 anos, está usando a internet para matar a saudade dos familiares que não pode ter por perto e para ensinar para as crianças como se divertir mesmo sem poder sair de casa.  Ele mostrou que é possível até soltar pipa no ventilador.  Ivan é conhecido por suas obras que buscam valorizar as brincadeiras de infância por meio da arte e, durante a quarentena, o artista deu vida às suas obras e levou o lúdico das pinturas para a vida real.  Pela internet, o artista ensinou o passo-a-passo de como fazer a pipa com materiais simples que podem ser encontrados em casa.  Ele já ensinou a fazer peteca usando apenas jornal, revista e barbante. Para fazer a pipa, precisa apenas de uma folha de papel, linha e o ventilador para produzir os ventos.  Ele mostra em vídeo o passo-a-passo de como fazer a pipa, que ele chama de ratinho.  Ivan Cruz é carioca e escolheu Cabo Frio, na Região dos Lagos do Rio, para viver em 1979. O artista possui mais de 600 obras entre pinturas e esculturas que retratam as brincadeiras de infância.  O artista pintou seus primeiros quadros em 1990. As primeiras pinturas logo se tornaram uma série que intitulou como “Brincadeiras de Criança” retratando em telas cenas de suas lembranças da infância no subúrbio do Rio.  Ivan é avô do Zach e do Adham. Para lidar com a saudade, eles combinaram de conversar sempre por vídeo.  A filha do Ivan, Ludmila Guerra, falou com o G1 sobre a relação dos meninos e dos avós.  “Eles já trocavam vídeos no dia a dia, as trocas foram intensificadas pois os encontros de domingo em família, estão suspensos por conta da pandemia. Meu pai é muito ativo, estamos tentando preencher a ausência com ligações e carinho virtual”, disse a Ludmila completando que espera, com calma e responsabilidade, que tudo melhore para que os abraços presenciais voltem a ser longos e calorosos.  Ivan Cruz é Carioca, tem título de cidadão de Cabo Frio, Búzios e Arraial do Cabo. Escolheu Cabo Frio para morar em 1979. O artista plástico pintou seus primeiros quadros em 1990, as primeiras pinturas logo se tornaram a série que intitulou como “Brincadeiras de Criança” retratando em telas cenas de suas lembranças da infância no subúrbio do Rio. Em pouco tempo se tornou um projeto aonde a arte caminha junto à educação. Suas obras são estudadas na sala de aula através de livros didáticos publicados por mais de 60 editoras.  Ivan já tem mais de 600 quadros, 30 esculturas em tamanho natural em praças públicas, 27 esculturas médias, 37 esculturas em miniaturas e muros das brincadeiras em todo Brasil.  Veja outras notícias da região no G1 Região dos Lagos.",2020-05-27,https://g1.globo.com/rj/regiao-dos-lagos/noticia/2020/05/27/artista-leva-o-ludico-de-suas-obras-de-arte-para-a-vida-real-e-mostra-que-e-possivel-ate-soltar-pipa-no-ventilador.ghtml
Projeto audiovisual tem inscrições abertas para artistas de Santos ,"O projeto audiovisual Hora da Cultura Digital recebe o credenciamento de artistas de Santos, no litoral de São Paulo, até o próximo dia 9. O programa exibirá apresentações artísticas e culturais, além de produções audiovisuais, nos canais eletrônicos da prefeitura.  Para se inscrever no projeto, os interessados devem apresentar propostas de apresentações artísticas e culturais, relacionadas à música, circo, dança, teatro, contação de história, literatura, artes visuais e audiovisual, como curtas metragens e webséries. Os profissionais devem ser maiores de 18 anos e morar em Santos há pelo menos seis meses.  As propostas devem ser encaminhadas para o e-mail horadaculturadigital@gmail.com, onde os artistas poderão enviar as dúvidas a respeito do programa. A seleção será realizada pela comissão formada por representantes do Conselho Municipal de Cultura, Câmara Municipal de Santos e da Secretaria Municipal de Cultura.  Aqueles te tiverem as propostas selecionadas, serão contratados e vão receber um benefício de R$ 650. Mais informações sobre o projeto Hora da Cultura Digital, estão disponíveis no edital disponibilizado no Diário Oficial.",2020-06-02,https://g1.globo.com/sp/santos-regiao/noticia/2020/06/02/projeto-audiovisual-tem-inscricoes-abertas-para-artistas-de-santos.ghtml
