Título,Notícia,Data,Link
Crônica | Não patrulhem a arte e as fantasias,"Eu fazia mestrado em cinema na Universidade de Columbia e o professor de direção nos passou um exercício de plano sequência. Ou seja, filmar uma longa cena sem cortes, numa só tomada. Lembrei-me do conto “Estranhos” do Sérgio Sant’Anna, publicado numa antologia dos melhores contos brasileiros do século.Filmei um plano que vai do momento em que o casal de estranhos entra no apartamento até o momento em que ela tira a roupa, para espanto dele. O professor gostou. Disse que eu deveria terminar aquele curta como trabalho do semestre. Eu disse que preferia fazer algo pessoal, que eu mesmo já tinha escrito. Ele ficou irritadíssimo — disse que essa adaptação era importante e pessoal, mesmo que eu não percebesse ainda.Batizei o curta de “La muerte es pequeña”, a partir da passagem final do conto. O professor disse pra eu mandar pro festival de Sundance. Mandei e entrou, mas eu não tinha a autorização do Sérgio. Voltei pro Rio e o procurei. Ele ficou P da vida no telefone; disse que já tinha negociado os direitos do conto com outro diretor, que eu não tinha direito de fazer aquilo. Pedi desculpas, expliquei a situação, pedi para lhe mostrar o curta, pelo menos. Ele me deu seu endereço em Laranjeiras. Isso foi no final de 2005. Nessa época, estava recebendo no Rio o cineasta russo Kirill Mikhanovsky, que levei a tiracolo, como um escudo.Antes de mostrar o curta ao Sérgio, ele e Kirill se conectaram em torno da literatura russa, paixão comum dos dois. O afeto instantâneo entre os dois me salvou. Quando finalmente dei play no curta, Sérgio já estava feliz, pronto para gostar do que estava por vir. E de fato ele gostou e autorizou.Ali iniciou-se uma amizade esporádica, mas constante. Nos encontrávamos uma ou duas vezes por ano e conversávamos sobre possíveis adaptações que nunca saíram do papel: O monstro, O livro de Praga, Anjo noturno. Lembro-me do arroz de lula da esquina da Rua Alice, que ele tanto amava. Dos seus papéis meticulosamente preenchidos a mão, sem qualquer espaço sobrando, zero desperdício. Do seu sorriso largo e da sua vontade de ouvir histórias, de preferência as amorosas. Sérgio tinha uma aversão danada a todo tipo de fascismo, assim como detestava o politicamente correto. De fato, ele cabia cada vez menos nesse mundo do fascismo, por um lado, e da patrulha, do outro. Ele continuava correndo atrás de suas musas e damas de branco, mulheres muitas vezes maternais, num sopro alucinante de perversão. Como diria Pasolini, a perversão é um direito. Sérgio habitava esse seu direito.Lembro de um conto chocante em que ele descreve o momento do estupro incestuoso pelo ponto de vista da mãe. O momento exato em que ela decide parar de resistir, em nome do amor ao filho.  Aos escandalizados, Sérgio poderia dizer: patrulhem a ação, não a arte. A arte é o lugar da exceção impossível, regida pelo inconsciente. Não venham patrulhar nossas fantasias, por mais perversas que sejam.Quando Sérgio foi internado, peguei na estante O concerto de João Gilberto no Rio de Janeiro, primeiro livro dele que li, e reli a dedicatória que um amigo me fez: “Nos dizeres de Rui Barbosa, ‘a pátria é uma família amplificada.’ Nestes termos, saudades do Brasil não é sentimento eletivo, ao contrário, é compulsório. Para que te rememores nos seus piores tédios, esse livro é bom consolo. E, ainda assim, nos traz um alento: de que o Brasil, se não puder ser salvo pelo silogismo, o será pela anedota.”A maior das anedotas talvez tenha sido sua passagem no dia das mães, esse 10 de maio terrível que nos fez chorar. Afinal, sua obra é contaminada por uma fúria edipiana cada vez mais consciente. Fico com uma de suas derradeiras imagens, Sérgio em primeira pessoa mamando no colo da apresentadora do genial ""Talk Show"", seu conto preferido de seu último livro publicado, O Anjo Noturno. Mais uma de muitas Pietás que atravessam sua obra, o anjo noturno reencontrando sua mãe.Fellipe Barbosa é cineasta. Dirigiu “Laura”, “Casa Grande”, “Gabriel e a montanha” e “Domingo” (em parceria com Clara Linhart).Os textos do tributo a Sérgio Sant'Anna:",2020-05-20,https://epoca.globo.com/colunistas/cronica-nao-patrulhem-arte-as-fantasias-24436431
Crônica | Quem se destaca na arte?,"Há algo de perturbador nos esqueletos. Uma espécie de delírio de honestidade em todos aqueles contos, novelas e romances. Sempre penso na obra de Sérgio Sant’Anna como advinda do momento mais potente da nossa arte. Refiro-me ao rigor construtivista surgido na década de 1950. Ele abandonava, mas com dialética, certa fragilidade romântica modernista e se agarrava ao contemporâneo com muita fome.Nas artes plásticas, foram o concretismo e o neoconcretismo; na arquitetura, Niemeyer; na música, a Bossa Nova de João Gilberto e Tom; no cinema, Glauber Rocha; no teatro, o TBC e Nelson Rodrigues; e na literatura, João Cabral, Dalton Trevisan, Rubem Fonseca e o corpo estranho dentro desse minimalismo de Guimarães Rosa.Todos esses artistas eram mencionados e admirados por Sérgio. Ele os absorvia como esponja. De par com isso, viveu intensamente. De poucos escritores é possível falar que viveram sua própria obra e se jogaram tanto nela quanto ele.Mesmo quando nos últimos anos mal saía de seu apartamento em Laranjeiras, não vivia em torre de marfim, pois sua imaginação era tão vibrante quanto sua vida, marcada por grandes paixões: mulheres, futebol, corridas de cavalo, Duchamp, Satie, Godard e os inumeráveis amigos ligados à arte, como o compositor Fernando Brant, o poeta Sebastião Nunes, o músico Jorge Mautner, os diretores Antunes Filho e Bia Lessa, a artista plástica Cristina Salgado, entre muitos outros. Deles sorveu o que podia e retribuiu na mesma medida.Foi esse trânsito entre gêneros a água a mover o moinho da ficção de Sérgio Sant’Anna. Não à toa, entre os 20 livros publicados em vida, seu preferido era A Tragédia Brasileira; obra inclassificável, deslizando entre romance, teatro e confissão biográfica. Nesse livro – também o meu predileto -, a presença do autor se insinua o tempo todo, embaralhando o foco narrativo de forma vertiginosa.E aqui volto ao começo: àquela perturbação causada em mim pelos esqueletos. Uma das características da arte construtiva era mostrar a quem a observa os caminhos percorridos pelo artista durante sua produção. Sérgio, em graus variáveis, fez uso disso em todos os seus livros – à exceção de O Sobrevivente (sua estreia em 1969); não por acaso tratado imerecidamente com descaso por ele.Mesmo em títulos como Amazona e Crime Delicado, de estilo indireto na terceira pessoa, o autor-narrador está presente. Essa pirueta confunde e perturba, e talvez decorra disso o fato de um autor de sua estatura ser tão pouco lido. Para alcançar essa sofisticação, Sérgio escrevia devagar, conquanto escrevesse o tempo todo. E não terá sido sem sofrimento que se atirava tanto nas suas narrativas. A ponto de revelar angústia ao escrevê-las. Mas essa história nunca me convenceu e um dia disse isso a ele. Sérgio riu e falou: “Talvez você tenha razão, mas eu desconfio de quem tem razão.”Cada um de nós ergue sua hierarquia em arte, assentada em afinidades e numa série interminável e inescrutável de outros motivos. Sempre me aborreceu ouvir sobre o maior ou melhor artista em seu gênero, pois raramente esses rótulos coincidiam com meu gosto. Mas quando Sérgio foi embora há uma semana, eu escrevi para mim mesmo: morreu o maior escritor brasileiro da minha época.André Nigri, mineiro de Belo Horizonte, é jornalista e autor da novela ""Paralisia"" (Editora Reformatório, 2018). Mora em São Paulo. Nos últimos dois anos frequentou e se correspondeu com Sérgio Sant’Anna.Os textos do tributo a Sérgio Sant'Anna:",2020-05-22,https://epoca.globo.com/colunistas/cronica-quem-se-destaca-na-arte-24439002
ARTIGO | Comida simples é poesia em tempos de isolamento social,"O escritor colombiano Hector Abad exaltava a comida boa e simples comparando-a com os bons poetas: estes últimos nos curam do “excesso de palavras”, assim como a comida simples e essencial nos cura da saturação da gula.É difícil encontrar poesia em tempos de isolamento social. Os poetas tardam a aparecer para nos salvar do “excesso de lives”, mas a boa comida tem nos salvado. O cheiro de um bolo simples de chocolate invade os cômodos da casa e contamina sensorialmente os sentidos e, mesmo que por um breve tempo, nos cura da saturação das incertezas que nos cerca.Roland Barthes explica em “A cozinha dos sentidos” que lemos o mundo e damos algum significado a ele por meio dos sentidos, que assim como na cozinha, nunca se encontra de modo isolado, pois todos os sentidos são postos a prova conjuntamente para a leitura de um nova receita culinária.O cheiro do bolo simples de chocolate não aparece no stories do instagram e é por essa razão que a foto postada deve ser suficientemente bonita para captar “todos os sentidos” e ser lançado como signo nas redes sociais, projetando significantes sociais pretendidos para um amplo público.O exemplo do bolo não é sem razão, uma vez que tem crescido significativamente a procura por receitas culinárias nesses tempos de quarentena. Receitas de bolo e de pão são as mais buscadas nos últimos dois meses e meio, de acordo com pesquisa realizada no Google Trends. Esse fenômeno de ampliação de buscas por receitas pela internet é um fenômeno global, principalmente nos espaços geográficos de grande valorização culinária. A busca por receitas de pizza na Itália, por exemplo, cresceu dez vezes.Alguém poderia me interromper e dizer que esses fatos não são nada surpreendentes, pois o isolamento impede a liberdade das pessoas frequentarem os restaurantes e isso incentiva a troca por uma “gastronomia privada”. Posso até concordar, mas me interessa saber os significados desse fato, os novos signos que o ato de cozinhar em casa pode produzir ou representar e se essas mudanças serão em algum nível permanentes na sociedade.A história da gastronomia acompanha as transformações sociais mais significativas ao longo do tempo. Foi com a revolução francesa que a considerada “alta cozinha” abandonou a corte, instaurando os restaurantes modernos, nos quais a burguesia e até mesmo parte das classes populares passaram a experimentar a arte culinária do século anterior.No final do século 19, ocorre uma segunda revolução na arte de comer fora de casa, associada à maior urbanização, à modernização dos transportes, às novas classes médias e ao surgimento do turismo de luxo. Isso provocou um crescimento extraordinário dos restaurantes e da própria arte da gastronomia e, simultaneamente, o mesmo processo gerou uma sociedade de consumo, na qual até mesmo o mais inocente ingrediente culinário se torna signo de prestígio e diferenciação social.A complexidade de cores, sabores e cheiros da “alta cozinha” ainda é lida como arte para uma parcela diminuta da sociedade. A comida gourmet produzida em escala industrial e transmitida exaustivamente pela tevê não foi capaz de democratizar a “arte” da boa comida, afinal, por própria definição, o luxo nunca pode ser democratizado.Esse aspecto se tornou ainda mais flagrante quando convivemos em um país em que cresce o número de pessoas que não conseguem dormir sem ouvir o barulho de comida na boca para sossegar a alma. Nenhuma arte sobrevive por muito tempo quando, ao invés de provocar os sentidos mais íntimos, verdadeiros e humanos, ela busca se colocar como objeto de ostentação, que apenas nos deixam mais famintos.Talvez alguém ache ingenuidade acreditar que a comida simples pode nos salvar, mesmo sendo visível os impulsos para publicizá-las no único espaço “público” que nos resta. Sim, a comida simples pode ser um acalanto para tempos de ininterruptas desilusões, aquela que nos faz recuperar a receita da mãe ou da avó, esquecida na gaveta, que nos faz aprender a enxergar os sentidos deslembrados da cozinha, que resgata o sentido de querer partilhar com todos que é bom.Desejo que o cheiro de pão caseiro ou de bolo de chocolate ou de qualquer outra receita nova ou tradicional  invada todos os pequenos espaços que nos rodeia e recupere os ânimos dos verdadeiros poetas, que necessitamos tanto nesses tempos difíceis.*Valter Parmieri Júnior é professor e economista, é doutor em Desenvolvimento Econômico pela Unicamp e autor da Tese: “Gourmetização em uma sociedade desigual”",2020-05-31,https://epoca.globo.com/artigo-comida-simples-poesia-em-tempos-de-isolamento-social-24452457
Arte amazônica sob os auspícios da ayahuasca,"O chá da ayahuasca deu mais que mirações, as visões “espirituais” produzidas pelo nixi pae, que significa “luz que vem do cipó”, para os índios huni kuins. Obras de arte produzidas por eles sob o efeito do alucinógeno, que seriam a representação em tela dos cantos e músicas de seu povo, deixaram a remotíssima aldeia indígena na fronteira do Peru com o Acre para ganhar destaque em algumas das galerias mais renomadas da França. Só em exposições e vendas, os indígenas já amealharam mais de R$ 300 mil. Depois do sucesso de exposições realizadas na Fundação Cartier, em Paris, e no Palácio de Belas Artes de Lille, também na França, eles agora negociam convites de museus em Nova York e Munique em 2020.ÉPOCA localizou o “txai”, que significa “mais que amigo, mais que irmão”, responsável por essa façanha depois de pegar dois voos para chegar ao Jordão, município no Acre com 7 mil habitantes e o sétimo pior Índice de Desenvolvimento Humano (IDH) do país, e em seguida navegar por mais oito horas de canoa até a Aldeia Xiku Kurumim. A reportagem foi recebida pelo cacique Ibã Isaías Sales com o mantra “Haux, haux”, forma de cumprimento ou agradecimento em hãtxa kuin, a língua local. Praticamente toda conversa começa e termina com a expressão. O termo também remete à saudação espiritual “Que venha a cura”.“As obras dos huni kuins chamaram a atenção da Fundação Cartier depois que um cacique colocou as imagens nas redes sociais. O museu comprou 32 peças, por um valor total de € 25 mil”Um dos mais respeitados líderes entre as 32 aldeias caxinauás (como a Funai se refere aos huni kuins) que habitam as margens do Rio Jordão, o cacique passou metade de seus 56 anos em busca dos cantos de seus antepassados e das histórias contadas por anciãos. Graças a um aparelho de MP3 que ganhou de um estrangeiro, começou a entrevistar seus parentes mais antigos, bisavós entre eles, e a gravar as músicas para depois ouvir e transcrever as letras. As mirações da ayahuasca deram o colorido que os huni kuins precisavam para ilustrar seus cantos e histórias, que se tornaram verdadeiras obras de arte. “Nossas pinturas vêm das falas mais antigas de nosso povo, das explicações dos cantos, da música e dos ensinamentos espirituais da ayahuasca. Mergulhei em nossa língua (hãtxa kuin) e comecei a estudar e aprender uma maneira de pintar para poder explicar para aqueles não indígenas entenderem”, recordou Sales, com a voz serena. “Nas músicas em nossa língua eu entendo o que falo, mas vocês não entendem. Por isso há muitos detalhes, muita luz e muito colorido nas pinturas que estamos fazendo”, afirmou.A ascensão de artistas huni kuins começou quando Sales, que tem mestrado em antropologia pela Universidade Federal do Acre, criou um coletivo de pesquisadores dedicados aos estudos dos cantos rituais de seu povo. Surgiu então, em 2011, o Movimento dos Artistas Huni Kuin (Mahku), hoje com 12 integrantes. A divulgação das telas nas redes sociais chamou a atenção de um representante da Fundação Cartier, que convidou Sales e alguns artistas, entre eles um de seus filhos, Txana Bane Huni Kuin, para apresentar, três anos depois, uma exposição em Paris.O resultado foi animador: 32 obras ficaram no museu, ao preço total de € 25 mil. O dinheiro foi usado para o pagamento dos artistas e na compra de materiais para novas obras, como tintas, telas e tecidos. Naquele mesmo ano, durante uma exposição no antigo Hospital Matarazzo, em São Paulo, a venda de uma tela de 5 metros de comprimento por 3 metros de largura denominada Nai mãpu yubekã, por R$ 40 mil, possibilitou a compra de 6 hectares de terra, o equivalente a 60 mil metros quadrados.O objetivo das vendas é comprar terras para preservar a floresta da ação de madeireiros e resgatar e preservar a cultura de seu povo, explicou Sales. “Compramos, perto de nossa aldeia, uma parte que ainda não estava homologada pelo governo. Queremos comprar mais lotes, construir novas casas e melhorar a vida em nossa aldeia”, afirmou o cacique, que comemora a construção de poços artesianos para fazer a água chegar até Xiku Kurumim.“Nossa proposta segue sendo esta: faz tela, compra terra. Melhor comprar de pedacinho em pedacinho e fazer casa para ajudar o povo.” Questionado se as ameaças do governo Jair Bolsonaro de rever algumas demarcações em terras indígenas preocupam o povo huni kuin, o cacique Sales demonstrou resignação: “Aqui no Jordão pensamos muito no que faremos quando essa ameaça chegar. Mas não é só agora que o governo mudou e está nos prejudicando, não. A vida inteira foi esse massacre, todos os governos fizeram esse massacre, preconceito, discriminação, isso não tem fim”.O grupo Mahku tem origem na pesquisa da bebida sagrada que vem de gerações e gerações até chegar ao pai do cacique:  Romão Sales Tuin.A Aldeia Xiku Kurumim tem hoje cerca de 130 habitantes divididos em 24 famílias. O povo huni kuin se destaca pela excelência nas pinturas corporais, no uso de cocares de penas de arara e na habilidade para a caça e a lavoura. Eles plantam de tudo um pouco: mostarda, milho, amendoim, abacate, temperos, tomate, bananas, maxixe, açaí e mandioca, de onde fazem a farinha, presente em todas as refeições.Estão integrados a uma área de 23 mil hectares destinada aos povos catuquinas e caxinauás, cuja regularização e reconhecimento pelo governo federal se deu no início dos ano 1990, mesmo período em que o Jordão ganhou status de município, após um período áureo da extração de borracha. Haux, haux.",2020-03-13,https://epoca.globo.com/cultura/arte-amazonica-sob-os-auspicios-da-ayahuasca-24302187
O que é o movimento 'Somos 70%' e outras iniciativas da sociedade civil contra o governo Bolsonaro?,"Na semana passada, o economista Eduardo Moreira participava de um debate transmitido ao vivo no YouTube, em que discutia se o governo Jair Bolsonaro era sustentável.Números de uma pesquisa Datafolha publicada naquela quinta (28/05) foram divulgados no meio do debate.O levantamento mostrava que a rejeição a Bolsonaro havia crescido ao longo do mês em meio às crises sanitária, política e econômica no Brasil.A pesquisa feita nos dias 25 e 26 mostrava que 43% dos brasileiros consideravam o governo ruim ou péssimo, 33% ótimo ou bom, 22%, regular e 2% não sabiam.Foram ouvidos 2.069 adultos, com margem de erro de dois pontos percentuais.Ouvindo a live, um usuário comentou: ""Já está claro que 33% não se convence, se vence"".Foi a senha para que caísse uma ficha para Moreira. ""É verdade, a gente nunca fala dos 70%. Caramba, 70% no Brasil é gente para caramba. Os 70% não estão parecendo, estão com medo. Então eles nunca conseguem se perceber como 70%. Os 30% se acham 70% e os 70% se acham 30%.""E foi então que começou o movimento ""Somos70porcento"", uma hashtag que se espalhou nos dias seguintes em redes sociais e que se junta a outras iniciativas suprapartidárias que surgiram nos últimos dias em defesa da democracia e contra Bolsonaro.O presidente e aliados têm feito discursos a favor de uma eventual ruptura institucional - e é principalmente em defesa da democracia, da Constituição e do Estado de Direito que esses grupos surgiram.Além dos Somos70%, há o movimento Estamos Juntos, lançado no sábado (30) e com 258.686 assinaturas até o início da tarde desta terça (02).O movimento publicou um manifesto no sábado em uma página inteira na edição impressa de jornais. ""Somos mais de dois terços da população do Brasil e invocamos que partidos, seus líderes e candidatos agora deixem de lado projetos individuais de poder em favor de um projeto comum de país"", diz o manifesto do grupo, que teve como signatários iniciais personalidades como Caetano Veloso, o youtuber e empresário Felipe Neto e o ex-presidente Fernando Henrique Cardoso, entre outros. Também teve apoio do ex-ministro da Saúde de Bolsonaro Luiz Henrique Mandetta.""Esquerda, centro e direita unidos para defender a lei, a ordem, a política, a ética, as famílias, o voto, a ciência, a verdade, o respeito e a valorização da diversidade, a liberdade de imprensa, a importância da arte, a preservação do meio ambiente e a responsabilidade na economia.""O Estamos Juntos também criou diversos grupos de WhatsApp para diferentes Estados do Brasil, com link público no site do movimento - tática dos bolsonaristas na campanha de 2018. Até hoje, o WhatsApp é visto como uma rede onde apoiadores do presidente se articulam.Outro movimento, chamado Basta!, foi lançado por advogados e juristas no domingo (31). O manifesto do grupo, com mais de 600 assinaturas quando foi divulgado, dizia que o país é ""jogado ao precipício de uma crise política quando já imerso no abismo de uma pandemia que encontra no Brasil seu ambiente mais favorável, mercê de uma ação genocida do presidente da República"". Hoje, já tem 30 mil assinaturas.No dia seguinte à live de que participou, o economista Moreira tuitou ""Somos os 70%"". O tuíte teve 1,3 mil retuítes e 12,8 mil curtidas. Segundo o jornal O Estado de S. Paulo, a hashtag #Somos70PorCento chegou a ocupar o terceiro lugar entre os assuntos mais comentados do Twitter no fim de semana.Somos os 70% Moreira, um economista carioca de 44 anos, tem 380 mil inscritos em seu canal de YouTube, em que dá dicas de finanças e faz lives sobre economia e política, e 135 mil seguidores no Twitter.""Estabeleceu-se um consenso até e talvez principalmente na esquerda, que com esses níveis de popularidade, não dá para fazer muita coisa. Então, nós temos que esperar a popularidade do Bolsonaro cair até que a gente tenha o poder de entrar com impeachment… E isso é para mim a maior de todas as derrotas porque esse esperar, na situação que a gente tá vivendo, é muito caro. É muito caro em número de vidas"", disse ele na live de quinta (28).""Como não é a hora? É mais do que a hora. Já passou da hora. A gente precisa desse choque de realidade porque a panela está fervendo. (…) O mundo inteiro está vendo e aqui a gente não tá vendo. Já tá muito quente, vai todo mundo morrer nessa panela.""No dia 30, a apresentadora Xuxa Meneghel aderiu ao movimento. ""Somos70porcento"", tuitou.#Somos70porcento 🇧🇷 https://t.co/IL190N6YjK Marina Silva uniu os três movimentos suprapartidários em um só tuíte: ""#Juntos #Somos70porcento #Basta! Que surjam outras canções em defesa da vida, da dignidade humana, do desenvolvimento sustentável e da democracia"".Esses movimentos surgidos nos últimos dias começam a tomar uma forma contra o governo de Bolsonaro, que vem causando e enfrentando crises.No domingo, setores de torcidas organizadas que se denominam como antifascistas foram às ruas no Rio de Janeiro, São Paulo e outras cidades brasileiras, somando-se aos movimentos online da sociedade civil.Um crítico dos movimentos é o ex-presidente Luiz Inácio Lula da Silva. Segundo a Folha de S.Paulo, ele criticou os manifestos em uma reunião do PT na segunda-feira. ""Li os manifestos e acho que tem pouca coisa de interesse da classe trabalhadora. Não se fala em classe trabalhadora, nos direitos perdidos"", disse o ex-presidente, segundo a Folha.",2020-06-02,https://epoca.globo.com/brasil/o-que-o-movimento-somos-70-outras-iniciativas-da-sociedade-civil-contra-governo-bolsonaro-24458977
Crônica | Limites do excepcional e do fantástico,"Com Sérgio Sant'Anna o conto brasileiro atingiu um patamar efetivamente superior, desafiado em seus limites de gênero por um autor que se revelou um mestre nesse território. As circunstâncias, nas suas narrativas, são sempre de início fortuitas e aparentemente simples, mas aos poucos mostram-se inseridas numa cadeia de fatos fatalmente e sinistramente interligados.É essa necessidade intrínseca que conduz o relato de Sant'Anna, sempre no estilo contido, preciso e tensionado, aos limites do excepcional e do fantástico sem nunca abrir mão do realismo. Abre-se com frequência uma passagem pelo afeto amoroso, pelo encontro cruel dos corpos e por uma sensibilidade vulnerável atiçada pela presença da transgressão erótica e pela proximidade da morte violenta.O que seduz e fascina na sua arte narrativa é a insuficiência de qualquer proposta de interpretação diante da potência do enigma e da construção rigorosa de sua realidade incerta.Karl Erik Schøllhammer é crítico e professor titular de literatura da PUC-Rio, autor de ""Ficção Brasileira Contemporânea"" (2009) e ""Cena do Crime - Violência e Realismo no Brasil Contemporâneo"" (2013), ambos publicados pela Civilização Brasileira.Os textos do tributo a Sérgio Sant'Anna:",2020-05-20,https://epoca.globo.com/colunistas/cronica-limites-do-excepcional-do-fantastico-24434303
Crônica | Um homem genuinamente simples,"O que mais chamou a minha atenção ao ouvir o Sérgio Sant’Anna falar sobre sua vida e seus livros, aos 78 anos, foi a sua completa falta de ressentimento. Ele sabia que tinha realizado algo na vida, mas sabia de um jeito calmo e seguro, sem pompa, sem vaidade.Como se não bastasse ser um dos maiores escritores brasileiros vivos, ali estava um homem genuinamente simples. Em fevereiro deste ano, na Biblioteca Mário de Andrade, em São Paulo, Sérgio participou de uma mesa pela última vez.Voltei para casa muito impressionada com a sua grandeza. Naquela noite, ele disse uma frase que é uma verdadeira lição para qualquer escritor: ""Quem acha que escreve bem é porque leu pouco"".Alice Sant’Anna é autora de ""Rabo de baleia"" (2013, Cosac Naify) e ""Pé do ouvido"" (2016, Companhia das Letras). Como editora na Companhia das Letras, trabalhou nos dois últimos livros de Sérgio Sant'AnnaOs textos do tributo a Sérgio Sant'Anna:",2020-05-17,https://epoca.globo.com/colunistas/cronica-um-homem-genuinamente-simples-24429883
Crônica | Somos menos pobres graças ao que Sérgio Sant’Anna nos deixou,"Em 2013, na Feira de Frankfurt na qual o Brasil era homenageado, tive a honra de dividir a mesa com o mestre Sérgio Sant'Anna, levado no último domingo pela Covid-19. Não perdi a chance de dizer que estava ao lado de um dos maiores escritores em atividade do mundo. Aquele Brasil ruiu de vez naquela ocasião, com o vexatório discurso de abertura do então vice-presidente, o golpista nanico, chegando ao extremo atual, em que vemos na presidência um anão sem ânus (como definiu o Nuno Ramos).O Sérgio se opunha a tudo isso, a essa imensa tragédia brasileira que estamos vivendo. É muito triste perdermos um artista tão grande no auge da capacidade criativa. E que responsabilidade a nossa, não somente de leitores e escritores, mas dos cidadãos, de combatermos o que aí está, o ódio, a burrice, a perversidade, e fazermos justiça à obra do Sérgio. Hoje somos menos pobres graças ao que Sérgio Sant’Anna nos deixou.Joca Reiners Terron (Cuiabá, 1968) é escritor. Publicou “A morte e o meteoro” (Todavia) em 2019.Os textos do tributo a Sérgio Sant'Anna:",2020-05-21,https://epoca.globo.com/colunistas/cronica-somos-menos-pobres-gracas-ao-que-sergio-santanna-nos-deixou-24436601
Crônica | O herói literário da minha geração,"O Sérgio foi o herói literário da minha geração, meio Mick Jagger carioca, meio Bukowski light, e sempre totalmente cool. (Sim, eu sei que ele era mineiro.)Mas, pra mim, nos anos 80, o Sérgio era o pai bacana do meu amigo André que, por morar sozinho com ele, ainda por cima tinha o apê ""liberado"" grande parte do tempo. Aliás, mesmo quando o Sérgio estava em casa, a sensação de um espaço ""liberado"" permanecia, pois ele conversava conosco sem nenhuma condescendência. Lá, por ele, fui apresentado a Mingus, Parker, Thelonius, Fante, Jarry e Godard. Literatura, música, cinema, conversa o tempo todo e, aqui e ali, um esporro light: ""não precisa fumar maconha em casa, né, galera?""Lembro que li ""O Concerto de João Gilberto no Rio"" meio de tiração de onda adolescente; depois, ler Sérgio Sant'Anna virou uma obsessão.Eu e André Sant'Anna roubamos o título do nosso primeiro curta em Super-8 de uma passagem de um livro dele, ""O Circo"": ""Devaneios de um Vã-Guardião de Nossas Artes e Letras, Submerso na Subversão dos Versos, Saques Poéticos, Sexualidades e Politicanagens"". Claro que não pensamos nisso na época, mas o verso tem um quê de epitáfio involuntário -- tudo do Sérgio era pessoal e premonitório. Sérgio nos ensinou (mas sem essa de ""ensinar"" de um jeito acadêmico) que alguma pretensão, se não levada muito a sério, é sempre boa, que a alternativa é a mediocridade.Sérgio narrou meu primeiro curta ""profissional"", o ""Vaidade!"", que fiz com o David F. Mendes e, anos depois, David dirigiu um longa, que coproduzi, baseado no ""Um Romance de Geração"", com o próprio Sérgio em cena.Tive sorte, por causa do André, gênio também, de ser próximo do Sérgio. Sérgio e André me fizeram muito quem eu sou. Todos tivemos a sorte de termos seus livros. Essa sorte ainda temos. Ele é foda.Vicente Amorim é diretor de cinema e televisão.Os textos do tributo a Sérgio Sant'Anna:",2020-05-18,https://epoca.globo.com/colunistas/cronica-o-heroi-literario-da-minha-geracao-1-24433121
Crônica | O gosto pelo sombrio,"O Sérgio Sant’Anna estava sempre buscando, investigando. A impressão é de que não gostava de se repetir. O concerto de João Gilberto no Rio de Janeiro, O voo da madrugada e O homem-mulher, meus livros favoritos, unem contos realistas perfeitos e experimentações assombrosas. Sérgio era uma figura muito generosa. Assim que terminei de escrever o Sebastopol, enviei a ele. Eu não o conhecia, tínhamos nos falado uma única vez, há tempos.Não demorou, ele me escreveu de volta, uma mensagem brutalmente carinhosa, comentando o livro. Um ano e meio depois, em janeiro último, recebo um novo e-mail do Sérgio, que começava assim: ""estou cheio de livros aqui para ler, mas não me animei com nenhum, aí resolvi reler o seu livro"".Conto isso porque é esse tipo de abertura e delicadeza, e sobretudo amor por essa vida paralela chamada literatura, que o mundo perde com a morte do Sérgio. Um aspecto que sempre me chamou atenção nos seus livros e que não é tão comentado tem a ver com um certo gosto pelo sombrio, por tudo aquilo que é obscuro na alma humana.Talvez ele tenha diagnosticado sempre tão bem a vida brasileira porque, leitor intenso de Machado e Poe (""O corvo"" era um dos seus poemas preferidos), ele foi também um grande autor de histórias de horror. Quem acha que escreve bem é porque leu pouco, costumava dizer.Emilio Fraia é escritor e editor, autor de “Sebastopol” (Alfaguara), entre outros.Os textos do tributo a Sérgio Sant'Anna:",2020-05-18,https://epoca.globo.com/colunistas/cronica-o-gosto-pelo-sombrio-1-24433117
