Título,Notícia,Data,Link
Técnicos serão treinados para trabalhar no laboratório de testagem de covid-19 em Santarém,"Técnicos que trabalharão no Laboratório de Biologia Molecular (Labimo) que funcionará nas dependências do Hospital Regional do Baixo Amazonas (HRBA) para testagem de covid-19 em Santarém, oeste do Pará, passarão por treinamento no período de 2 a 5 de junho.  O treinamento que ocorrerá nas dependências da Universidade Federal do Oeste do Pará (Ufopa), será ministrado pela equipe de professores geneticistas que coordena o projeto de implantação do laboratório.  A iniciativa é fruto de parceria entre a Ufopa, o Centro Regional de Governo, a Secretaria de Estado de Saúde (Sespa), o Hospital Regional do Baixo Amazonas (HRBA) e o Ministério Público do Trabalho para a realização de exames na população do Oeste do Pará. Atualmente, os resultados de exames feitos no Lacen, em Belém, demoram até 10 dias. Realizando os exames em Santarém, o tempo de espera deve cair para, no máximo, três dias.  Segundo a Ufopa, da instituição já foram levados ao HRBA, todos os equipamentos necessários, faltando apenas a chegada dos insumos para a realização dos exames. Além de ceder equipamentos e coordenar o projeto de implantação do laboratório de biologia molecular, a Ufopa também comprou todo o material necessário para a realização de 5 mil testes e agora aguarda a chegada desse material para começar a testagem.  A previsão é que o início da realização dos testes ocorra na segunda quinzena de junho. O envio das amostras dos municípios para Santarém será coordenado pelo 9º Centro Regional de Saúde da Sespa e Centro Regional de Governo.  Pela Universidade, a ação é coordenada pelo professor Marcos Prado, pró-reitor da Cultura, Comunidade e Extensão (Procce) da Ufopa. Segundo ele, assim que o material chegar, o trabalho começa. “A Ufopa já comprou material para 5 mil testes. Com os recursos da Sespa, repassados ontem pelo governador Helder Barbalho, e do Ministério Público do Trabalho, que também entrou como parceiro no projeto, será possível realizar mais 4 mil testes, totalizando então 9 mil testes na região”, explicou.  Novas parcerias no campo privado também são aguardadas. “Estamos buscando junto às grandes empresas da região recursos para ampliar o número de testes e assim fazer a testagem de todos os casos suspeitos, seja de pacientes internados nos hospitais, como também daquelas pessoas que estão sendo monitoradas pelas secretarias municipais de saúde”, acrescentou.  Professor Marcos reforçou que o treinamento da próxima semana será teórico e prático e que os professores da Ufopa, além de treinar a equipe de técnicos, também atuarão na realização dos exames. A meta é realizar cerca de 116 testes por dia e disponibilizar o resultado em até 48 horas, podendo ter resultados antecipados para os pacientes mais graves.  Outro parceiro importante que também faz parte do projeto é a Universidade Federal Rural da Amazônia (Ufra), que emprestou o equipamento 7500 PCR System que será utilizado na testagem.  O convênio que possibilitará o funcionamento do Labimo foi assinado na tarde de quinta-feira (28), entre o governador Helder Barbalho (MDB) e a OS Pró-Saúde. Na oportunidade, o reitor da Ufopa, professor Hugo Alex Diniz foi ao Hospital Regional conhecer as instalações do laboratório de biologia molecular, acompanhado do professor Marcos e do professor Gabriel Coelho, geneticista do Instituto de Ciências da Educação (Iced) da Ufopa.",2020-05-30,https://g1.globo.com/pa/santarem-regiao/noticia/2020/05/30/tecnicos-serao-treinados-para-trabalhar-no-laboratorio-de-testagem-de-covid-19-em-santarem.ghtml
Biologia da UFSCar Sorocaba oferece bolsa de pós-doutorado em projeto temático,"O Núcleo de Pesquisa em Ecotoxicologia e Conservação de Abelhas (NuPECA), do Departamento de Biologia (DBio-So) do câmpus Sorocaba (SP) da Universidade Federal de São Carlos (UFSCar) está com inscrições abertas no processo seletivo para uma bolsa de pós-doutorado vinculada ao Projeto Temático ""Interações abelha-agricultura: perspectivas para a utilização sustentável"", da Fundação de Amparo à Pesquisa do Estado de São Paulo (Fapesp).  A pesquisa será desenvolvida no laboratório do NuPECA, sob supervisão de Elaine da Silva Zacarin, docente do DBio-So, com colaboração de Cláudia Inês da Silva, pesquisadora associada do projeto e doutora em ecologia e conservação de recursos naturais pela Universidade Federal de Uberlândia (UFU).  O candidato selecionado irá realizar bioensaios de toxicidade a agrotóxicos com abelhas solitárias adultas (gêneros Centris, Tetrapedia e Xylocopa) com a finalidade de avaliar os efeitos subletais de inseticidas e fungicidas nos órgãos dessas abelhas, por meio da análise dos biomarcadores celulares de citotoxidade, estresse e adaptação celular, bem como dos efeitos desses agrotóxicos no metabolismo energético das abelhas.  As inscrições, que foram prorrogadas até esta sexta-feira (6), devem ser feitas pelo e-mail elaine@ufscar.br, com cópia para ecmsbio@gmail.com, encaminhando a documentação exigida, conforme instruções no edital, no qual também estão detalhados os requisitos para inscrição.  O resultado será divulgado por e-mail ao candidato, no período de 9 a 13 de março. O edital, com mais informações sobre o processo seletivo e valor da bolsa, pode ser conferido neste link. Dúvidas podem ser encaminhadas para o e-mail de inscrição.  Veja mais notícias da região no G1 Sorocaba e Jundiaí",2020-03-06,https://g1.globo.com/sp/sorocaba-jundiai/noticia/2020/03/06/biologia-da-ufscar-sorocaba-oferece-bolsa-de-pos-doutorado-em-projeto-tematico.ghtml
Tio e dois sobrinhos morrem em acidente entre dois veículos em MT,"Três pessoas morreram em um grave acidente nesse domingo (17) em uma estrada na zona rural do município de Nova Canaã do Norte, região norte de Mato Grosso. Segundo a Polícia Civil, morreram no acidente Glauber Pyramon de Oliveira, de 39 anos, Elis Valéria de Oliveira, de 33 anos, e Gentil Rodrigues de Oliveira, 54 anos.  Glauber era professor de biologia em Colíder. Elis, irmã de Glauber, era enfermeira do Hospital Regional de Colíder. Gentil era tio deles.  Os irmãos, Gentil e o filho de Elis, de 12 anos, estavam em um carro, modelo Fiesta, que bateu de frente com uma caminhonete.  De acordo com a polícia, o motorista do Fiesta perdeu o controle do veículo e atingiu o automóvel. O filho de Elis sofreu fraturas e está internado no Hospital Regional de Colíder. Na caminhonete viajavam três pessoas. Ninguém se feriu.  As causas do acidente são investigadas pela Polícia Civil.  A Prefeitura de Colíder e as secretarias municipais de Educação e de Saúde lamentaram o falecimento dos servidores públicos Elis e Glauber. Glauber lecionava na Escola Cleonice Miranda da Silva, em Colíder.  A cidade decretou luto oficial de três dias.  Os corpos foram encaminhados na manhã desta segunda-feira (18) a Sinop para exames de necropsia. Não há informações sobre retorno, velório e sepultamento.",2020-05-18,https://g1.globo.com/mt/mato-grosso/noticia/2020/05/18/tio-e-dois-sobrinhos-morrem-em-acidente-entre-dois-veiculos-em-mt.ghtml
UFTM promove Escola de Genética e Biologia Molecular para mulheres em Uberaba,"Graduandas e graduadas em Ciências Biológicas e áreas correlatas participaram das atividades da primeira edição da Escola de Genética e Biologia Molecular da Universidade Federal do Triângulo Mineiro (UFTM) para mulheres.  O evento contou com cerca de 20 pessoas e foi realizado na última semana nos laboratórios da instituição em Uberaba. Segundo os professores coordenadores da ação, Mariângela Ruiz Cintra e Thiago Corrêa, a escola é uma iniciativa para celebrar, a cada ano, o Dia Internacional das Mulheres e meninas na Ciência.  Com uma carga horária de 20 horas, as alunas puderam aprofundar o conhecimento nas áreas de Ciências Biológicas, Genética e Biologia Molecular, que procuram explicações consistentes para a variedade de questões relacionadas à origem e evolução da vida.  O conhecimento das estruturas de DNA e RNA também foram utilizados para inferências em estudos evolutivos, sistemáticos e ecológicos.  Priscilla Elias da Silva é doutoranda do Programa de Medicina Tropical e Infectologia e participou do curso.  ""Foi um dos melhores cursos que eu já fiz na UFTM. Permitiu ver de perto a técnica de biologia molecular, aprofundar em assuntos que relacionam à genética. É importante porque vou utilizar parte do que eu aprendi no meu projeto de doutorado, vou trabalhar com leishmaniose canina, com enfoque mais genético”, comentou.",2020-02-24,https://g1.globo.com/mg/triangulo-mineiro/noticia/2020/02/24/uftm-promove-escola-de-genetica-e-biologia-molecular-para-mulheres-em-uberaba.ghtml
Vândalos destroem aquários do único Museu de Biologia Marinha do Maranhão,"A polícia está investigando o arrombamento da casa onde funciona o único Museu de Biologia Marinha do Maranhão, no Araçagi, em São Luís. Na semana passada, bandidos levaram notebooks e material de pesquisa. Nesta semana, vândalos voltaram a invadir o prédio e destruíram materiais de 20 anos de pesquisa. A polícia está investigando o arrombamento  ""Entrou uma pessoa aqui e, mais ou menos uma cinco e meia da manhã, derrubou os aquários e acabou matando mais de vinte peixes. A gente não sabe exatamente o porquê disso"", lamenta o biólogo Zé Maria dos Reis.  Foram destruídos dois aquários grandes, com diferentes espécies de peixes, e objetos de pesquisa. Até agora, nada foi recuperado e ninguém foi preso.  ""O estrago que foi feito vai fazer a gente ter que levantar fundos para continuar mantendo os projetos que a gente tem de educar as crianças sobre o meio ambiente"", explica a bióloga voluntária Glenda Sousa.  . Um trabalho feito por voluntários e aberto ao público.",2020-02-15,https://g1.globo.com/ma/maranhao/noticia/2020/02/15/vandalos-destroem-aquarios-do-unico-museu-de-biologia-marinha-do-maranhao.ghtml
Professora do ES descobre ocupar cargo de 'presidente da República' ao tentar auxílio emergencial,"Uma professora de Biologia de Vitória que está desempregada desde fevereiro foi surpreendida ao pedir o auxílio emergencial de R$ 600 do Governo Federal e descobrir que na Carteira de Trabalho Digital dela constava um contrato com o cargo de ""presidente da República"". Este é o segundo caso semelhante no estado.  A bióloga Amanda Lourenço tem 25 anos e mora com a família no bairro Santa Teresa, em Vitória. Antes de ficar desempregada, Amanda trabalhou dando aulas de Biologia como professora temporária em escolas da rede pública do Espírito Santo. Ela voltaria a dar aulas no fim de março, mas por causa da pandemia o contrato foi suspenso.  Sem trabalhar, ela entrou com o pedido de auxílio emergencial, mas a resposta no aplicativo da Caixa Econômica Federal veio como ""inconclusivo"".  “Eu pensei que eu precisava resolver esse problema, porque eu acho que não estava conseguindo auxílio por causa disso. Eu fiz a inscrição no dia 7 de abril. Ficou em análise e no dia 22 de abril deu o resultado 'inconclusivo' e eu tive que refazer o cadastro"", relatou.  No cadastro da Carteira de Trabalho Virtual, além de constar que ocupava o cargo de ""presidente da República"" pela Secretaria de Estado da Educação (Sedu) do ES, a professora também encontrou outros erros.  O documento diz que ela já trabalhou como carregadora de aeronaves, no Rio de Janeiro, e demolidora de edificações, em Recife.  “Quando eu vi esses erros, eu pensei que estava com muito problema. Porque primeiro estava como presidente da República e depois aparecem dois empregos que eu nunca trabalhei”, revelou Amanda.  Além dela, a mãe também está desempregada. Angelita tomou um susto ao saber do cargo em que a filha estava registrada.  “Eu achei um absurdo. É um erro grosseiro. Da mesma forma que aconteceu com ela, pode ter acontecido com outras pessoas”, relatou a mãe.  O mesmo erro aconteceu com a estudante Adeyula Barbosa, de 31 anos, moradora de Vila Velha. Ela teve o pedido de auxílio emergencial negado após a Carteira de Trabalho Digital apontar que ela tem dois empregos em aberto.  Em um deles, a capixaba está registrada com o cargo de ""presidente da República"" pela Sedu.  O superintendente de Trabalho e Emprego no Espírito Santo, Alcimar Candeias, disse que o erro é do contratante, neste caso, a Sedu.  Para o superintendente, houve um erro quando a secretaria não informou a demissão da funcionária e outro ao inserir, equivocadamente, o código do cargo de presidente da República na ocupação da trabalhadora.  A orientação é que as duas procurem o setor de Recursos Humanos da Sedu para resolver. Candeias disse que a Superintendência do Trabalho está à disposição para ajudar a consertar o erro.  A Secretaria da Educação, por sua vez, informou que os servidores são cadastrados em um sistema própria da secretaria e que, nesse sistema, o cargo de Adeyula está como cuidadora. Sobre Amanda, a Sedu foi procurada, mas ainda não informou sobre o caso.  Adeyula ainda tinha um cargo em aberto na Prefeitura de Vila Velha. A administração municipal explicou que os desligamentos dos servidores em 2020 ainda serão informados ao Ministério da Economia.  O Ministério da Economia informou que o auxílio emergencial está sendo executado pelo Ministério da Cidadania e, para concessão do benefício, o sistema realiza conferência com um conjunto de bases de dados governamentais que possuem características e finalidades diferentes e que estão sob gestão de diversos órgãos.  Um desses dados é a Relação Anual de Informações Sociais (Rais), registro no qual constam as informações de trabalhadores e empresas. Esses dados da Rais são informados anualmente pelos empregadores, que são os responsáveis pelas informações, como o cadastro de ocupação, data de contratação e demissão, entre outras.  O prazo legal de entrega da declaração Rais ano base 2019 encerrou em 17 de abril de 2020. Essas informações ainda estão sendo processadas e ainda não foram disponibilizadas.  Caso o cidadão necessite de comprovação dos vínculos declarado na Rais ou no Caged, deverá solicitar extrato de vínculos pelo portal gov.br. No caso de informações incorretas declaradas, ele deverá procurar a empresa ou órgão responsável e solicitar a retificação do sistema.  O trabalhador pode solicitar inclusão, alteração ou exclusão de vínculos dos trabalhadores e empresas ou alterações nos dados cadastrais do trabalhador ou das empresas no Caged ou na Rais.  A alteração no banco de dados só é realizada caso o estabelecimento esteja inativo e o trabalhador apresente ao menos dois comprovantes contendo a data do desligamento ou, ainda, em caso de determinação judicial.  O superintendente da Caixa no Espírito Santo, Denis Matias, explicou que a ação do Governo Federal é em conjunto com o Ministério da Cidadania, Dataprev e Caixa.  Matias disse que cabe ao banco apenas coletar os dados e pagar os beneficiários. A apuração de quem deve receber ou não o auxílio é feito pela Dataprev.  ""Não é de competência da Caixa fazer a checagem dos dados informados, só o pagamento do auxílio. Nos casos que a pessoa recebeu a resposta como 'não aprovado' ou 'inconclusivo' e ela tem direito ao auxílio, elas podem ir no site da Caixa e retornar as informações e corrigir os dados que estejam equivocados"", informou o superintendente.  O G1 aguarda um posicionamento da Dataprev.",2020-05-08,https://g1.globo.com/es/espirito-santo/noticia/2020/05/08/professora-do-es-descobre-ocupar-cargo-de-presidente-da-republica-ao-tentar-auxilio-emergencial.ghtml
Estudante de biologia revela paixão pelas aves através da fotografia de natureza,"Natureza: Conjunto de elementos naturais. O mundo material em que vive o ser humano e existe independentemente das atividades humanas.  Neste mundo independente a variedade de espécies impressiona e encanta. O colorido das aves, os sons dos mamíferos e os detalhes de pequenos anfíbios compõem os mais diferentes cenários brasileiros.  Inseridos em tamanha diversidade, o que nos resta é conservar e admirar, práticas comuns na vida da estudante de biologia, Flávia Zagury.  Há dois anos a jovem redescobriu o amor pela fotografia e encontrou na natureza o foco para os cliques. “Desde pequena gostava de fotografar. Muitas vezes falava em ser fotógrafa, mas depois surgiu o amor pela biologia. Acabei aposentando a minha câmera, até o dia que a levei para um curso”, conta.  Neste dia, durante o estudo e observação de sapos, rãs, cobras e pererecas, Flávia retomou um hobby. “Foi quando reascendi uma paixão que não vivia há muito tempo, e me fez muito bem. Me reconectei comigo mesma, aumentou até a minha autoestima”, lembra a estudante, que rapidamente criou uma página na internet para compartilhar os cliques.  “A fotografia me aproximou muito da natureza e acabou contaminando pessoas a minha volta. Amigos e familiares refinaram o olhar e hoje, ao encontrar um bicho, tentam identificar e contam sobre a observação”, completa, orgulhosa do feito.  Paixão pelas aves  No acervo variado a estudante destaca os cliques das aves, espécies pela qual dedica seus estudos. “Meu trabalho de finalização de curso é sobre o tucano-de-bico-preto, por isso, hoje em dia gosto mais de registrar as aves. Volta e meia saio para passarinhar, procurar e fotografar as espécies”, conta Flávia, que se interessa pelos desafios impostos pela prática.  “Se você perde o bicho de vista ele voa longe e você perde o clique. Então o coração acelera cada vez que você observa a ave, porque além de fotografar, você quer olhar. É sempre incrível”, diz.  De acordo com a fotógrafa, foram muitos os encontros de ‘acelerar o coração’. “Alguns deles eu destaco não só pela fotografia, mas pelo momento”, comenta.  Na lista estão cliques de um filhote de murucututu-de-barriga-amarela, de um macho de pica-pau-de-cabeça-amarela e de beija-flores, como o beija-flor-cinza, o papo-branco e o rabo-branco-acanelado. “Eu posso falar de muitos registros, pois todos têm uma historinha no fundo, que eu amo muito”, revela a estudante, que até se emocionou com um flagrante recente.  “Um dos mais emocionantes é de um filhote de tucano-de-bico-preto colocando a cabeça para fora do ninho. Eu acompanhei as aves desde os ovos até o filhote voar, então quase não acreditei quando consegui flagrar aquele momento, foi uma sorte muito grande”, diz.  Além do apreço por registrar filhotes, Flávia destaca a chance de observar uma espécie ameaçada, em meio à cidade do Rio de Janeiro, onde fez o clique. “A espécie foi reintroduzida aqui no Rio, na década de 70, e hoje é um bicho comum na região. É muito legal ver que uma ave reintroduzida e tida como ameaçada está conseguindo se reproduzir na cidade”, completa.  Na ‘lista de desejos’ da fotógrafa estão urutau, tucano-de-bico-verde, gavião-pega-macaco, topetinho-verde e tangará, “uma ave que eu vi, mas não fotografei. Ele tem todo um ritual de acasalamento, uma dança muito linda”, finaliza.",2020-01-07,https://g1.globo.com/sp/campinas-regiao/terra-da-gente/noticia/2020/01/07/estudante-de-biologia-revela-paixao-pelas-aves-atraves-da-fotografia-de-natureza.ghtml
Estudante de biologia descobre paixão por registrar a natureza,"De um mamífero muito conhecido como cateto à ariramba-de-cauda-ruiva, a estudante de biologia Beatriz de Oliveira da Silva, de 28 anos, aprendeu a observar e registrar a natureza através das câmeras há quatro anos.  Para ela, essa paixão teve início com o começo da graduação em Ciências Biológicas na Universidade Estadual Paulista (UNESP), na cidade de Assis, no interior de São Paulo. Segundo a estudante, a fotografia mudou seu jeito de enxergar a fauna e a flora.  Os cliques são feitos na Estação Ecológica e no Parque Buracão, todos em Assis, durante visitas para um levantamento de fauna para a faculdade. Entre os registros preferidos está o da ariramba-de-cauda-ruiva, pelo desafio que representa, já que o pássaro é pequeno e rápido.  Outro momento que a futura bióloga adora é quando as armadilhas fotográficas flagram os catetos (Tayassu tajacu). A estudante destaca que esse animal, polêmico por pisotear ""plantinhas recém-nascidas"" e revirar o solo, ao mesmo tempo tem um papel importante na natureza, como dispersor de sementes.  A estudante acredita que, independente da espécie, capturar com a câmera os animais é uma atividade que amplia o conhecimento e promove a preservação.",2019-11-11,https://g1.globo.com/sp/campinas-regiao/terra-da-gente/noticia/2019/11/11/estudante-de-biologia-descobre-paixao-por-registrar-a-natureza.ghtml
Mais de 350 roteiros de estudos e atividades são disponibilizados na internet para estudantes da rede estadual da BA,"Um material com mais de 350 roteiros de estudos e mais 70 atividades nas áreas de Matemática e Ciências da Natureza foi disponibilizado no site Portal da Educação, nesta segunda-feira (27), para os estudantes da rede estadual da Bahia.  O material é atualizado semanalmente desde o início da suspensão das aulas, por causa da pandemia do coronavírus. Nesta quinta semana (27/04 a 1º/05), foram disponibilizadas atividades de Matemática, Iniciação Científica, Biologia, Física, Química e Ciências (a depender da etapa).  Segundo a Secretaria da Educação do Estado (SEC), os roteiros de estudos têm o objetivo de manter o engajamento dos estudantes e estimular a adoção de rotinas de estudo durante o período de isolamento.  As atividades são opcionais, mas podem ser utilizadas no futuro, como fichas de estudo sobre diversos temas. Cada semana é destinada a uma área de conhecimento. A primeira semana (30/03 a 03/04) contemplou a área de Linguagens; a segunda (06/04 a 10/04), de Matemática e Ciências da Natureza; a terceira semana (13/04 a 17/04), Ciências Humanas; e a quarta semana (20/04 a 24/04), Linguagens.  O Governo da Bahia prorrogou até o dia 3 de maio a suspensão das aulas em toda o estado. A medida foi publicada no Diário Oficial do Estado, no dia 15 de abril, por causa do isolamento social para conter a disseminação do coronavírus. As aulas serão repostas na rede estadual de ensino.  Veja mais notícias do estado no G1 Bahia.",2020-04-28,https://g1.globo.com/ba/bahia/noticia/2020/04/28/mais-de-350-roteiros-de-estudos-e-atividades-sao-disponibilizados-na-internet-para-estudantes-da-rede-estadual-da-ba.ghtml
Ceará deve realizar testes para detectar coronavírus no formato 'drive-thru',"O Ceará deve adotar testagem em esquema de drive-thru para detectar infecção pelo novo coronavírus, segundo o titular da Secretaria da Saúde do Ceará (Sesa), Dr. Cabeto. O estado negocia a compra de 120 mil testes de RT-PCR (biologia molecular), que identifica o vírus durante o período inicial, com uma empresa coreana.  A previsão é que os insumos cheguem até o dia 4 de maio, conforme anúncio do secretário de Saúde no último domingo (26) em coletiva de imprensa.  O aplicativo da Sesa, que será disponibilizado para Android e IOS, será necessário para agendar o procedimento. Ainda não há previsão para o lançamento da plataforma. “É muito importante a população baixar esse app, pois a marcação desses exames vai ser feita por lá para que a gente não faça aglomeração”, adiantou Dr. Cabeto.  Na tarde do último domingo (26), um avião vindo da China trouxe um carregamento de 90 toneladas de insumos hospitalares para atender a demanda do sistema público de saúde do estado.  Conforme o secretário da saúde, os Equipamentos de Proteção Individual (EPIs) devem ser suficientes para três meses. Cerca de 40% do material vai ser remetido para municípios do Interior onde há maior número de casos da doença.  Entre os insumos destinados para suprir a demanda por EPIs, 300 mil são testes para detecção do coronavírus.  ""Vamos centralizar primeiro nos hospitais, para os profissionais da segurança e para os casos suspeitos. Vamos disponibilizar nas UPAs para aqueles que têm mais de cinco dias de sintomas. Esses testes vão se juntar a outros 120 mil testes, esse é pesquisa viral direta, que vai ser feita com PCR e, inclusive, com drive thru. Para que a gente disponibilize para todos os casos suspeitos e de UPAs e pacientes sintomáticos um diagnóstico até quatro horas"", explicou o secretário de Saúde.",2020-04-27,https://g1.globo.com/ce/ceara/noticia/2020/04/27/ceara-deve-realizar-testes-para-detectar-coronavirus-no-formato-drive-thru.ghtml
