Título,Notícia,Data,Link
Professor de biologia é morto a tiros na Grande Natal,"Um professor foi morto a tiros no início da noite desta quarta-feira (10) no bairro Emaús, em Parnamirim, na Grande Natal. De acordo com a Polícia Militar, Ediudson de Lucena Costa, de 32 anos, morreu na hora. Próximo ao carro foram encontradas cápsulas de calibre 9 e 12 milímetros.  Ediudson de Lucena era professor de biologia e trabalhava em um cursinho em Natal. De acordo com a PM, testemunhas contaram ter ouvido disparos e quando saíram na rua viram o homem baleado dentro de um carro. No veículo, a polícia encontrou livros e apostilas de colégios.  Não há informações sobre quem cometeu o crime. O caso aconteceu por volta das 18h na Rua Santa Maria. O professor foi perseguido por homens em outro veículo, que trancaram o carro dele e atiraram contra. Uma ambulância do SAMU chegou a ir ao local, mas o homem já estava sem vida. De acordo com a PM, a vítima foi atingida por pelo menos quatro disparos.",2017-05-10,https://g1.globo.com/rn/rio-grande-do-norte/noticia/professor-de-biologia-e-morto-a-tiros-na-grande-natal.ghtml
Brasil sedia Olimpíada Internacional de Biologia ,"O Brasil sedia até sexta-feira (16) a 10ª edição da Olimpíada Ibero-americana de Biologia (X OIAB), em Brasília. O evento reúne estudantes de 12 países da América do Sul e Central, além de Portugal e Espanha.  A delegação brasileira é representada pelos estudantes Beatriz Marques de Brito (São Paulo, SP), Bernardo Gabriele Collaço (Fortaleza, CE), Bruno Teixeira Gomes (Fortaleza, CE), Caio Manuel Caetano Adamian (Fortaleza, CE). Todos estão no terceiro ano do ensino médio.  Durante a programação, os estudantes vão participar de três avaliações teóricas e práticas, envolvendo anatomia animal, botânica e citologia. Além disso, serão realizadas atividades sociais visando estreitar a relação entre os países e contribuir para o avanço das ciências biológicas na Região Ibero-americana.  A OIAB foi lançada em 2007 e é coordenada pela Ordem dos Biólogos de Portugal (órgão equivalente ao Conselho Federal de Biologia brasileiro). A cada ano um país diferente é escolhido para sediar o evento. Desde então foram organizadas nove edições e a delegação brasileira conquistou um total de 33 medalhas.  Para participar de uma olimpíada internacional, é importante que os estudantes participem das edições nacionais.",2016-09-13,https://g1.globo.com/educacao/noticia/brasil-sedia-olimpiada-internacional-de-biologia.ghtml
"Após demissão, professor faz videoaulas de biologia e vira fenômeno na internet","Após ser demitido em 2011, o professor de biologia Paulo Jubilut, de 37 anos, publicou algumas videoaulas na internet como legado. A ideia era explorar outros campos de trabalho. Para sua surpresa, a visualização foi muito grande e ele vislumbrou ali um novo negócio: ser professor na internet.  A trajetória de Jubilut é um exemplo de como o profissional formado em ciências biológicas pode se reinventar. Nesta semana, o G1 aborda vários aspectos da biologia na série Guia de Carreiras, que traz o retrato de dez profissões mais procuradas no Sistema de Seleção Unificada (Sisu) de 2016.  Formado em licenciatura e bacharelado de ciências biológicas pela Universidade Federal de Santa Catarina (UFSC), Jubilut começou a procurar trabalho em outras áreas, não só as ligadas à educação. Mas como os vídeos publicados na internet fizeram sucesso, e ele foi convidado pelo YouTube a criar um canal ensinando biologia. “Na época não sabia que dava para monetizar. Não tinha youtuber ainda. As videosaulas que existiam eram formais, e eu levei uma linguagem informal e humor no tempo que não existia o politicamente correto.”  Hoje ele é referência do ensino de biologia na internet. Com linguagem informal e bom humor, Jubilut já arrebatou mais de 1 milhão de inscritos em seu canal. Viaja o mundo inteiro para gravar vídeos explicando conceitos da biologia na prática. Em 2013, criou sua empresa, a Biologia Total, que vende pacotes de videoaulas sobre todas as áreas da biologia. Há conteúdo para ensino médio, específico para preparação de vestibulares e Exame Nacional do Ensino Médio (Enem), além de ensino superior. O site também disponibiliza aulas de física e química, outros campos das ciências da natureza, que não são ministradas por Jubilut.  Ele não fala em números ou faturamento por conta da concorrência, mas diz que são milhares de assinantes, os “jubialunos.” Já são 32 pessoas trabalhando na empresa. Jubilut ainda dá aulas, mas hoje está mais focado em montar o que chama de “aulas conceito.”  “No ano passado fui para a África gravar aulas, falei de predação com vídeo mostrando o leão atrás, e herbivoria com girafas ao fundo. Nesse ano fomos para a Ásia e falamos sobre o uma espécie em extinção do orangotango.”  Foram 12 lecionando em escolas formais da redes pública e privada, os últimos focados em cursinhos pré-vestibular.  Para matar a saudade do contato direto com o alunos, um dos lados bons da profissão, segundo ele, Jubilut planeja receber na sede da empresa, em Florianópolis, turmas de até 20 estudantes para o que batizou de sala de aula do futuro. Um quadro digital estará conectado com os notebooks dos alunos. Os escolhidos estarão entre os assinantes dos cursos do seu site. Neste projeto, o objetivo também é treinar professores.  “Não usamos quadro e giz e temos dificuldade de encontrar professores, eles não estão preparados. A tecnologia não é a solução, mas pode ajudar a tornar o aprendizado do aluno mais rápido. Mas nada substitui o excelente professor, que sabe contar uma história.”  Com a empresa consolidada, Jubilut pretende seguir para Universidade Stanford, nos Estados Unidos, para um mestrado em educação e tecnologia.",2017-08-31,https://g1.globo.com/educacao/guia-de-carreiras/noticia/apos-demissao-professor-faz-videoaulas-de-biologia-e-vira-fenomeno-na-internet.ghtml
2ª fase da Unicamp: confira os conteúdos mais cobrados em biologia e química ,"Ecologia, citologia, macromoléculas, bioenergética e genética estão entre os conteúdos mais cobrados na segunda fase do vestibular da Unicamp na prova de biologia.O levantamento exclusivo do G1 foi elaborado pelo Curso Poliedro com base nas provas dos vestibulares de 2014 a 2017. Veja tabela e um gráfico abaixo com os itens mais pedidos.  Veja os conteúdos mais pedidos nas provas de português e literatura  Veja os conteúdos mais pedidos nas provas de matemática e física  A segunda fase da Unicamp começa neste domingo (13) com as provas de redação, língua portuguesa e literaturas da língua portuguesa.  Na segunda-feira (14), os alunos fazem os testes de matemática, geografia e história. Na terça-feira (15), os vestibulandos fecham a segunda fase com física, biologia e química.  As questões sobre o meio ambiente, gases, termoquímica, equilíbrio químico e quantidade de matéria estão entre os itens mais pedidos na prova de química na segunda fase do vestibular da Unicamp, segundo o levantamento do Poliedro para o G1.  Veja uma tabela e um gráfico abaixo com os itens.",2019-01-10,https://g1.globo.com/sp/campinas-regiao/noticia/2019/01/10/2a-fase-da-unicamp-confira-os-conteudos-mais-cobrados-em-biologia-e-quimica.ghtml
Estudante pernambucano representa o Brasil na Olimpíada Internacional de Biologia,"O estudante pernambucano Amarylis Lins Torres, de 17 anos, é um dos quatro representantes do Brasil na Olimpíada Internacional de Biologia, que acontece entre domingo (15) e o dia 22 de julho. Ele viaja no sábado (14) para o Irã, país onde ocorre a competição. (Veja vídeo acima)  No terceiro ano do ensino médio, Amarylis passou por várias provas, horas de dedicação e estudo até chegar à etapa internacional da competição. Nas três fases nacionais da olimpíada, ele competiu com 50 mil estudantes de todo o país. O adolescente é apaixonado por ciências biológicas e, no fim do ensino médio, pretende tentar uma vaga nos cursos de biologia ou medicina.  “Foi muito difícil, eu tive que estudar muito, resolver muitas questões e ler vários livros da área. É importante ter foco, saber a hora de estudar, mas não exagerar, ter seu momento de lazer. Sobretudo, é preciso acreditar que é possível”, disse.  Segundo o orientador e professor da olimpíada do conhecimento da escola onde Amarylis estuda, Daniel Tenório, o estudante passou por diversos treinamentos e eventos culturais até chegar na fase mundial da competição.  “Cerca de quatro mil estudantes foram selecionados para a segunda fase e, desses, apenas 15 passaram para a terceira fase, que ocorreu no Butantan [em São Paulo]. Ao todo, 70 países participam da olimpíada internacional, o que é um número recorde, muito maior que nos anos anteriores”, explicou Daniel.  Colega de classe de Amarylis, o estudante Vinícius Alcântara considera o amigo um dos alunos mais aplicados. “Desde o primeiro ano, ele já mostrava que tinha esse destaque em biologia, assim como o domínio nas outras áreas do conhecimento. Ele sempre foi aplicado, dedicado aos estudos e que acompanha e auxilia os alunos em tudo o que eles precisam”, elogiou Vinícius.  De acordo com a mãe de Amarylis, a terapeuta holística e socióloga Rosaura Lins, o apoio em casa e na escola para ajudar os filhos a desenvolver as habilidades é essencial. “É importante ter disciplina, com horário de alimentação, de dormir, acordar, brincar e estudar. Ele foi acostumado a ter essa disciplina e levou isso para os estudos”, afirmou.",2018-07-12,https://g1.globo.com/pe/pernambuco/educacao/noticia/estudante-pernambucano-representa-o-brasil-na-olimpiada-internacional-de-biologia.ghtml
UEPA abre inscrições para mestrado e doutorado em Biologia,"A Universidade do Estado do Pará (UEPA) lançou o edital de abertura para as inscrições nas novas turmas de Mestrado e Doutorado no Programa e Pós-Graduação em Biologia Parasitária na Amazônia (PPG-BPA), vinculado ao Centro de Ciências Biológicas e da Saúde (CCBS). O edital do mestrado e doutorado podem ser acessados pelo site da universidade.  As inscrições para o mestrado seguem até o dia 25 de abril através da ficha de inscrição anexo ao edital, que deve ser entregue na Secretaria do Mestrado BPA, situada à Travessa Perebebuí, Bloco B (1° andar), no horário de 08h as 17h. As inscrições do mestrado ocorrem até o dia 22 de junho. Os interessados devem apresentar a documentação exigida no edital, na secretaria do Programa no CCBS, localizado na Travessa Perebebuí, bairro do Marco. Entregar no horário de 08h as 17h, de segunda a sexta, exceto em feriados e recessos acadêmicos.  A pós oferta dez vagas, sendo quatro para servidores técnicos e docentes do quadro efetivo da Uepa ou IEC; cinco para ampla concorrência, e uma para pessoas com deficiência. Podem se candidatar graduados com diploma reconhecido pelo Ministério da Educação. A aceitação de estrangeiros será decidida pela comissão do processo seletivo. O nível de Doutorado também oferece dez vagas.  Em parceria com o Instituto Evandro Chagas (IEC), o Programa oferece atividades e matérias para formação interdisciplinar a pesquisadores e profissionais dos campos das Ciências Biológicas e da Saúde. Ambos os cursos estão estruturados na área de Biologia de Agravos Infecciosos na Amazônia, e divididos em três linhas de pesquisa: Epidemiologia de Microrganismos e Parasitos; Fisiopatologia Humana e Experimental de Processos Infecciosos; e Morfofisiologia e Genética dos Agentes Infecciosos, Parasitários e Vetores de Endemias na Amazônia.  Envie vídeos, fotos e sugestões de pauta para a redação do G1 Pará no (91) 98814-3326",2018-03-27,https://g1.globo.com/pa/para/noticia/uepa-abre-inscricoes-para-mestrado-e-doutorado-em-biologia.ghtml
Estudante de biologia descobre paixão por registrar a natureza,"De um mamífero muito conhecido como cateto à ariramba-de-cauda-ruiva, a estudante de biologia Beatriz de Oliveira da Silva, de 28 anos, aprendeu a observar e registrar a natureza através das câmeras há quatro anos.  Para ela, essa paixão teve início com o começo da graduação em Ciências Biológicas na Universidade Estadual Paulista (UNESP), na cidade de Assis, no interior de São Paulo. Segundo a estudante, a fotografia mudou seu jeito de enxergar a fauna e a flora.  Os cliques são feitos na Estação Ecológica e no Parque Buracão, todos em Assis, durante visitas para um levantamento de fauna para a faculdade. Entre os registros preferidos está o da ariramba-de-cauda-ruiva, pelo desafio que representa, já que o pássaro é pequeno e rápido.  Outro momento que a futura bióloga adora é quando as armadilhas fotográficas flagram os catetos (Tayassu tajacu). A estudante destaca que esse animal, polêmico por pisotear ""plantinhas recém-nascidas"" e revirar o solo, ao mesmo tempo tem um papel importante na natureza, como dispersor de sementes.  A estudante acredita que, independente da espécie, capturar com a câmera os animais é uma atividade que amplia o conhecimento e promove a preservação.",2019-11-11,https://g1.globo.com/sp/campinas-regiao/terra-da-gente/noticia/2019/11/11/estudante-de-biologia-descobre-paixao-por-registrar-a-natureza.ghtml
Vestiba 2017: professor de biologia detalha a composição do sangue,"Quem manda a dica desta sexta-feira (23), do quadro Vestiba 2017, é o professor Thiago Matnei. Ele fala sobre a composição do sangue.  Todos os dias, até a véspera do vestibular da Universidade Estadual do Ponta Grossa (UEPG), nos dias 9 e 10 de julho, professores voluntários Grupo de Estudos Pré-vestibular Imaculada Conceição dão dicas sobre assuntos que podem ser cobrados nas provas.  O quadro é produzido pelo G1 Campos Gerais e Sul em parceria com o Paraná TV - 1ª edição Ponta Grossa.  Quer saber mais dicas? Acesse a página Vestiba 2017 - G1 Campos Gerais e Sul.",2017-06-23,https://g1.globo.com/pr/campos-gerais-sul/educacao/vestiba/2017/noticia/vestiba-2017-dica-desta-dexta-feira-e-sobre-biologia.ghtml
'Fogueira do Enem': veja como foi o desafio de biologia,"O terceiro programa ""Fogueira do Enem"", transmitido pelo G1 nesta quarta-feira (19), desafiou a aluna Sophia Leão a responder questões de biologia. O jogo de perguntas e respostas é baseado no aplicativo G1 Enem (veja abaixo todas as questões).  Reveja como foi a transmissão em tempo real  Cada programa da série é transmitido ao vivo às 13h (horário de Brasília) em todos os dias desta semana. Veja a programação:  Além do programa desta quarta, já foram realizados programas sobre matemática e português.  Veja abaixo as questões do desafio desta quarta:  O aplicativo ganhou medalha de bronze no prêmio MMA Smarties Latam 2016, que analisa projetos de marketing focados em dispositivos móveis. O app, que é um jogo gratuito de perguntas e respostas voltado para a preparação de participantes do Enem, foi lançado em setembro de 2015.  Clique aqui para baixar o aplicativo  Idealizado pelo G1, o aplicativo foi desenvolvido pela agência Outra Coisa com a curadoria de conteúdo feita pela equipe de jornalistas do portal e de cursinhos parceiros. Após ser lançado em 2015, subiu à posição número um em educação no Brasil. Apenas no primeiro ano, teve mais de 600 mil downloads.  Entre os critérios considerados na avaliação do Mobile Marketing Association (MMA) estavam estratégia, execução, criatividade e resultados. Na categoria em que o app G1 Enem foi premiado, também foram reconhecidos os projetos “The Safety Keyboard”, da Motorola do Brasil, que alerta motoristas do perigo de digitar mensagens ao volante, e “Login”, da Televisa, no México – série interativa multiplataforma.  Em 2016, na reta final de preparação para o Enem, os jogadores ganharam novas questões e possibilidades de ganhar pontos extras no jogo.  Até os dias 5 e 6 de novembro, quando o Enem será aplicado para quase 9 milhões de estudantes, cerca de 500 novas perguntas integrarão a base de questões. E, desde a metade de setembro, os usuários do app passaramm a ter também uma outra possibilidade de melhorar o desempenho nos rankings do jogo: ""perguntas enigma"" serão enviadas diretamente para os candidatos. Elas valem mais pontos porque são dissertativas, ou seja, é necessário digitar a resposta, sem consultar alternativas.  Todas as perguntas estão organizadas no aplicativo segundo as áreas de conhecimento definidas pelo Enem: Ciências da Natureza, Ciências Humanas, Linguagens e Matemática. O jogador pode escolher responder sozinho às questões, com 30 segundos para cada, ou desafiar amigos do Facebook e usuários cadastrados no G1 Enem.  Conforme forem somados os pontos, o candidato poderá ganhar “badges”, que são medalhas dadas quando, por exemplo, alguém consegue acertar 5 questões seguidas, sem errar. Neste ano, novas 27 badges passaram a integrar o G1 Enem, como “Talento divino” e “Poliglota do rolê”.  Se o jogador preferir, também pode assistir a vídeos curtos com dicas sobre os conteúdos cobrados no exame. O download é gratuito.",2016-10-19,https://g1.globo.com/educacao/enem/2016/noticia/fogueira-do-enem-veja-como-foi-o-desafio-de-biologia.ghtml
Alunos de sete estados participam da Olimpíada Brasileira de Biologia,"O Instituto Butantan realiza de hoje até o próximo domingo (29) a 3ª fase da Olimpíada Brasileira de Biologia, em parceria com o Conselho Nacional de Desenvolvimento Científico e Tecnológico (CNPq) e a Fundação de Amparo à Pesquisa do Estado de São Paulo (Fapesp).  Ao longo dos sete dias de evento, estudantes do ensino médio – com no máximo 19 anos - participarão de atividades e aulas em laboratório, ao mesmo tempo em que suas performances e habilidades serão avaliadas para compor a nota final.  No domingo, uma nova prova será aplicada para que os oito estudantes com os melhores rendimentos, práticos e teóricos, sejam selecionados para a Olimpíada internacional, que será realizada no Irã em julho.  “Para preparar o programa, levantamos assuntos que despertam o interesse pela Ciência”, explica Sonia Aparecida de Andrade, pesquisadora e coordenadora da Olimpíada nacional. Os 15 finalistas, recepcionados pelo Butantan, são os que obtiveram as melhores notas na prova da 2ª fase, aplicada em março passado a 4.040 mil estudantes, de 598 escolas do País.  Eles representam os estados do Ceará, São Paulo, Pernambuco, Sergipe, Paraná, Minas Gerais e Goiás. Já na 1ª fase, cerca de 50 mil alunos fizeram a prova.  Em 2017, foi o responsável pelo treinamento integral dos alunos, quando o Brasil conquistou o melhor resultado nas competições internacionais, sendo prata na 28ª Olímpiada Internacional de Biologia, além de dois ouros e duas pratas na 11ª Olimpíada Ibero-americana de Biologia. Instituto participa da capacitação desde 2014.  Prata  Em 2017, o Butantan foi o responsável pelo treinamento integral dos alunos, quando o Brasil conquistou o melhor resultado nas competições internacionais, sendo prata na 28ª Olímpiada Internacional de Biologia, além de dois ouros e duas pratas na 11ª Olimpíada Ibero-americana de Biologia.",2018-04-23,https://g1.globo.com/sp/campinas-regiao/terra-da-gente/noticia/alunos-de-sete-estados-participam-da-olimpiada-brasileira-de-biologia.ghtml
