Título,Notícia,Data,Link
Cannes planeja exibição de filmes selecionados para 73ª edição em outros festivais de cinema do 2º semestre ,"Inicialmente programado para maio e adiado para junho e julho por causa da pandemia de coronavírus, o Festival Internacional de Cinema de Cannes descartou qualquer possibilidade de realizar a 73ª edição do festival em sua ""forma física"".  Com isso, o diretor do festival, Thierry Fremaux afirmou que vai trabalhar em parceria com os eventos que acontecem no segundo semestre, redistribuindo as obras que fariam parte do evento em 2020 para outros festivais.  Os trabalhos que seria exibidos em Cannes este ano, devem ser apresentador em festivais como os de Toronto, Deauville, Angoulême, San Sebastian, New York e Busan. ""E com o de Veneza, queremos ir ainda mais longe e apresentar filmes juntos"", afirmou Thierry.  ""Do fundo do nosso coração, o que queremos fazer é promover os filmes que vimos e amamos. Nós recebemos filmes de todo o mundo, trabalhos magníficos, e é nossa obrigação ajuda-los a encontrar seu público. Uma vez anunciada a lista, o objetivo é iniciar a organizar eventos nos cinemas"", disse o diretor.  Questionado se há planos para uma premiação este ano, ele descarta: ""Não, é impossível reunir um juri"".  Em abril, o Festival Internacional de Cinema de Cannes já havia anunciado que não aconteceria ""em sua forma original"" em 2020 devido à pandemia do novo coronavírus. Na ocasião, os organizadores disseram que continuavam a estudar opções para o evento.  ""Reconhecemos que o adiamento do 73º Festival Internacional de Cinema de Cannes, inicialmente cogitado entre o final de junho e o início de julho, não é mais uma opção"", disseram os organizadores em um comunicado.  ""Está claro que é difícil supor que o Festival de Cannes possa ser realizado neste ano em sua forma original.""",2020-05-12,https://g1.globo.com/pop-arte/cinema/noticia/2020/05/12/cannes-planeja-exibicao-de-filmes-selecionados-para-73a-edicao-em-outros-festivais-de-cinema-do-2o-semestre.ghtml
Cidade das Artes vai inaugurar cinema drive-in; parte da renda irá para ONGs e profissionais da cultura,"A Cidade das Artes, na Zona Oeste do Rio, deve inaugurar um drive-in até o fim do mês. A tela será montada a partir da próxima semana. O cinema ocupará um espaço no estacionamento da Cidade das Artes e terá capacidade para 150 automóveis.  Parte da renda obtida na iniciativa será destinada aos trabalhadores do setor cultural, um dos mais afetados pela pandemia do novo coronavírus, e outras ONGs.  “A ideia surgiu em março, quando decretaram a quarentena. Foi um balde de água fria no setor cultural. E eu vi meu planejamento do ano ir todo por água abaixo, com o cancelamento de todas as apresentações, musicais, de shows”, contou Renata Monteiro, presidente da Cidade das Artes.  A ideia é, em meio à tensão causada pela pandemia, oferecer um alívio sem romper as regras de afastamento social.  “Eu quero que as pessoas tenham o prazer de entrar no carro e sair de casa. Mas elas só saem do carro quando voltam para casa. Compram tudo on-line: a comida, o refrigerante, a cerveja, a pipoca, ou mesmo os ingressos. Não tem contato físico com ninguém”, explicou Renata.  Os filmes exibidos devem ser, em sua maioria, comédias. O cartaz da abertura deve ser “Deus é brasileiro”, de Cacá Diegues. Uma homenagem aos 80 anos do cineasta, que faz aniversário dia 19 deste mês.  A previsão de abertura do cinema depende de possíveis medidas que possam restringir a circulação no Rio. Mas a ideia é funcionar de terça a domingo, inicialmente com uma sessão. Caso a demanda seja grande, mais exibições serão abertas ao público.  Outros cinemas no modelo drive in estão previstos para serem inaugurados no Rio. Um deles será no estacionamento da Jeunesse Arena, também na Barra da Tijuca. A previsão de início é dia 28 de maio e a temporada de filmes dentro do carro irá até o fim do mês de junho.  Cada sessão, com duração de quatro horas, custará R$ 100 por automóvel.",2020-05-08,https://g1.globo.com/rj/rio-de-janeiro/noticia/2020/05/08/cidade-das-artes-vai-inaugurar-cinema-drive-in-parte-da-renda-ira-para-ongs-e-profissionais-da-cultura.ghtml
"Prefeito de Patos, PB, determina fechamento dos mercados públicos, shoppings e comércio","O prefeito interino de Patos, Ivanes Lacerda, decretou o fechamento dos mercados públicos da cidade, por meio de um decreto publicado no Diário Oficial do Municipío desta segunda-feira (11). Outras medidas temporárias e emergenciais de prevenção do contágio pela Covid-19 também estão expostas na publicação, como recomendações ao setor privado da cidade.  Fica decretada a permanência da suspensão de funcionamento de academias, ginásios esportivos públicos e privados, shoppings, galerias, centros comerciais como o Mercado Público Juvino Lilioso, Mercado Darcílio Wanderley, bares, restaurantes, casas noturnas, boates e estabelecimentos similares; cinemas, teatros, circos, parques de diversão e estabelecimentos congêneres, públicos e privados.  O decreto também determina a obrigatoriedade da utilização de máscaras de proteção facial, em todos os espaços públicos, e estabelecimentos comerciais, em todo o território municipal, ainda que produzida de forma artesanal ou caseira, por tempo indeterminado.  As novas medidas tomadas pelo prefeito interino acontecem devido ao crescente aumento da quantidade de casos diagnosticados em todo o território nacional, como também na Paraíba e em Patos, assim como fundamentado nas últimas recomendações do Ministério Público Federal, Ministério Público Estadual e Defensoria Pública do Estado.  Também devem permanecer fechados lojas e estabelecimentos comerciais. Outras determinações foram a suspensão de acessos às praças para prática de qualquer atividade, a permanência das pessoas em ruas e logradouros públicos, tais como praças, alamedas, entre outros, para evitar aglomerações, nesse devendo ser interrompidas reuniões para prática de atividades sociais, esportivas ou culturais, ressalvando o direito de ir e vir da população, desde que estejam utilizando máscaras.  A suspensão de abertura de bares, restaurantes, lanchonetes não alcançam aqueles que funcionam no interior de hotéis, pousadas ou similares, desde que os serviços sejam prestados exclusivamente aos hóspedes.  Restaurantes, lanchonetes e estabelecimentos congêneres poderão funcionar exclusivamente para entrega em domicílio (delivery), inclusive por aplicativos, e como pontos de coleta pelos próprios clientes (takeaway). Esses estabelecimentos que funcionam em rodovias, desde que não localizados em áreas urbanas devem funcionar e apenas para o fornecimento de alimentação pronta, devendo priorizar o atendimento aos motoristas de transporte de carga, respeitando a distância mínima de 2 metros entre os clientes e observando as demais regras sanitárias.  Lojas e outros estabelecimentos comerciais poderão funcionar, exclusivamente por meio de serviço de entrega de mercadorias (delivery), inclusive por aplicativos, vedado, em qualquer caso, o atendimento presencial de clientes dentro das suas dependências.  Podem funcionar os seguintes estabelecimentos:  Em caso de descumprimento das medidas previstas no decreto, as autoridades competentes devem apurar as eventuais práticas de infrações administrativas previstas no artigo 10 da Lei Federal n° 6.437, de 20 de agosto de 1977, bem como do crime previsto no artigo 268 do Código Penal, suspensão do alvará de funcionamento por 30 dias, podendo ser cassado por tempo indeterminado, podendo inclusive ser feito o uso de força policial para o fechamento.",2020-05-11,https://g1.globo.com/pb/paraiba/noticia/2020/05/11/prefeito-de-patos-pb-determina-fechamento-dos-mercados-publicos-shoppings-e-comercio.ghtml
Cinema e academia de shopping em MT continuam fechados mesmo após decreto permitir abertura,"O cinema e academia do Várzea Grande Shopping, na região metropolitana de Cuiabá, continuam fechados, apesar de o decreto da prefeitura permitir a abertura a partir desta terça-feira (5).  O fechamento desses estabelecimentos, segundo o shopping, é uma forma de prevenir a disseminação do novo coronavírus, já que esses locais costumam ter aglomeração de pessoas.  O Várzea Grande Shopping reabriu no último dia 24 de abril, após o decreto nº 29/2020, da Prefeitura Municipal de Várzea Grande. No entanto, apenas as lojas, praça de alimentação e serviços essenciais estão funcionando.  Seguindo as recomendações do decreto, o local está com atendimento em 50% de sua capacidade.  De acordo com o centro comercial, será permitida apenas a entrada de clientes usando máscaras.  Além disso, para os pedestres, apenas a entrada principal do shopping, localizada em frente à rotatória está aberta. Já para veículos, estão abertos os acessos da Avenida Fuad Auada (rua do córrego) e Filinto Muller. Pelo estacionamento, para acessar o shopping o cliente deve dirigir-se a entrada da Alameda de Serviços.  O local conta ainda com dispensers de álcool 70%, marcações no piso, recomendando distância de segurança entre as pessoas. As medidas de segurança se estendem ainda aos banheiros, sendo que apenas parte deles estão em funcionamento. Já o fraldário e os bebedouros permanecem desativados.  Conforme o último boletim divulgado pela Secretaria Estadual de Saúde (SES-MT), nessa segunda-feira (4), Várzea Grande tem 17 casos confirmados da Covid-19.  Em todo o estado, são 344 casos e 13 mortes pela doença.  Veja mais notícias do estado no G1 Mato Grosso.",2020-05-05,https://g1.globo.com/mt/mato-grosso/noticia/2020/05/05/cinema-e-academia-de-shopping-em-mt-continuam-fechados-mesmo-apos-decreto-permitir-abertura.ghtml
Festivais on-line podem amenizar os prejuízos do cinema de arte? ,"Os grandes festivais de cinema de arte que agitavam Cannes, Veneza, Toronto e outras cidades migraram para a internet durante a pandemia da Covid-19. Mas um dos objetivos ainda é o mesmo: dar visibilidade aos filmes que ficaram prontos no primeiro semestre, mas não chegaram aos cinemas.  São produções independentes ou de pequenas produtoras em busca de uma chance de serem vistas e compradas por exibidores de todo o mundo.  A ida para o streaming é parte do rearranjo da indústria do cinema para enfrentar a crise de salas fechadas. O distanciamento impacta produtores, distribuidores e exibidores. Até o Oscar mudou suas regras e, pela primeira vez, vai aceitar concorrentes só exibidos na internet.   Passar pelo crivo dos festivais é crucial para filmes que não são blockbusters ou feitos por grandes estúdios.  ""É preciso ter essa curadoria. Os filmes independentes largam sem força na disputa pela atenção das pessoas. Quando é selecionado por um festival importante, ele melhora suas chances com o público"", explica Jean-Thomas Bernardini, da distribuidora Imovision. Ele é dono do Reserva Cultural, cinema de São Paulo.  Além disso, os festivais on-line ajudam a aproximar o cinema das pessoas em casa. “É melhor ficar em contato com cinema do que não ficar”, diz Jean Thomas.  Para André Sturm, curador do cinema Petra Belas Artes, em São Paulo, também é importante promover os filmes que não ficaram tempo suficiente em cartaz.  “Para os distribuidores e exibidores, é um prejuízo que não tem como recuperar. Eu espero que tenhamos, quando os cinemas voltarem, uma demanda reprimida, de gente com muita vontade de sair de casa, com saudades de ir ao cinema.""  O Festival Varilux de Cinema Francês criou uma versão para a internet, enquanto seus organizadores estruturam o festival para os cinemas, com previsão para antes do final do ano.  ""Conseguimos apoio da embaixada da França, sem ela não teríamos conseguido realizar. Mas fizemos por questão de solidariedade, para ajudar as pessoas e amenizar a situação"", conta Christian Boudier, um dos organizadores.  Uma parte do orçamento foi utilizada para pagar os direitos dos filmes às distribuidoras durante os quatro meses em que eles ficarão no ar. “É uma pequena forma de ajudá-las em um momento tão difícil, mas a maior parte de sua receita vem do cinema"", diz.  O financiamento da Lei Rouanet recebido pelo festival no final do ano passado vai ajudar a aliviar o pagamento das contas. Segundo Boudier, ele representa 40% do orçamento da mostra: ""Estamos com perspectiva de perder 50% do financiamento tradicional do festival.""  O streaming pode aparecer como solução parcial para absorver o grande número de títulos que ainda estavam em cartaz. A Imovision disponibilizou parte de seus filmes no Globoplay, e o Belas Artes abriu sua plataforma, O Belas Artes à la Carte, em abril.  O serviço teve 50 mil acessos durante o período em que ficou aberto. Segundo a assessoria de imprensa do cinema, o número foi muito superior ao registrado normalmente.  Mas a luta de filmes independentes por atenção nos serviços sob demanda ainda é a principal dificuldade das distribuidoras, diz Jean Thomas.  Ele explica que para conseguir ter força em uma plataforma com um catálogo amplo, os filmes precisam investir em marketing. ""É diferente do cinema, quando você vai a uma sala, que geralmente conhece e gosta da programação, e tem uma pequena seleção à disposição.""  Para Sturm, o impacto é diferente para o segmento independente: “O cinema de arte é feito, em geral por empresas pequenas, que têm menos capital de giro e sofrem mais com zero receita. Mas os gastos também são menores.""  Uma saída tem sido o crowdfunding (as populares vaquinhas on-line). ""Abrimos uma campanha de financiamento coletivo. Muitas pessoas contribuíram. Em troca, oferecemos filmes para ver na internet, ingressos para quando o cinema reabrir e brindes"", diz Sturm.  Na luta pelo financiamento, velhos hábitos ganharam força: a venda de DVDs e os cinemas drive-in. No Brasil, a Imovision voltou a vender títulos que fizeram sucesso no Brasil em DVD e blu-ray. Jean Thomas diz que é uma aposta, mas foi muito estudada.  ""Na primeira semana, vendemos mil [cópias]. É muito animador. Não sei se vai continuar, mas eu sei que já ganhamos essa aposta. Mantém a cumplicidade com o público e, quem sabe, a gente ganha um lucro com isso"", diz.  Os cinemas drive-in, em que as pessoas assistem aos filmes dentro de seus carros, aparecem como alternativa para ver filmes nas telonas. No Brasil, uma cinema do Distrito Federal voltou a funcionar neste final de semana após um decreto do governo distrital. Segundo a imprensa americana, o formato também ganhou força nos Estados Unidos, que ainda tem mais de 300 cinemas do tipo.  Para exibidores e distribuidores, a reabertura das salas não vai significar, imediatamente, a recuperação do cinema como negócio. ""A questão é quando vamos reabrir e quando o público vai aceitar entrar de novo em um cinema. A reabertura é muito complicada e complexa”, pondera Boudier.  Espera-se que as pessoas ainda fiquem com medo de frequentar cinemas mesmo após a reabertura oficial, por ser um local fechado, com aglomeração e ar condicionado.  Além disso, as salas precisarão se readequar e diminuir sua capacidade. E os cinemas precisarão aumentar gastos com higienização.  Jean Thomas diz que o governo terá que intervir para dar força aos filmes independentes. ""O governo vai precisar lutar contra a pirataria e limitar a exibição de blockbusters, para impedir que um filmes ocupe 80% das salas como já ocorreu.""",2020-05-05,https://g1.globo.com/pop-arte/noticia/2020/05/05/festivais-on-line-podem-amenizar-os-prejuizos-do-cinema-de-arte.ghtml
'Passeio em Casa' é alternativa de cinema durante o isolamento social,"Para ajudar as pessoas a se entreterem dentro de casa durante o isolamento social necessário por causa da pandemia do novo coronavírus, o Cine Passeio de Curitiba lançou um projeto multimídia gratuito. É o ""Passeio em Casa"".  A sala de cinema virtual Cine Vitória é uma plataforma que exibe filmes selecionados, como ""Meu Amigo Hindu"" e ""Revolução em Paris"".  O projeto também traz o podcast Passeio, além das Conversas sobre Cinema – com bate-papos e aulas.  O podcast vai estrear nesta sexta-feira (1º).  Já as Conversas sobre Cinema começam no sábado (2). Elas sempre serão realizadas aos sábados, das 15h às 17h. Para participar, é preciso se inscrever previamente no site.  Veja mais notícias do estado no G1 Paraná.",2020-05-01,https://g1.globo.com/pr/parana/o-que-fazer-no-parana/noticia/2020/05/01/passeio-em-casa-e-alternativa-de-cinema-durante-o-isolamento-social.ghtml
Coronavírus: cinema de rua de BH disponibiliza programação online,"Por causa da pandemia de coronavírus, o Cine 104, cinema de rua localizado no centro de Belo Horizonte, teve de ser fechado temporariamente. Mesmo sem poder receber o público, o espaço segue exibindo sua programação, mas agora na internet.  A iniciativa começou na semana passada e conta com produções que seriam exibidas ao longo do ano no cinema.  A cada semana, dois filmes são disponibilizados de forma online ao público e cada um deles pode ser assistido dentro de 48 horas.  Desta vez, serão apresentadas produções franco-canadenses. Nesta quarta-feira (29), entra em cartaz, Antologia da Cidade Fantasma, de Denis Côté.  A narrativa do longa se desenvolve a partir da morte de um homem em um acidente de carro em uma pequena cidade isolada e com uma população de pouco mais de 200 habitantes. Os moradores atordoados se mostram relutantes em discutir as circunstâncias da tragédia. Mas algo acontece na região e estranhos começam a aparecer.  Já nesta sexta-feira (1º), começa a ser exibido Apesar da Noite, de Philippe Grandrieux. O filme conta a história de Lenz ao retornar à França e se envolver e uma trama de amor febril e de ciúmes, em um cenário de tristeza, paixão e autodestruição.  O link dos filmes será liberado às 12h do dia de cada exibição no site do Cine 104.",2020-04-29,https://g1.globo.com/mg/minas-gerais/noticia/2020/04/29/coronavirus-cinema-de-rua-de-bh-disponibiliza-programacao-online.ghtml
'Todas as Mulheres do Mundo': clássico do cinema brasileiro vira série no Globoplay,"A história de um grande clássico do cinema brasileiro acaba de virar série no Globoplay. Todas as Mulheres do Mundo é baseada no filme de Domingos de Oliveira, lançado em 1966.  É a história do Paulo, arquiteto, poeta e apaixonado pela poesia, pela liberdade e pelas mulheres. O personagem era interpretado por um xará: Paulo José, a quem o atual Paulo, o ator Emilio Dantas, pediu conselhos.  “É uma paixão pelo feminino e uma paixão também pela vontade de entender esse universo. Então, ele é um cara que quanto mais aprofunda nesse universo, mais ele entende, mais ele fica confuso”, conta Emilio.  A série de 12 capítulos foi gravada no ano passado, antes das medidas de confinamento que a pandemia do coronavírus nos trouxe. Mas agora que a quarentena é uma realidade, Todas as Mulheres do Mundo é um respiro. Fala de amor, de delicadeza, de liberdade e de como vale a pena gostar da vida - apesar da vida ser dura.  Ouça o podcast do Fantástico:",2020-04-27,https://g1.globo.com/fantastico/noticia/2020/04/26/todas-as-mulheres-do-mundo-classico-do-cinema-brasileiro-vira-serie-no-globoplay.ghtml
Jesus Chediak morre de Covid-19 no Rio de Janeiro,"Morreu nesta sexta-feira (8) de Covid-19, no Rio de Janeiro, o produtor de cinema, diretor teatral e jornalista Jesus Chediak, aos 78 anos.  A informação foi confirmada pela Associação Brasileira de Imprensa (ABI), onde ele era diretor de Cultura. Chediak também era curador da Secretaria de Cultura e Economia Criativa do Rio.  Chediak estava internado na UTI do Hospital Assim do Méier, na Zona Norte do Rio de Janeiro. Nesta sexta, ele teve complicações cardíacas decorrentes do vírus e não resistiu.  De acordo com a assessoria da unidade, ele deu entrada na segunda-feira (4) com um quadro de problemas respiratórios e foi para a unidade intensiva na terça (5), após exames constatarem o quadro de Covid-19.  Chediak também foi secretário de Cultura de Duque de Caxias, na Baixada Fluminense, professor da UFBA e diretor da Casa França-Brasil. O município lamentou a morte e declarou luto oficial por três dias na cidade.  Ele deixa mulher e filhos.",2020-05-08,https://g1.globo.com/rj/rio-de-janeiro/noticia/2020/05/08/jesus-chediak-morre-de-covid-19-no-rio-de-janeiro.ghtml
Maiores festivais de cinema do mundo se unem para evento de streaming de filmes por dez dias,"Mais de 20 festivais de cinema de todo o mundo se uniram para transmitir filmes de graça no YouTube depois que a pandemia do novo coronavírus fechou as salas de exibição e forçou o cancelamento dos eventos anuais em Cannes e Nova York.  Com duração de 10 dias, ""We Are One: A Global Film Festival"" terá conteúdo com curadoria dos festivais de Berlim, Cannes, Veneza, Sundance, Toronto e Tribeca, entre outros, a partir de 29 de maio, disseram os organizadores Tribeca Enterprises e YouTube em um comunicado emitido nesta segunda-feira (27).  O festival contará com filmes, documentários, música, comédia e conversas. Nenhum detalhe da programação foi anunciado e é improvável que grandes títulos novos que geralmente são lançados em festivais de cinema sejam incluídos.  O cancelamento do Festival Internacional de Cinema de Cannes na França em maio e incertezas sobre os festivais de Veneza e Toronto em setembro por causa do surto de coronavírus privaram os cineastas e estúdios cinematográficos de janelas cruciais para divulgar suas produções novas à mídia e ao público.  Os organizadores do festival de Cannes disseram nesta segunda-feira que têm orgulho de participar do evento no YouTube ""para destacar filmes e talentos verdadeiramente extraordinários, permitindo às plateias vivenciar tanto as nuances de como se contam histórias em todo o mundo quanto as personalidades artísticas de cada festival"".  Entre os outros festivais incluídos estão os de Jerusalém, Mumbai, Sarajevo, Sydney, Tóquio e Londres.  O festival será transmitido de graça, mas se pedirá aos espectadores que doem para o Fundo de Reação de Solidariedade da Covid-19 da Organização Mundial da Saúde (OMS).",2020-04-28,https://g1.globo.com/pop-arte/cinema/noticia/2020/04/27/maiores-festivais-de-cinema-se-unem-para-evento-global-de-streaming-de-filmes-por-dez-dias.ghtml
