Título,Notícia,Data,Link
"Com satélite de sucata, maranhenses de escola pública são os únicos do Nordeste em competição do INPE","Um dos destaques do Instituto Estadual de Educação, Ciência e Tecnologia do Maranhão (IEMA), em 2019, foi o trabalho com nanossatélites desenvolvido pelo Grupo de Estudos Aeroespaciais (GEA) da unidade plena de Axixá.  A iniciativa rendeu aos estudantes a classificação para a participação no 3º CubeDesign, competição realizada pelo Instituto Nacional de Pesquisa Espaciais (INPE). A terceira edição do evento foi adiada para o ano vem, devido à pandemia do novo coronavírus. A competição acontece em julho de 2021, em São José dos Campos (SP).  A equipe composta por alunos, ex-alunos e professores foi a primeira do Maranhão selecionada para a disputa, única entre as escolas públicas do Nordeste. A classificação veio através da submissão de um projeto de nanossatélite, o CanSat – pequeno satélite construído à base de sucata e produtos de baixo custo.  Para a gestora geral da unidade plena de Axixá, Léa Cristina, o grupo trabalha desde sua criação, em 2018, visando a essa conquista. “Estamos radiantes com a classificação da nossa equipe que foi selecionada para participar do maior evento de satélites do Brasil. Estar entre os melhores era nosso sonho desde quando começamos a trabalhar com satélites na unidade”, declarou.  De acordo com o coordenador de laboratórios do IEMA, Jonny Erick, a conquista é motivo de muito orgulho. “Estudar pequenos satélites é muito complexo, pois nossas referências são todas em língua estrangeira e temos poucas bibliografias no nosso país. Estudamos muito, contamos com a ajuda de pesquisadores do Instituto Federal do Rio de Janeiro (IFRJ), buscamos tradução dos artigos em inglês para conseguir avançar no projeto. Estamos muito felizes, pois é a concretização de um sonho”, contou Jhonny, acrescentando que é muito importante representar o Maranhão e as escolas públicas do Nordeste.  O ex-aluno Samuel Amaral, que participa do Grupo de Estudos, destacou a relevância da classificação. “Para nós que estamos dedicados ao projeto significa que exercemos nossa autonomia e alcançamos aquilo que sonhamos desde a criação do grupo. O CubeDesign é um sonho antigo. É muito gratificante estar entre os classificados, pois trabalhamos duro para alcançarmos esse êxito”, destacou.",2020-05-20,https://g1.globo.com/ma/maranhao/noticia/2020/05/20/com-satelite-de-sucata-maranhenses-de-escola-publica-sao-os-unicos-do-nordeste-em-competicao-do-inpe.ghtml
Aplicativo que ajuda produtores rurais na pandemia é premiado em competição da USP São Carlos,"Uma equipe que tem a participação de dois alunos da Universidade de São Paulo (USP), de São Carlos (SP), foi premiada no Sancathon - marona tecnológica promovida pela USP e que terminou sua terceira edição nesta quarta-feira (13) - com um aplicativo que permite a compra coletiva de insumos entre restaurantes e produtores hortifrutigranjeiros.  A competição tinha como proposta o desenvolvimento de soluções inovadoras para a resolução de problemas gerados pela pandemia de coronavírus na cadeia do setor alimentício, principalmente para bares e restaurantes que não podem abrir durante a quarentena.  O grupo, que além dos estudantes de São Carlos, tem integrantes do Rio de Janeiro, Salvador, Porto Alegre e Itatiba, focou no objetivo de facilitar que os alimentos cheguem com mais qualidade e de forma mais rápida ao destino final, minimizando custos de logística e perdas de produção.  O projeto conquistou o terceiro lugar na competição e ganhou R$ 1 mil, acesso a diversas plataformas de inovação, ingressos para eventos de empreendedorismo e mentorias para colocar em prática o aplicativo.  A ideia do Hort-e, nome dado pelo grupo, surgiu da dificuldade que os restaurantes estavam enfrentando para comprar hortifrutis frescos, já que devido ao isolamento diversas feiras foram fechadas.  Em contrapartida, os produtores rurais não estavam conseguindo mais vender seus insumos, já que dependem muito dos distribuidores para intermediar as vendas e que, com a pandemia, também estão sofrendo problemas.  A plataforma faz a ligação entre clientes e produtores usando alguns critérios que podem facilitar a operação, como a logística.  Os restaurantes entram no aplicativo e cadastram sua demanda. Do outro lado, os produtores cadastram os produtos que têm para oferecer. O aplicativo, então, aproxima comprador e vendedor e organiza a entrega de forma inteligente tecnologicamente.  De acordo com uma pesquisa do grupo, cerca de 90% dos produtores entrevistados disseram nunca ter vendido algo por aplicativo ou internet. Segundo a equipe, isso acontece porque os produtores encontram dificuldades em mudar velhos hábitos e dependências.  Com o aplicativo, há essa implementação da tecnologia no campo de forma simples e pela qual os pequenos produtores conseguirão aumentar suas vendas, fazendo com que eles prosperem. Para Montanhez, o aplicativo também tem a pretensão de ajudar a mudar a percepção da sociedade sobre quem vive na zona rural.  “Hoje, é comum você ouvir que a pessoa que ficou no campo o faz por ser fracassada, por não ter inteligência ou força para conseguir um ‘emprego de verdade na cidade’”, afirmou o gestor comercial.  O Sancathon é realizado desde 2018 e, este ano, foi organizado pelo Centro Avançado da Escola de Engenharia de São Carlos da USP para apoio à Inovação (EESCIn), o Núcleo de Empreendedorismo da USP São Carlos (NEU-SC) e a Semana da Integração da Engenharia Elétrica (SIEEL), em parceria com a empresa americana Cargill Foods.  A primeira etapa do desafio consistia na imersão dos participantes, que tiveram acesso a diversas lives com convidados de empresas de Food Service. “Ao mesmo tempo, havia a correria dos participantes para montarem suas equipes”, explicou o organizador e estudante da USP São Carlos, Matheus Jacobsen.  Na segunda fase, os grupos começaram o desenvolvimento dos projetos, apoiados por mentores convidados. “Eles estavam sempre dispostos a ajudar e eram muito acessíveis”, disse a estudante da Unesp Araraquara, Isabelle Zacarias, participante de outra equipe.  Com a entrega das ideias, os jurados selecionaram 20 times para a última fase, na qual cada grupo recebeu R$ 1 mil para validar e testar sua solução. No final, três soluções foram destacadas.  Sempre feito presencialmente, o SancaThon teve sua primeira edição online. Para a comunicação fluir, plataformas gratuitas como Discord, Trello, Youtube e Shawee foram utilizadas, o que facilitou a integração entre todo o Brasil.  “O fato de ter sido online agregou muito para potencializar a experiência, dando acesso a quem está longe participar, coisa que, presencialmente, impossibilitaria alguns membros de locais distantes”, disse o estudante Enzo de Souza, morador do Rio Grande do Norte.  Segundo a organização, a repercussão foi surpreendente: foram 495 Inscritos de 127 cidades de 22 estados do Brasil e também de outros países como Itália, Argentina e Portugal.  *Sob supervisão de Fabiana Assis, do G1 São Carlos e Araraquara.   Veja mais notícias da região no G1 São Carlos e Araraquara.",2020-05-17,https://g1.globo.com/sp/sao-carlos-regiao/noticia/2020/05/17/aplicativo-que-ajuda-produtores-rurais-na-pandemia-e-premiado-em-competicao-da-usp-sao-carlos.ghtml
Competição da USP São Carlos busca soluções para ajudar bares e restaurantes,"A Escola de Engenharia de São Carlos (EESC) da Universidade de São Paulo (USP) realiza entre 25 de abril e 11 de maio a terceira edição da competição SancaThon que, pela primeira vez, será online.  O objetivo do evento este ano é buscar soluções para os desafios enfrentados pelo ramo alimentício após a crise da Covid-19. São oferecidas 300 vagas, com inscrições gratuitas até 24 de abril pelo site do evento.  Os selecionados deverão propor em uma semana o desenvolvimento de modelos de negócios, produtos, serviços e tecnologias para o food service. O primeiro lugar ganhará R$ 2,5 mil e três meses de acesso gratuito à plataforma Alura.  O evento é realizado desde 2018 em parceria com o Centro Avançado EESC para apoio à Inovação (EESCIn), a empresa americana Cargill Foods, o Núcleo de Empreendedorismo da USP São Carlos (NEU-SC) e a Semana da Integração da Engenharia Elétrica (SIEEL).  Antes e durante o início da competição, os participantes terão acesso a conteúdos e mentorias de especialistas para entenderem o contexto do atual cenário e as necessidades dos empresários, além de sanar dúvidas.  Para participar, é necessário ter mais de 18 anos e ser da área de desenvolvimento, design, marketing ou negócios. Os grupos podem ser de quatro a seis pessoas, desde que a equipe possua pelo menos um membro com cada habilidade exigida.  Após o término da primeira semana, as equipes deverão gravar uma vídeo de cinco minutos que apresente a solução criada à banca avaliadora. Na segunda etapa, até 20 equipes serão selecionadas e receberão R$ 1 mil para aperfeiçoarem suas ideias.  Os três melhores grupos, além de receberem os prêmios nos valores, respectivamente, de R$ 2,5 mil, R$ 1,5 mil e R$ 1mil, terão a possibilidade de ter apoio financeiro por parte de investidores ou negociarem a propriedade intelectual.  Segundo o professor do Departamento de Engenharia Elétrica e de Computação (SEL) da EESC e um dos colaboradores da iniciativa, José Carlos de Melo, o mercado de food service tem sofrido um alto impacto em função do coronavírus.  Para o diretor geral da Cargill Foods da América do Sul, Augusto Lemos, a SancaThon será uma oportunidade de estimular a criação de soluções para combater a crise pela qual o setor está passando.  “Estamos vivenciando um momento de incertezas, onde teremos que buscar novas alternativas para antigos hábitos e negócios. Queremos trazer ideias e inovação para pensarmos sobre as tendências para o food service”, explicou.  As questões que mais preocupam os empresários é o desemprego após a pandemia e a reformulação do modelo de trabalho, já que muitos restaurantes adotam o sistema de atendimento self-service, uma prática que está proibida por tempo indeterminado.  Veja mais notícias da região no G1 São Carlos e Araraquara.",2020-04-19,https://g1.globo.com/sp/sao-carlos-regiao/noticia/2020/04/19/competicao-da-usp-sao-carlos-busca-solucoes-para-ajudar-bares-e-restaurantes.ghtml
Estudante de Canoas vence competição nacional com jogo de combate à Covid-19,"Um estudante da cidade de Canoas, na Região Metropolitana de Porto Alegre, criou um jogo de computador que tem como objetivo combater o coronavírus.  Com o game ""Combate ao Covid-19"", Victor Gabriel Pitrosky Agostini, de 11 anos, foi o vencedor da competição nacional SuperGameJAM, promovida pela SuperGeeks, uma escola de programação e robótica para crianças e adolescentes.  No game, o jogador comanda um ""ninja"" que atira vacinas para salvar as pessoas do coronavírus. E a medida que os idosos aparecem no jogo, precisam ser colocados em isolamento.  ""Cada um que a gente mata com as vacinas, adiciona três pessoas curadas da doença no placar. Conforme vamos pegando esses idosos e colocando em casa, vai avançando nosso nível. Tem também o álcool em gel e as máscaras que, quanto mais temos, mais vacinas conseguimos"", diz.  Victor explica que o número de pessoas curadas define o nível que cada jogador alcança. ""São cinco níveis: técnico em enfermagem, enfermeiro, médico residente, médico e médico especialista"".  De acordo com o estudante, por enquanto, ninguém conseguiu chegar ao nível máximo do jogo.  Devido à pandemia da Covid-19, a competição da SuperGeek foi realizada totalmente online e teve como tema “Todos contra o Coronavírus”. Alunos de todo país participaram da competição, que acontece anualmente.  “Ao desenvolver meu jogo, aprendi a criar games mais bem feitos e elaborados, pois fiquei horas estudando, assim como melhorei a minha concentração e fui disciplinado. O fato da competição ter sido online também foi bom, pois eu pude escolher o melhor horário e me dedicar bastante”, conta Victor.  Para fazer o game, Victor conta que precisou se informar.  Foram necessários apenas cinco dias para desenvolver o game. ""Eu me dedicava ao meu jogo cerca de três horas por dia"", conta Victor.  “Quanto mais cedo puder começar é melhor, pois é muita coisa para descobrir e se aperfeiçoar. Estou construindo o meu futuro e já sei que pretendo trabalhar na área de criação de jogos”, finaliza.  O estudante ganhou uma bolsa de estudos na escola de programação e robótica.",2020-05-06,https://g1.globo.com/rs/rio-grande-do-sul/noticia/2020/05/06/estudante-de-canoas-vence-competicao-nacional-com-jogo-de-combate-a-covid-19.ghtml
"Após denúncia de maus-tratos, policiais descobrem rinha de galo em Nova Prata do Iguaçu","A Polícia Militar (PM) descobriu uma rinha de galo em Nova Prata do Iguaçu, no sudoeste do Paraná. A competição ilegal ocorria em uma propriedade rural e foi descoberta após uma denúncia anônima, no sábado (16).  De acordo com a polícia, havia cerca de 50 pessoas no galpão da propriedade, mas a maioria fugiu ao perceber a chegada da equipe. Dentre eles, 11 pessoas ficaram no local. Elas foram levadas ao cartório para assinarem um termo circunstanciado pelo crime maus-tratos aos animais e, depois, foram liberadas.  Segundo a PM, foram encontrados 20 galos no galpão, sendo que cinco deles estavam bastante machucados. Os animais continuaram com os donos e, conforme a polícia, serão encaminhados para outro local após decisão da Justiça.  Entre as pessoas abordadas no local, conforme a polícia, estavam a dona da propriedade rural e o filho dela. O marido da proprietária, que seria o organizador da rinha, fugiu e não tinha sido localizado até a publicação desta reportagem.  No local foram encontrados e queimados 11 ringues onde os animais eram colocados para brigar, de acordo com a PM.  Conforme a polícia, as rinhas eram organizadas por um aplicativo de mensagens. Os celulares dos organizadores foram apreendidos e, por isso, todos os que estavam no grupo da competição ilegal foram identificados e poderão responder pelo caso.  Veja mais notícias da região no G1 Oeste e Sudoeste.",2020-05-17,https://g1.globo.com/pr/oeste-sudoeste/noticia/2020/05/17/apos-denuncia-de-maus-tratos-policiais-descobrem-rinha-de-galo-em-nova-prata-do-iguacu.ghtml
26 pessoas que participavam de competição de 'canto de pássaros' são detidas por descumprirem isolamento social no RN,"Pelo menos 26 pessoas foram detidas e levadas à delegacia, na manhã deste domingo (26), por descumprirem as normas do decreto que proíbe aglomerações e eventos com mais de 20 participantes durante a pandemia do novo coronavírus no Rio Grande do Norte. Elas estavam em uma competição de ""canto de pássaros"" da espécie papa-capim em Parnamirim, na Grande Natal.  De acordo com a Companhia Independente de Proteção Ambiental (Cipam), outras pessoas também participavam do evento, mas conseguiram fugir quando perceberam a chegada das equipes.  Os envolvidos foram levados ao complexo de delegacias da avenida Ayrton Senna, na Zona Sul da capital. De acordo com a Polícia Ambiental, a maior parte dos animais são anilhados e legalizados, porém o evento não tinha autorização do Ibama para acontecer, além de provocar aglomeração de pessoas, o que está proibido pelo decreto estadual para prevenção da Covid-19.  O caso foi flagrado em uma espécie de galpão de uma casa de recepções no bairro de Nova Esperança. No local, além das gaiolas com pássaros, a polícia encontrou troféus e fichas. Os envolvidos e os pássaros foram levados ao complexo de delegacias onde está funcionando um plantão especial para casos de descumprimento ao decreto.  Ao todo, foram encontrados 54 pássaros anilhados (legalizados) e 4 sem sem anilha, além de cinco 5 animais que não tiveram dono identificado.  Na delegacia, os envolvidos eram ouvidos pelo delegado de plantão até a publicação desta matéria. Eles deverão ser liberados, mas responderão pelos atos. Os pássaros legalizados também deverão ser devolvidos aos donos, segundo a PM.",2020-04-26,https://g1.globo.com/rn/rio-grande-do-norte/noticia/2020/04/26/26-pessoas-que-participavam-de-competicao-de-canto-de-passaros-sao-detidas-por-descumprirem-isolamento-social-no-rn.ghtml
Por que o Polo Norte Magnético da Terra está migrando do Canadá para a Rússia,"Um grupo de cientistas europeus acredita que finalmente descobriu por que o Polo Norte magnético está se deslocando.  Nos últimos anos, ele se afastou do Canadá e seguiu para a Sibéria, na Rússia.  O deslocamento foi tão rápido que tem obrigado os cientistas a fazer atualizações mais frequentes nos sistemas de navegação por GPS, incluindo aqueles que são usados nos mapas dos smartphones.  A equipe, liderada pela Universidade de Leeds, na Inglaterra, diz que o comportamento é explicado pela competição entre duas massas magnéticas no núcleo externo da Terra.  Mudanças nos fluxos de material derretido no interior do planeta têm alterado a força das áreas de fluxo magnético negativo.  ""É por isso que o Polo Norte deixou sua posição histórica sobre o Ártico canadense e cruzou a Linha Internacional de Data. O norte da Rússia está vencendo o cabo de guerra"", disse ele à BBC.  A Terra tem três polos na sua parte superior.  Um Polo Geográfico, que é o ponto na superfície do eixo de rotação do planeta. O Polo Geomagnético, que é o local que melhor se encaixa a um dipolo clássico (sua posição muda pouco).  E depois há o Polo Norte magnético, onde as linhas de campo são perpendiculares à superfície. Este é o que está se movendo.  Foi identificado pela primeira vez na década de 1830 pelo explorador James Clark Ross quando este se encontrava em Nunavut, território autônomo no nordeste do Canadá.  Naquela época, esse polo não se movia muito longe, nem muito rápido.  Mas, nos anos 1990, começou a se mover para latitudes cada vez mais altas, cruzando a Linha Internacional de Data no final de 2017. No processo, ficou a algumas centenas de quilômetros do Polo Geográfico.  Usando dados de satélites que têm medido e acompanhado a evolução do campo magnético da Terra nos últimos 20 anos, Livermore e seus colegas tentaram modelar as oscilações do Polo Norte Magnético.  Dois anos atrás, quando apresentaram suas ideias pela primeira vez na reunião da União Geofísica Americana, no Estado de Washington, sugeriram que poderia haver uma conexão com um jato (fluxo em alta velocidade) de ferro derretido na região mais externa do núcleo do planeta avançando em alta velocidade rumo a oeste sob o Alasca e a Sibéria.  Mas os modelos não se encaixavam completamente e a equipe agora revisou sua avaliação para se alinhar com um outro regime de fluxo.  ""O jato está ligado a latitudes setentrionais muito altas e a alteração do fluxo no núcleo externo, responsável pela mudança na posição do polo, está, na realidade, mais ao sul"", explica Livermore.  ""Há também o problema do momento das ocorrências. A aceleração do jato ocorre nos anos 2000, enquanto a aceleração do polo começa nos anos 90"".  O modelo mais recente da equipe indica que o polo continuará avançando em direção à Rússia, mas, em algum momento, começará a ir mais lento. Em sua velocidade máxima, ele percorre de 50 a 60 km por ano.  ""Ninguém sabe se isso retrocederá ou não no futuro"", disse o cientista britânico à BBC.  O recente deslocamento do polo levou o Centro Nacional de Dados Geofísicos dos Estados Unidos e o Serviço Geológico Britânico a emitir uma atualização antecipada do Modelo Magnético Mundial em 2019.  Este modelo é uma representação do campo magnético da Terra em todo o mundo. Ele é incorporado a todos os dispositivos de navegação, incluindo smartphones modernos, para corrigir erros de bússola.  Livermore e seus colegas se apoiaram fortemente nos dados registrados pelos satélites da missão Swarm da Agência Espacial Europeia.  A equipe publicou sua pesquisa na revista Nature Geoscience.",2020-05-11,https://g1.globo.com/ciencia-e-saude/noticia/2020/05/11/por-que-o-polo-norte-magnetico-da-terra-esta-migrando-do-canada-para-a-russia.ghtml
Aplicativo de fila digital permite que usuário saia de casa apenas no horário de atendimento,"Um grupo composto por alunos e ex-alunos do curso de ciência da computação, da Universidade Federal de São Carlos (UFSCar), desenvolveu um aplicativo para diminuir a aglomeração de pessoas que aguardam atendimento em estabelecimentos.  Por meio da plataforma, o cliente poderá entrar em uma fila virtual, que mostra o tempo de espera, e não precisará ficar fora de casa por grandes períodos.  O protótipo da equipe de São Carlos (SP) foi elaborado em 48 horas durante uma competição online que tinha como objetivo usar a tecnologia para solucionar os desafios impostos pelo coronavírus na área de negócios.  O projeto foi selecionado como uma das melhores soluções para reduzir em curto prazo os impactos da pandemia na sociedade.  Foi o estudante Alcides Mignoso e Silva, de 21 anos, quem sugeriu a criação da fila digital após observar que a população continuava se aglomerando em bancos sem seguir as orientações do Ministério da Saúde para evitar a disseminação da Covid-19.  As filas digitais já eram usadas de outras formas por algumas organizações, mas, mesmo assim, muitas pessoas ainda não entendiam como funcionava na prática.  Para atender toda a população, os desenvolvedores buscaram criar uma plataforma de fácil acesso, na qual os usuários se organizam por ordem de chegada, mesmo sem estarem fisicamente no local.  O aplicativo vai disponibilizar aos clientes a quantidade de pessoas que serão atendidas antes deles, além do tempo de espera aproximado.  Segundo a universitária Renata Sarmet Smiderle Mendes, de 22 anos, o projeto também foi pensando para quem não pode instalar o software.  Apesar de não serem beneficiadas com a possibilidade de saírem de casa apenas no horário de atendimento, a medida evita prejuízos para quem não tem o aplicativo, já que a organização será a mesma de uma fila física.  O grupo realizou uma pesquisa de mercado para conseguir mais informações sobre o perfil dos usuários. O estudo contou com a participação de 500 pessoas e apenas 4% delas disseram que não usariam um aplicativo de fila digital.  Para Renata, os números são positivos e demonstram que a pandemia de coronavírus fez com que as pessoas repensassem certos hábitos para evitar a transmissão da Covid-19.  ""A gente sabe que a fila digital é uma mudança de conceito e que vai ser difícil para as pessoas assimilarem no começo, mas, nessa quarentena, a gente conseguiu evoluir muito. Antes, ninguém mexia em videochamada e agora todo mundo está fazendo live, então, não era comum e agora todo mundo está fazendo. Pensar numa fila virtual não é uma coisa comum, mas é uma coisa que o momento pede bastante"", explica a desenvolvedora.  Além de Alcides e Renata, os universitários Lorhan Sohaky de Oliveira Duda Kondo, de 22 anos, e Mariana Cavichioli Silva, de 23 anos, também participaram do desenvolvimento do projeto. O ex-aluno Leonardo Penna de Lima, de 21 anos, fez parte da equipe, mas precisou ser substituído ao final do hackathon pela recém-formada Bianca Garcia Martins, de 24 anos.  Os desenvolvedores deram prioridade para a parte visual e funcional do desenvolvimento do protótipo durante o fim de semana em que participaram do HackaTrouble. Agora, eles trabalham em melhorias para lançar o aplicativo até o fim de maio.  A funcionalidade principal do aplicativo será gratuita e todos vão poder usar as filas digitais. A plataforma também terá funções extras para os estabelecimentos que optarem pela versão premium. Os clientes ou estabelecimentos interessados em estrear o software podem entrar em contato pelo e-mail minhafiladigital@gmail.com.  Sob supervisão de Fabio Rodrigues, do G1 São Carlos e Araraquara.  Veja mais notícias da região no G1 São Carlos e Araraquara.",2020-05-11,https://g1.globo.com/sp/sao-carlos-regiao/noticia/2020/05/11/aplicativo-de-fila-digital-permite-que-usuario-saia-de-casa-apenas-no-horario-de-atendimento.ghtml
Admiradoras de natureza vencem concurso de fotografias virtual,"Mesmo respeitando a quarentena e o isolamento social as ações de conservação da natureza não podem parar. Por isso, a equipe do Instituto de Pesquisa e Conservação WAITA - organização não governamental com foco principal sobre animais vítimas do tráfico - realizou um concurso virtual de fotografia. Mais de 200 pessoas de todo Brasil enviaram cliques da fauna, tema do evento.  “Precisamos nos adaptar à essa nova rotina, por isso pensamos em alguma atividade que promovesse interação com nossos seguidores e contribuísse de alguma forma a passarmos por esse momento mais complicado”, comenta a bióloga e presidente da ONG, Fernanda de Souza Sá, que comemora o resultado da iniciativa.  “Ficamos muito felizes com o número de inscritos e a qualidade das fotos. Foi muito difícil escolher os 10 finalistas, por isso fizemos uma série de votações com a equipe técnica e abrimos a votação final ao público”, diz.  Foram 1942 votos para chegar ao resultado. No pódio, a médica veterinária Luiza Prado, do Rio de Janeiro (RJ), garantiu o primeiro lugar com o clique de um bico-de-lacre. “Fiz essa foto em fevereiro, na cidade de Rio Largo (AL), área de análise do meu projeto de mestrado. Gosto muito do olhar da ave, me parece um tanto sonhadora. Também amo o contraste das cores dela com o cinza do fundo e a noção da delicadeza no arame farpado”, detalha.  Apaixonada pela natureza desde pequena, a veterinária descobriu a fotografia há pouco tempo e está ansiosa para praticar. “A fotografia de natureza é uma paixão recente e eu estou muito empolgada. Com a pandemia não tive oportunidade de ir a muitos lugares para fotografar, mas tenho planejado várias viagens, inclusive com amigos empolgados para me acompanhar nessas aventuras”, completa Luiza, que encontrou no prêmio um incentivo ainda maior para a prática.  “Fiquei feliz demais. Entre tantas fotos lindas ter ficado em primeiro lugar representa muito. Definitivamente é um incentivo enorme para continuar. É uma paixão nova na minha vida, ainda tenho muitas coisas para aprender, mas quero continuar me aprimorando e fazendo outros cliques legais”, finaliza.  Julia Siqueira, de Guatapará (SP), também foi premiada com uma foto antiga, mas cheia de detalhes. “Esse registro foi feito na minha casa em 2018. Estava indo para a escola quando encontrei o inseto no vaso. Nunca tinha visto nenhum parecido, era tão exótico que me senti na obrigação de pegar a câmera”, conta.  A dedicação para as fotos fez com que a fotógrafa se atrasasse para a aula, mas valeu a pena. “Fiquei um tempão observando e fotografando de vários ângulos diferentes. Ele era muito pequeno, mas na foto pude visualizar todos os detalhes, e é justamente isso que eu mais gosto no clique”, diz.  Atenta aos elementos da natureza, Julia não perde a oportunidade de fotografar, paixão antiga que incentivou a escolha do curso superior. “Esse contato com a natureza é um estilo de vida. Me pego sempre atenta a observar todo esse universo rico em detalhes tão únicos, inclusive foi esse grande amor e respeito que me levou a cursar ciências biológicas”, completa.  O clique de uma fêmea de macaco-japonês com o filhote, feito no zoológico Highland Wildlife Park, na Escócia, garantiu o terceiro lugar na competição. A estudante de medicina veterinária, Mariana Braz, de Fortaleza (CE), destaca alguns detalhes do registro. ""O cuidado materno e a presença de outros membros do grupo chamaram minha atenção. O local era agitado, com muitas movimentações e interações, e a foto foi feita em um rápido momento de calmaria"", diz.  Fotógrafa de natureza desde 2019, Mariana gosta de registrar o comportamento da fauna, seja no jardim de casa ou em parques estaduais. ""Me interesso pelo flagrante das interações sociais das mais diversas espécies"", completa.  De acordo com Fernanda Sá, presidente da ONG, o concurso aceitou fotos de animais em zoológico, uma vez que a equipe entende a importância dessas instituições para a conservação das espécies.  CONFIRA AS FOTOS FINALISTAS",2020-05-06,https://g1.globo.com/sp/campinas-regiao/terra-da-gente/noticia/2020/05/06/admiradoras-de-natureza-vencem-concurso-de-fotografias-virtual.ghtml
Alunos representam Goiás na competição nacional de Fórmula 1 nas Escolas,"Seis alunos do Sesi Campinas, em Goiânia, vão representar Goiás na competição nacional “Fórmula 1 nas Escolas”. No projeto, que é multidisciplinar, estudantes são responsáveis por criar uma escuderia e desenvolver um carro, em miniatura, para a disputa. Os desafios são ligados às áreas de engenharia, física, marketing e empreendedorismo.  A competição acontece entre os dias 6 e 8 de março, em São Paulo. Mais de 30 escuderias de todo o país participam da disputa. Os carros de cada equipe devem percorrer uma pista de 25 metros. O time que levar o primeiro lugar pode representar o Brasil em uma competição internacional da modalidade, no Oriente Médio.  Para entrar na competição, os estudantes goianos criaram a escuderia Eagles. Desde o ano passado, eles trabalham neste projeto junto à professora de robótica Nádia Freitas Souto. De acordo com ela, o carro projetado pelos alunos é capaz de percorrer uma velocidade de 70 km por segundo.  “É um projeto fantástico, porque os alunos conseguem se interagir em várias áreas que, se não fosse o projeto, eles não iam conhecer, como empreendedorismo, marketing, as engenharias. E a proximidade dos alunos de todo esse processo é muito importante para o crescimento deles”, disse.  O estudante Augusto Rodrigues, de 14 anos, explica que o que faz o carro ganhar velocidade é um mini-cilindro de gás carbônico concentrado. Além disso, o formato do carro também é essencial para um bom desempenho.  “Ele foi feito em um formato de bala, que gera menor atrito, e causa menos turbulência atrás do carrinho. Na asa dianteira do carro tem uma espécie de rampa, que desvia o ar da nossa roda, fazendo com que tenha menor atrito com a roda. Já a cápsula de gás carbônico, quando furada, despressuriza, fazendo com que o carrinho ande. Ela que é o nosso motor do carrinho”, explica.  Todos os dias, à tarde, os estudantes se reúnem para acertar os detalhes do projeto. De acordo com o estudante Rodrigo Geraldino, de 17 anos, um dos pontos interessante do projeto é a oportunidade de aprender coisas novas.  “A gente tem que criar uma escuderia de Fórmula 1, real, mas em questão do nosso âmbito escolar, aprendemos várias coisas, como física, química, engenharia, matemática, design, marketing e a sermos autônomos, que é um dos principais pontos do projeto. Nós temos que fabricar um carro de Fórmula 1, em miniatura, com todo pensamento em aerodinâmica”, disse.  Além de ser um trabalho que envolve muitas disciplinas, o projeto também estimula a criatividade e o trabalho em equipe.  “A gente tem que fazer um planejamento, porque além de tudo, temos que arrecadar dinheiro para competição. É necessário patrocinadores que nos ajudem na questão financeira, então, a gente tem que pensar em todas as situações como se fosse uma empresa mesmo”, disse Wilson Gomes, de 17 anos.  No ano passado, alunos do Sesi Campinas conquistaram o terceiro lugar no campeonato nacional da Fórmula 1 nas Escolas, mas, neste ano, os meninos almejam a primeira colocação.  “Se nós conseguirmos o primeiro lugar, nós vamos para a etapa internacional, que acontece no Oriente Médio, em Singapura ou em Abu Dhabi, junto a uma corrida de Fórmula 1 de verdade. A equipe que se destacar lá tem a oportunidade de conhecer pilotos e é uma experiência incrível”, disse Giovanna Alice, de 17 anos.  Veja outras notícias da região no G1 Goiás.",2020-03-04,https://g1.globo.com/go/goias/noticia/2020/03/04/alunos-representam-goias-na-competicao-nacional-de-formula-1-nas-escolas.ghtml
