Título,Notícia,Data,Link
"Defensoria recomenda que governo garanta comunicação com familiares e atendimento psicológico para detentos de Humaitá, no AM","A Defensoria Pública do Estado do Amazonas (DPE-AM) recomendou à Secretaria de Estado de Administração Penitenciária (SEAP) a garantia da comunicação dos detentos da unidade prisional de Humaitá com seus familiares durante a pandemia de Covid-19. A DPE-AM recomendou ainda a disponibilização de atendimento psicológico aos que demonstrarem interesse, diante de pleito realizado pelos próprios internos à instituição. O G1 aguarda posicionamento do governo.  O ofício recomendatório foi encaminhado nesta segunda-feira (1), com prazo de 48 horas para resposta. O objetivo é solucionar a demanda sem necessidade de ação judicial.  No ofício, é recomendado o fornecimento, em caráter emergencial, de aparelho telefônico à unidade prisional de Humaitá, possibilitando a realização de comunicação com os familiares.  As defensoras recomendam ainda a disponibilização de rede de internet à unidade prisional, para garantir a adequada prestação do serviço público e auxiliar nos trâmites administrativos do estabelecimento prisional.  O ofício da Defensoria também recomenda a disponibilização de atendimento psicológico aos presos, com o fim de reduzir os danos à sanidade mental durante o período de pandemia em que se está tolhido o direito à visitação e ao convívio familiar dos internos.  As defensoras basearam a recomendação em relatos dos presos colhidos em conversa por videochamada com auxílio da direção do presídio, por conta da insatisfação em razão da ausência de visitas. Houve pedidos dos internos de atendimento psicológico, o que foi considerado como extremamente relevante.  As defensoras ressaltam que a recomendação busca solucionar a demanda sem judicialização.  O Decreto nº 42.061/2020 suspendeu a visitação de familiares aos presos de todas as unidades prisionais do Estado do Amazonas, em razão da pandemia causada pelo covid-19. No entanto, a portaria Interna 023/2020-GAB/SEC/SEAP dispõe sobre o procedimento a ser adotado para a realização de visitas através de videochamada nas unidades prisionais subordinadas à SEAP.  Diante disso, as defensoras ressaltam na recomendação a necessidade de aplicar o mesmo tratamento aos presos da capital e do interior do Estado em atenção ao princípio da isonomia.  O direito à visitação é garantido pela Lei de Execução penal, em seu artigo 41, inciso X, mencionando expressamente que constitui direito do preso a visita do cônjuge, da companheira, de parentes e amigos em dias determinados.  A Defensoria identificou a inexistência de acesso à rede de internet na unidade prisional de Humaitá, bem como a ausência de aparelho telefônico que possibilite aos internos a realização da vídeo chamada.  Na recomendação, as defensoras consideram que “no atual cenário, é imprescindível cuidar da saúde mental das pessoas presas, e que o princípio da convivência familiar e o princípio da dignidade da pessoa humana devem ser especialmente observados nesse contexto pandêmico”.  A Secretaria de Estado de Administração Penitenciária (Seap) esclarece que a Portaria Interna 23/2020 prevê que na impossibilidade da realização de vídeochamadas dos internos para as famílias, serão realizadas ligações de voz. A Seap informa ainda que alguns ajustes estão sendo realizados a fim de garantir o contato dos familiares com os apenados.",2020-06-01,https://g1.globo.com/am/amazonas/noticia/2020/06/01/defensoria-recomenda-que-governo-garanta-comunicacao-com-familiares-e-atendimento-psicologico-para-detentos-de-humaita-no-am.ghtml
"Itaperuna, RJ, ganha canal de comunicação para tirar dúvidas e dar orientações sobre a Covid-19","A Prefeitura de Itaperuna, no Noroeste Fluminense, criou um canal de comunicação direto e gratuito para que especialistas possam tirar dúvidas e orientar a população sobre o novo coronavírus.  O ""Disque Coronavírus"" funciona de segunda a sexta, de 7h às 16h, através do número 0800-0223-530.  De acordo com o município, o canal é uma importante ferramenta para:  Apesar da flexibilização, a Prefeitura ainda orienta à população que evite sair de casa, a não ser em casos de extrema necessidade.  De acordo com o último boletim divulgado neste sábado (30), Itaperuna registrou 167 casos confirmados de Covid-19. Destes, 51 pessoas já estão recuperadas. Cidade ainda contabiliza 4 óbitos pela doença.  Veja outras notícias da região no G1 Norte Fluminense.",2020-06-01,https://g1.globo.com/rj/norte-fluminense/noticia/2020/06/01/itaperuna-rj-ganha-canal-de-comunicacao-para-tirar-duvidas-e-dar-orientacoes-sobre-a-covid-19.ghtml
Celso de Mello envia à PGR comunicação de crime atribuído a Eduardo Bolsonaro,"O ministro do Supremo Tribunal Federal Celso de Mello enviou à Procuradoria-Geral da República comunicação de crime contra a Segurança Nacional atribuído ao deputado federal Eduardo Bolsonaro, do PSL-SP.  A investigação foi pedida por um advogado, com base na Lei de Segurança Nacional, que trata de crime de incitação à subversão da ordem política ou social.  Na quarta-feira (27), a Polícia Federal fez uma operação dentro do inquérito que apura ameaças a ministros do STF e a disseminação de fake news.  Depois da operação, Eduardo Bolsonaro disse que a questão ""não é de se mas de quando"" vai ocorrer uma ""ruptura"".  No despacho, o ministro Celso de Mello destacou que o Ministério Público e a Polícia Federal não podem se eximir de investigar ocorrência de ilícitos penais noticiados.  É praxe que o Supremo envie de pedidos como esse ao Ministério Público, que é quem decide se investiga ou se arquiva.",2020-05-31,https://g1.globo.com/jornal-nacional/noticia/2020/05/30/celso-de-mello-envia-a-pgr-comunicacao-de-crime-atribuido-a-eduardo-bolsonaro.ghtml
Ministro Celso de Mello envia à PGR comunicação de crime atribuído a Eduardo Bolsonaro,"O ministro Celso de Mello, do Supremo Tribunal Federal (STF), enviou na noite desta sexta-feira (29) ao procurador-geral da República, Augusto Aras, os autos de comunicação de crime formulada contra o deputado federal Eduardo Bolsonaro (PSL-SP), filho do presidente Jair Bolsonaro, por suposta prática de crime contra a Segurança Nacional.  No despacho, Celso, que é relator da suposta interferência do presidente na Polícia Federal (PF), após denúncia do ex-ministro da Justiça Sergio Moro, afirmou ser ""imprescindível, em regra, a apuração dos fatos delatados, quaisquer que possam ser as pessoas alegadamente envolvidas, ainda que se trate de alguém investido de autoridade na hierarquia da República, independentemente do Poder (Legislativo, Executivo ou Judiciário) a que tal agente se ache vinculado"".  Celso de Mello também escreveu que ""cabe ter presente, neste ponto, por oportuno, que o Ministério Público e a Polícia Judiciária, sendo destinatários de comunicações ou de revelações de práticas criminosas, não podem eximir-se de apurar a efetiva ocorrência dos ilícitos penais noticiados"".  A medida é uma praxe, uma vez que o tribunal, ao receber uma notícia-crime, deve reportá-la às autoridades de investigação. A notícia-crime foi apresentada na quinta (28) pelo advogado Antonio Carlos Fernandes, do Ceará, e cita as declarações de Eduardo na live.  Eduardo Bolsonaro criticou decisões recentes dos ministros Celso de Mello e Alexandre de Moraes. Em live na noite de quarta (27), Eduardo cogitou a necessidade de adoção de ""medida enérgica"" pelo pai. Ele falou em ""momento de ruptura"" e disse que a questão não é de ""se"", mas, sim, de ""quando"" isto vai ocorrer. Na quinta, o filho do presidente falou sobre a possibilidade de as Forças Armadas colocarem ""pano quente"" no conflito entre os Poderes para restabelecer o ""jogo democrático"".  PETIÇÃO 8.893 DISTRITO FEDERAL  DESPACHO: Trata-se de comunicação de delito (“notitia criminis”) encaminhada ao Supremo Tribunal Federal, em que se noticia a suposta prática, pelo Deputado Federal Eduardo Nantes Bolsonaro, do crime de incitação à subversão da ordem política ou social previsto na Lei de Segurança Nacional (Lei nº 7.170/83, art. 23, I).  Embora o noticiante não seja titular do “jus persequendi in judicio”, pode ele, no entanto, dirigir-se legitimamente ao Poder Público (CPP, art. 5º, § 3º), transmitindo-lhe, por intermédio de seus órgãos competentes, a ocorrência de supostas práticas criminosas perseguíveis mediante ação penal pública incondicionada, como sucede na espécie.  Cabe ter presente, neste ponto, por oportuno, que o Ministério Público e a Polícia Judiciária, sendo destinatários de comunicações ou de revelações de práticas criminosas, não podem eximir-se de apurar a efetiva ocorrência dos ilícitos penais noticiados.  É por essa razão que os atos de investigação ou de persecução no domínio penal traduzirão, em tal situação, incontornável dever jurídico do Estado e constituirão, por isso mesmo, resposta legítima do Poder Público ao que se contém na “notitia criminis”.  O significado e a importância da “notitia criminis” vêm ressaltados no magistério de eminentes doutrinadores, que nela vislumbram um expressivo meio justificador da instauração da investigação penal, pois, transmitido às autoridades públicas o conhecimento de suposta prática delituosa perseguível mediante ação penal pública incondicionada, a elas incumbe, por dever de ofício, promover a concernente apuração da materialidade e da autoria dos fatos e eventos alegadamente transgressores do ordenamento penal (JOSÉ FREDERICO MARQUES, “Elementos de Direito Processual Penal”, vol. I/107-114, itens ns. 70/74, e vol. II/124, item n. 312, 3ª atualização, 2009, Millennium; EDILSON MOUGENOT BONFIM, “Código de Processo Penal Anotado”, p. 53/57, 3ª ed., 2010, Saraiva; EUGÊNIO PACELLI DE OLIVEIRA, “Curso de Processo Penal”, p. 39/42, item n. 4.1, 9ª ed., 2008, Lumen Juris; DENILSON FEITOZA, “Direito Processual Penal – Teoria, Crítica e Práxis”, p. 178, item n. 5.7, 6ª ed., 2009, Impetus; RENATO BRASILEIRO DE LIMA, “Curso de Processo Penal”, p. 92/93, item n. 8, 2013, Impetus; E. MAGALHÃES NORONHA, “Curso de Direito Processual Penal”, p. 18/19, item n. 8, 19ª ed., 1989, Saraiva; FERNANDO CAPEZ e RODRIGO COLNAGO, “Código de Processo Penal Comentado”, p. 24, 2015, Saraiva; CARLOS FREDERICO COELHO NOGUEIRA, “Comentários ao Código de Processo Penal”, vol. 1/187-193, itens ns. 55/58, 2002, Edipro; JULIO FABBRINI MIRABETE, “Processo Penal”, p. 64/68, item n. 3.3, 18ª ed., 2008, Atlas, v.g.).  O aspecto que venho de ressaltar evidencia, portanto, o dever jurídico do Estado de promover a apuração da autoria e da materialidade dos fatos delituosos narrados por “qualquer pessoa do povo”.  A indisponibilidade da pretensão investigatória do Estado impede, pois, que os órgãos públicos competentes ignorem aquilo que se aponta na “notitia criminis”, ressalvadas, no entanto, situações impregnadas de manifesta ilegalidade ou de evidente abusividade, motivo pelo qual se torna imprescindível, em regra, a apuração dos fatos delatados, quaisquer que possam ser as pessoas alegadamente envolvidas, ainda que se trate de alguém investido de autoridade na hierarquia da República, independentemente do Poder (Legislativo, Executivo ou Judiciário) a que tal agente se ache vinculado.  Disso tudo resulta, como corretamente assinala RENATO BRASILEIRO DE LIMA (“Curso de Processo Penal”, p. 86/87, item n. 6.7, 2003, Impetus), que, “Ao tomar conhecimento de notícia de crime de ação penal pública incondicionada, a autoridade policial é obrigada a agir de ofício, independentemente de provocação da vítima e/ou qualquer outra pessoa. Deve, pois, instaurar o inquérito policial de ofício, nos exatos termos do art. 5º, I, do CPP, procedendo, então, às diligências investigatórias no sentido de obter elementos de informação quanto à infração penal e sua autoria. Para a instauração do inquérito policial, basta a notícia de fato formalmente típico (...)” (grifei).  Vê-se, pois, que a presente comunicação nada mais traduz senão formal provocação dirigida ao Senhor Procurador-Geral da República, para que Sua Excelência, examinando o que consta dos autos, possa formar sua convicção a propósito dos fatos e, em consequência, manifestar-se (a) pelo oferecimento de denúncia, (b) pela solicitação de maiores esclarecimentos e/ou diligências ou (c) pelo arquivamento dos autos.  Sendo assim, tratando-se de “notitia criminis” concernente à suposta prática de delito perseguível mediante ação penal de iniciativa pública, determino a remessa destes autos ao eminente Senhor Procurador-Geral da República, considerado o que estabelece o art. 129, inciso I, da Lei Fundamental, e tendo em vista a sua condição de “dominus litis”.  Publique-se.  Brasília, 29 de maio de 2020 (22h05).  Ministro CELSO DE MELLO  Relator",2020-05-30,https://g1.globo.com/politica/noticia/2020/05/30/ministro-celso-de-mello-envia-a-pgr-comunicacao-de-crime-atribuido-a-eduardo-bolsonaro.ghtml
Chefe da comunicação da PRF no Paraná é dispensado após reportagem sobre aumento de acidentes durante pandemia,"O chefe da comunicação da Polícia Rodoviária Federal (PRF) no Paraná, Fernando Oliveira, de 41 anos, foi dispensado do cargo depois de uma reportagem sobre aumento de acidentes com a redução do isolamento social, exibida pelo Bom Dia Brasil, em 15 de maio. Assista abaixo.  A dispensa do cargo, que ocupava desde 2017, ocorreu na segunda (25). Concursado, Oliveira afirmou na quinta (28) que está na ""geladeira"", cumprindo banco de horas, enquanto não é colocado de volta nas escalas de serviço operacional na Região Metropolitana de Curitiba e litoral.  Após a reportagem ser exibida, ele conta que recebeu uma ligação do superior no Paraná dizendo que o conteúdo estava em desalinhamento com o recomendado pela instituição.  Para o ex-chefe da comunicação, o entendimento em Brasília foi de que houve defesa do isolamento social, além da exibição de fiscalização por radar portátil - considerado um tema sensível para o governo federal, conforme ofício da PRF de dezembro de 2019.  No mesmo dia da reportagem, o coordenador-geral de Comunicação da PRF, Anderson Poddis, enviou uma mensagem por aplicativo com um ofício assinado por ele determinando que os pedidos feitos por veículos da imprensa sejam repassados para Brasília.  O documento também diz que os materiais produzidos pelas equipes da PRF nos estados precisam de autorização, exceto para situações como prisões e apreensões.  ""Em reforço à mensagem enviada aos Diretores, Superintendentes e Superintendentes executivos, diante das matérias totalmente desalinhadas que surgiram na imprensa hoje em diversas localidades do país, informo que está PROIBIDO pautar imprensa sem expressa autorização da CGCOM do conteúdo do release e da entrevista"", diz a mensagem, disponibilizada por Oliveira.  Segundo o policial, a medida revelou a tentativa de exercer controle total sobre as pautas - até mesmo de estatísticas locais. ""É um nível de controle sem precedentes"", afirma.  Três dias antes da reportagem, em 12 de maio, uma ordem de serviço da Coordenação-Geral de Comunicação Social da PRF orientou que as unidades regionais deveriam pautar os veículos de imprensa sobre a Operação Nacional de Segurança Viária, a partir de 13 de maio.  O documento diz para intensificar as ações de policiamento e fiscalização com mais presença policial em trechos críticos e ""reduzir a quantidade de acidentes graves, mortos e feridos"".  Em abril, tinha crescido a quantidade de acidentes e feridos com a queda do índice de isolamento, como mostrou a reportagem. ""Houve uma reação desproporcional de setores da polícia em Brasília"", diz Oliveira.  A assessoria do Palácio do Planalto informou que não vai comentar. O G1 entrou em contato e aguarda retorno da PRF em Brasília.  Uma conversa por aplicativo de mensagem mostra que o policial também recebeu, em 15 de maio, uma ordem da superintendência para apagar imediatamente as fotos que mostram radar da conta da PRF no Flickr - aplicativo para gerenciar e compartilhar imagens.  Oliveira conta que questionou e não cumpriu a ordem por não ter motivo. ""Não tem motivação. É um registro histórico feito por um servidor pago, é um produto do trabalho do servidor. Não acatei e gerou mais um ruído"", explica.  Até o início da tarde desta sexta-feira (29), as fotos ainda estavam publicadas.  Em nota, o Sindicato dos Jornalistas Profissionais do Paraná (Sindijor) afirmou que é um absurdo que a exoneração do jornalista tenha sido causada por censura e que a PRF está impedindo o acesso à informação.  ""Essa mesma censura levou à exoneração um profissional qualificado, que simplesmente passou os dados da própria instituição para a produção da reportagem. Mas, vindo de um governo autoritário que notoriamente trata jornalista com desdém e, pior, incita seus seguidores a atacar justamente os profissionais que estão aqui para questionar e apontar os desmandos do presidente, não surpreende"", diz trecho.  Veja mais notícias do estado no G1 Paraná.",2020-05-29,https://g1.globo.com/pr/parana/noticia/2020/05/29/chefe-da-comunicacao-da-prf-no-parana-e-dispensado-apos-reportagem-sobre-aumento-de-acidentes-durante-pandemia.ghtml
Morre em Aracaju o bispo emérito de Propriá Dom Mário Rino Sivieri,"Faleceu durante a tarde, desta quarta-feira (3), em Aracaju, aos 78 anos, o bispo emérito, da Diocese de Propriá, Dom Mário Rino Sivieri.  Segundo a coordenação de comunicação da Arquidiocese de Aracaju, o bispo estava hospitalizado, há oito dias, quando se internou para tratar de uma erisipela, mas teve o quadro de saúde agravado por conta da diabetes.  Dom Mário era natural da Itália e estava em Sergipe desde os anos 60. Durante esse período, realizou atividades no município de Lagarto, onde fundou a Fazenda da Esperança, destinada à recuperação de dependentes químicos. E atuou por 29 anos na Diocese de Propriá.  Nos últimos quatro anos, após ser nomeado emérito, Dom Mário passou a morar na Fazenda Esperança.  De acordo com a Diocese de Popriá, o corpo será velado na Catedral Diocesana de Propriá, sem presença da comunidade, em virtude da pandemia do Covid-19. Nesta quinta-feira (4), a partir das 8h, será realizada a celebração da Santa Missa transmitida pelas redes sociais da Catedral Diocesana e o sepultamento logo após na mesma catedral.  No dia 12 dezembro de 2016, Dom Mario foi homenageado pela Assembleia Legislativa de Sergipe e recebeu a Medalha de Direitos Humanos, 'Dom José Vicente Távora' em reconhecimento pela sua dedicação a serviço da vida dos mais pobres, principalmente da juventude.",2020-06-03,https://g1.globo.com/se/sergipe/noticia/2020/06/03/morre-em-aracaju-o-bispo-emerito-de-propria-dom-mario-rino-sivieri.ghtml
"Secretário da Comunicação de Alagoas, Enio Lins tem teste positivo para Covid-19","O Secretário de Estado da Comunicação, Enio Lins, recebeu nesta quinta-feira (28) o resultado do exame que atesta positivo para Covid-19. Ele começou a apresentar os sintomas no dia 18, e desde então cumpria quarentena em casa.  O teste foi feito após o sétimo dia de persistência dos sintomas. O secretário fez ainda uma tomografia, seguindo recomendação dos médicos, e o exame acusou comprometimento de 25% dos pulmões.  Lins está bem, segundo a assessoria de imprensa, com sintomas leves e se recuperando em casa.  Outros secretários do primeiro escalão do governo do estado também foram infectados pelo novo coronavírus nos últimos dois meses. O primeiro deles foi o secretário da Fazendo, George Santoro. Em seguida, houve a confirmação de Fábio Farias, secretário do Gabinete Civil; Rafael Brito, secretário de Turismo; Luciano Barbosa, secretário de Educação e vice governador do estado; João Lessa, da Agricultura; e Cecília Rocha, secretária da Ciência, da Tecnologia e da Inovação.  Além deles, o próprio governador Renan Filho também ficou doente. Todos já se recuperam da doença.",2020-05-28,https://g1.globo.com/al/alagoas/noticia/2020/05/28/secretario-da-comunicacao-de-alagoas-enio-lins-tem-teste-positivo-para-covid-19.ghtml
Marcelo Andrade é nomeado secretário de Comunicação da Prefeitura de Sorocaba,"O jornalista Marcelo Andrade Santos assumiu o cargo de secretário de Comunicação da Prefeitura de Sorocaba (SP) após a exoneração de Renato Ribeiro Monteiro, no dia 18 de maio.  A nomeação, feita pela prefeita Jaqueline Coutinho (PSL), foi publicada no Jornal do Município da última sexta-feira (22). No entanto, segundo a portaria, a mudança começou a valer no dia 16 de maio.  O ex-secretário disse que o pedido de demissão foi feito por ele, mas não informou o motivo da decisão. Antes de assumir a pasta, Renato ocupava o cargo de diretor de área na mesma secretaria.  Antes dele, o jornalista Djalma Luiz Benette também deixou o cargo de secretário de Comunicação após pedir exoneração.  Veja mais notícias da região no G1 Sorocaba e Jundiaí",2020-05-25,https://g1.globo.com/sp/sorocaba-jundiai/noticia/2020/05/25/marcelo-andrade-e-nomeado-secretario-de-comunicacao-da-prefeitura-de-sorocaba.ghtml
Uso de máscaras dificulta comunicação para pessoas surdas em Juiz de Fora ,"Com o uso obrigatório das máscaras por causa da pandemia do novo coronavírus, os surdos têm encontrado dificuldades na comunicação. Em entrevista à TV Integração, a fonoaudióloga em Juiz de Fora, Renata Jacob, falou sobre o assunto e deu dicas de como melhorar o diálogo. Veja abaixo.  De acordo com a profissional, o uso de uma proteção com plástico transparente na altura dos lábios pode ajudar no entendimento. ""Quem lida com as pessoas que têm dificuldades auditivas, se puder usar essas máscaras, elas poderão ver o lado e fazer recurso visual. Ajuda muito"", explicou.  Conforme Renata Jacob, existem algumas maneiras para diminuir o ruído na comunicação. ""É interessante falar as palavras mais devagar e de forma mais articulada. Também é necessário tomar cuidado para não gritar porque pode trazer prejuízo vocal"".  Segundo o dj Eduardo Mazzei, que é surdo, informações em arte facilitam para ele. ""Mexer os lábios, usar um ritmo devagar, olhar nos olhos também fica mais fácil. Ou também usar algum aplicativo que traduz ou escrever em um papel"".  Em conversa com a reportagem do MG2, o jovem ponderou que com a utilização das máscaras ""mudou muito e está mais difícil e complicado"", finalizou.  Em abril, o G1 mostrou que intérpretes ajudam pessoas surdas no acesso a serviços de saúde na cidade.",2020-05-25,https://g1.globo.com/mg/zona-da-mata/noticia/2020/05/25/uso-de-mascaras-dificulta-comunicacao-para-pessoas-surdas-em-juiz-de-fora.ghtml
Prefeitura de Sorocaba exonera secretário de Comunicação,"O jornal do município publicou, nesta terça-feira (18), a exoneração do secretário de Comunicação de Sorocaba (SP), o jornalista Renato Ribeiro Monteiro.  Antes de assumir a pasta, Monteiro ocupava o cargo de diretor de área na mesma secretaria. De acordo com o agora ex-secretário, o pedido de demissão foi feito por ele, que não informou o motivo.  Anteriormente, o jornalista Djalma Luiz Benette deixou o cargo após também pedir exoneração.  Em nota, a prefeitura informou que não tem um nome definido para ocupar o cargo e que irá divulgar quando for escolhido.  Veja mais notícias da região no G1 Sorocaba e Jundiaí",2020-05-18,https://g1.globo.com/sp/sorocaba-jundiai/noticia/2020/05/18/prefeitura-de-sorocaba-exonera-secretario-de-comunicacao.ghtml
