Título,Notícia,Data,Link
"Seminário discute comunicação e consciência negra na UFPA, em Belém","Estudantes de Comunicação Social da Universidade Federal do Pará (UFPA) realizam o Seminário de Consciência Negra e Comunicação nesta quarta-feira (29) em Belém. A participação é gratuita.  A segunda edição do evento começa às 19h e continua na quinta-feira (30), a partir das 9h, no Campus Guamá da UFPA. O tema é ""Onde estão as/os negras/os na Comunicação?”.  Segundo a estudante Denise Salomão o seminário tem intuito de pensar a presença da população negra nos meios de comunicação. ""O evento nasceu como uma manifestação por não haver muitas discussões sobre o tema dentro da sala de aula. Daí surge a preocupação de debater sobre opressões como o racismo e a falta de representatividade"", comentou.  A programação inclui rodas de conversa, espaços de discussão e atividades culturais com artistas de Belém.  II Seminário de Consciência Negra e ComunicaçãoDia 29, às 19h, no auditório do Instituto de Letras e Comunicação (ILC) da UFPADia 30, às 09h, no auditório do Bloco K do Campus BásicoInformações: 9 9823-5060 / 9 8414-7035Evento gratuito.",2017-11-29,https://g1.globo.com/pa/para/noticia/seminario-discute-comunicacao-e-consciencia-negra-na-ufpa-em-belem.ghtml
Flávio Dino confirma Rodrigo Lago na Comunicação e Articulação Política,"O governador Flávio Dino (PCdoB) confirmou, nesta segunda-feira (11), o nome do advogado Rodrigo Lago para a Secretaria de Comunicação e Articulação Política (Secap).  “O novo secretário de Articulação Política e Comunicação do Governo do Maranhão será o advogado Rodrigo Lago, atual Secretário de Transparência e Controle”, escreveu Flávio Dino nas redes sociais.  Rodrigo Lago era secretário de Transparência e Controle e chegou a acumular o cargo de secretário da Casa Civil no primeiro mandato de Flávio Dino. Lago substitui Márcio Jerry Barroso (PCdoB) que foi eleito deputado federal.  “Muito honrado com a nova missão que assumirei no Governo do Maranhão, sob a liderança do governador Flávio Dino! Sucederei o amigo e agora deputado federal Márcio Jerry na Secap”, disse Lago.",2019-02-12,https://g1.globo.com/ma/noticia/2019/02/11/flavio-dino-confirma-rodrigo-lago-na-comunicacao-e-articulacao-politica.ghtml
"Casagrande anuncia nomes para Casa Civil, Comunicação e Instituto Jones","O governador eleito, Renato Casagrande, anunciou na tarde desta quinta-feira (8) mais três nomes que irão compor sua equipe de governo.  A jornalista Flávia Mignoni irá conduzir a Superintendência de Comunicação. Davi Diniz, atual secretário da Fazenda da Prefeitura de Vitória, assume a Casa Civil e Luiz Paulo Vellozo Lucas estará na direção geral do Instituto Jones dos Santos Neves.  Casagrande já anunciou nomes de secretários de Planejamento e Fazenda.  Segundo Casagrande, o secretário Davi Diniz assume uma secretaria importante para a comunicação com a sociedade.  Sobre a secretaria de Comunicação, Casagrande destacou a importância da pasta para a divulgação dos atos do governo.  “Flavia terá a tarefa de modernizar essa comunicação, atuando não só junto aos veículos tradicionais, mas fortalecendo o contato mais direto com os capixabas, por meio das novas mídias. A idéia é fazer uma plataforma multimídia de comunicação, que englobará o sistema RTV e o DIO. Teremos uma estrutura única gerenciando a comunicação do governo”, disse.  Para a presidência do Instituto Jones, Casagrande destacou que Luiz Paulo tem muita experiência na área de gestão.  “Ele é um formulador de políticas públicas. E o Instituto tem esse papel, além de fazer diagnósticos, projeções e levantar temas importantes para o debate. O Instituto precisa ser mais dinâmico, vivo, produzindo políticas públicas para a sociedade capixaba”, disse.  Davi Diniz de Carvalho, 38 anos, é casado e tem dois filhos. Formado em Geografia e Administração. Pós-graduado em Gestão Pública e Contábil. Servidor de carreira do Governo do Estado, na Secretaria de Estado de Gestão e Recursos Humanos, no cargo de Especialista em Políticas Públicas e Gestão Governamental. Na primeira gestão Casagrande, foi presidente do Instituto de Defesa Agropecuária e Florestal – IDAF e Secretário de Economia e Planejamento. Em 2015 foi secretário de Administração da Prefeitura de Vitória. Ainda em 2015 assumiu o cargo de secretário da Fazenda, que ocupa até a presente data.  Flavia Mignoni, 55 anos, mãe de duas filhas. Formada em Jornalismo pela Universidade Federal do Espírito Santo. Pós-graduada em Comunicação Organizacional. Foi repórter de política dos jornais A Gazeta e A Tribuna por mais de 20 anos. Atuou em diversas campanhas políticas para prefeitos, deputados, senadores e governadores. Na primeira gestão Casagrande, foi superintendente de Comunicação.  Luiz Paulo Vellozo Lucas, 61 anos, casado e tem três filhos. Formado em Engenharia de Produção pela Universidade Federal do Rio de Janeiro e com pós-graduação em desenvolvimento econômico e em economia industrial. Foi Professor da PUC –RJ e da FDV. Foi Engenheiro do BNDES e prefeito de Vitória de 1997 a 2005. Em 2006 foi eleito deputado federal. Em 2017 foi secretário nacional de Desenvolvimento Urbano do Ministério das Cidades.",2018-11-09,https://g1.globo.com/es/espirito-santo/noticia/2018/11/08/casagrande-anuncia-nomes-para-casa-civil-comunicacao-e-instituto-jones.ghtml
Prefeitura de Sorocaba exonera secretário de Comunicação,"O jornal do município publicou, nesta terça-feira (18), a exoneração do secretário de Comunicação de Sorocaba (SP), o jornalista Renato Ribeiro Monteiro.  Antes de assumir a pasta, Monteiro ocupava o cargo de diretor de área na mesma secretaria. De acordo com o agora ex-secretário, o pedido de demissão foi feito por ele, que não informou o motivo.  Anteriormente, o jornalista Djalma Luiz Benette deixou o cargo após também pedir exoneração.  Em nota, a prefeitura informou que não tem um nome definido para ocupar o cargo e que irá divulgar quando for escolhido.  Veja mais notícias da região no G1 Sorocaba e Jundiaí",2020-05-18,https://g1.globo.com/sp/sorocaba-jundiai/noticia/2020/05/18/prefeitura-de-sorocaba-exonera-secretario-de-comunicacao.ghtml
Encontro Arquidiocesano de Comunicação ocorre em Aracaju,"“A Igreja e a Cultura Digital” é o tema do Encontro Arquidiocesano de Comunicação (ENARCOM) realizado pela Arquidiocese de Aracaju (SE). O evento ocorre no Colégio Arquidiocesano, no Bairro São José, na capital.  Podem participar agentes da Pastoral da Comunicação, profissionais da comunicação, sacerdotes, diáconos, freiras e o público em geral. O objetivo é promover a interação entre os comunicadores, que buscam na arte de comunicar um espaço de evangelização.  Haverá oficinas sobre textos jornalísticos, foto digital, marketing e redes sociais e Como implantar a PASCOM na sua paróquia. A programação contará com uma mesa redonda e a santa missa. A abertura será com Dom João José Costa, arcebispo de Aracaju.  “É um encontro para unir todos os representantes da capital e interior. Um encontro de formação onde através de oficinas ministradas por profissionais convidados na área de comunicação, capacitar os agentes de comunicação da Pascom para um melhor desempenho no serviço da Evangelização”, disse o coordenador arquidiocesano da Pascom, Pe. Paulo Lima.  A inscrição custa R$ 30 e pode ser feitas na livraria Paulus. Mais informações pelos números (79) 3211-2927, 9910-0028 (Whatsapp) ou se preferir através do e-mail aracajupascom@gmail.com .  8h – Acolhida e credenciamento8h30 – Abertura com Dom João Costa  Tema: ""A Igreja e a Cultura Digital""9h – Mesa redonda10h – Perguntas;11h – Intervalo;11h15 – Santa Missa12h15 – Almoço13h15 – Oficinas15h – Intervalo15h30 – Cerimônia de Encerramento",2017-12-03,https://g1.globo.com/se/sergipe/noticia/encontro-arquidiocesano-de-comunicacao-ocorre-em-aracaju.ghtml
Caruaru recebe 1º Encontro sobre Comunicação Afetiva ,"O 1º Encontro sobre Comunicação Afetiva será realizado no dia 25 de setembro em Caruaru, no Agreste de Pernambuco. O evento é gratuito e conta com a mediação da psicóloga Katarine Santos; da ilustradora e criadora da página “Família em Tiras”, Julianna Rodrigues; e da jornalista Paula Cavalcante.  Aproveitando a abordagem do Setembro Amarelo, a ideia é trazer para os participantes um bate-papo sobre como uma comunicação afetiva pode evitar um ato extremo. Segundo a psicóloga Katarine Santos, uma das idealizadoras do encontro, é importante mostrar a comunicação – seja ela verbal ou não verbal – como uma das ferramentas da expressão da mente. “Com a psicologia aprendemos a ser reflexo do que sentimos e desejamos. Pensar é criar, é construir. Já falar é a arte de elaborar fora os ‘afetos’ que vivemos por dentro”, explica.  Outra convidada é a ilustradora Julianna Rodrigues, criadora da página Família em Tiras. “Vejo a arte sempre como uma forma de reflexão. Seja uma reflexão ou uma tentativa de provocar reflexões e desenvolver sentimentos positivos em alguém. Procuro retratar momentos simples do cotidiano, a família reunida, a conversa com uma criança ou como podemos ouvir ou falar com o outro de forma respeitosa e afetiva”.  A jornalista Paula Cavalcante completa o trio de mediadoras e falará um pouco sobre comunicação e escrita afetiva. O encontro é aberto ao público e acontecerá a partir das 14h do Armazém da Criatividade, que é localizado no Polo Caruaru. A inscrição pode ser feita através do link.",2019-09-18,https://g1.globo.com/pe/caruaru-regiao/noticia/2019/09/18/caruaru-recebe-1o-encontro-sobre-comunicacao-afetiva.ghtml
Nomeada nova secretária de Comunicação de Maceió,"Foi publicada no Diário Oficial do Município de Maceió desta sexta-feira (4) a nomeação de Christiane Maria Duarte Pinto para o cargo de secretária de Comunição. Ela assume o cargo deixado por Clayton Santos, titular da pasta por seis anos.  Santos pediu exoneração do cargo recentemente para se dedicar a um novo projeto acadêmico.  Chris Duarte era secretária-adjunta de Comunicação desde o início da gestão de Rui Palmeira (PSDB) e agora assume a tarefa de comandar diretamente a pasta.  Veja mais notícias da região no G1 Alagoas",2018-05-04,https://g1.globo.com/al/alagoas/noticia/nomeada-nova-secretaria-de-comunicacao-de-maceio.ghtml
Projeto Ahead! discute a comunicação contemporânea ,"Um projeto batizado de Ahead!, promovido pelo Grupo RBS, vai discutir as mudanças geradas pelas novas mídias que surgem de forma veloz a cada dia. O evento acontece nesta quarta-feira (8) a partir das 19h.  A primeira edição do evento acontece na Fundação Iberê Camargo, em Porto Alegre, com a presença de clientes, agências, influenciadores e professores dos cursos de Publicidade e Marketing das principais universidades do Rio Grande do Sul, mas também poderá ser acompanhada ao vivo por meio da página do Facebook do grupo.  Entre os palestrantes estão o vice-presidente de marketing do McDonald's, Roberto Gnypek, e o diretor de marketing e marca do banco Santander, Igor Purga. O debate será mediado pelo diretor-executivo de marketing da RBS, Marcelo Leite.",2017-11-08,https://g1.globo.com/rs/rio-grande-do-sul/noticia/projeto-ahead-discute-a-comunicacao-contemporanea.ghtml
'CPI dos Áudios': Diretor de Comunicação e gerente de Marketing da Prefeitura são ouvidos em Divinópolis,"A Comissão Parlamentar de Inquérito (CPI) da Câmara de Divinópolis, que investiga uma suposta oferta ilícita de cargo público na Prefeitura, ouviu na tarde desta quarta-feira (12) o diretor de Comunicação, Evandro Araújo, e a gerente de Marketing, Sandra Passos - ambos servidores municipais.  Prorrogada por mais 70 dias, a CPI já colheu, desde maio, outros 10 depoimentos em torno do caso que envolve o nome do prefeito Galileu Machado (MDB) e um empreiteiro da cidade.  De acordo com a assessoria do presidente da comissão, o vereador Ademir Silva (PSD), foi perguntado ao diretor de Comunicação do município se ele sabia da intenção do prefeito em nomear o empreiteiro Marcelo Máximo de Morais Fernandes, conhecido como Marcelo Marreco, como coordenador da coordenador de Abastecimento Alimentar na Secretaria de Desenvolvimento Agrônomo.  No depoimento, Araújo negou ter conhecimento dessa situação e disse que ficou sabendo da suposta intenção do prefeito pela imprensa da cidade.  Já a gerente de marketing do Município, Sandra Passos, foi questionada se sua nomeação na Prefeitura teve o envolvimento do marido, o jornalista José Geraldo Passos, apontado pela comissão como intermediador da oferta feita por Galileu ao empreiteiro.  “A CPI apura se o jornalista José Geraldo Passos realmente possui influência com o prefeito a ponto de indicar pessoas para as secretarias municipais. Por isso, foi questionado a Sandra se seu marido teve algum envolvimento com sua nomeação. Em seu depoimento, ela afirmou que viu a divulgação da vaga [de gerente de marketing] no Portal da Transparência e procurou o prefeito. Ele teria gostado do currículo dela e resolveu contratá-la com base na sua experiência. A todo momento, ela negou que o marido tenha se envolvido ou a indicado para o trabalho”, afirmou a assessoria do presidente da CPI.  Ainda segundo a assessoria, a comissão aguarda o agendamento de uma reunião com o procurador Lauro Coelho para complementar a rodada de depoimentos. O Ministério Público também conduz uma apuração paralela sobre a mesma denúncia.  A CPI foi criada depois que áudios atribuídos a uma conversa que teria ocorrido entre o prefeito de Divinópolis, Galileu Machado (MDB), e o empreiteiro Marcelo Máximo de Morais Fernandes, conhecido como Marcelo Marreco, se tornaram públicos.  Nessas gravações, o prefeito supostamente oferece o cargo de coordenador de Abastecimento Alimentar na Secretaria de Desenvolvimento Agrônomo e, segundo algumas interpretações, teria sugerido que o empreiteiro não teria que trabalhar.  Um relatório inicial dos trabalhos seria feito após o depoimento do jornalista Geraldo Passos, apontado como intermediador da oferta do cargo, mas, segundo o presidente da comissão, Ademir Silva (PSD), o documento ainda não foi feito.  Na primeira oitiva, realizada no dia 25 de junho, foram ouvidos o denunciante e o chefe de gabinete da Prefeitura, Djalma Guimarães. Já na segunda parte das investigações, realizada no dia 9 de julho, foi ouvido o procurador geral do município, Wendel Santos. Na terceira oitiva, feita no dia 13 de agosto, prestaram depoimentos a secretária de Administração, Raquel de Freitas, e o secretário de Governo, Roberto Antônio Ribeiro Chaves.  No dia 22 de agosto, o Prefeito de Divinópolis foi ouvido pela primeira vez pela comissão. Antes, no dia 11 de julho, Galileu foi ouvido pelo Ministério Público, que também conduz uma investigação sobre o caso. No dia 23 de agosto, foi ouvido o jornalista José Geraldo Passos.  Após o vazamento dos áudios, a Associação dos Advogados do Centro-Oeste de Minas (AACO-MG) protocolou um ofício na Câmara Municipal, cobrando uma investigação sobre o caso.  Conforme a denúncia, os advogados entenderam que Galileu Machado ofereceu o cargo de coordenador da Secretaria Municipal de Agricultura e afirmou que o empreiteiro não precisaria trabalhar.  A Câmara rejeitou a denúncia, por 11 votos a cinco, em votação no dia 5 de junho, mas informou que uma CPI já estava aberta na Casa há cerca de 15 dias e reunia documentos sobre o tema. Na época, a Prefeitura emitiu nota afirmando que as provas apresentadas na denúncia eram forjadas e ilegítimas.  Uma perícia, feita pela Polícia Civil e encaminhada ao Ministério Público, comprovou que os áudios não sofreram adulteração.  ""Mesmo tendo assumido que houve a conversa, o prefeito nega a integridade dos áudios e mantém a suposição de que as gravações possam ter sido alteradas. Porém, o Instituto de Criminalística da Polícia Civil, concluiu que há três conversas diferentes [na gravação], mas que todas são íntegras em seu conteúdo. Ou seja, não temos indicativos de qualquer montagem"", explicou o promotor Gilberto Osório.  Além de Ademir Silva, integram a CPI os vereadores Renato Ferreira (PSDB), Raimundo Nonato (PDT), Edson Sousa (MDB) e Josafá Anderson (PPS).",2018-09-12,https://g1.globo.com/mg/centro-oeste/noticia/2018/09/12/cpi-dos-audios-diretor-de-comunicacao-e-gerente-de-marketing-da-prefeitura-sao-ouvidos.ghtml
"Senac de Alagoinhas disponibiliza cursos nas áreas de beleza, comunicação e gastronomia; veja","O Senac da cidade de Alagoinhas, que fica na região de Feira de Santana, a 100 quilômetros de Salvador, tem diversas opções nas áreas de Beleza, Comunicação, Gastronomia, Gestão, Hospitalidade, Informática e Saúde.  A programação de cursos é bimestral e pode ser acessada na unidade em Alagoinhas e por meio do site www.ba.senac.br. Para efetuar a inscrição é necessário comparecer à Unidade SENAC - Alagoinhas, situada à Rua Manoel Vitorino, nº. 48 - Teresópolis - ao lado da Cesta do Povo.  É preciso levar a carteira de identidade, CPF, comprovantes de residência e escolaridade. Para o curso básico de maquiagem, que ocorrerá em setembro e outubro, o valor do investimento é de R$ 200 à vista ou boleto, ou 4 vezes de R$ 50 no cartão. Já a oficina de crepe custa R$ 50.",2017-09-17,https://g1.globo.com/bahia/noticia/senac-de-alagoinhas-disponibiliza-cursos-nas-areas-de-beleza-comunicacao-e-gastronomia-veja.ghtml
