Notícia,Título,Link
"O secretário especial de Fazenda, Waldery Rodrigues, disse que o reforço de até R$ 3,1 bilhões para o programa Bolsa Família, destinado a incluir mais de 1 milhão de famílias, será enquadrado como uma nova despesa primária no Orçamento. De acordo com o secretário do Tesouro Nacional, Mansueto Almeida, esses recursos serão suficientes para dar conta da fila do programa. Em sua conta social no Twitter, o ministro da Cidadania, Onyx Lorenzoni, afirmou que o dinheiro será suficiente para 1,2 milhão de famílias (cerca de um terço da fila de acordo com levantamento do Estadão/Broadcast. Mansueto disse que, por se tratar de despesa primária, o governo terá de cortar gastos no mesmo valor, uma vez que ele não será um dispêndio temporário. O secretário afirmou ainda que o governo vai enviar um projeto de lei (PLN) para implementar a medida e adequá-la ao teto de gastos.",Reforço de R$ 3 bilhões para atacar fila do Bolsa Família será despesa primária,https://www.gazetadopovo.com.br/republica/breves/reforco-de-r-3-bilhoes-para-atacar-fila-do-bolsa-familia-sera-despesa-primaria/
"Antes das fugas em massa em quatro presídios de São Paulo, o corregedor-geral de Justiça, Ricardo Anafe, havia determinado, nesta segunda-feira (16), a suspensão das saídas temporárias agendadas para março, sob a justificativa de evitar a disseminação do novo coronavírus. Segundo a Secretaria de Administração Penitenciária e o sindicato dos agentes do sistema carcerário, a decisão motivou as rebeliões. Segundo a Secretaria da Administração Penitenciária de SP, ""a medida foi necessária pois o benefício contemplaria mais de 34 mil sentenciados do regime semiaberto que, retornando ao cárcere teriam elevado potencial para instalar e propagar o coronavírus em uma população vulnerável, gerando riscos à saúde de servidores e de custodiados"". Os ""atos de insubordinação"" ocorrem nos Centros de Progressão Penitenciária de Mongaguá, Tremembé e Porto Feliz, além da ala de semiaberto da Penitenciária II de Mirandópolis; não há informação sobre o número exato de fugitivos.","Suspensão de saidinhas motivou fuga de presídios paulistas, diz governo",https://www.gazetadopovo.com.br/republica/breves/suspensao-de-saidinhas-motivou-fuga-de-presidios-paulistas-diz-governo/
"O ministro da Saúde, Luiz Henrique Mandetta, comparou a participação do presidente da República, Jair Bolsonaro, nas manifestações de domingo (15) à parte da população que descumpriu orientações da pasta e lotou praias do Rio de Janeiro no mesmo dia. Ele foi indagado sobre a atitude de Bolsonaro após dizer que a proliferação da covid-19 no Brasil vai depender do comportamento de cada um. Mandetta também comparou a postura de Bolsonaro, que deu a mão e pegou celular de dezenas de manifestantes ontem, com o trabalho de jornalistas que o entrevistavam com proximidade maior do que a recomendada. ""Nós precisamos, coletivamente, ao invés de apontar o dedo, está na hora de todo mundo entender que vai ser do comportamento coletivo que a gente vai ter mais intensidade ou menos intensidade dos casos. Neste momento, precisamos que as pessoas façam a sua parte"", declarou. Indagado se Bolsonaro fez sua parte, respondeu que a primeira coisa que o presidente fez foi deixar o Ministério da Saúde atuar com uma equipe técnica para o combate ao coronavírus.Siga a Gazeta do Povo no Instagram.",Mandetta compara participação de Bolsonaro em ato com pessoas na praia no Rio,https://www.gazetadopovo.com.br/republica/breves/mandetta-compara-bolsonaro-em-ato-com-pessoas-na-praia/
"O PDT pediu à Justiça Federal em Brasília que proíba o presidente Jair Bolsonaro de incitar ou se expor a manifestações populares nas ruas, sob pena de aplicação de multa. A ação é uma reação ao gesto deste domingo (15) quando mesmo orientado a ficar em isolamento, Bolsonaro foi ao encontro de apoiadores que participavam de atos em favor do seu governo. Segundo a legenda, não ""há razão, motivo ou circunstância que autorizem comportamento temerário e irresponsável dessa maneira"". De acordo com o PDT, ""todos os cuidados recomendados para alguém em sua condição de suspeita de infecção foram ignorados: conclamou ato público de aglomeração, compareceu à aglomeração, deu a mão a várias pessoas, compartilhou objetos como telefones, expôs a saúde de todas essas pessoas a risco e de todas as pessoas com quem estas tiverem contato posterior, numa progressão geométrica"".",PDT pede à Justiça que proíba Bolsonaro de incitar manifestações,https://www.gazetadopovo.com.br/republica/breves/pdt-pede-a-justica-que-proiba-bolsonaro-incitar-manifestacoes/
"Presídios da Grande São Paulo, do interior e do litoral paulista tiveram registro de rebeliões e fugas em massa nesta segunda-feira (16) durante a tarde. De acordo com o portal de notícias G1 algumas unidades prisionais ainda têm situações envolvendo reféns. Em vídeo que chegou ao site é possível ver dezenas de presos correndo para deixar a unidade de Mongaguá. As informações da Polícia Militar dão conta de quase mil foragidos em Mirandópolis (por lá foram 926 os detentos que conseguiram fugir), 400 em Mongaguá e 30 fugitivos em Taubaté. O presídio de Tremembé também teve tumulto após circular a informação de que a saída temporária de Páscoa foi suspensa. Restrições adotadas como medidas de contenção do coronavírus teriam motivado a revolta dos presos nas unidades, de regime semiaberto.",Sistema penitenciário em SP tem rebeliões e fuga de presos,https://www.gazetadopovo.com.br/republica/breves/sistema-penitenciario-em-sp-tem-rebelioes-e-fuga-de-presos/
"O Ministério da Saúde estuda impedir exportções de equipamentos usados em leitos de UTI, como respiradores, e até requisitar leitos da rede privada para atender ao SUS. ""O Ministério da Saúde passa a trocar informações sobre uso de leitos privados [com a rede particular]. Queremos saber qual a ocupação, quem tem leito ocioso, quem não tem, qual a ocupação. Se necessário, vamos requisitar leitos privados ao SUS"", disse o secretário-executivo da pasta, João Gabbardo, em coletiva na tarde desta segunda-feira (16). A pasta avalia também reduzir tributos sobre medicamentos usados contra o novo coronavírus, além de postergar o reajuste anual de preços destes produtos. Gabbardo disse ainda que o governo quer receber equipamentos de UTI que a China já deixou de usar, pela diminuição dos casos. ""Estamos em contato com embaixada chinesa, para colocar o Brasil como voluntário para receber equipamentos"", disse ele.",Governo estuda requisitar leitos da rede privada para atender ao SUS,https://www.gazetadopovo.com.br/republica/breves/governo-estuda-requisitar-leitos-da-rede-privada-para-atender-ao-sus/
"O Secretário Especial de Comércio Exterior e Assuntos Internacionais do Ministério da Economia, Marcos Troyjo, é mais um integrante da comitiva que acompanhou o presidente Jair Bolsonaro em viagem oficial aos EUA a testar positivo para a covid-19, doença provocada pelo coronavírus. Troyjo passou a cumprir isolamento domiciliar e fez o exame de detecção assim que surgiram as primeiras informações sobre o surgimento de sintomas em outras pessoas do grupo. que apresentaram sintomas. O resultado saiu na tarde desta segunda-feira (16). O Secretário não apresenta sintomas e trabalha de casa, de onde continuará a observar as diretrizes de isolamento estipuladas pelo Ministério da Saúde. Troyjo é o primeiro representante da equipe econômica com coronavírus.",Secretário do Ministério da Economia testa positivo para coronavírus,https://www.gazetadopovo.com.br/republica/breves/secretario-do-ministerio-da-economia-testa-positivo-para-coronavirus/
"A Associação Médica Brasileira (AMB) encaminhou ofício ao presidente Jair Bolsonaro neste domingo (15) solicitando que determine o fechamento das fronteiras do país com a Venezuela e a Guiana. Segundo a entidade, a medida serve para prevenir eventual sobrecarga no sistema público de saúde dos estados no norte do Brasil em meio ao avanço do novo coronavírus. De acordo com a entidade, a chegada de venezuelanos ""tem se intensificado"" com a chegada da doença no país vizinho. ""Esse quadro aumenta o risco de circulação do vírus do estado de Roraima, além de sobrecarregar ainda mais os equipamentos de saúde estaduais e da capital, pois também há grande número de venezuelanos que migram exclusivamente para buscar tratamento de saúde no Brasil"", afirma a AMB. De acordo com a entidade, a intensificação nos atendimentos tem levado à falta de equipamentos de proteção individual, como máscaras.",Associação Médica pede a Bolsonaro fechamento de fronteira com Venezuela,https://www.gazetadopovo.com.br/republica/breves/associacao-medica-fechamento-de-fronteira-venezuela/
"O INSS anunciou nesta segunda-feira (16) a restrição do horário de funcionamento das agências. O atendimento espontâneo, aquele que não precisa de agendamento, só será feito de segunda à sexta, das 7 horas às 13 horas. Das 13 horas às 17 horas, apenas segurados com atendimento pré-marcado serão atendidos. Caso não haja nada programado, a agência será fechada. ""Vale lembrar que a maioria dos atendimentos espontâneos feitos nas agências são em função de pessoas que buscam por informações que estão disponíveis nos canais digitais"", diz o INSS em nota. A orientação do órgão é só buscar atendimento presencial em casos imprescindíveis, como para perícia médica. O INSS também vai restringir a presença de acompanhantes dos segurados durante o atendimento. Apenas poderão permanecer procuradores ou representantes legais devidamente identificados.",INSS restringe horário de funcionamento de agências,https://www.gazetadopovo.com.br/republica/breves/inss-restringe-horario-de-funcionamento-de-agencias/
"O presidente da Confederação Nacional da Indústria (CNI), Robson Braga de Andrade, 72 anos, foi diagnosticado com o novo coronavírus. Andrade integrou a comitiva do presidente Jair Bolsonaro na viagem aos Estados Unidos, na semana passada. Com a confirmação do caso, já são 12 o número de pessoas que foram na viagem e contraíram a covid-19. Segundo a assessoria da CNI, Andrade está bem, em isolamento domiciliar, e assintomático.",Presidente da CNI é mais um da comitiva de Bolsonaro com coronavírus,https://www.gazetadopovo.com.br/republica/breves/presidente-cni-coronavirus-positivo/
"O governador do Rio, Wilson Witzel, vai decretar estado de emergência no estado ainda nesta segunda-feira (16). Ele também disse que os governadores decidiram, em conjunto, pedir R$ 50 bilhões à União para que os estados lidem com a covid-19. Witzel passou o dia reunido com representantes de diversos setores de serviços. Ficou acertado, segundo ele, que as lojas de shoppings serão totalmente fechadas e as praças de alimentação funcionarão em apenas um terço de seu padrão diário. O Rio tem atualmente 31 casos confirmados, sendo um deles grave. Para Witzel, o Rio precisará, no âmbito da Saúde, de cerca de R$ 1 bilhão para lidar com o problema. Ainda sobre a conversa com outros governadores, Witzel disse que ele, João Doria (SP), Romeu Zema (MG) e Rui Costa (BA), que comandam os estados mais populosos do país, podem entrar com uma ação no Supremo Tribunal Federal (STF) em que questionariam a Corte sobre a possibilidade de adotar medidas como internação compulsória de suspeitos.",Witzel vai decretar estado de emergência e defende R$ 50 bilhões aos estados,https://www.gazetadopovo.com.br/republica/breves/witzel-vai-decretar-estado-de-emergencia-rj/
