Título,Notícia,Data-Hora,Link
O que é o coronavírus?,"Coronavírus é o nome de uma família de vírus que têm uma estrutura em formato de coroa. Eles causam infecções respiratórias e já provocaram outras doenças. Em geral, eles circulam apenas entre animais como morcegos e roedores, mas passam a infectar também as pessoas quando a convivência é muito próxima e os vírus sofrem mutações espontâneas e aleatórias.  O novo coronavírus que começou a circular na China no ano passado ganhou o nome temporário de 2019 n-Cov e depois o oficial de SARS-CoV-2, uma sigla para o nome completo em inglês ""severe acute respiratory syndrome coronavirus 2"" .  A família coronavírus é conhecida desde 1960. Outras doenças provocadas por este tipo de vírus são a Síndrome Respiratória Aguda Grave (Sars) e a Síndrome Respiratória do Oriente Médio (Mers).  Em 2002 e 2003, o coronavírus da Sars, Síndrome da Deficiência Respiratória Aguda Grave, infectou pessoas em 26 países do mundo. A suspeita é que a transmissão da doença começou por morcegos.  Em 2012, um outro coronavírus, o Mers, foi descoberto. Por circular principalmente no Oriente Médio, especialistas suspeitam que, depois de uma mutação, ele pulou dos dromedários para as pessoas.  Além deles, há o Alpha coronavírus 229E e NL63 e o Beta coronavírus OC43 e HKU1.  A doença causada pelo novo coronavírus recebeu o nome de Covid-19. Ela foi descoberto no final de dezembro de 2019, na China. A primeira morte foi registrada no dia 9 de janeiro.  Uma pesquisa feita com 44 mil pacientes aponta que 80% dos casos de Covid-19 são leves. A maior taxa de mortalidade (14,8% dos infectados) está entre as pessoas com mais de 80 anos. Pacientes com outras doenças, principalmente as cardiovasculares, também têm uma chance maior de ter a versão crítica da Covid-19.  Veja outras perguntas e respostas sobre o coronavírus:",2020-02-27,https://g1.globo.com/bemestar/coronavirus/noticia/2020/02/27/o-que-e-o-coronavirus.ghtml
O que é o coronavírus?,"Coronavírus é o nome de uma família de vírus que têm uma estrutura em formato de coroa. Eles causam infecções respiratórias e já provocaram outras doenças. Em geral, eles circulam apenas entre animais como morcegos e roedores, mas passam a infectar também as pessoas quando a convivência é muito próxima e os vírus sofrem mutações espontâneas e aleatórias.  O novo coronavírus que começou a circular na China no ano passado ganhou o nome temporário de 2019 n-Cov e depois o oficial de SARS-CoV-2, uma sigla para o nome completo em inglês ""severe acute respiratory syndrome coronavirus 2"" .  A família coronavírus é conhecida desde 1960. Outras doenças provocadas por este tipo de vírus são a Síndrome Respiratória Aguda Grave (Sars) e a Síndrome Respiratória do Oriente Médio (Mers).  Em 2002 e 2003, o coronavírus da Sars, Síndrome da Deficiência Respiratória Aguda Grave, infectou pessoas em 26 países do mundo. A suspeita é que a transmissão da doença começou por morcegos.  Em 2012, um outro coronavírus, o Mers, foi descoberto. Por circular principalmente no Oriente Médio, especialistas suspeitam que, depois de uma mutação, ele pulou dos dromedários para as pessoas.  Além deles, há o Alpha coronavírus 229E e NL63 e o Beta coronavírus OC43 e HKU1.  A doença causada pelo novo coronavírus recebeu o nome de Covid-19. Ela foi descoberto no final de dezembro de 2019, na China. A primeira morte foi registrada no dia 9 de janeiro.  Uma pesquisa feita com 44 mil pacientes aponta que 80% dos casos de Covid-19 são leves. A maior taxa de mortalidade (14,8% dos infectados) está entre as pessoas com mais de 80 anos. Pacientes com outras doenças, principalmente as cardiovasculares, também têm uma chance maior de ter a versão crítica da Covid-19.  Veja outras perguntas e respostas sobre o coronavírus:",2020-02-27,https://g1.globo.com/ciencia-e-saude/noticia/2020/02/27/o-que-e-o-coronavirus.ghtml
Coronavírus: como é feito o diagnóstico do coronavírus?,"No vídeo acima, o infectologista do Hospital Emílio Ribas (SP) Jean Gorinchteyn explica como é feito o exame de diagnóstico do coronavírus e quanto tempo demora para o paciente receber o resultado.  Acompanhe a série especial do G1, também disponível no Globoplay, para tirar todas as suas dúvidas sobre a doença.",2020-03-12,https://g1.globo.com/bemestar/coronavirus/videos-perguntas-e-respostas/noticia/2020/03/12/coronavirus-como-e-feito-o-diagnostico-do-coronavirus.ghtml
Curados do coronavírus,"A maioria das pessoas diagnosticadas com Covid-19, a doença causada pelo novo coronavírus (Sars-CoV-2), apresenta sintomas leves, a ponto de muitas vezes nem conseguir identificar o problema — isso acontece porque nosso corpo percebe a entrada do patógeno e contra-ataca, produzindo anticorpos.  Quem apresenta sintomas mais graves, entretanto, relata incômodos como falta de ar, cansaço, fraqueza, febre, tosse, dores de cabeça e no corpo antes de se recuperar da doença.  Dos que testam positivo para a Covid-19, enquanto alguns precisam ser internados (por vezes até precisando de cuidados nas Unidades de Terapias Intensivas dos hospitais); outros, com sintomas mais leves, recuperam-ser em casa, em quarentena por 14 dias.  Leia, abaixo, relatos de quem se curou da Covid-19:  Herisson Henrique, 35 anos, médico, São Paulo  Walcir Costa, médico cardiologista, Santarém (PA)  “Após a tomografia, fiquei mais preocupado em cuidar de minha esposa, filhos e funcionários. Não posso negar que fiquei preocupado, mas mantive a fé que passaríamos por esse desafio. Assim que tive a confirmação, emiti uma nota pública, no intuito de alertar vizinhos, funcionários, amigos e pacientes. A saúde e bem-estar de todos foi a minha maior preocupação. Recebi inúmeras mensagens de apoio”, revelou Walcir.  Natália Kairala, 27, médica, de Brasília (DF)""Eu comecei a sentir dor nas costas, dor nas pernas e ficar muito prostrada. A gente começou a fazer [contagem] regressiva. Ela me ligava e dizia: faltam 3 dias para a gente se ver, mamãe. A parte mais difícil foi ficar longe da Maria. Foi muito, muito difícil. A gente sempre ficou juntinhas, por mais que meu trabalho exija muito, eu sempre me dediquei a ela.""  Carlos Augusto Costa, 57, engenheiro eletrônico, de Recife (PE)""O limite entre a vida e a morte é muito tênue. Eu não tive tosse. Tive febre, senti o corpo mole e muita dor de cabeça. A temperatura ficava entre 37,9°C e 38,5°C e eu não conseguia dormir. É uma roleta russa, algo que pode acontecer com qualquer um. Eu via toda hora gente morrendo, gente que era mais nova que eu. Eu ando, eu tenho uma alimentação saudável. E me vi na cama, no hospital, com a possibilidade de não voltar. Está muito próximo da gente. Você pode ser forte, mas a pessoa que está ao seu lado pode não ser. Eu vivi. Eu senti e posso dizer com o meu coração: fiquem em casa.""  João Mariano, de 77 anos, de Curitiba""Eu fico muito contente porque, no estado em que cheguei aqui, não podia nem falar. A gente foi muito bem tratado e graças a Deus posso dizer que estou novo. Estou bom.""  Joper Fonseca Júnior, de 54 anos, médico infectologista, de São José dos Campos (SP)""Você quer saber minha idade após ter renascido da Covid-19 ou a outra? Por ser médico e entender como é a UTI, esse era meu maior medo. O medo de sofrer. Sei todos os passos, como funciona a entubação e ficava pensando nisso. Não subestimem o potencial desse novo coronavírus. Todo mundo tem que ter cautela. Não importa a idade. É hora de ficar em casa, quem puder.""  Hudson Ricardo Alves dos Santos, de 43 anos, executivo, de Cubatão (SP)""O médico subiu em cima de mim para eu parar de me debater e pedia para eu respirar. Nesse momento, perdi a consciência. Fiquei em coma por sete dias. Comecei a perceber que uma mulher cantava baixinho, mas perto de mim. Eu não entendia nada, mas conseguia ouvir. Comecei a cantar junto, mas na minha cabeça. Aí me dei conta que não conseguia abrir os olhos. No sétimo dia, acordei e fui recebido por aplausos.""  David Uip, de 67 anos, médico e coordenador do Centro de Contingência do Coronavírus de São Paulo""Então, esse sentimento de você se ver como médico, infectologista, com uma pneumonia sabendo que, muito provavelmente, entre o sétimo e décimo dia ia complicar, eu quero dizer para vocês que foi um sentimento muito angustiante, você ir dormir sem saber como ia acordar. É o testemunho de quem já esteve com a doença, não é brincadeira.""  Anna Poloni, de 33 anos, médica, de São Paulo""Embora ainda não exista nenhuma pesquisa que possa afirmar completamente que não terei novamente a doença, me sinto um pouco mais protegida que os outros, quase um super-herói como o Wolverine. Talvez seja uma defesa psicológica, de quem já passou por tudo isso e saiu viva. O fato é que estou mais firme e isso ajuda a dar força aos outros colegas.""  Bosco Couto, de 49 anos, consultor de marketing, de Fortaleza""Ficar nesta hora isolado totalmente só, sem ninguém seu por perto, é muito ruim. Tive medo de não me despedir das pessoas. Esta é uma doença forte e cruel, pois além do corpo, ela ataca o nosso espírito. Ficar isolado não é fácil, não ter certezas não é fácil e ficar sem ar é desesperador.""  Stella Cristina Bião, de 57 anos , de Salvador""Vivenciei momentos muito difíceis que jamais imaginei um dia experimentar. Os efeitos colaterais dos medicamentos me fizeram muito mal.""  Francisco Freire, de 24 anos, biólogo, de Linhares (ES)""Foi uma aflição, porque é um vírus bastante poderoso que tem uma contaminação rápida e não precisa de um hospedeiro para transmiti-lo. O coronavírus não pode ser tratado como uma 'gripezinha' e pode fazer o nosso sistema de saúde entrar em colapso.""  José Agostinelli, empresário, de Gravatal (SC)""Passei dias terríveis dentro do hospital porque o isolamento mexe muito com o psicológico e com o físico da pessoa. A pessoa está debilitada.""  José Roberto Reducino, de 64 anos, de Campinas (SP); a mulher dele, Eunice Reducino, de 63 anos, também teve a doença""Eles tiveram a brilhante ideia de trazer a gente para o mesmo quarto, isso nos encorajou muito. A nossa união de 42 anos de casados, o cuidado e o carinho um com o outro, ajudou bastante a gente. Eu tinha muita dor, aí via na TV muita gente morrendo, aí entrou o medo da morte. A gente deita, tem falta de ar, vai andar, não consegue respirar. Vai falar, corta a voz. A sensação é que você está afogando sem água, um afogamento dentro do pulmão. É horrível.""  Cláudio Oderich, de 61 anos, vice-presidente do Grêmio, de São Leopoldo (RS)""Fiz a quarentena junto com a minha esposa, meu filho, minha nora, sobrinhos, família. Cumprimos todas as regras da vigilância, fizemos isolamento residencial e foi bem tranquilo. Sofremos bullying. Mas estamos bem e podemos dizer que recuperados. Queria deixar esse recado para as pessoas: existe vida após o vírus.""  Nayana Oliveira, psicóloga e escritora, de Goiás""Interessante pensar que o coronavírus, um vírus que ocasionou um surto de doença respiratória, desacelerou o mundo e trouxe de volta para casa a família. Não só isso, mas que exige o isolamento como tratamento proporcionando ao indivíduo a oportunidade de ficar próximo de si mesmo.""  Renata Berenguer, de 30 anos, advogada, de Recife (PE)""O que precisa ser feito é o isolamento. É esse gesto de amor. As pessoas vão sentir dor de cabeça e outros sintomas achando que não é nada. A única coisa a fazer é ficar em casa. Só nos resta isso. É uma oportunidade de refletir como ser diferente, como ser uma pessoa melhor.""",2020-04-06,https://g1.globo.com/bemestar/coronavirus/noticia/2020/04/06/curados-do-coronavirus.ghtml
'Coronavírus': Saúde de Americana confirma quinto caso do novo coronavírus,"Americana (SP) confirmou na tarde desta quinta-feira (9) o quinto caso positivo do novo coronavírus. O paciente é um homem de 48 anos, internado na unidade semi-intensiva do Hospital Municipal, e faz parte do grupo de risco para a Covid-19, por ser hipertenso e diabético, informou a prefeitura.  Desde o início da pandemia, o município já contabilizou duas mortes provocadas pela doença.  O boletim divulgado pela Secretaria de Saúde indica que a cidade tem 42 casos à espera de exames do Instituto Adolfo Lutz, na capital paulistas, dos quais oito estão internados em hospitais, oito permanecem em isolamento domiciliar, enquanto 26 já cumpriram este período de isolamento.  Além disso, 17 registros suspeitos já foram descartados pela administração.  Veja mais notícias da região no G1 Campinas.",2020-04-09,https://g1.globo.com/sp/campinas-regiao/noticia/2020/04/09/coronavirus-saude-de-americana-confirma-quinto-caso-do-novo-coronavirus.ghtml
"Alcolumbre contraiu coronavírus, informa assessoria","A assessoria de imprensa do Senado informou nesta quarta-feira (18) que o presidente do Congresso, senador Davi Alcolumbre (DEM-AP), contraiu o novo coronavírus.  De acordo com a assessoria, o primeiro teste ao qual ele foi submetido deu negativo, mas, na noite desta terça (17), o presidente do Senado fez um novo exame, que deu resultado positivo.  ""Davi Alcolumbre, no entanto, está bem, sem sintomas severos, salvo alguma indisposição, e segue em isolamento domiciliar, conforme determina o protocolo de conduta do Ministério da Saúde e a OMS"", acrescentou a assessoria.  Além de Alcolumbre, outros parlamentares foram diagnosticados com o novo coronavírus, entre os quais o senador Nelsinho Trad (PSD-MS) e o deputado Cezinha de Madureira (PSD-SP).  Na última segunda (16), Davi Alcolumbre participou de uma reunião com representantes de todos os poderes para discutir medidas de combate ao novo coronavírus.  Participaram do encontro o presidente do Supremo Tribunal Federal, Dias Toffoli; da Câmara, Rodrigo Maia (DEM-RJ); além do ministro da Saúde, Luiz Henrique Mandetta.  Leia a íntegra da nota divulgada pelo Senado:  Nota à imprensa  Depois de o primeiro exame dar negativo, o presidente do Congresso Nacional, senador Davi Alcolumbre, refez o exame na noite de ontem (17) e, nesta quarta-feira (18), atestou positivo para Covid-19.   Davi Alcolumbre, no entanto, está bem, sem sintomas severos, salvo alguma indisposição, e segue em isolamento domiciliar, conforme determina o protocolo de conduta do Ministério da Saúde e a OMS.  Assessoria de Imprensa da Presidência do Senado",2020-03-18,https://g1.globo.com/politica/noticia/2020/03/18/alcolumbre-contraiu-coronavirus-informa-assessoria.ghtml
Como se prevenir do coronavírus? ,"A prevenção contra a transmissão do novo coronavírus exige cuidados simples no dia a dia, como a forma correta de lavar as mãos, espirrar e tossir. Assista:  Abaixo, veja 12 dicas para se proteger:  A prevenção deve ser feita, principalmente, pela higienização das mãos e de superfícies que possam estar contaminadas.  De acordo com Rosana Richtmann, infectologista do Instituto de Infectologia Emílio Ribas, em São Paulo, e membro da sociedade Brasileira de Infectologia, é recomendável portar álcool 70 para limpar prontamente as mãos antes de encostar em áreas como olho, nariz e boca.  ""Como a contaminação se dá através de gotículas [que saem da pessoa infectada por meio de tosse, espirro e fala], o vírus pode estar em qualquer superfície: em maçanetas, mesas, bancadas. Você pode tocar nessas superfícies, contaminar a mão, e depois tocar rosto, boca e olhos, que são portas abertas para o vírus entrar no organismo"", explicou Richtmann.  Segundo a infectologista, a higienização pode ser feita com água e sabão ou álcool gel, mas nunca apenas com água. Além das mãos, também é recomendável limpar com desinfetantes superfícies que possam estar infectadas e se manter a uma distância mínima de um metro de pessoas que estejam espirrando ou tossindo.  A infectologista Ho Yeh Li, da Faculdade de Medicina da USP, recomenda algumas mudanças de hábito. ""Sempre que há circulação de vírus respiratório, precisamos parar de cumprimentar com beijinhos no rosto"", afirma ela.  Ao espirrar, diz, é recomendável colocar o antebraço ou um lenço na frente do nariz e boca. Além disso, é preciso entender que ir ao trabalho com sintomas de gripe implica expor potencialmente outras pessoas à doença, segundo a especialista.  Já o uso de máscaras é mais recomendado para quem estiver em contato com alguém com qualquer sintoma gripal, de acordo com Wladimir Queiroz, infectologista do Instituto de Infectologia Emílio Ribas, especialista em doenças infecciosas e parasitárias e membro da Sociedade Brasileira de Infectologia.  Não há restrição oficial para viagens a países com registro de Covid-19, a doença provocada pelo novo coronavírus, de acordo com a Organização Mundial de Saúde (OMS).  O Ministério da Saúde orienta que viagens para a China devem ser feitas ""apenas em casos de extrema necessidade"", mas segue a orientação da OMS e não proíbe deslocamentos. O ministro da Saúde, Luiz Henrique Mandetta, pediu “bom senso” aos brasileiros que decidam viajar para países com casos da doença.  O hospital Albert Einstein, em São Paulo, recomenda que seja verificada a possibilidade de troca de passagem. ""Caso não seja possível evitá-la, tome ainda mais cuidado com a higiene das mãos, evite aglomerações e siga as recomendações gerias de proteção"", afirma a instituição.",2020-02-27,https://g1.globo.com/ciencia-e-saude/noticia/2020/02/26/como-se-prevenir-do-coronavirus.ghtml
Coronavírus: como usar a máscara? ,"No vídeo acima, o infectologista Celso Granato, da Universidade Federal de São Paulo (Unifesp), explica como e quando usar as máscaras, durante a pandemia de coronavírus.  Acompanhe a série especial do G1, também disponível no Globoplay, para tirar todas as suas dúvidas sobre a doença.",2020-03-12,https://g1.globo.com/bemestar/coronavirus/videos-perguntas-e-respostas/noticia/2020/03/12/coronavirus-como-e-quando-usar-a-mascara.ghtml
Coronavírus: vereadora de Belo Horizonte testa positivo para coronavírus,"A vereadora de Belo Horizonte Bella Gonçalves (PSOL) anunciou em suas redes sociais que testou positivo para o coronavírus. Ela e sua equipe já estavam em isolamento domiciliar desde a segunda-feira (16/03).  Este é o terceiro caso confirmado na Câmara de BH. O vereador Gabriel Azevedo (sem partido) e Dr. Nilton (PROS) também estão infectados. A Câmara está fechada desde a última terça (17) após a confirmação do primeiro caso no local.  De acordo com a postagem de Bella Gonçalves, sua colega de partido Cida Falabella também fez o teste, para o qual o resultado foi negativo.",2020-03-21,https://g1.globo.com/mg/minas-gerais/noticia/2020/03/21/coronavirus-vereadora-de-belo-horizonte-testa-positivo-para-coronavirus.ghtml
Casos de coronavírus no Brasil,"De acordo com boletim divulgado pelo Ministério da Saúde nesta quinta-feira (5), o Brasil está com 8 casos de coronavírus. São Paulo registrou seis casos, enquanto o Espírito Santo e o Rio de Janeiro registraram um cada.",2020-03-05,https://g1.globo.com/bemestar/coronavirus/noticia/2020/03/05/casos-de-coronavirus-no-brasil.ghtml
