Título,Notícia,Data,Link
De A a Z: Confira as receitas testadas pela equipe do Culinária #013,"Para facilitar as buscas feitas pelos internautas, o G1 Santos preparou um glossário com todas as receitas feitas e testadas pela nossa equipe. Semanalmente, sempre que uma receita nova for incluída na página, automaticamente ela aparecerá também aqui, em ordem alfabética. Por esse motivo, adicione essa página na sua lista de favoritos e fique sempre atento para as novidades.  Os internautas do G1 podem sugerir quais receitas gostariam de ser vistas na página e também podem participar ensinando pratos especiais, basta entrar enviar um e-mail g1@grupo-tribuna.com. O G1 vai avaliar cada caso.  Última receita adicionada: bolo de chocolate vegano, em 01/05/2020.  Total de receitas disponíveis: 217  A  Abobrinha à parmegiana recheada   Almôndegas de grão de bico  Arroz com frutas cristalizadas sem uvas passas  Arroz com lula  Arroz de marisco  Arroz doce gourmet  Arrumadinho  Atoladinho de carne seca  B  Bacalhau à lagareiro  Bacalhau à Zé do Pipo  Bacalhau crocante  Bacalhau gratinado  Batata suíça de frango com catupiry  Berinjela à parmegiana  Berinjela recheada com mostarda e queijo  Biscoitinho amanteigado  Biscoitinho de queijo   Brigadeiro de açaí  Brigadeiro de cream cheese recheado com doce de leite  Bruschettas de abobrinha e espinafre  Bolinho de bacalhau português  Bolinho de carne  Bolinho de carne de panela   Bolinho de feijoada  Bolinho de mandioca com carne seca   Bolinho de peixe  Bolo de açaí, banana e granola   Bolo de banana integral  Bolo de chocolate vegano  Bolo com brigadeiro de laranja e mousse de ninho  Bolo de fubá com goiabada  Bolo de maçã com camomila e cranberry  Bolo de matchá   Bolo gelado de coco  Bolo naked cake de churros  Bolo salgado de atum  Bolo sem glúten e com cobertura de doce de leite  Bolo de cenoura  Bolo de tapioca  Bolo de chocolate ao cubo  Bolo de chocolate branco com frutas vermelhas  Bolo de Reis com frutas secas  Bolotone  Bombom low carb com amendoim  Brownie com brigadeiro de amarula  Brownie funcional com geleia de frutas vermelhas  Brigadeiro de milho com coco  Brigadeiro indiano  Burrito de frango com geleia de pimenta  C  Café Janduia e Café Valsa  Café 'Mariana'  Café 'Elisabeta'  Caldeirada de frutos do mar   Cappuccino de Creme de Avelã  Caipirinha de laranja com café  Caldo verde com linguiças e batatas  Calzone vegetariano  Camafeu de nozes   Camarão ao molho de coco  Camarão 'croc croc' recheado com catupiry  Cartola, sobremesa típica de Pernambuco  Ceviche com três peixes e manga  Ceviche de salmão com purê de batata doce roxa - 'Causa Peruana'  Ceviche tradicional   Charlotte de chocolate branco  Cheesecake de bolachas  Cheesecake de açaí   Cheesecake com calda de morango  Cheesecake de paçoca  Chester recheado com farofa   Colomba pascal  Contra-filé à francesa   Cookie de chocolate  Costela com molho de barbecue  Coxinha de brigadeiro com morango  Coxinha fit  Creme de abóbora com carne seca  Creme de alho poró  Creme de frutas vermelhas  Creme de frutas vermelhas com kiwi e coco  Creme de mandioquinha com carne seca   Crepe de filé mignon com queijo  Crepioca light de peito de peru  Croc-tartar  Cuscuz marroquino   Cupcake de cenoura com brigadeiro  Cupim com molho de goiabada e pimenta   D  Dadinho de tapioca  Drinks alcoólicos (Sex on the beach e MSC Blue and Blue)  Drinks 'Aperol Cherry' e 'Iemanjá'   Drinks com gin, espumante e café  Drip cake de café  Doce de manga com farofa de gengibre  E  Entrecôte ao molho de mostarda  Escondidinho caiçara  Escondidinho de banana da terra e carne seca  Espaguete de abobrinha  F  Feijoada simples com couve refogada  Filé mignon argentino com molhos de manjericão ou berinjela  Filé mignon aperitivo com toque de gorgonzola  Filé mignon recheado  Francesinha - sanduíche típico de Portugal   Frango assado com tempero a base de vinho  Frango crocante tropical com frutas  Frango frito coreano com molho de pimenta  Fricassê de frango  Focaccia de azeitonas sem glúten  G  Galette tradicional   Gallo Pinto, prato típico da Costa Rica  Geleia de pimenta  Geleia de frutas e pimenta rosa   Gibanica doce, torta típica da Sérvia  H  Hambúrguer caseiro recheado com gorgonzola  Hambúrguer com estrogonofe  Hambúrguer com fondue de queijo   Hot roll doce e hot roll salgado  Hot roll doce com açaí, banana e morango  K  Kakuni  Khaop sapparod (Risoto de Camarão no Abacaxi)  L  Lámen tradicional   Lasanha vegetariana com base de berinjela  Linguiça recheada tomate, queijo e rúcula  Linguine de palmito e legumes   Lombo com calda vidrada e damascos  Lomi-lomi, prato típico havaiano  M  Manjar de coco com calda de damasco  Meca Santista  Medalhão de filet mignon recheado de queijo e presunto  Medalhão de porco com bacon  Milkshake de bacon  Milkshake de café  Mini muffin de baunilha e chocolate  Mini pastel assado de calabresa  Mini quindim  Mini quiche de chocolate amargo   Molho para hambúrger com whisky e refrigerante  Moqueca com farofa de banana da terra  Moqueca de banana   Mousse de chocolate  N  Naked cake de doce de leite  Nhocão  Nhoque recheado de cheddar e bacon  Nhoque de banana da terra com ragu de porco   Nuggets funcionais de frango  O  Ovos de chocolate de colher  P  Palha italiana de café  Panceta de porco  Panetone salgado com presunto e tomate seco  Panetone no pote  Panqueca doce  Pão de arroz integral sem glúten e lactose  Pão de mel de brigadeiro  Pão recheado com ingredientes de pizza  Pastel de pernil  Pavê de chocolate com paçoca e pé de moleque  Palmito pupunha com quinoa  Peixe com creme de vinho, mexilhões e batatas assadas  Peixe com crosta de coco e cuscuz de ervas  Pescada crocante com purê de brócolis e maionese de limão  Pescada recheada  Picadinho - eleito o melhor de São Paulo  Picanha com farofa de banana da terra  Pizza Rochetta Rossa   Poke vegetariano   Pudim de caipirinha  Pudim de chocolate com nozes  Pudim de panetone  Purê de maçã  Q  Quibe recheado com queijos  Quiche de legumes  Quiche francesa com bacon  R  Ravióli com recheio de muçarela de búfala  Ravióli de beterraba  Raviolone de gorgonzola  Ribeye bone in com um purê de batata doce  Risoto de funghi  Risoto de salmão com ervas frescas  Risoto de tender com pêssegos  Risoto quatro queijos  Risoto vegano  Rocambole de frango recheado   Rolinho vietnamita  S  Salada caprese  Salada com rosbife  Salada da juventude   Salada de atum selado  Salada de folhas, frutas e flores   Salada grega adaptada   Salada no pote  Salada de grão de bico  Salmão folhado  Salmão gratinado na cama de shimeji  Salpicão de frango  Shimeji na manteiga  Shot da imunidade  Sorbet de banana e morango  Suchá de hibisco e laranja  Suco energizante de cenoura e manga   Suco verde e suco de pitaia  Sushi tradicional e vegetariano  T  Tainha grelhada com molho de camarão  Tapioca de salmão e tapioca de chocolate  Temaki de salmão com cream cheese  Tempurá com legumes e camarões  Torta banoffe  Torta de banana em camadas  Torta de chocolate com avelãs vegana e sem açúcar  Torta de doce de leite e paçoca  Torta Holandesa com confeitos  Torta de caramelo com doce de leite  Torta de camarão  Torta de morango com merengue  Torta de limão siciliano  Torta de ricota com tomates  Torta low carb de frango  W  Waffle  Wrap de shimeji  Wrap caprese  X  X-Toscana",2017-11-03,https://g1.globo.com/sp/santos-regiao/culinaria-013/noticia/de-a-a-z-confira-as-receitas-testadas-pela-equipe-do-culinaria-013.ghtml
"Piauí de Riquezas: conheça a culinária da carne de sol, fé em Santo Antônio e Cânion do Rio Poti","O programa de estréia do Piauí de Riquezas, exibido neste sábado (13), nos convida a fazer uma viagem mostrando a cultura e religião de Campo Maior, além de paisagens incríveis do Cânion do Rio Poti. A programação conta com apresentação de Helder Vilela e com matérias da repórter Idria Portela.  Na abertura do programa contamos com o humorista João Cláudio Moreno embalado em uma música, com um cenário típico piauiense. No primeiro bloco, vamos conhecer um pouco sobre alguns cenários e culturas que fazem parte do Piauí, uma delas é a cidade de Campo Maior e a famosa carne do sol.  O empresário Bruno Andrade, de Campo Maior, fala sobre os pratos que podem ser feitos a partir da carne de sol. “A carne já é algo tradicional na cidade e um patrimônio cultural. Com ela podemos fazer vários pratos como a Maria Isabel e o escondidinho de carne”, disse.  A repórter Idria Portela percorre a cidade para descobrir um pouco mais da história e cultura desse prato tradicional. Uma das visitas feitas é na Fazenda Abelheiras, de 312 anos, uma das primeiras do Piauí.  No segundo bloco, o programa explora sobre as lendas da região relacionadas a uma das figuras religiosas mais conhecidas da igreja católica, o Santo Antônio.  Por último, é apresentado o Cânion do Poti e sua história. A repórter Idria Portela apresenta as opções para turismo no local e exploração da região.",2020-03-14,https://g1.globo.com/pi/piaui/noticia/2020/03/14/piaui-de-riquezas-conheca-a-culinaria-da-carne-de-sol-fe-em-santo-antonio-e-canion-do-rio-poti.ghtml
Confeiteira faz ovos de Páscoa com recheios de doces típicos da culinária cuiabana,"A confeiteira Ana Paula Bueno da Silva está vendendo ovos de Páscoa recheados com doces típicos da região. Os ovos tem recheios de furrundu, doce de abóbora com coco, mamão verde e ganache com doce de abóbora. Ela começou a novidade na páscoa passada e fez sucesso entre os clientes.  Ao G1, ela contou que faz ovos há sete anos, mas os sabores regionais caíram no gosto dos clientes há um ano e eles adoraram.  Os clientes também podem misturar os sabores tradicionais com regionais. Os sabores mais pedidos continuam sendo chocolates e frutas, mas os novos sabores estão fazendo sucesso, segundo Ana Paula.  “Essa novidade de recheios regionais teve muitos comentários. As pessoas acharam muito interessante e recebi encomendas. O público cuiabano acha interessante mesmo, principalmente aqueles que gostam dos doces. O furrundu é o mais comentado e pedido”, contou.  Ana Paula contou que a ideia surgiu depois de fazer um curso de culinária e comentar com a professora sobre os gostos dos cuiabanos. Por ser cuiabana também, ela resolveu valorizar a própria cultura e teve a inspiração em colocar a regionalidade culinária nos sabores dos ovos de páscoa.  Ela trabalha fazendo ovos tradicionais fechados, trufados e abertos para comer de colher. Eles custam de R$ 28 a R$ 60 e pesam de 250 gramas a 500 gramas. Na época da Páscoa, ela costuma fazer em torno de 60 a 70 ovos por encomenda.  Esse ano com a novidade de ovos com sabores regionais, ela tem a expectativa que os pedidos devam aumentar. Com a quantidade maior de produtos vendidos, ela espera conseguir uma renda maior que R$ 3,5 mil, como costuma tirar todo ano.  Questionada sobre as vendas na atual circunstância de pandemia da Covid-19, a confeiteira foi otimista e disse que trabalha com delivery, então não atrapalha. E entregas a domicílio é mais fácil trabalhar, segundo Ana Paula. “Tenho fé em Deus que tudo vai se acalmar. Minhas vendas serão um sucesso. Deus é fiel e nunca te dá sonhos que não consiga realizá-los” disse.  Além dos sabores regionais, ela também faz ovos com recheios de churros, brigadeiro, dois amores, ninho com morango, nutela com açaí, beijinho, mousse de maracujá, mousse de limão, bolo de chocolate, de cenoura com brigadeiro e branco com ninho e morango.  A cozinheira é casada, tem filhos, é formada em direito e está desempregada atualmente, mas há sete anos complementa a renda financeira produzindo ovos e outras receitas de confeitaria. Ela trabalha com encomendas de bolos de aniversários, doces e os ovos de chocolate.  “Sou cozinheira não por profissão, mas por necessidade e sou profissional em doces. Meu sonho mesmo é seguir no direito. Por enquanto achei nos doces uma forma de ganhar dinheiro para o sustento de casa, principalmente com o chocolate que traz alegria a qualquer pessoa”, declarou ela.  Veja outras matérias no G1 Mato Grosso.",2020-04-06,https://g1.globo.com/mt/mato-grosso/noticia/2020/04/06/confeiteira-faz-ovos-de-pascoa-com-recheios-de-doces-tipicos-da-culinaria-cuiabana.ghtml
Especialista em culinária sustentável dá dicas e receitas para reaproveitar alimentos,"Por conta do isolamento social, necessário para a contenção do novo coronavírus, as pessoas têm ficado mais em casa, o que aumenta a quantidade de refeições diárias de uma residência. Nesse cenário, é importante adotar práticas para economizar e evitar o desperdício de alimentos, como ensinou a gestora do Projeto Angu das Artes, Angélica Nobre, especialista em culinária sustentável (veja vídeo acima).  ""A culinária sustentável vem a ser o aproveitamento total do alimento. Nesse período que estamos passando, nesse momento tão difícil, mais do que nunca temos que reaproveitar o alimento em toda sua totalidade"", explicou.  Há três anos, Angélica ensina, através de cursos e palestras, receitas com reaproveitamento total dos alimentos, incluindo o uso de partes não-convencionais das comidas, como cascas e talos de frutas e legumes. Segundo ela, a culinária sustentável é uma alternativa não só para economizar, mas para empreender.  ""Um exemplo disso é o biscoito de coco, que é meu carro chefe, que é feito a partir de bagaço de coco. Dá para empreender, vender e gerar renda"", afirmou.  Veja abaixo algumas receitas de Angélica Nobre:  Ingredientes  Modo de preparo  Misture tudo, faça bolinhas com a massa. Coloque na assadeira, amasse com um garfo e ponha para assar em forno pré aquecido por aproximadamente 25 minutos ou até começar a dourar por baixo. Deixe esfriar e guarde em recipiente fechado.  Ingredientes:  Modo de preparo  Dissolva o amido de milho no leite e leve ao fogo, mexendo sempre até engrossar. Logo em seguida, misture os demais ingredientes e mexa até desgrudar da panela. Coloque num recipiente, deixe esfriar e sirva em fatias.",2020-04-02,https://g1.globo.com/pe/pernambuco/noticia/2020/04/02/especialista-em-culinaria-sustentavel-da-dicas-e-receitas-para-reaproveitar-alimentos.ghtml
Empresa aposta na volta da banha de porco na culinária ,"Um produto que ganha força na lista da cozinha do brasileiro é a banha de porco. Uma empresa de Palmeira do Oeste, no interior de São Paulo percebeu essa tendência e está faturando. O empresário Jefferson Sestari conta a história da empresa dele no quadro VC no PEGN.  A fábrica do Jefferson aposta na banha de porco 100% natural: “Ela não tem nada de oxidante, é feita como antigamente”.  Assim como a manteiga, a banha de porco é uma gordura saturada e deve ser consumida com moderação. Mas como é natural – sem conservantes, aditivos e sal como a manteiga – tem sido cada vez mais usada no preparo de alimentos.  Jefferson lançou o produto no mercado há um ano e meio. O investimento no negócio foi de cerca de R$ 1 milhão.  Depois de descongelado, o toucinho é moído e vai para os tachos para ser derretido. Fica no tanque de descanso, esfria e vai para o envase. Segundo o empresário, a banha de porco pode ser encontrada em grandes redes de supermercados, atacadões em São Paulo, hortifrutis e nas casas de carne de todo o Brasil. O pote de 850 gramas custa quase R$ 19,90.  “Hoje nossa capacidade de venda é de cerca de 5 mil caixas. Estamos no mercado vendendo três mil caixas com 12 potes cada”, conta o empresário.  A empresa tem 18 funcionários, entre eles um técnico de alimentos e um veterinário. Já estão abrindo uma segunda unidade em Fernandópolis. Jefferson pretende também colocar no mercado o torresmo, que é um subproduto do toucinho. O toucinho de porco utilizado para fazer a banha vem de frigoríficos inspecionados.  DELÍCIAS DO PORCOTelefone: (17) 3651- 3010Facebook: @deliciasdoporco Email: administracao@deliciasdoporco.com",2020-03-22,https://g1.globo.com/economia/pme/pequenas-empresas-grandes-negocios/noticia/2020/03/22/empresa-aposta-na-volta-da-banha-de-porco-na-culinaria.ghtml
Workshop de culinária vegetariana é realizado de graça em Tatuí,"Um workshop gratuito que ensina receitas para um cardápio vegetariano será ministrado em Tatuí (SP) na próxima quarta-feira (4), das 13h30 às 15h30.  As inscrições estão abertas e podem ser realizadas das 11h às 17h, na Cozinha Solidária da Vila Esperança, localizada na Travessa Godoy Moreira, 217.  O evento é organizado pelo Fundo Social de Solidariedade de Tatuí e os interessados devem apresentar RG e comprovante de endereço atualizado.  Veja mais notícias no G1 Itapetininga e Região",2020-02-27,https://g1.globo.com/sp/itapetininga-regiao/noticia/2020/02/27/workshop-de-culinaria-vegetariana-e-realizado-de-graca-em-tatui.ghtml
Aprenda a receita da tradicional pamonha de José de Freitas,"José de Freitas é uma das maiores produtoras de milho do Piauí. A cidade, localizada a XX km de Teresina, recebeu a paraibana Guiomar Campos há cerca de 38 anos. Ela contou ao Piauí de Riquezas que durante muito tempo sustentou a família com a venda de pamonha, iguaria preparada com milho verde triturado, temperado com açúcar ou sal, depois cozido e enrolado na palha do próprio milho.  Para a filha de Guiomar, a pamonha da mão é a mais gostosa da cidade. ""Ela faz com tanto amor que dá para a gente sentir. É um orgulho muito grande ver ela preparando com tanto carinho"", disse Naracir de Oliveira.  Ingredientes  Salgada  Doce  No caso da pamonha doce, em um recipiente coloque o milho ralado e o leite, acrescente o coco ralado, o açúcar, misture e adicione uma pitada de sal. Caso ache que a pamonha dura, você pode acrescentar mais leite, mas a Dona Guiomar recomenda que a massa fique mais solida mesmo.  Em seguida, embale na palha do milho e amarre bem. Depois coloque os pacotes na água quente, para cozinhar e depois de cerca de 20 minutos retire e espere esfriar.  Para preparar a pamonha salgada, em uma vasilha onde já estão misturados o milho e o leite, adicione o queijo ralado, mexa e adicione um pouco de sal, depois misture. Monte as pamonhas na palha e coloque uma fatia de queijo dentro. Amarre e coloque na água para ferver por 20 minutos, retire e espere esfriar.",2020-04-29,https://g1.globo.com/pi/piaui/piaui-de-riquezas/noticia/2020/04/29/aprenda-a-receita-da-tradicional-pamonha-de-jose-de-freitas.ghtml
Oficina de culinária infantil está com inscrições abertas em Sorocaba,"Crianças de 6 a 10 anos de idade que gostam de um desafio na cozinha podem participar, nesta sexta-feira (28), de mais uma edição da oficina de culinária infantil. A atividade acontece das 14h às 16h, na Biblioteca Infantil Municipal ""Renato Sêneca de Sá Fleury"", em Sorocaba (SP).  Para participar os pais ou responsáveis devem inscrever seus baixinhos pelo telefone (15) 3231-5723. As vagas são limitadas.  Nesta edição de fevereiro, a arte-educadora Paula Cristina Minatogawa ensinará as crianças a fazerem um refrigerante caseiro, que, além de ser mais saudável, continua sendo saboroso.  Para deixar a oficina ainda mais divertida, Daniela Andrade e Beto Costa apresentam um mundo cheio de imaginação com a ""contação de histórias"".  A atividade visa desenvolver a criatividade nas crianças de maneira divertida e educativa, ensinando-as receitas simples, práticas e saudáveis ao mesmo tempo em que proporciona uma tarde de interação entre os participantes.  A Biblioteca Infantil está localizada na Rua da Penha, 673, no Centro. Mais informações podem ser obtidas pelo telefone (15) 3231-5723.  Veja mais notícias da região no G1 Sorocaba e Jundiaí",2020-02-25,https://g1.globo.com/sp/sorocaba-jundiai/noticia/2020/02/25/oficina-de-culinaria-infantil-esta-com-inscricoes-abertas-em-sorocaba.ghtml
Culinária: Aprenda a fazer pirarucu com camarão,"Gigante dos rios da Amazônia e que vai muito bem no cultivo em cativeiro em Rondônia, o pirarucu é o principal ingrediente da receita exibida neste domingo (9) no Rondônia Rural. Confira o preparo que leva ervas frescas e legumes (assista abaixo).  Para o camarão e o molho  Para o arroz do jenival  Apesar da lista grande de ingredientes, não se leva nem 40 minutos para fazer tudo. Quando começar a dourar, siga colocando os ingredientes. Depois vem o molho shoyu. Nisso, coloca-se o dobro de água. Se usa também o dendê para fritar. Se quiser, pode incluir um pouco de coloral e fritar. Na sequência, é hora de colocar metade do caldo de camarão e, posteriormente, deixar engrossar um pouco. Deixa de lado e volte para terminar de enfeitar o arroz já mais seco.",2020-02-09,https://g1.globo.com/ro/rondonia/rondonia-rural/noticia/2020/02/09/culinaria-aprenda-a-fazer-pirarucu-com-camarao.ghtml
BRB comemora aniversário de Brasília com festival online na segunda e terça-feira,"Em tempos de pandemia do novo coronavírus, o Banco de Brasília (BRB) decidiu comemorar o aniversário de 60 anos da capital de um jeito diferente: um festival online, com 38 atrações. O evento acontece nesta segunda (20) e na terça-feira (21).  De acordo com os organizadores, o aniversário da capital vai ser festejado, mesmo em casa, com uma série de atrações para todas idades e gostos. Tem aula de yoga, culinária, teatro para as crianças e música com Plebe Rude, Scalene, Dinho Ouro Preto, Oswaldo Montenegro, Hamilton de Holanda e Nando Reis e outros convidados (veja abaixo quem se apresenta).  A programação será transmitida ao vivo e de graça nos perfis dos artistas e do BRB, nas redes sociais.  Segunda-feira (20)  Terça-feira (21)  Veja o que fazer em Brasília no G1 DF.",2020-04-20,https://g1.globo.com/df/distrito-federal/brasilia-60-anos/noticia/2020/04/20/brb-comemora-aniversario-de-brasilia-com-festival-online-na-segunda-e-terca-feira.ghtml
