Título,Notícia,Data,Link
Energia solar ganha espaço na zona rural do noroeste paulista,"Quase duas toneladas de abóboras saem todo mês da plantação de Ademir Ralio, em Votuporanga (SP). Para manter a lavoura bonita e produtiva, não pode faltar energia, que garante o funcionamento dos aspersores, bomba d’água e das lâmpadas da casa.  O agricultor chegou a gastar até R$ 1 mil com energia elétrica na época de seca. Para deixar a conta mais barata, Ademir investiu em energia solar, que tem ganhado cada vez mais espaço nas cidades e também no campo. Agora, o agricultor garante que paga a conta de energia a cada dois meses e gasta no máximo R$ 90.  As 36 placas fotovoltaicas instaladas fazem parte de um sistema responsável por gerar toda a energia consumida na propriedade. O equipamento instalado neste ano tem sistema conectado na rede elétrica.  O engenheiro elétrico Arley da Silva explica que a energia produzida é consumida de forma instantânea. Caso o consumo seja menor que a produção, o excedente vira crédito de energia para ser usado em outro momento.  Ademir investiu pouco mais R$ 60 mil e fez um financiamento em dez parcelas anuais. Com a economia na conta, a expectativa é que em seis ou sete anos o equipamento seja pago.  Dados da Associação Brasileira de Energia Solar mostram que o meio rural brasileiro atingiu 15,8 megawatts de utilização operacional de energia fotovoltaica. Isso significa que o uso de energia solar cresceu nove vezes em 2017 e já dobrou neste ano.  A energia renovável também ajuda a matar a sede do rebanho de uma fazenda de 100 hectares em Marinópolis (SP). O bebedouro, com capacidade para 23 mil litros, está sempre cheio por causa do sol. Neste caso, o sistema não é conectado à rede elétrica. Três placas são responsáveis por puxar do poço profundo aproximadamente 3 mil litros de água por hora. Em dias ensolarados a máquina trabalha pelo menos 6h.  Do reservatório, a água segue por gravidade pelos canos até chegar aos animais. Foi a solução para um problema que apareceu há quase cinco anos, quando uma estiagem forte deixou o gado sem água.  Milton Carlos Branco, gerente da fazenda, fala que um transformador com energia elétrica iria custar cerca de cem mil reais. Para instalar o gerador a base de energia solar, o investimento foi de R$ 7,2 mil.  Acesse + TV TEM | Programação | Vídeos | Redes sociais",2018-08-26,https://g1.globo.com/sp/sorocaba-jundiai/nosso-campo/noticia/2018/08/26/energia-solar-ganha-espaco-na-zona-rural-do-noroeste-paulista.ghtml
"Hospital Helvio Auto, em Maceió, suspende internamentos por causa de falta de energia","O Hospital Escola Dr. Helvio Auto (HEHA), unidade assistencial da Universidade Estadual de Ciências da Saúde de Alagoas (Uncisal), precisou suspender as internações nesse domingo (31) por causa de um problema no fornecimento de energia.  Segundo a assessoria de comunicação, uma peça da subestação de energia da instituição apresentou falhas provocadas pelas fortes chuvas ocorridas no fim de semana. Após diversas quedas de energia na rede de alta tensão, não foi possível restabelecer a energia elétrica em todo prédio.  A Equatorial informou que recebeu a solicitação do hospital na sexta-feira (30) e enviou uma equipe do plantão ao local, que identificou um defeito interno, no transformador de propriedade do hospital.  O Hélvio Auto dispõe de dois geradores de energia. Apenas a UTI permaneceu funcionando normalmente, alimentada por um dos geradores. O outro, que é responsável pelo fornecimento do restante do prédio, teria queimado por causa das quedas na rede elétrica.  Por questões de segurança, novas internações foram suspensas enquanto o gerador era consertado. Dois pacientes tiveram que ser transferidos para o Hospital Geral do Estado (HGE).  Os casos de urgência foram encaminhado para o HGE. Os menos urgentes, tiveram que aguardar atendimento. As equipes de manutenção, tanto da Uncisal, quanto do HEHA, trabalharam para o conserto da subestação.  O fornecimento de energia foi normalizado por volta das 16h e o atendimento de pacientes foi retomado.  Veja mais notícias da região no G1 Alagoas",2020-05-31,https://g1.globo.com/al/alagoas/noticia/2020/05/31/hospital-helvio-auto-em-maceio-suspende-internamentos-por-causa-de-falta-de-energia.ghtml
Governador sanciona lei que garante instalação de energia solar em novas edificações de escolas,"Foi sancionada pelo governador Mauro Carlesse (DEM) um projeto de lei que garante energia solar nas novas construções de escolas da rede estadual. A matéria altera a Lei 3.179 de 2017, que instituiu a política de incentivo à geração e ao uso de energia solar (Pró-Solar).  Com isso, as novas edificações, reformas ou obras em prédios públicos, incluindo escolas devem prever a instalação de energia solar fotovoltaica e energia solar fototérmica.  O projeto de lei é de autoria do deputado Issam Saado (PV). O deputado disse que há um elevado consumo de energia em escolas públicas, com a energia solar, a economia financeira será de grande importância aos cofres públicos.  A instalação do sistema de captação e uso de energia solar deve acontecer após a elaboração de um estudo de viabilidade técnica e econômica.  Veja mais notícias da região no G1 Tocantins.",2020-05-30,https://g1.globo.com/to/tocantins/noticia/2020/05/30/governador-sanciona-lei-que-garante-instalacao-de-energia-solar-em-novas-edificacoes-de-escolas.ghtml
Governo de SP prorroga suspensão de cortes de fornecimento de gás e água para pessoas de baixa renda até o dia 31 de julho,"O governo de São Paulo anunciou nesta quarta-feira (3) a prorrogação da suspensão de cortes de fornecimento de gás e água natural até o dia 31 de julho devido a pandemia de coronavírus. De acordo com o governador João Doria (PSDB), acordos com a Sabesp, Comgás, GasBrasiliano, Naturgy, que já valiam desde de março, foram prolongados. A extensão da não interrupção no fornecimento de energia ainda está sendo negociado pelo estado.  ""O governo de São Paulo garante a não interrupção no fornecimento de água, gás e luz até 31 de julho das comunidades e das pessoas de baixa renda que circunstancialmente não tenham a oportunidade de pagar as suas contas. Elas estarão protegidas pelo entendimento, pela negociação do governo do estado de são Paulo com os concessionários destes serviços"", disse Doria.  ""O governo negociou, por exemplo, com a Sabesp e com empresas fornecedoras de gás natural, Comgás, GasBrasiliano e Naturgy, o compromisso de não interromperem esses serviços essenciais para clientes inadimplentes até 31 de julho deste ano"", completou.  No dia 19 de abril, o governo de São Paulo anunciou que iria suspender a cobrança da tarifa social de água da Sabesp para 506 mil famílias, a medida começou a valer no dia 1º de abril e teve validade de 90 dias. Quanto ao fornecimento de gás, a gestão estadual fechou um acordo no fim de março com a empresa de fornecimento de gás encanado Comgás para suspender todos os cortes de fornecimento no estado até o dia 31 de maio de 2020.  Já com relação ao fornecimento de energia elétrica, no final de março o governador João Doria anunciou que havia enviado um pedido à Agência Nacional de Energia Elétrica (Aneel) e às concessionárias de energia elétrica que atuam no estado para que as famílias de baixa renda fossem isentas do pagamento de contas de luz e que cortes de energia elétrica fossem suspensos até o dia 30 de julho.   Nesta quarta-feira (3) o governador afirmou que a secretaria de Infraestrutura e Meio Ambiente solicitou para a Aneel a prorrogação do corte de fornecimento de energia elétrica até 31 de julho.  ""A Secretaria de Infraestrutura e Meio Ambiente, representada aqui pelo Marcos Penido, seu secretario, seu titular, já solicitou também a prorrogação do corte do fornecimento de energia elétrica até 31 de julho para a Agência Nacional de Energia Elétrica (Aneel), a lei exige essa aprovação"", disse Doria.  O secretário de Infraestrutura e Meio Ambiente, Marcos Penido, defendeu que a suspensão dos cortes de água, gás e luz são fundamentais para a sobrevivência das famílias.  ""Garantir a água, o gás, a energia é garantir o sustento é garantir a vida. Não adianta nós simplesmente levarmos os alimentos e não termos condição de cozinhar ou de ter a vida dentro do seu ambiente. Então, na garantia dessa sustentabilidade no meio ambiente, nós propusemos às concessionárias de gás, à nossa Sabesp e à Aneel, que controla todas as concessionarias de energia, que não houvesse o corte do fornecimento ou seja a garantia desse bem fundamental para o sustento das famílias, água, gás e energia, e tivemos imediatamente a respostas positiva e iremos dar a garantia a todas essas famílias carentes"", disse Penido.  Em nota, a Comgás disse que ""cumpriu integralmente a Deliberação da Agência Reguladora de Saneamento e Energia do Estado de São Paulo (Arsesp) nº 973/2020 de não interromper o fornecimento de gás natural encanado até o dia 31 de maio para clientes residenciais e pequenos comércios com consumo médio de até 500 m3/mês"". A companhia afirmou ainda que, ""considerando a situação de excepcionalidade causada pela pandemia da Covid-19, prorrogou esta ação até 31 de julho para clientes residenciais com consumo médio em 2020 de até 17m3/mês e pequenos comércios com consumo médio de até 150m3/mês, conforme a Deliberação da Arsesp nº 99"".  *Com a supervisão de Tatiana Santiago.",2020-06-03,https://g1.globo.com/sp/sao-paulo/noticia/2020/06/03/governo-de-sp-prorroga-suspensao-de-cortes-de-fornecimento-de-gas-agua-e-luz-para-pessoas-de-baixa-renda-ate-o-dia-31-de-julho.ghtml
Saxofonista faz show a distância para moradores de prédio em Sorocaba: 'Energia diferente',"Seguindo a onda de shows ao vivo que têm acontecido na internet, um saxofonista de Sorocaba (SP) resolveu fazer uma apresentação particular para moradores de um edifício localizado na região central da cidade (assista acima).  Cristiano Siedler, que é músico há 28 anos, contou ao G1 que decidiu por vontade própria fazer o show sem fins lucrativos, manifestando o desejo em suas redes sociais. ""Perguntei se alguém tinha interesse e o pessoal desse prédio acabou topando.""  Além do saxofone, o músico toca outros instrumentos, como piano e gaita. Mesmo assim, ele admitiu que estava aflito por não poder tocar com a banda da qual faz parte há 15 anos durante a apresentação a distância.  ""Nós tivemos eventos adiados e talvez voltaremos no segundo semestre. Então, também ficamos agoniados sem tocar"", afirma.  O músico aprovou o show feito no prédio na noite de terça-feira (26) e revelou que pretende continuar oferecendo a apresentação em suas redes sociais para outros moradores de Sorocaba.  ""Toquei por cerca de uma hora para o pessoal desse prédio e depois eles me aplaudiram, então acredito que gostaram da apresentação. Foi sensacional. Como estou sem trabalho nessa época, busco me ocupar com boa energia.""  Para Cristiano, é um prazer poder levar música e tranquilidade para as pessoas, mesmo que seja de uma maneira diferente.  *Colaborou sob supervisão de Ana Paula Yabiku.  Veja mais notícias da região no G1 Sorocaba e Jundiaí",2020-05-28,https://g1.globo.com/sp/sorocaba-jundiai/noticia/2020/05/28/saxofonista-faz-show-a-distancia-para-moradores-de-edificio-em-sorocaba-energia-diferente.ghtml
Conta de energia no Pará poderá ser parcelada em até 12 vezes no cartão de crédito,"Por causa da pandemia e do isolamento social para evitar a propagação do novo coronavírus, a concessionária de energia elétrica, Equatorial, passou a oferecer um novo serviço aos consumidores do Pará. O pagamento da fatura da conta de luz poderá ser feito no crédito à vista ou parcelado em até 12 vezes diretamente no site da empresa.  “Buscamos formas para facilitar o pagamento das contas de energia, seja com inclusão desses consumidores em benefícios que dão descontos na conta de energia, como é o caso da Tarifa Social, dando orientações sobre consumo consciente, ou com iniciativas como essa de agora, em que poderá ser feito o parcelamento de faturas via cartão de crédito”, explica o gerente da Equatorial Pará, Haroldo Nobre.  Para utilizar o serviço, o cliente deve acessar o portal e, na barra de pesquisa, digitar “pagamento de conta”. O usuário será direcionado para colocar os dados do titular da conta contrato, para o sistema localizar as faturas em aberto. Em seguida, será aberta uma nova tela com as opções de pagamento.  BANDEIRAS ACEITAS: Visa, Master, Elo, Hipercard, Amex e Diners Club. Também será aceito o Cartão do Auxílio Emergencial, através da bandeira Elo Débito.  A Equatorial reforça que o serviço no site é totalmente seguro, desenvolvido com ferramentas altamente modernas para garantir a segurança das informações dos clientes. Após o pagamento, será gerado um comprovante da transação financeira, proporcionando mais confiança no processo. Com a implantação desse tipo de serviço, a empresa também colabora com as recomendações de distanciamento social, fazendo com que o cliente faça algo importante e necessário sem precisar sair de casa.  SERVIÇO: pagamento da conta de energia no site da Equatorial Pará  Onde: serviço disponível no site da empresa - www.equatorialenergia.com.br",2020-05-29,https://g1.globo.com/pa/para/noticia/2020/05/29/conta-de-energia-no-para-podera-ser-parcelada-em-ate-12-vezes-no-cartao-de-credito.ghtml
"Falha em gerador deixa Santa Casa de Cachoeiro de Itapemirim, ES, sem energia","A Santa Casa de Misericórdia de Cachoeiro de Itapemirim, hospital referência no tratamento de Covid-19 na região Sul do Espírito Santo, ficou sem energia elétrica durante três horas nessa quarta-feira (27). A situação foi normalizada.  O diretor técnico do hospital, Tiago Fernandes, explicou que o problema aconteceu depois de uma falha no sistema elétrico da Santa Casa.  A unidade ficou sem energia entre 14h e 17h. No local, estão internados 40 pacientes com coronavírus (25 na UTI e 15 na enfermaria).  “Nós tivemos uma instabilidade do nosso sistema elétrico e houve uma falha do gerador, que, tecnicamente, não sabemos qual. Estamos buscando a empresa responsável pela manutenção que já enviou um técnico para cá e está fazendo a manutenção”, informou o diretor.  Fernandes disse que os equipamentos do hospital funcionam com baterias que são acionadas em casos de falta de eletricidade.  No entanto, pelo longo período que o hospital ficou sem luz, a bateria de alguns aparelhos acabou e foi preciso que profissionais de saúde continuassem a ventilação de pacientes de forma mecânica.  “Com o passar das horas, alguns aparelhos acabaram a bateria e tivemos que substituir por material humano. Os pacientes não deixaram de ser ventilados, mas houve sim uma interferência no trabalho”, relatou o diretor.",2020-05-28,https://g1.globo.com/es/espirito-santo/noticia/2020/05/28/falha-em-gerador-deixa-santa-casa-de-cachoeiro-de-itapemirim-es-sem-energia.ghtml
"Petrobras opera com estoques baixos e quer reter vendas para reconstituí-los, diz presidente","O presidente da Petrobras, Roberto Castello Branco, disse que, depois de atingir altos níveis de estocagem nos últimos meses, durante a crise desencadeada pela pandemia da covid-19, a companhia opera, hoje, com baixos níveis de estoque.  “A greve em fevereiro nos forçou a acumular estoques e, em pouco tempo, tivemos a crise da covid-19. Conseguimos com as exportações de óleo cru e óleo combustível para bunker [combustível marítimo] eliminar esse excesso de estoque. Hoje, estamos paradoxalmente com estoques baixos. Nossa preocupação é reter vendas para reconstituir estoques mínimos”, afirmou o executivo, durante evento on-line da FGV Energia.  Segundo ele, o recorde nas exportações de petróleo em abril, para cerca de 1 milhão de barris/dia, foi possível graças ao fortalecimento das áreas de logística e marketing externo.  Castello Branco disse também que o Brasil possui recursos naturais muito atrativos, mas que precisa traçar um ambiente regulatório mais amigável para garantir investimentos na indústria de óleo e gás. Ele reforçou a defesa do fim do regime de partilha de exploração e produção e criticou as regras “muito rígidas” por parte da Agência Nacional do Petróleo (ANP) e o excesso de tributação sobre o setor.  “A herança geológica é uma condição necessária para atração de investimentos, mas não é suficiente. A condição suficiente é ter um ambiente institucional amigável ao investimento”, afirmou o executivo, durante o evento on-line.  Ele lembrou da recente pressão do setor sucroalcooleiro pelo aumento da tributação sobre a gasolina, que acabou não se confirmando, mas gerou preocupação entre as empresas de óleo e gás, que já trabalham num ambiente “supertributado”.  “O mercado fez rapidamente o trabalho que muitos quiseram que o governo fizesse. A alta do preço da gasolina [em maio] mais que compensou imposto que muitos empresários advogavam para a gasolina”, disse.  Castello Branco destacou que o Brasil é, certamente, “uma das maiores fortalezas de recursos naturais do mundo”, mas que precisa fazer ajustes no marco regulatório.  “O regime de partilha é, do ponto de vista econômico, muito desvantajoso, porque dá um estímulo errado às empresas, que, ao invés da maximização da eficiência, passam a ter como objetivo inflar os custos para reduzir a tributação sobre o lucro”, disse.",2020-06-01,https://g1.globo.com/economia/noticia/2020/06/01/petrobras-opera-com-estoques-baixos-e-quer-reter-vendas-para-reconstitui-los-diz-presidente.ghtml
Enel Rio oferece parcelamento das contas de energia em atraso ,"A empresa de energia Enel Rio - que abastece Niterói, São Gonçalo e interior do estado - abriu o parcelamento das contas em atraso dos consumidores. Através do Portal de Negociação, é possível simular o pagamento das contas de energia em até oito parcelas sem juros.  A flexibilização visa atender clientes residenciais e de empresas de pequeno e médio porte que estão enfrentando dificuldades econômicas por conta da pandemia de coronavírus.  Com a renegociação dos débitos, as parcelas acertadas serão futuras contas de energia. A primeira parcela, a entrada, será a partir de 13% do valor do total do débito.  Os clientes podem ainda tirar dúvidas com a atendente virtual da Enel por meio do Whatsapp, enviando um “Olá” para o número (21) 99601-9608.  • Portal de Negociação  • Aplicativo Enel Rio  • Atendente virtual (Whatsapp) : (21) 99601-9608",2020-05-25,https://g1.globo.com/rj/rio-de-janeiro/noticia/2020/05/25/enel-rio-oferece-parcelamento-das-contas-de-energia-em-atraso.ghtml
Prefeito de Pilão Arcado confirma 38 novos casos de Covid-19; 34 são trabalhadores de obra de transmissão de energia,"A prefeitura de Pilão Arcado, no norte da Bahia, confirmou, na última quarta-feira (27), 38 novos casos de coronavírus após realizar testes rápidos do distrito de Nova Holanda. De acordo com boletim divulgado pela Secretaria de Saúde da cidade, 34 pessoas trabalham para um consórcio que atua nas linhas de transmissão de energia. Os outros quatro contaminados são moradores da localidade.  Após a confirmação das pessoas contaminadas no distrito de Nova Holanda, a Secretaria de Saúde de Pilão Arcado divulgou balanço com total de 41 casos de Covid-19 no município. A cidade não tem registro de mortes pela doença.  Em comunicado nas redes sociais, o prefeito de Pilão Arcado, Orgeto Bastos, relatou que a gestão municipal chegou a suspender o trabalho do Consórcio Linhão T-BA-PI, gerido pela Andrade Gutierrez, mas uma liminar concedida pela Justiça liberou as atividades.  ""Nós temos, em Nova Holanda, hoje, um canteiro de obras, de energia de alta tensão, do consórcio Linhão T-BA-PI. Esse consórcio traz energia de alta tensão da proximidade de Barreiras até Queimada Nova, no Piauí. Quando começamos a realizar as atividades de combate à Covid-19, uma das primeiras ações foi decretar a suspensão imediata das atividades do canteiro de Nova Holanda. Uma vez que decretamos, ficaram suspensas todas as atividades. Com o decorrer do tempo, a empresa lá entrou na Justiça, que concedeu liminar para voltar aos trabalhos. Mas, desde aquele momento que retornaram, passamos a exigir algumas medidas sanitárias a serem adotadas”, afirmou o prefeito.  Em nota, a Andrade Gutierrez garantiu que “vem tomando todas as medidas de prevenção à Covid-19, com realização de triagem diária de saúde dos funcionários, adequação dos ambientes de trabalho e ampla comunicação”. A empresa acrescenta que tem se reunido com as prefeituras das regiões para atualizar o cenário e que “a manutenção do trabalho foi devidamente autorizada pelas autoridades sanitárias”.  A prefeitura, então, realizou 278 testes rápidos na comunidade, que confirmaram os 38 casos. O prefeito afirma que os trabalhadores da empresa que não são residentes de Pilão Arcado foram transferidos e isolados. Já os moradores da localidade infectados estão sendo acompanhados pela Secretaria de Saúde.  A Andrade Gutierrez afirma que os funcionários estão assintomáticos e cumprem isolamento. Eles foram transferidos para isolamento nas cidades de Campo Alegre de Lurdes e Barreiras.  No último domingo (24), um funcionário da Andrade Gutierrez veio a óbito pela Covid-19 no Hospital Maternidade Nossa Senhora da Luz, em Buritirama. A empresa afirma que o trabalhador comunicou sintomas iniciais à equipe médica do consórcio no próprio dia 24, foi encaminhado para o hospital, mas apresentou rápida piora em seu quadro de saúde.  O prefeito de Pilão Arcado afirma que as atividades na obra voltaram a ser suspensas desde a última segunda-feira (25).  “Diante desses fatos, o município de Pilão Arcado está redobrando a atenção com as ações em Nova Holanda. Desde segunda-feira, suspendemos as atividades da empresa no local. A partir de hoje, estamos traçando metas para nos aproximar cada vez mais das pessoas que lá ficaram. Estamos estendendo o funcionamento do posto de saúde, deslocando uma ambulância para lá. Vamos procurar dar total assistência”, conclui Orgeto Bastos.  Veja abaixo posicionamento divulgado pela Andrade Gutierrez:  ""A Andrade Gutierrez, à frente do Consórcio de linhas de transmissão Linhão BA-PI, informa que 34 funcionários do canteiro de Nova Holanda (BA) testaram positivo para a Covid-19 esta semana, mas estão assintomáticos e cumprem isolamento. Um outro colaborador infelizmente veio a óbito no domingo (24) e teve a doença confirmada depois pela unidade de saúde. Ele comunicou sintomas iniciais à equipe médica do consórcio no próprio dia 24 e foi encaminhado imediatamente para o Hospital Maternidade Nossa Senhora da Luz, em Buritirama (BA), onde foi internado, mas apresentou rápida piora em seu quadro de saúde. A construtora e o consórcio lamentam profundamente o ocorrido e estão prestando todo o apoio necessário aos familiares. Apesar de não demandarem atendimento médico até o momento, os demais colaboradores foram transferidos para isolamento nas cidades de Campo Alegre de Lurdes (BA) e Barreiras (BA), que contam com maior infraestrutura. O consórcio havia alugado um hotel em São Raimundo Nonato (PI) para hospedá-los com os devidos cuidados, mas a decisão foi remanejada por orientação da secretaria de saúde local. Todos os colaboradores do canteiro de Nova Holanda foram testados até a tarde de ontem (26). O consórcio vem tomando todas as medidas de prevenção à Covid-19, com realização de triagem diária de saúde dos funcionários, adequação dos ambientes de trabalho e ampla comunicação. Além disso, a Andrade Gutierrez e o consórcio têm se reunido com as prefeituras das regiões para atualizar o cenário e ressaltam que a manutenção do trabalho foi devidamente autorizada pelas autoridades sanitárias"".  Veja mais notícias no G1 Bahia.",2020-05-28,https://g1.globo.com/ba/bahia/noticia/2020/05/28/prefeito-de-pilao-arcado-confirma-38-novos-casos-de-covid-19-34-sao-trabalhadores-de-obra-de-transmissao-de-energia.ghtml
