Título,Notícia,Data,Link
Aneel julgará contratos de energia de grandes consumidores,"A Aneel tomará nesta terça-feira a primeira decisão importante sobre os efeitos da pandemia da Covid-19 no setor elétrico. A expectativa é que o diretor da agência Sandoval Feitosa julgue o processo sobre o pagamento das contas de energia de grandes consumidores, como indústrias, hotéis e shopping centers.Esses consumidores pedem que passem a pagar pela energia usada e não contratada. Afirmam que, devido à pandemia, o consumo de energia caiu, mas que continuam pagando por uma valor fixo, devido aos contratos.Já as distribuidoras querem que os atuais contratos sejam mantidos.(Por Naomi Matsui)ACESSE A HOME DA COLUNA E LEIA TODAS AS NOTAS, ENTREVISTAS E ANÁLISESLeia também:Acompanhe nas redes sociais: Facebook | Twitter | Instagram",2020-04-28,https://epoca.globo.com/guilherme-amado/aneel-julgara-contratos-de-energia-de-grandes-consumidores-24397662
Amazonas aprova choque de energia barata,"Enquanto o choque de energia barata prometido por Paulo Guedes aguarda aprovação do Congresso, os governos estaduais tomam a dianteira para abrir seus mercados de gás. A Assembleia Legislativa do Amazonas aprovou nesta quarta-feira o projeto que prevê um novo marco legal para o mercado de gás no Estado. O objetivo do texto, ainda pendente da sanção do governador Wilson Lima, é baratear o gás para a população e para a indústria, por meio de geração de energia elétrica mais em conta. A medida é importante porque o Amazonas é responsável por 13% da produção de gás natural do Brasil, mas metade é desperdiçada.(Por Naomi Matsui)ACESSE A HOME DA COLUNA E LEIA TODAS AS NOTAS, ENTREVISTAS E ANÁLISESLeia também:Acompanhe nas redes sociais: Facebook | Twitter | Instagram",2020-04-08,https://epoca.globo.com/guilherme-amado/amazonas-aprova-choque-de-energia-barata-24359469
"Em meio à lentidão do governo, mais um estado avança em choque de energia barata","Enquanto o governo federal continua travado na promessa de Paulo Guedes de aprovar o choque de energia barata, mais um Estado avançou no tema.A Assembleia Legislativa do Sergipe aprovou nesta quarta-feira o projeto que acaba com o monopólio da estatal Sergás na exploração dos serviços locais de gás canalizado. A aprovação ocorre uma semana depois do Amazonas dar aval ao projeto para o novo marco legal para o mercado de gás no Estado.Governadores de Estados como Rio Grande do Norte, Pernambuco e Piauí também já apresentaram propostas às suas assembleias e aguardam votação.(Por Naomi Matsui)ACESSE A HOME DA COLUNA E LEIA TODAS AS NOTAS, ENTREVISTAS E ANÁLISESLeia também:Acompanhe nas redes sociais: Facebook | Twitter | Instagram",2020-04-15,https://epoca.globo.com/guilherme-amado/em-meio-lentidao-do-governo-mais-um-estado-avanca-em-choque-de-energia-barata-24373507
"Governo deve pagar subsídios e encargos de energia, diz associação de grandes consumidores","A Associação dos Grandes Consumidores Industriais de Energia e de Consumidores Livres (Abrace) divulgou um comunicado nesta terça-feira em que defende uma série de medidas para se evitar o aumento do custo de energia elétrica.A Abrace menciona que desde o dia 20 de março o consumo industrial caiu 18% e diz que uma queda maior poderia aumentar o custo da energia, devido a uma redução no rateio desses gastos.Uma das medidas propostas é de que o Tesouro Nacional arque por três meses com encargos e subsídios pagos por todo o mercado. Segundo a associação, isso representaria R$ 9 bilhões para os cofres públicos.Outra sugestão é de que vendedores e compradores discutam as condições de seus contratos de compra de energia, a fim de aliviar o caixa das indústrias.(Por Naomi Matsui)ACESSE A HOME DA COLUNA E LEIA TODAS AS NOTAS, ENTREVISTAS E ANÁLISESLeia também:Acompanhe nas redes sociais: Facebook | Twitter | Instagram",2020-03-31,https://epoca.globo.com/guilherme-amado/governo-deve-pagar-subsidios-encargos-de-energia-diz-associacao-de-grandes-consumidores-24341394
Médica blogueira atua na linha de frente do combate ao coronavírus no Acre,"Taisy Ricon, de 24 anos, se formou em Medicina em novembro de 2019, em Brasília. A jovem começou a vida profissional em uma clínica de Anápolis, em Goiás, e paralelamente produzia conteúdo de moda em uma rede social. Pouco tempo depois, o perfil com 170 mil seguidores que acompanhavam dicas de maquiagens e roupas foi tomado por relatos e desabafos da moça, que passou a atuar na linha de frente do combate ao coronavírus, em um hospital no Acre.A jovem começou a se dedicar ao tratamento de pacientes com a Covid-19 ainda em Goiás, no dia 28 de março, trabalhando no Hospital de Campanha montado na capital. Nesse momento, os planos de fazer intercâmbio e produzir conteúdo ""instagramável"" no exterior já tinham ficado para trás e todos os esforços se voltaram à Medicina. Com a experiência adquirida, foi convidada para o trabalho no Acre, onde a situação era muito pior.""Lá o número de casos era muito maior, beirando os 100 óbitos na época em que me ofereceram a vaga. Fiquei muito tensa com esse desafio, mas uma colega que já estava lá me incentivou e topei trabalhar em Rio Branco por 15 dias. Quando cheguei, vi que era impossível fazer alguma coisa nesse curto período. A realidade era muito mais dura, não tenho palavras para descrever o que as pessoas passam"", contou. A unidade de saúde em que Taisy  ia trabalhar ainda não estava pronta, mas ela já atendia pacientes com coronavírus no Hospital Regional de Rio Branco. Com cada vez mais casos na região, ela aceitou a proposta de coordenar por seis meses 40 leitos de enfermaria do Instituto de Traumatologia e Ortopedia no Acre (Into-AC), que agora se dedica ao tratamento de pacientes com o vírus.""Nunca na minha vida imaginava passar por isso, não só a pandemia mas também o trabalho aqui no Acre. Pegar uma coordenação nesse momento é duro, mas precisavam da gente para isso. Vivo cenas de filme de terror aqui, que nunca vou esquecer. Trabalhar com a Covid torna a jornada de trabalho muito mais pesada, o tempo inteiro pensando em não se contaminar, em ajudar todos que estão ali. Não há tempo para raciocinar, são todos os dias lidando com pacientes em estado grave e tudo pode mudar a qualquer segundo"", diz a médica. Taisy conta que um dos momentos mais tensos foi quando a energia do hospital acabou, e o gerador instalado no local não funcionou. Com a bateria dos respiradores chegando ao fim, ela conta que foi preciso transferir pacientes para uma UTI onde ainda havia eletricidade, mas mover cada um seguindo todos os protocolos de segurança demorava mais de dez minutos.""Três respiradores pararam ao mesmo tempo. Foi um filme de terror, um pesadelo, todas as máquinas apitando. Alguns pacientes chegaram a ficar minutos sem oxigênio. Tinha uma jovem de 17 anos entubada e dois senhores sem ventilação por causa da energia. A respiração manual não é aconselhada nesses casos, mas não restou saída. Precisamos escolher quem a gente ia bombear"", desabafou. Dos 24 pacientes que Taisy cuidava, 23 sobreviveram às duas horas de apagão. Uma mulher não resistiu apenas com a respiração manual, que fornece menos pressão do que a máquina. Apesar de confirmar que o gerador não funcionou, e que a morte ocorreu exatamente durante a falta de energia, o governo não explica o motivo de um equipamento essencial para a vida de pacientes em uma unidade de saúde não ter funcionado.Taisy afirma que a experiência no Acre a fez desacreditar no trabalho como blogueira de moda que vinha fazendo e por isso começou a postar relatos do que vivia no Norte do país. Com o retorno positivo dos seguidores, ela já sabe que não quer seguir o mesmo caminho e pretende usar a plataforma para continuar inspirando mulheres e para mostrar uma versão da Medicina mais humanizada. Em nota, o governo do estado do Acre, por meio da Secretaria de Estado de Saúde (Sesacre) e da Secretaria de Estado de Infraestrutura (Seinfra), informou que a pane na energia elétrica do Into-AC, na noite do dia 21 de maio, foi causada por um animal que atingiu a linha de transmissão.""A Seinfra informa que os aparelhos que mantêm os pacientes estabilizados possuem baterias que asseguram o seu funcionamento até o retorno da normalidade, mas que elas se esgotaram para alguns internados, fazendo com que os profissionais utilizassem ventilação manual nestes. Foi durante um desses procedimentos que uma paciente, já bastante debilitada, veio a óbito. A Sesacre ressalta que não houve interrupção no fornecimento de oxigênio e outros gases medicinais, porque o sistema tem cilindros reservas"", alegou o governo.",2020-05-30,https://epoca.globo.com/sociedade/medica-blogueira-atua-na-linha-de-frente-do-combate-ao-coronavirus-no-acre-24451048
MPF pede que Aneel proíba cortes de energia por três meses,"O Ministério Público Federal pediu nesta terça-feira que a Agência Nacional de Energia Elétrica (Aneel) proíba cortes de energia pelos próximos três meses, por causa da pandemia do coronavírus.""É de se considerar que consumidores que sofreram corte por inadimplência anterior ao estado de calamidade pública terão maiores dificuldades para obterem recursos que possibilitem o pagamento de débitos e eventuais  religações Lembrando que o confinamento deve ser incentivado e que a manutenção de cortes já realizados pode gerar efeito no sentido contrário"", escreveram os procuradores da República João Raphael Lima e Augusto Santos Lima.O ofício da 3ª Câmara de Coordenação e Revisão -- que trata da defesa do consumidor e regulação da atividade econômica --  foi enviado ao diretor-geral da Aneel, André Pepitone. Os procuradores também solicitaram que a agência reverta os cortes de luz feitos recentemente.(Por Eduardo Barretto)ACESSE A HOME DA COLUNA E LEIA TODAS AS NOTAS, ENTREVISTAS E ANÁLISESLeia também:Acompanhe nas redes sociais: Facebook | Twitter | Instagram",2020-03-24,https://epoca.globo.com/guilherme-amado/mpf-pede-que-aneel-proiba-cortes-de-energia-por-tres-meses-24325524
"O que é a 'luz proibida', descoberta que pode revolucionar a física quântica","Um tipo de luz ""que não deveria existir"" pode abrir as portas para um mundo ainda desconhecido.Cientistas da Universidade Estadual de Iowa, nos Estados Unidos, afirmam ter descoberto uma forma de acessar propriedades únicas da física quântica ao usar ondas de luz em altas frequências para acelerar supercondutores (materiais que podem conduzir corrente elétrica sem resistência ou perda de energia).Os pesquisadores do Laboratório Ames do Departamento de Energia dos Estados Unidos, que é associado à universidade, dizem que fizeram os primeiros experimentos para usar pulsos de luz em frequências de terahertz (trilhões de pulsos por segundo) para acelerar elétrons conhecidos como pares de Cooper.De acordo com um estudo publicado na revista Physical Review Letters, após rastrear a luz emitida pelos pares de elétrons acelerados, eles encontraram ""emissões de luz do segundo harmônico"" ou luz com o dobro da frequência de entrada usada para acelerar os elétrons.""Essas emissões do segundo harmônico deveriam ser proibidas (pelas leis da física tradicional) em supercondutores. Isso vai contra o saber convencional"", disse Jigang Wang, principal autor do estudo.A equipe disse que essa ""luz proibida"" é ""uma descoberta fundamental para a matéria quântica"".Como eles descobriram a 'luz proibida'?De acordo com pesquisa publicada na Physical Review Letters, os cientistas usaram uma ferramenta chamada espectroscopia quântica de terahertz, que pode visualizar e direcionar o fluxo de elétrons.A equipe empregou flashes de laser a uma taxa de trilhões de pulsos por segundo, o que ajuda a acelerar supercondutores e, portanto, acessar novos estados quânticos da matéria.""A luz proibida nos dá acesso a uma classe exótica de fenômenos quânticos, isto é, energia e partículas de átomos em pequena escala"", explicou Ilias Perakis, professor de física da Universidade do Alabama em Birmingham e um dos coautores do estudo.Segundo o estudo, os cientistas acreditam que as emissões de ""luz proibida"" poderiam ser aplicadas à fabricação de computadores quânticos de alta velocidade, bem como às comunicações e outras tecnologias.""Encontrar maneiras de controlar, acessar e manipular os recursos especiais do mundo quântico e conectá-los a problemas do mundo real é um grande objetivo científico nos dias de hoje"", disse Perakis.Wang, por sua vez, afirmou que o estudo e o desenvolvimento de tecnologias associadas a essa descoberta permitirão altas velocidades e baixo consumo de energia em futuras estratégias de computação quântica e eletrônica.",2020-05-26,https://epoca.globo.com/sociedade/o-que-a-luz-proibida-descoberta-que-pode-revolucionar-fisica-quantica-24446662
Código de energia elétrica em segundo plano,"Em comissão especial na Câmara há quase um ano, o projeto para um código brasileiro de energia elétrica deve sofrer atrasos em seu cronograma.Antes, a previsão era que o texto do projeto fosse apresentado até o fim do primeiro semestre. Agora, a estimativa é que fique para o fim do ano.O motivo para o adiamento é que o relator, o deputado Lafayette de Andrada, do Republicanos de Minas Gerais, também será o relator da proposta para definir regras para a geração distribuída — tipo de energia produzida próxima ao consumidor —, o que tem consumido seu tempo.(Por Naomi Matsui)ACESSE A HOME DA COLUNA E LEIA TODAS AS NOTAS, ENTREVISTAS E ANÁLISESLeia também:Acompanhe nas redes sociais: Facebook | Twitter | Instagram",2020-01-27,https://epoca.globo.com/guilherme-amado/codigo-de-energia-eletrica-em-segundo-plano-1-24208513
"'Me dava tristeza ver o jeito como Bolsonaro falava da Regina Duarte', diz Paula Lavigne","Isolada há três meses e trabalhando como nunca, a produtora Paula Lavigne, fundadora dos movimentos #342Artes e #342Amazônia, em que engaja artistas na defesa da cultura e do meio ambiente, analisou ontem a passagem de Regina Duarte pela Secretaria da Cultura, em entrevista à coluna no Instagram, ao vivo.Disse ter sentido tristeza pela forma como Regina Duarte foi tratada por Jair Bolsonaro enquanto comandou a secretaria. Para ela, Bolsonaro se referia a ela com ""desprezo"".""Me dava tristeza ver o jeito como Bolsonaro falava dela, com um certo desprezo. Ela ter de passar por essa humilhação. Ela não é odiada pela classe como pessoa, mas a posição política dela, todos ficaram chocados. Triste"". Contra o presidente, recorreu ao humor e sugeriu que ele deveria aproveitar o apoio de grupos evangélicos para se livrar de seu estado ""possuído"" e de ""energia pesada"":""(O governo parece) um inferno. Ele sempre está possuído. É ligado à igreja evangélica, poderiam fazer um descarrego, tirar um encosto. Esse homem não para de xingar, agredir as pessoas. Que energia pesada. Não dialoga, provoca o tempo inteiro. O que ele quer? O caos?"".Lavigne, que conseguiu condenar na Justiça disseminadores da #CaetanoPedofilo, afirmou apoiar as investigações no âmbito do inquérito das fake news, conduzido pelo STF, e disse que não cabe falar em restrição à liberdade de expressão.""A disseminação de notícias falsas tem a ver com caixa dois, dinheiro sujo. Toda a investigação é muito importante. Já deveria ter acontecido há muito tempo"".A produtora lembrou o episódio do ataque a Caetano.""Há quatro anos, fomos vítimas de militância digital. Quando vi o nome do Caetano nos trending topics do Twitter, com a #CaetanoPedofilo, e me explicaram o que eram os bots, ficou ficou claro que aquilo era uma máfia e tinha muito dinheiro"".Lavigne foi a segunda convidada de uma série de entrevistas ao vivo no Instagram da coluna. O próximo convidado é o psicanalista e professor titular da USP Christian Dunker. A produtora e ativista Paula Lavigne conversou sobre a crise no setor cultural, o governo Bolsonaro, Regina Duarte na Cultura e respondeu sobre a live de Caetano VelosoUma publicação compartilhada por  Guilherme Amado (@guilhermeamado) em 28 de Mai, 2020 às 3:58 PDT (Por Naomi Matsui)ACESSE A HOME DA COLUNA E LEIA TODAS AS NOTAS, ENTREVISTAS E ANÁLISESLeia também:Acompanhe nas redes sociais: Facebook | Twitter | Instagram",2020-05-29,https://epoca.globo.com/guilherme-amado/me-dava-tristeza-ver-jeito-como-bolsonaro-falava-da-regina-duarte-diz-paula-lavigne-24451544
Alimentos descartados na central de abastecimento de SP gerariam energia para volta ao mundo,"Os alimentos descartados pela Ceagesp, a central de abastecimento de São Paulo, após as chuvas no estado, seriam suficientes para produzir energia para dar mais de uma volta ao mundo em um ônibus.O cálculo, da Associação Brasileira de Biogás, considera que as 7 mil toneladas de alimentos jogadas fora produziriam uma quantidade de biogás equivalente a 250 mil litros de diesel, o suficiente para dar a volta na Terra.(Por Naomi Matsui)ACESSE A HOME DA COLUNA E LEIA TODAS AS NOTAS, ENTREVISTAS E ANÁLISESLeia também:Acompanhe nas redes sociais: Facebook | Twitter | Instagram",2020-02-16,https://epoca.globo.com/guilherme-amado/alimentos-descartados-na-central-de-abastecimento-de-sp-gerariam-energia-para-volta-ao-mundo-1-24249887
Empresa na contramão do setor de energia solar,"Enquanto as empresas de energia solar represam investimentos aguardando a revisão da resolução sobre geração distribuída, uma empresa ligada à Cemig Sim quer ir na contramão do setor.A Mori Energia concluiu a emissão de R$ 300 milhões em debêntures.A intenção da empresa é destinar os recursos à construção de projetos de geração de energia solar, como a implementação de 32 usinas solares fotovoltaicas até 2020.Um dos sócios da empresa é a Cemig Sim, braço da companhia mineira de energia.(Por Naomi Matsui)Leia também:Acompanhe nas redes sociais: Facebook | Twitter | Instagram",2019-12-09,https://epoca.globo.com/guilherme-amado/empresa-na-contramao-do-setor-de-energia-solar-24123785
Frente de energia limpa fará manifesto ao Planalto contra taxação de energia solar,"Integrantes da Frente Parlamentar de Energia Limpa e Sustentável e representantes do setor de energia solar vão entregar ao Planalto um manifesto contra a revisão proposta pela Aneel para geração distribuída — o que acerta em cheio a energia solar.O documento, assinado por 303 deputados e 41 senadores, afirma que a geração distribuída — como é conhecida a energia produzida próximo ao consumidor — gerou mais de 50 mil postos de trabalho de 2012 a 2019.""Esta proposta da Aneel representaria forte retrocesso, prejudicando a democratização do acesso às fontes renováveis e à geração própria, tolhendo a livre iniciativa empreendedora do consumidor brasileiro"", diz o documento. A frente foi criada em fevereiro, mas estava inativa há meses. Foi ressuscitada na semana passada, com um jantar.Integrantes do grupo, Eduardo e Flávio Bolsonaro não assinaram o manifesto.(Por Naomi Matsui)Leia também:Acompanhe nas redes sociais: Facebook | Twitter | Instagram",2019-12-06,https://epoca.globo.com/guilherme-amado/frente-de-energia-limpa-fara-manifesto-ao-planalto-contra-taxacao-de-energia-solar-24121188
Caso Tom Hagen: o misterioso desaparecimento da mulher de um dos homens mais ricos da Noruega,"Em outubro de 2018, quando Tom Hagen, de 70 anos, voltou para sua casa nos arredores de Oslo, capital da Noruega, encontrou com um cenário aterrorizante.O cachorro da família estava trancado no banheiro. No chão do tapete da sala, pegadas estranhas e pedaços de cabos de plástico manchados de sangue.E no quarto, no meio da cama, o bilionário encontrou um bilhete exigindo um resgate de US$ 9,5 milhões por sua esposa, Anne-Elisabeth Falkevik Hagen, de 68 anos, da qual não havia vestígio. O pagamento deveria ser feito em uma criptomoeda desconhecida.Acostumados a viver em uma sociedade onde as taxas de criminalidade são notoriamente baixas, os norugueses rapidamente se tornaram obcecados pelo caso, que, até o momento, permanece sem solução.A polícia não conseguiu localizar o paradeiro de Anne-Elisabeth, nem encontrou os autores do sequestro. Também não conseguiu definir ainda se é, realmente, um caso de sequestro ou um homicídio.Segundo a revista financeira Kapital, Tom Hagen está em 172º lugar na lista das pessoas mais ricas do país.O empresário, cujo patrimônio é estimado em US$ 1,7 bilhão, fez fortuna no setor energético e imobiliário. A imprensa local informou que o casal, junto há cerca de 50 anos, levava uma vida ""isolada"".Parece não haver evidências de que o casamento estivesse com problemas. E, no momento em que o sequestro ocorreu, os funcionários da empresa de Tom Hagen confirmaram que ele havia passado o dia no escritório.Isso fez a polícia supor que Tom não estivesse envolvido no desaparecimento de sua esposa. As autoridades, então, pediram à imprensa que não publicasse detalhes do caso, enquanto aguardavam notícias dos sequestradores.No entanto, depois de um tempo e após uma série de comunicações com os supostos sequestradores, que diminuíram ao longo das semanas sem dar provas de que Anne-Elisabeth estava viva, a polícia começou a suspeitar de Tom.Também foi descartada a possibilidade de suicídio ou de que ela teria fugido.Em janeiro de 2016, a polícia enfim decidiu tornar o caso público para tentar obter mais informações.Nove meses após seu desaparecimento, e depois que a imprensa publicou a notícia, as autoridades informaram por meio de um comunicado que sua principal hipótese era que ""a mulher foi levada contra sua vontade"".""Nosso objetivo é encontrá-la viva e reuni-la com sua família"", disse Tommy Broske, que comanda a investigação, em janeiro de 2019.""Como em todos os casos criminais graves, o tempo é um fator importante e contamos com (receber) pistas para nos ajudar a encontrar a mulher desaparecida.""Não se sabe se a divulgação das notícias do sequestro produziu novas informações. No entanto, no final de abril deste ano, o caso ganhou uma reviravolta.Na manhã de 28 de abril, a polícia cercou a casa da família e prendeu o empresário, que foi acusado de ""assassinato ou conspiração para assassinato"".Conforme revelado pela polícia, os pedidos de resgate foram possivelmente falsos e, provavelmente, Anne-Elisabeth foi morta. ""Não houve sequestro, nem negociadores reais, nem negociação real"", disse Broeske em abril.Segundo a polícia norueguesa, que durante mais de 18 meses de investigação contou com a ajuda do FBI nos Estados Unidos, de cães policiais suecos e analisou 6 mil horas de vídeo, ""há indícios de que havia um desejo de enganar (os investigadores).""Hagen negou todas as acusações.No entanto, uma semana após sua prisão, já que o corpo de Anne-Elisabeth não apareceu, não há arma, e não há razão óbvia, as autoridades não tiveram escolha a não ser libertar Tom após receber uma ordem do Supremo Tribunal de Justiça da Noruega.O caso voltou à estaca zero, mas a polícia diz que vai continuar com as investigações.""Queremos descobrir o que aconteceu e quem está envolvido no caso.""",2020-05-29,https://epoca.globo.com/mundo/caso-tom-hagen-misterioso-desaparecimento-da-mulher-de-um-dos-homens-mais-ricos-da-noruega-24452819
Distribuidoras querem que cofres públicos banquem subsídios à energia solar,"A Associação Brasileira de Distribuidores de Energia Elétrica (Abradee) já prepara uma proposta alternativa, caso o Congresso se recuse a acabar com os subsídios à energia solar.O grupo pretende sugerir a deputados e senadores que os subsídios passem a ser pagos com dinheiro do Orçamento e não diretamente pelos clientes por meio da conta de energia, como é hoje.A opção seria uma saída das distribuidoras diante da defesa de parlamentares e mesmo diretores da Agência Nacional de Energia Elétrica de manter os subsídios à geração distribuída — o que inclui a energia solar.(Por Naomi Matsui)ACESSE A HOME DA COLUNA E LEIA TODAS AS NOTAS, ENTREVISTAS E ANÁLISESLeia também:Acompanhe nas redes sociais: Facebook | Twitter | Instagram",2020-01-10,https://epoca.globo.com/guilherme-amado/distribuidoras-querem-que-cofres-publicos-banquem-subsidios-energia-solar-24181821
Crônica | Escrever até o fim,"O primeiro texto que li do Sérgio Sant’Anna foi ""Aula"", que está no Breve História do Espírito (1991). Fui capturado pela narrativa por um motivo prosaico: o protagonista fumava o mesmo cigarro que eu. A melhor literatura chega por misteriosos e às vezes tolos caminhos.Em ""Aula"", o narrador começa mergulhado em uma profunda ressaca alcoólica e espiritual. Acorda ao lado de uma garota, uma ex-aluna, e então sabemos que ele é um professor. Anos mais tarde Serjão me diria que a história é verídica – ele foi professor de comunicação na ECO –, e que a aluna hoje é conhecida, mas o nome não cito nem se me pagarem uma cachaça.Fora a dor de cabeça infernal, o professor precisa dar uma aula inaugural e não tem a menor ideia do que abordar. Pega um recorte qualquer de seu escritório – o anúncio do tal cigarro –, mal e mal vislumbrando um fiapo de aula. Perto da faculdade, passa por um hospício, de onde ouve a cantada de uma louca. Resolve parar para bater uma larica e vê um ovo. E aí pluft, vem toda a ideia da aula. Terminei a leitura do conto em pé na livraria, tão extasiado fiquei.Autoficção narrada na terceira pessoa é um espécime do conto-ensaio, subgênero muito perigoso, em que vários escritores naufragam, mas em que Serjão era nadador de longo curso. Sim, mestre é a palavra: eu não imaginava que dar uma aula poderia ser tão emocionante quanto assaltar um banco, conquistar a garota mais bonita da rua, meter o pé na estrada sem rumo.""Abandone a esperança de ler narrativas convencionais (...) o livro percorre apaixonadamente trilhas de risco na literatura brasileira"". Essas palavras são do prefácio que o Sérgio escreveu para meu terceiro livro de contos, em 2003. Falava dele mesmo, lógico, um escritor que até o fim fazia questão de arriscar-se e jamais deixava a escrita se acomodar.Ele era assim: um escritor cujo ego não empanava o entusiasmo por ler gerações mais novas; fazia questão de se misturar com todo mundo, não era escritor de torre de marfim. Em sua última aparição pública, em 14 de fevereiro, na Biblioteca Mário de Andrade, ao ser perguntado sobre quem merecia sua atenção na literatura brasileira, lembrou de João Gilberto Noll e Rubem Fonseca e elogiou Emilio Fraia, escritor de 34 anos que recém lançou o primeiro livro de contos.Em 2007, afinal nos conhecemos pessoalmente, e foi como se a saborosa troca de e-mails e cartas se materializasse em uma pessoa simpática, aberta, de inteligência vivaz e humor zombeteiro. Visitei-o em seu apartamento nas Laranjeiras – me impressionou ver que ele escrevia à mão, em sinuosa e elegante caligrafia, numa cadeira de balanço –, passeamos por suas ruas de botecos discretos, zanzamos pelo Largo do Machado papeando sobre o Bruxo do Cosme Velho e cerramos chopes e parmegianas entre as paredes espelhadas do Café Lamas, ""um lugar perfeito para nós, vampiros, não sermos vistos"", como costumava dizer.No fim de 2019, idealizei o jornal Morre Bolsonaro, pasquim só formado por boas notícias, o leitor pode imaginar. Convidei 50 escritores; 25 não quiseram ter seu nome associado ao nome do mais burro e sociopata presidente da história do país e declinaram, e 25 toparam. Serjão, o primeiro que convidei, mandou um conto dois dias depois – um texto engraçadíssimo, narrando como Bolsonaro morria ao ser atingido na bunda pela flecha envenenada de um índio Macuxi.Nos últimos tempos, Serjão havia descoberto o Facebook e ali passava o dia esculhambando nosso desgoverno fascista e genocida. Daquele púlpito, para mim, era claro que seguia exercendo o ofício em que me havia sido apresentado: o de professor, o mestre libertário que só aponta caminhos e nunca os fecha, no palco em frente à audiência, as costas para o quadro negro, de verbo solto, sem se esconder, sem rede de proteção.Incrível ver que mesmo aos 78 anos, em plena pandemia, continuava escrevendo de todas as maneiras – um conto para a Época aqui, outro conto para a Folha de S. Paulo ali, uma novela para a Companhia das Letras acolá, sem falar nos posts diários temperados de doçura, veneno, energia e humor, como é próprio à sua prosa. Escrever até o fim – eis a lição de Serjão, nosso maior mestre.Ronaldo Bressane, 50, paulistano, é escritor, jornalista e professor; publicou, entre outros livros, o romance ""Escalpo"" (ReformatórioOs textos do tributo a Sérgio Sant'Anna:",2020-05-17,https://epoca.globo.com/colunistas/cronica-escrever-ate-fim-24429928
Aneel deve aprovar hoje R$ 22 bilhões em subsídios na conta de energia,"Está na pauta desta terça-feira da Agência Nacional de Energia Elétrica (Aneel) o orçamento para 2020 para a Conta de Desenvolvimento Energético (CDE), que define os subsídios pagos por meio da conta de energia.A previsão é que o valor aprovado seja de R$ 22 bilhões, acima dos R$ 20,2 bilhões aprovados para 2019.O valor é mais alto do que os R$ 20,6 bilhões que a própria Aneel havia estimado em outubro.Os motivos seriam o uso das termelétricas para suprir Roraima por conta do fim da compra de energia da Venezuela.Os recursos da CDE servem para custear os descontos das tarifas de baixa renda e subsídios não relacionados à energia, como os destinados à irrigação e ao carvão mineral nacional.(Por Naomi Matsui)Leia também:Acompanhe nas redes sociais: Facebook | Twitter | Instagram",2019-12-17,https://epoca.globo.com/guilherme-amado/aneel-deve-aprovar-hoje-22-bilhoes-em-subsidios-na-conta-de-energia-24142382
Deputados planejam reação à eventual mudança de taxação de energia solar,"Parlamentares da frente de energia limpa e sustentável já articulam um projeto de decreto legislativo para reagir a uma eventual mudança da Aneel sobre a taxação de geração distribuída de energia, o que inclui a energia solar.A medida é vista como uma das únicas saídas para sustar a medida, já que um processo de judicialização é visto como demorado e pouco provável.(Por Naomi Matsui)Leia também:Acompanhe nas redes sociais: Facebook | Twitter | Instagram",2019-12-12,https://epoca.globo.com/guilherme-amado/deputados-planejam-reacao-eventual-mudanca-de-taxacao-de-energia-solar-1-24124227
