Título,Notícia,Data,Link
Multidão sem proteção reunida em partida de futebol causa revolta de autoridade e moradores,"Um jogo de futebol entre times amadores que reuniu uma multidão em Guarujá, no litoral de São Paulo, revoltou autoridades da cidade. O secretário de Defesa e Convivência Social de Guarujá, Luiz Cláudio Venâncio, declarou ser contra a prática em meio a quarentena. “Nenhuma fiscalização é maior e melhor que a consciência de cada um”, afirmou por meio de nota.  A grande quantidade de pessoas que assistiam à partida na Vila Edna, contrariando orientações das autoridades de saúde durante a pandemia, gerou polêmica. Um vídeo, obtido pelo G1 no último domingo (10), flagrou diversas pessoas sem máscaras no local (veja acima). Jovens acompanhavam a partida que acontecia na quadra de areia localizada na comunidade.  Apesar de contrariar a recomendação de autoridades, o futebol não foi a única prática proibida realizada na cidade. A Secretaria de Defesa e Convivência Social da cidade informou que, na mesma noite do jogo, recebeu denúncia de um ""pistão"", baile que acontece no bairro de Santa Cruz dos Navegantes, e que por conta disso, a Força-Tarefa não conseguiu chegar a tempo de impedir a prática de futebol na Vila Edna.  Diante das práticas proibidas, o secretário lembra que tanto o futebol como o ""pistão"" contrariam as recomendações das autoridades governamentais e de saúde com relação ao combate à Covid-19. Ele ainda ressalta que a consciência deve partir dos moradores, que devem evitar aglomerações e fazer o uso de máscaras, o que já é obrigatório no município. Ele ainda ressalta de que esse tipo de comportamento coloca em risco a comunidade em que vivem.  O jogo na comunidade também incomodou moradores da região, preocupados com a aglomeração em meio à pandemia. Uma moradora que preferiu não se identificar relatou ao G1 que os jogos acontecem constantemente, mesmo no período de quarentena. ""Tem muita aglomeração. Com esse coronavírus, não dá para ficar desse jeito, com muitas pessoas no mesmo local"", declarou.  A moradora relata que a maioria das pessoas que acompanham os jogos não são da comunidade. Ela ainda diz que os campeonatos são frequentes, e os moradores lidam com a grande quantidade de pessoas e o barulho que fica no local. ""Com essa pandemia, não dá pra continuar isso. Espero muito que acabe, que parem de uma vez"", finaliza.  A reportagem tentou entrar em contato com os times amadores envolvidos no jogo deste fim de semana, mas até a última atualização desta reportagem não obteve retorno. Já a Polícia Militar informou que atendia outra ocorrência no momento do jogo e, quando se deslocou para o local, por volta da 1h, a multidão começou a deixar o local. Ninguém foi preso.",2020-05-11,https://g1.globo.com/sp/santos-regiao/noticia/2020/05/11/autoridades-se-revoltam-com-futebol-que-reuniu-multidao-sem-protecao-em-sp.ghtml
Jogo de futebol reúne multidão e gera revolta em SP: 'Não dá pra continuar',"Uma partida de futebol entre dois times amadores foi registrada em meio à pandemia do novo coronavírus em Guarujá, litoral de São Paulo. O vídeo obtido pelo G1 neste domingo (10) mostra que a partida causou uma grande aglomeração na Vila Edna e várias pessoas foram flagradas sem máscara no local. No vídeo (veja acima), é possível identificar uma grande quantidade de pessoas no campo de areia onde os jogos são realizados.  Uma moradora da região que preferiu não se identificar relatou ao G1 que os jogos acontecem constantemente, mesmo com a pandemia, e que não está sendo diferente neste fim de semana. ""Tem muita aglomeração. Com esse coronavírus,não dá para ficar desse jeito, com muitas pessoas no mesmo local"", declarou. Ela explica que o entorno do campo de areia fica cheio de jovens que acompanham as partidas.  Ela relata que não vai até o campo com medo, mas que os eventos reúnem muitas pessoas, o que se torna motivo de preocupação na comunidade. Mesmo sem ir até o local, ela conta que fica aflita pensando na saúde dos jovens e dos familiares. De acordo com a moradora, pessoas que não são da comunidade são maioria nos campeonatos.  Segundo a moradora, os campeonatos acontecem frequentemente, e o barulho e a aglomeração são a consequência dos jogos. Ela explica que a Polícia Militar conseguiu terminar com o último jogo ao entrar no campo na madrugada deste sábado (9). ""Com essa pandemia, não dá pra continuar isso. Espero muito que acabe, que parem de uma vez"", completa.  A reportagem tentou entrar em contato com os times amadores envolvidos no jogo deste fim de semana, mas até a última atualização desta reportagem não obteve retorno. Já a Polícia Militar informou que atendia outra ocorrência no momento do jogo e, quando se deslocou para o local, por volta da 1h, a multidão começou a deixar o local. Ninguém foi preso.",2020-05-10,https://g1.globo.com/sp/santos-regiao/noticia/2020/05/10/jogo-de-futebol-reune-multidao-e-gera-revolta-em-sp-nao-da-pra-continuar.ghtml
Homem é baleado durante jogo de futebol em Montes Claros,"Um homem de 31 anos foi baleado durante uma partida de futebol em Montes Claros, nesse domingo (3). O crime foi em um campo na Vila Sion e ninguém foi preso.  O homem contou à polícia que era técnico de um dos times e se desentendeu durante o jogo com o autor. Segundo a Polícia Militar, os dois entraram em luta corporal e o autor sacou uma arma e atirou. O motivo do desentendimento não foi informado.  A vítima foi atingida na região abdominal e foi encaminhada ao hospital por uma equipe do Samu. Após o crime, o homem fugiu por um matagal e ainda não foi preso.  Veja mais notícias da região no G1 Grande Minas.",2020-05-04,https://g1.globo.com/mg/grande-minas/noticia/2020/05/04/homem-e-baleado-durante-jogo-de-futebol-em-montes-claros.ghtml
Dois homens são presos com armas de fogo durante festa clandestina na Zona Norte de Manaus ,"Dois homens foram presos durante a madrugada deste domingo (10) em uma festa clandestina no bairro Alfredo Nascimento, Zona Norte de Manaus. Segundo a Polícia Militar, com os suspeitos foram encontradas duas armas de fogo. Além desse caso, um outro homem foi preso por porte ilegal de arma em uma partida de futebol  Policiais da Rondas Ostensivas Cândido Mariano (Rocam) realizavam a ronda de segurança na área da Zona Leste quando receberam uma denúncia anônima por meio de um aplicativo de mensagens. A denúncia contou sobre os dois homens que estariam com armas dentro de uma casa, em uma festa na Rua Belo Horizonte.  A equipe policial foi até o local e encontrou os suspeitos com as armas. Com eles foram apreendidas uma pistola calibre 9 milímetros, com numeração suprimida e duas munições, e uma pistola .765, sem numeração, além de uma munição calibre 32.  Presos em flagrante, a dupla foi levada para o 6º Distrito Integrado de Polícia (DIP), junto as armas de fogo.  Horas antes dessa prisão, um homem de 32 anos foi com uma de arma de fogo e entorpecentes num campo onde se realizava uma partida de futebol, no bairro Novo Aleixo, zona Leste de Manaus.  Segundo os policiais, a prisão do homem ocorreu após recebimento de denúncia anônima para o Campo do Roma, que fica na rua Ivaporá.  Os policiais foram ao local, encontraram o suspeito que foi abordado e revistado, sendo encontrada com ele uma arma de fogo presa à cintura e entorpecentes no bolso da bermuda. Ele foi preso em flagrante e levado para a mesma delegacia.",2020-05-10,https://g1.globo.com/am/amazonas/noticia/2020/05/10/dois-homens-sao-presos-com-armas-de-fogo-durante-festa-clandestina-na-zona-norte-de-manaus.ghtml
Menor morre atropelado na BR-135 ao tentar pegar bola que escapou; ele estava indo jogar futebol com amigos,"Um adolescente de 14 anos morreu após ser atropelado por uma caminhonete na BR-135, em Montes Claros (MG), nesta terça-feira (5). O acidente aconteceu em um local que fica a dois quilômetros de Nova Esperança.  Segundo as informações do Corpo de Bombeiros, o menor estava indo jogar bola com amigos. O atropelamento ocorreu quando ele foi pegar a bola, que escapou e foi em direção à pista. O motorista tentou desviar, mas atingiu o jovem.  A Polícia Militar , o Samu, o helicóptero Arcanjo 05 e foram acionados. O adolescente teve amputação da perna e parada cardiorrespiratória. Foram feitas tentativas de reanimá-lo, mas ele não resistiu.  A perícia da Polícia Civil foi acionada. A ocorrência ainda está em andamento.  Veja mais notícias da região em G1 Grande Minas.",2020-05-05,https://g1.globo.com/mg/grande-minas/noticia/2020/05/05/menor-morre-atropelado-na-br-135-ao-tentar-pegar-bola-que-escapou-ele-estava-indo-jogar-futebol-com-amigos.ghtml
"Escola de futebol arrecada e doa cestas básicas a jogadores de baixa renda em Franca, SP","Preocupados com os impactos do novo coronavírus, os dirigentes de uma escolinha de futebol de Franca (SP) estão arrecadando e doando cestas básicas para alunos de baixa renda. Há um mês o campo está vazio, mas os cerca de 350 jovens atendidos pelo projeto continuam em contato com os treinadores e pedem ajuda.  A doação chegou em boa hora na casa do goleiro Marcus Vinícius Silva, que mora com os avós e os irmãos. Apesar de serem aposentados, os avós trabalham costurando sapatos. Com o avanço da Covid-19, no entanto, os pedidos sumiram e a renda fez falta no dia a dia da família.  ""Como somos em dez, a gente passa dificuldade. Estão muito apertadas as coisas, porque ninguém está trabalhando, aí para um ou dois cuidarem sozinhos de uma casa com dez pessoas fica complicado"", diz o jogador.  A situação na casa do atacante João Paulo não é diferente. O jovem diz que a mãe e o padrasto estão tentando equilibrar as contas da casa, mas as dificuldades, que já eram grandes antes da doença, ficaram ainda maiores.  ""[A doença] afetou muito, porque minha mãe trabalha em escola e, como foi um dos primeiros lugares que parou, ela foi mandada de férias e ficou sem previsão para receber. Com ajuda do time, deu para dar uma controlada. Graças a Deus eles têm um coração bom para ajudar a gente"", diz o jovem.  Assim como Marcus e João Paulo, muitos outros jogadores precisam de ajuda. O clube Rose'n Boys entregou 50 cestas básicas até o momento, mas planeja expandir a ajuda e espera arrecadar doações para conseguir atender a todos.  Doações podem ser feitas no escritório do clube, localizado na Rua Santos Pereira, nº 550, no bairro Cidade Nova, das 9h às 12h e das 14h às 18h. Interessados em doar podem também entrar em contato pelo telefone (16) 99285-0447.  Veja mais notícias da região no G1 Ribeirão Preto e Franca",2020-05-03,https://g1.globo.com/sp/ribeirao-preto-franca/noticia/2020/05/03/escola-de-futebol-arrecada-e-doa-cestas-basicas-a-jogadores-de-baixa-renda-em-franca-sp.ghtml
"Prefeitura interdita campo de futebol para evitar aglomerações em Cambuí, MG","A Prefeitura de Cambuí (MG) interditou nesta sexta-feira (1º) o Estádio Edmundo Paceau, o ""Campo do Asilo"", por tempo indeterminado. A medida, conforme a prefeitura, tem como objetivo evitar aglomerações e cuidar da saúde da população, evitando a propagação da Covid-19.  Na postagem da prefeitura em seu perfil oficial de uma rede social, a administração diz que entende a necessidade da prática de esportes e exercícios físicos, ainda mais em tempos de isolamento social, mas devido ao perigo do Coronavírus, sacrifícios têm que ser feitos por todos.  Conforme os últimos números da Secretaria de Estado de Saúde, Cambuí é o 5º município com mais casos confirmados de Covid-19 no Sul de Minas: 12 registros.  Veja mais notícias da região no G1 Sul de Minas",2020-05-01,https://g1.globo.com/mg/sul-de-minas/noticia/2020/05/01/prefeitura-interdita-campo-de-futebol-para-evitar-aglomeracoes-em-cambui-mg.ghtml
Prefeito Alexandre Kalil rechaça jogos em BH: 'Pensar em futebol agora é coisa de débil mental',"O futebol em Belo Horizonte só vai voltar em meio à pandemia se for por ordem da Justiça. É o que garante o prefeito Alexandre Kalil. Firme e sem ponderações, ele fez duras críticas às entidades que cogitam o retorno dos jogos no país em meio à crise do novo coronavírus. A declaração dele à ESPN foi nesta quinta-feira (30), dia em que a Federação Mineira de Futebol (FMF) se reuniu com as autoridades estaduais para iniciar a criação de protocolos que permitirão a retomada das partidas no estado.  Para Alexandre Kalil, pensar em futebol, neste momento, é ""coisa de débil mental"" e um ""descolamento da realidade"". Ao criticar a ideia de retomada do esporte, o prefeito de BH cita o caso de São Paulo, onde estão utilizando, por exemplo, contêineres frigoríficos para colocar corpos, em função do alto número de mortes.  ""O futebol envolve, pelo menos, 200 pessoas num jogo. E mais 11 caras que vão se estapear lá dentro. Vão cuspir no chão, vão cuspir um na cara do outro, vão dar tapa, cotovelada, vão abraçar na hora do gol... É um descolamento total da realidade. Ninguém está sabendo o que é corpo em saco plástico"", comentou o prefeito de Belo Horizonte.  Sobre a ideia da Federação Mineira de retomar, em breve, o andamento das competições estaduais, Kalil garantiu que, em Belo Horizonte, só haverá jogos se for por decisão judicial. O prefeito citou ainda o fechamento dos pequenos comércios da capital mineira como exemplo.  ""Todo mundo sabe que não sou modesto e nem demagogo. E o cara que vende churrasquinho, que está liquidado aí na rua? E o cara que tem o barzinho dele, que vende a cerveja gelada? Quem tem muito é que está com muita pressa. É pra todo mundo. Na Bélgica, na Itália, na Holanda, eles fazem o que quiserem. Aqui na cidade, a Federação Mineira, para mexer com futebol mineiro, vai ter que conversar com o prefeito. Se eles estão achando que vão chegar lá e (decretar): 'Vai abrir', não vai abrir não"", disse o prefeito de BH.  O último jogo profissional realizado em Belo Horizonte foi a vitória do Coimbra sobre o Cruzeiro, por 1 a 0, em 15 de março. Três dias depois, América-MG, Atlético-MG e Cruzeiro suspenderam todas as atividades diárias. Desde o dia 20 daquele mês, bares, shoppings centers e vários outros estabelecimentos ""não essenciais"" estão fechados na capital mineira. Desde o início da semana, o uso de máscaras é obrigatório para transitar nas ruas de BH.  O Módulo I do Campeonato Mineiro foi suspenso após o término da 9ª rodada da primeira fase, que depende de mais duas rodadas para ser concretizada. O regulamento inicial da competição ainda previa realização das semifinais e da final em duelos de ida e volta.  O outro torneio profissional suspenso no estado foi o Módulo II do Mineiro, paralisado na sexta rodada da fase inicial. Além das cinco rodadas restantes para o término desta etapa, a competição ainda prevê a realização de um quadrangular final, com as equipes se enfrentando em turno e returno. Sendo assim, o Módulo II dependeria de 11 datas para ser terminado como previsto inicialmente pelo regulamento.",2020-05-01,https://g1.globo.com/mg/minas-gerais/noticia/2020/05/01/prefeito-alexandre-kalil-rechaca-jogos-em-bh-pensar-em-futebol-agora-e-coisa-de-debil-mental.ghtml
Prefeito de Feira de Santana critica jogo de futebol que reuniu mais de 100 pessoas,"O prefeito da cidade de Feira de Santana, a 100 quilômetros de Salvador, Colbert Martins, criticou nesta segunda-feira (27), uma partida de futebol feita por moradores em um estádio da região, que reuniu mais de 100 pessoas, no domingo (26).  “Em um estádio de esportes em Feira de Santana, eu estou investigando isso, não vou identificar até porque ainda não tenho prova, mas se tiver eu vou agir de forma dura. Teve um jogo de futebol que teve mais de 100 pessoas no domingo. Não é possível uma coisa dessa. Futebol pode ter todo dia, só não pode juntar gente agora. Por que é que não está tendo campeonato? Por que que está todo mundo parado? "", disse Colbert Martins.  O prefeito argumentou que a aglomeração de pessoas em uma pandemia pode arriscar uma pessoa se infectar com o vírus e levar a doença para casa.  Veja mais notícias do estado no G1 Bahia.",2020-04-28,https://g1.globo.com/ba/bahia/noticia/2020/04/27/prefeito-de-feira-de-santana-critica-jogo-de-futebol-que-reuniu-mais-de-100-pessoas.ghtml
"Filho sofre perda do pai para o coronavírus em RR: 'preferia estar passando fome, mas queria ter meu pai aqui do lado'","A família do aposentado Orlando Falcão, de 76 anos, há nove dias enfrenta o luto de ter perdido o patriarca para o coronavírus. Ex-militar e jogador de futebol, ele foi uma das 18 vítimas da doença, até essa sexta-feira (8), em Roraima.  Orlando morreu cerca de quatro horas depois de ter buscado atendimento no Hospital Geral de Roraima (HGR), em Boa Vista. O filho, Oberdan Falcão, de 34 anos, relata que esses dias sem o pai - que deixou a esposa, dois filhos e três netas - têm sido difíceis.  O diagnóstico positivo de Orlando para a Covid-19 saiu depois que ele gripou, foi até o HGR, mas não fizeram o teste para detectar o coronavírus e família decidiu fazer o exame na rede particular de saúde.  “Meu pai começou a apresentar sintomas de tosse e febre por volta do dia 20 de abril. Ele pensava que podia ser só uma gripe. O quadro deu uma piorada no domingo, dia 26. Chegamos no HGR e ele não apresentava febre, somente tosse. Fizeram a triagem e descartaram a Covid, sem nem fazer um exame, e mandaram a gente para casa"", lembrou o filho.  Quatro dias, já com o teste positivo para a Covid-19, Orlando passou mal com falta de ar em casa e foi levado às pressas para o hospital. Lá, ele foi entubado para receber ventilação mecânica, mas não resistiu.  Enquanto lida com a dor da perda, Oberdan indica os cuidados que cada um pode tomar para evitar a contaminação e disseminação do vírus letal.  Orlando foi militar do Exército na década de 50 e jogador de futebol no time roraimense São Raimundo em 1970. Ele foi a 8º vítima da Covid-19 no estado e, embora a secretaria estadual de Saúde tenha divulgado que o aposentando tinha comorbidades - outras doenças - , entre elas, cardiopatia, a família garante que ele levava a vida de uma maneira saudável, sempre rodeado da família e amigos.  Até o momento, Roraima contabiliza 1.202 infectados e 18 mortes causadas pelo coronavírus.  *Com informações da Rede Amazônica",2020-05-09,https://g1.globo.com/rr/roraima/noticia/2020/05/09/filho-sofre-perda-do-pai-para-o-coronavirus-em-rr-preferia-estar-passando-fome-mas-queria-ter-meu-pai-aqui-do-lado.ghtml
