Título,Notícia,Data,Link
Universidade Federal do AP oferta 11 cursos on-line de qualificação; confira áreas,"A Universidade Federal do Amapá (Unifap) está ofertando 11 cursos on-line de habilitação gratuita em diversas áreas. As aulas acontecem em ambientes virtuais e a carga horária varia de entre curso, com duração entre 20 e 60 horas.  Não há pré-requisitos para ingresso e qualquer pessoa da comunidade pode participar. As aulas serão ministradas por professores e técnicos da Unifap durante a pandemia.  A única é exigência é ter um dispositivo conectado à internet para realização das aulas e para se inscrever é preciso entrar no endereço https://cursoslivres.unifap.br/courses e selecionar entre as 11 opções e seguir as instruções.  Confira a lista de cursos:  Acessibilidade e Inclusão no Ensino Superior: como construir uma universidade para todos?Carga horária: 20 horas  Curso livre de formação locutor, comunicadorCarga horária: 60 horas  Enfermagem em saúde mental e suas estratégias em meio à pandemiaCarga horária: 20 horas  Estatística com aplicações no RCarga horária: 20 horas  Gestão de finanças pessoaisCarga horária: 30 horas  História do Amapá Colonial: indígenas e jesuítas no Cabo Norte e no OiapoqueCarga horária: 20 horas  Introdução à geografia psicológicaCarga horária: 20 horas  Metodologia Científica: tópicos especiais sobre elaboração e publicação de trabalhos científicosCarga horária: 20 horas  Publicação de artigos científicosCarga horária: 30 horas  Uso da plataforma Moodle no ensino superior EaDCarga horária: 20 horas  Violência Doméstica Contra a Mulher e Feminicídio: como romper o ciclo de violência no ambiente familiarCarga horária: 20 horas  Veja o plantão de últimas notícias do G1 Amapá",2020-05-27,https://g1.globo.com/ap/amapa/noticia/2020/05/27/universidade-federal-do-ap-oferta-11-cursos-on-line-de-qualificacao-confira-areas.ghtml
"Após confirmação de aluno com coronavírus, aulas são retomadas no curso de Geografia da USP","As aulas do curso de Geografia, na Faculdade de Filosofia, Letras e Ciências Humanas (FFLCH) da Universidade de São Paulo (USP) foram retomadas nesta quinta-feira (12). A suspensão aconteceu após um aluno, que também é funcionário, comunicar que testou positivo para o coronavírus.  De acordo com a USP, a suspensão das atividades no Departamento de Geografia é pontual e não afeta outros cursos da FFLCH. Os alunos da Geografia foram informados da suspensão das aulas por meio de comunicado oficial emitido pela chefia do departamento.  Em nota, a USP afirmou que ""não há nenhuma ocorrência suspeita que atenda aos critérios estabelecidos pelo Ministério da Saúde"" e que estão mantidas as ""atividades didática e administrativa em todas as unidades de pesquisa e de estudo, conforme orientações das autoridades sanitárias"".  Leonardo Infante é aluno da Faculdade de Letras, que fica ao lado do prédio da faculdade de Geografia e tem utilizado máscaras por dar aulas de reforço de português numa escola bilíngue chinesa, no Centro da cidade. Por precaução, ele está usando máscaras para proteger os colegas de classe.  A chefe do Departamento de Geografia disse que o estudante que atestou positivo para o vírus também trabalha na universidade e se movimentou no campus durante uma semana, até começar a ter os sintomas mais fortes da doença e decidir parar de frequentar as aulas. O estudante está matriculado no primeiro ano e contraiu o coronavírus após a esposa dele voltar da Itália com a doença.  Em nota, a FFLCH declarou que manterá as aulas e demais atividades nos outros cursos até que as autoridades estaduais de saúde se manifestem sobre o assunto.  ""Esse é o único caso comunicado à instituição. O fato foi imediatamente reportado à Reitoria. A FFLCH informa que manterá suas aulas e demais atividades enquanto aguarda a manifestação da Superintendência de Saúde da USP e o Centro de Gestão do Coronavírus no Estado de São Paulo, que vão estabelecer os protocolos necessários à segurança de todos. Havendo qualquer alteração desse quadro e, amparados pelos profissionais de saúde competentes, toda a comunidade da nossa Faculdade será informada imediatamente"", afirmou o documento. (veja íntegra da nota abaixo)   Segundo a assessoria de imprensa da FFLCH, o aluno que está com o vírus já tinha comunicado às autoridades sanitárias do estado de São Paulo sobre a doença no início da semana e está computado nas estatísticas do Ministério da Saúde.  A USP está mapeando as atividades desse aluno dentro do campus para saber os procedimentos a serem adotados a partir de agora. A Universidade também anunciou nesta quarta-feira a criação de um comitê para monitorar coronavírus na instituição.  O boletim oficial do Ministério da Saúde divulgado nesta quarta-feira (11) aponta que o Brasil tem 52 casos confirmados da doença, 30 deles registrados no Estado de São Paulo.  Segundo a Secretaria Estadual de Saúde paulista, 263 casos suspeitos estão sendo investigados em todo o estado e 320 já foram descartados até agora na região.  Durante o evento nesta quarta em Brasília, o ministro da Saúde, Luiz Henrique Mandetta, disse que pacientes com sintomas vindo de qualquer continente será considerado suspeito no Brasil.  ""Para nós [...] qualquer pessoa que chegue no Brasil ainda neste momento, com febre, tosse, gripe, já tem nexo para você poder falar: 'oh, é um caso suspeito'. Por que? Porque veio de fora de locais que têm transmissão sustentada. Mas nós já estávamos trabalhando assim, né? Nós já estávamos com América, Europa, Ásia, Oceania. Só não estávamos ainda considerando os da América do Sul e África, agora são todos"", afirmou.  O ministro também disse que nada muda no Brasil com a declaração de pandemia do coronavírus feita também nesta quarta-feira pela Organização Mundial de Saúde (OMS). Para Mandetta, houve ""demora da OMS"" para fazer a declaração, já que o número de casos fora da China aumentou 13 vezes nas últimas duas semanas e o número de países afetados triplicou.  Segundo dados da própria OMS, já foram registrados mais de 118 mil casos de coronavírus ao redor do mundo e 4.291 mortes foram computadas nas últimas duas semanas.  ""Nesta quarta-feira, 11/03/2020, a Faculdade de Filosofia, Letras e Ciências Humanas (FFLCH) da USP foi informada que um aluno do curso de Geografia foi oficialmente diagnosticado com o novo CORONAVÍRUS (COVID-19). Esse é o único caso comunicado à instituição. O fato foi imediatamente reportado à Reitoria. A FFLCH informa que manterá suas aulas e demais atividades enquanto aguarda a manifestação da Superintendência de Saúde da USP e o Centro de Gestão do Coronavírus no Estado de São Paulo, que vão estabelecer os protocolos necessários à segurança de todos. Havendo qualquer alteração desse quadro e, amparados pelos profissionais de saúde competentes, toda a comunidade da nossa Faculdade será informada imediatamente. Contamos com a colaboração da comunidade acadêmica para evitar o alarmismo e a disseminação de boatos. Lembramos que todos devem ficar atentos às práticas de prevenção contra este vírus.""",2020-03-12,https://g1.globo.com/sp/sao-paulo/noticia/2020/03/12/apos-confirmacao-de-aluno-com-coronavirus-aulas-sao-retomadas-no-curso-de-geografia-da-usp.ghtml
"USP suspende aulas do curso de Geografia, na FFLCH, após aluno comunicar que tem coronavírus ","A Universidade de São Paulo (USP) anunciou nesta quarta-feira (11) a suspensão das aulas do curso de Geografia, na Faculdade de Filosofia, Letras e Ciências Humanas (FFLCH), após um aluno comunicar que testou positivo para o coronavírus.  De acordo com a USP, a suspensão das atividades no Departamento de Geografia é pontual e não afeta outros cursos da FFLCH. Os alunos da Geografia foram informados da suspensão das aulas por meio de comunicado oficial emitido pela chefia do departamento.  A chefe do Departamento de Geografia disse que o estudante que atestou positivo para o vírus também trabalha na universidade e se movimentou no campus durante uma semana, até começar a ter os sintomas mais fortes da doença e decidir parar de frequentar as aulas. O estudante está matriculado no primeiro ano e contraiu o coronavírus após a esposa dele voltar da Itália com a doença.  Em nota, a FFLCH declarou que manterá as aulas e demais atividades nos outros cursos até que as autoridades estaduais de saúde se manifestem sobre o assunto.  ""Esse é o único caso comunicado à instituição. O fato foi imediatamente reportado à Reitoria. A FFLCH informa que manterá suas aulas e demais atividades enquanto aguarda a manifestação da Superintendência de Saúde da USP e o Centro de Gestão do Coronavírus no Estado de São Paulo, que vão estabelecer os protocolos necessários à segurança de todos. Havendo qualquer alteração desse quadro e, amparados pelos profissionais de saúde competentes, toda a comunidade da nossa Faculdade será informada imediatamente"", afirmou o documento. (veja íntegra da nota abaixo)   Segundo a assessoria de imprensa da FFLCH, o aluno que está com o vírus já tinha comunicado às autoridades sanitárias do estado de São Paulo sobre a doença no início da semana e está computado nas estatísticas do Ministério da Saúde.  A USP está mapeando as atividades desse aluno dentro do campus para saber os procedimentos a serem adotados a partir de agora. A Universidade também anunciou nesta quarta-feira a criação de um comitê para monitorar coronavírus na instituição.  O boletim oficial do Ministério da Saúde divulgado nesta quarta-feira (11) aponta que o Brasil tem 52 casos confirmados da doença, 30 deles registrados no Estado de São Paulo.  Segundo a Secretaria Estadual de Saúde paulista, 263 casos suspeitos estão sendo investigados em todo o estado e 320 já foram descartados até agora na região.  Durante o evento nesta quarta em Brasília, o ministro da Saúde, Luiz Henrique Mandetta, disse que pacientes com sintomas vindo de qualquer continente será considerado suspeito no Brasil.  ""Para nós [...] qualquer pessoa que chegue no Brasil ainda neste momento, com febre, tosse, gripe, já tem nexo para você poder falar: 'oh, é um caso suspeito'. Por que? Porque veio de fora de locais que têm transmissão sustentada. Mas nós já estávamos trabalhando assim, né? Nós já estávamos com América, Europa, Ásia, Oceania. Só não estávamos ainda considerando os da América do Sul e África, agora são todos"", afirmou.  O ministro também disse que nada muda no Brasil com a declaração de pandemia do coronavírus feita também nesta quarta-feira pela Organização Mundial de Saúde (OMS). Para Mandetta, houve ""demora da OMS"" para fazer a declaração, já que o número de casos fora da China aumentou 13 vezes nas últimas duas semanas e o número de países afetados triplicou.  Segundo dados da própria OMS, já foram registrados mais de 118 mil casos de coronavírus ao redor do mundo e 4.291 mortes foram computadas nas últimas duas semanas.  ""Nesta quarta-feira, 11/03/2020, a Faculdade de Filosofia, Letras e Ciências Humanas (FFLCH) da USP foi informada que um aluno do curso de Geografia foi oficialmente diagnosticado com o novo CORONAVÍRUS (COVID-19). Esse é o único caso comunicado à instituição. O fato foi imediatamente reportado à Reitoria. A FFLCH informa que manterá suas aulas e demais atividades enquanto aguarda a manifestação da Superintendência de Saúde da USP e o Centro de Gestão do Coronavírus no Estado de São Paulo, que vão estabelecer os protocolos necessários à segurança de todos. Havendo qualquer alteração desse quadro e, amparados pelos profissionais de saúde competentes, toda a comunidade da nossa Faculdade será informada imediatamente. Contamos com a colaboração da comunidade acadêmica para evitar o alarmismo e a disseminação de boatos. Lembramos que todos devem ficar atentos às práticas de prevenção contra este vírus.""",2020-03-11,https://g1.globo.com/sp/sao-paulo/noticia/2020/03/11/usp-suspende-aulas-do-curso-de-geografia-na-fflch-apos-aluno-comunicar-que-tem-coronavirus.ghtml
Poli confirma segundo caso de coronavírus na USP; Geografia e departamento de Língua Italiana suspendem aulas,"A Escola Politécnica (Poli) anunciou nesta sexta-feira (13) mais um caso de contaminação por coronavírus na Universidade de São Paulo (USP). De acordo com a Poli, a contaminação de um de seus alunos foi confirmada por um laudo emitido pelo Hospital Albert Einstein na noite de quinta-feira (12), mas as aulas não foram suspensas.  Depois de um caso confirmado, a Geografia, da Faculdade de Filosofia, Letras e Ciências Humanas (FFLCH), anunciou que suspendeu as aulas até terça-feira (17). Além disso, a direção da Faculdade afirma que há 11 pessoas em quarentena: 9 alunos, 1 professor e 1 funcionário.  ""Com base em informações de especialista, o Departamento de Geografia está enquadrado em uma condição de ""cluster"", o que deveria indicar a adoção de um protocolo específico, pois já temos a confirmação de que 7 casos de alunos em quarentena estão relacionados ao aluno que testou positivo, quer dizer: pertencem à mesma turma/classe"", diz a nota.  ""A data prevista para a volta às atividades (17 de março) não é aleatória; neste dia completa-se o ciclo epidemiológico de 14 dias do vírus, contados a partir de 4 de março. Esse foi o último dia em que o aluno com diagnóstico confirmado esteve em nossas dependências"", completa.  O departamento de Área Didática em Língua e Literatura Italianas, na FFLCH, ""a nossa área pode ser considerada 'grupo vulnerável', pois, além da relação com a Itália, há professores que pertencem a grupos de risco. Além disso, a situação das salas de aula é precária, não possuem ventilação e a proximidade entre alunos é muito grande"", diz comunicado aos alunos.  Já a Escola Politécnica informou que assim que recebeu o resultado do teste, a diretoria encaminhou o caso ao Comitê Permanente USP Covid - 19 e está aguardando retorno. O departamento disse ainda que não tem poder para suspender as aulas sem autorização da Reitoria.  ""Em que pese a gravidade do momento, a Diretoria da Escola Politécnica, assim como acontece em todas as Unidades da USP, NÃO tem a autorização dos Órgãos Centrais para suspender aulas e demais atividades, nem liberar alunos, professores e funcionários"", disse o comunicado emitido pela Escola Politécnica.  Em nota enviada nesta sexta-feira (13), a USP afirmou que as aulas estão mantidas na maioria dos departamentos. As seguintes atividades foram suspensas:  Durante uma coletiva de imprensa realizada na manhã desta sexta-feira (13) o secretário estadual de saúde, José Henrique Germann, afirmou que subiu para 50 o número de casos de pacientes confirmados com a doença no estado. Até quinta-feira (12), eram 46 pessoas.  Na quarta-feira (11) a Organização Mundial de Saúde (OMS) declarou pandemia global por causa da rápida expansão do coronavírus no mundo.   O ministro da Saúde do Brasil, Luiz Henrique Mandetta, afirmou que a declaração de pandemia não muda a situação do país.  Para Mandetta, houve ""demora da OMS"" para fazer a declaração, já que o número de casos fora da China aumentou 13 vezes nas últimas duas semanas e o número de países afetados triplicou.  Segundo dados da própria OMS, já foram registrados mais de 118 mil casos de coronavírus ao redor do mundo e 4.291 mortes foram computadas nas últimas duas semanas.",2020-03-13,https://g1.globo.com/sp/sao-paulo/noticia/2020/03/13/escola-politecnica-confirma-segundo-caso-de-coronavirus-na-usp.ghtml
Levantamento da Firjan aponta redução do roubo de cargas e nova geografia na ocorrência do crime no Rio ,"Um levantamento da Firjan aponta que há uma redução do roubo de cargas no Rio e uma nova geografia na ocorrência dos crimes. Em 2019, 7.455 casos foram registrados, uma queda de 19% em comparação a 2018, segundo dados do Instituto de Segurança Pública (ISP).  O valor das perdas com as cargas no último ano foi de R$ 386 milhões.  O motivo da redução é a realização de investimentos durante o período da intervenção federal. Com o apoio de softwares, equipamentos, viaturas e armamentos, o estado da Firjan apresentou a primeira quebra no padrão de consecutivos aumentos no indicador de roubo de carga.  Funcionários de empresas do Mercado São Sebastião, um dos maiores centros de distribuição da cidade, contaram que sentiram a diferença.  Segundo o ISP, o ano mais violento para os caminhoneiros foi 2017, com quase 10.600 roubos de carga. Apesar da queda no número de roubo a cargas em 2019, o número ainda é o dobro de 2013.  Na Penha, na Zona Norte do Rio, houve uma redução de quase 50% nos registros de roubo de carga no último ano, porém, um estudo da Federação das Indústrias alerta que o Rio ainda precisa investir no combate a esse tipo de crime.  A Região Metropolitana tem 97% dos registros e mais da metade dos casos acontece em 10 regiões cortadas pelas rodovias Washington Luiz, Av. Brasil, Niterói Manilha, Via Dutra e Arco Metropolitano.  Liderando a estatística, Duque de Caxias tem mais de 600 casos em 2019. Os bairros de Vilar dos Teles e Alcântara estão na segunda e terceira posição, respectivamente.  Por causa dos roubos, caminhoneiros investem em sistema antifurto, em que as portas só abrem após contato via rádio com a empresa de segurança.  Ainda segundo o levantamento da Firjan, as regiões mais violentas tendem a ter mais dificuldades em atrair investimentos, gerar empregos e renda.  Apesar da melhoria apontada pelo levantamento, o Globocop flagrou, na manha desta terça-feira (18) um roubo de carga na Baixada Fluminense.   Nas imagens foi possível ver dois caminhões na comunidade Santa Teresa, em Belford Roxo. Um deles era manobrado pelo próprio motorista, que estava sendo feito refém.  Por volta das 6h45, pessoas levaram parte da carga para uma casa.",2020-02-18,https://g1.globo.com/rj/rio-de-janeiro/noticia/2020/02/18/levantamento-da-firjan-aponta-reducao-do-roubo-de-cargas-e-nova-geografia-na-ocorrencia-do-crime-no-rio.ghtml
"Piauí tem o quarto maior índice de domicílios sem banheiro de uso exclusivo, aponta IBGE","O Piauí tem o quarto maior índice de domicílios sem banheiro de uso exclusivo dos moradores, segundo a Pesquisa Nacional por Amostra de Domicílios Contínua (PNADC) de 2019. Os dados foram divulgados nessa quarta-feira (6) pelo Instituto Brasileiro de Geografia e Estatística (IBGE).  Conforme a pesquisa, cerca de 114 mil domicílios do Piauí não possuem banheiro, o que representa 11% dos lares do estado. Mesmo com o percentual baixo, o estado está bem acima do verificado no país, onde apenas 2,2% das residências não possuem banheiro, o equivalente a 1,62 milhão de domicílios.  A PNADC também levantou dados sobre os serviços de saneamento básico. O Piauí ficou novamente com a quarta maior taxa, desta vez, de domicílios em que o lixo é recolhido diretamente pelo serviço de limpeza, 67,6%. O percentual ficou abaixo da média brasileira, que é de 84,4%.  O estudo apontou que em 26,7% das residências piauienses, o lixo é queimado na propriedade e em 3,2% o lixo é coletado em caçamba do serviço de limpeza. Cerca de 2,5% dos domicílios dão outro destino ao lixo.  Já o abastecimento de água, a rede geral de distribuição atende a 85,1% dos domicílios do Piauí. Cerca de 7,8% dos lares têm como fonte principal de água o poço profundo ou artesiano e 2,5% poço raso, freático ou cacimba.  Aproximadamente 0,2% dos domicílios do estado são abastecidos por fontes ou nascentes e 4,4% usam outros meios para obtenção de água.  Segundo a pesquisa, o acesso a água é diário em 94,5% das residências do Piauí em que a rede de distribuição geral de água é a principal forma de abastecimento. Em 4,5% dos domicílios, há disponibilidade de água entre 4 a 6 dias na semana. Já em 0,8% dos lares, a água está disponível apenas de 1 a 3 dias na semana.  Enquanto isso, a energia elétrica alcança a quase totalidade das residências piauienses, no qual 98,6% dos domicílios são atendidos exclusivamente pela rede geral de distribuição. Em 99,1% dos domicílios que possuem acesso ao serviço pela rede geral, há abastecimento em tempo integral.",2020-05-07,https://g1.globo.com/pi/piaui/noticia/2020/05/07/cerca-de-114-mil-dos-domicilios-do-piaui-nao-tem-banheiro-ou-sanitario-de-uso-exclusivo-aponta-ibge.ghtml
"Pacientes com Covid-19 estão espalhados por 23 bairros em Franca, SP, aponta mapeamento","Um mapeamento feito com base em informações da Vigilância Epidemiológica por professores da Unesp mostra que bairros da região Norte e o Centro de Franca (SP) concentram a maior incidência de Covid-19.  Até esta segunda-feira (4), o município registra 43 pacientes infectados e duas mortes. Só de 27 de abril a 1º de maio, foram 30 confirmações.  Ainda de acordo com o estudo, as regiões Sul, Leste e Oeste também têm casos.  “Buscamos os dados com a Vigilância Epidemiológica para as pessoas verem como que ocorreu essa distribuição espacial na cidade, para elas terem noção que todas as zonas estão com casos positivos Covid. Isso é importante para a prevenção”, diz a doutora em geografia Angélica Vieira de Souza Lopes.  A Secretaria Municipal de Saúde afirma que pacientes diagnosticados com Covid-19 são moradores dos seguintes bairros: Jardim Redentor, Jardim Palma, Jardim Pinheiros, Santo Agostinho, Jardim Luiza, Cidade Nova, Jardim Paraty, Jardim Lima, Jardim Pulicano, Parque das Esmeraldas, São Joaquim, Santos Dumont, Jardim Francano, Conceição Leite, Vera Cruz, Ipanema, Centro, Parque Três Colinas, Vila Formosa, Santa Rita, Ângela Rosa, Jardim Planalto e Recanto Elimar.  “O mapeamento é feito pra gente monitorar os contactantes, para evitar uma disseminação muito maior da doença. A gente trabalha a mesma dinâmica da dengue. Olhando o mapa, você vê que tem positivos na cidade inteira. Franca é uma cidade industrial, ela tem movimentação de pessoas para todas as periferias, essa é a nossa preocupação”, diz o secretário de Saúde, José Conrado Netto.  Em abril, após uma suspensão, funcionários da indústria voltaram às atividades, mas com uma série de medidas preventivas a serem cumpridas pelas empresas. Comerciantes também voltaram a atender clientes, mas do lado de fora das lojas para evitar aglomerações dentro dos estabelecimentos.  Dados do Sistema de Monitoramento Inteligente do Governo de São Paulo apontam que de 27 de abril a domingo (3), a média do isolamento social na cidade foi de 49%, quando o ideal é que atinja de 60% a 70%.  De acordo com a Angélica, a possibilidade de identificação do índice de isolamento nos bairros com moradores infectados poderia ajudar a definir campanhas de prevenção mais eficientes e analisar como a população tem tido acesso às informações sobre a doença.  Segundo especialistas, enquanto não há vacina e medicamento eficaz de combate ao novo coronavírus, o isolamento e o distanciamento social são as principais formas de combater o contágio.  “A equipe técnica é bem clara nisso. Essas próximas três semanas são cruciais para o crescimento da doença. Nós já percebemos isso em Franca. Em uma semana, nós tivemos 30 casos positivos, coisa que em um mês tivemos somente 13. A preocupação de a gente trabalhar e observar esses positivos e os seus contactantes é para que eles não andem e não espalhem a doença com mais rapidez.”  Veja mais notícias da região no G1 Ribeirão Preto e Franca",2020-05-04,https://g1.globo.com/sp/ribeirao-preto-franca/noticia/2020/05/04/pacientes-com-covid-19-estao-espalhados-por-23-bairros-em-franca-sp-aponta-mapeamento.ghtml
"Em campanha de Natal, idosa pede livro de geografia do Brasil de presente ","O Natal dos 22 idosos que vivem na Casa da Vó, instituição que funciona há três anos em Petrolina, no Sertão de Pernambuco, será especial. Um grupo de voluntários organizou uma campanha para arrecadar presentes que serão entregues aos moradores do local. Os idosos foram fotografados segurando cartazes com pedidos de presentes que gostariam de receber. As fotos foram publicadas na rede social do projeto Anjos e Amigos.  Morando há cinco meses na casa, dona Maria Nerci de Souza Menezes, de 76 anos, quer conhecer o Brasil, por isso, ela espera ganhar de presente um livro de geografia geral do país. “Eu gosto de ler coisas do Brasil, acho bonitas as histórias. Se me derem, fico muito agradecida”, diz a idosa.  A cadeira de rodas sempre fez parte da vida de dona Nerci que, por conta de uma doença, nunca andou. A aposentada encontrou nos livros uma oportunidade para conhecer o mundo. “Vou conhecer nosso Brasil sem andar por ele”, brinca.  Idealizadora da campanha e organizadora do projeto Anjos e Amigos, Camila Costa diz que ficou surpresa com o pedido feito por dona Nerci. “A princípio, eu imaginei que ela nos pediria um rádio, pois é super fã de Vinícius de Santana [radialista de Petrolina]. Ela fica coladinha da rádio ouvindo ele falar. Mas quando ela me disse que queria um livro de geografia geral do Brasil, me surpreendi”, afirma Camila.  Segundo Camila, o pedido de dona Nerci chamou a atenção de várias pessoas. Para a alegria da aposentada, a doação do livro já foi feita e o presente de Natal será entregue.  “Além desse pedido, ela nos deixou outras dicas de livros que gostaria de ganhar”, diz Camila, lembrando que a idosa também gosta de livros religiosos. As três obras sugeridas por dona Nerci são: ‘Vida da Santíssima Virgem’; ‘Vida de Santo Antonio’; e O ‘Direito de Nascer’.  Além do livro de dona Nerci, nos cartazes os idosos pedem vestido, calça, kit de sabonete, perfume, celular. Fundadora da Casa, a assistente social Luzinete Menezes diz que a campanha leva mais alegria para os idosos.  “Eles vivem distante dos familiares, então essa campanha vai alegrá-los muito. São grupos envolvidos com essas ações. Com certeza, eles vão se sentir bem por estarem sendo acolhidos, não só pela casa, mas por pessoas amigas”.  A campanha do Natal está sendo organizada por três grupos de voluntários da cidade: Projeto Todos pela Vida, Viva Bibi e Anjos e Amigos. Além dos presentes, eles também estão pedindo doações de produtos de higiene e mantimentos.  “Fechamos parceria com outros dois projetos, para nos ajudarem a trazer música, lanches e alegria para esses idosos. Eles precisam bastante desse apoio, diz Camila Costa.",2019-12-03,https://g1.globo.com/pe/petrolina-regiao/noticia/2019/12/03/em-campanha-de-natal-idosa-pede-livro-de-geografia-do-brasil-de-presente.ghtml
Estudantes da rede municipal em Salvador recebem atividades pedagógicas em casa a partir desta segunda-feira (27),"Os estudantes do Ensino Fundamental I e dos anos iniciais da Educação de Jovens e Adultos (EJA) da rede municipal de Salvador recebem atividades pedagógicas em casa a partir desta segunda-feira (27).  Semanalmente, será divulgado um conjunto com cinco atividades no portal da Secretaria Municipal de Educação (Smed), que englobam as disciplinas Língua Portuguesa, História, Geografia e Ciência. Todas as escolas terão acesso ao conteúdo e farão a impressão e entrega desses exercícios obrigatoriamente, junto com um lápis e borracha para as famílias dos alunos.  Após resolução das questões pelos alunos, os familiares deverão entregar as atividades na escola e pegar um novo material, tomando cuidado com o distanciamento e a utilização de máscaras. Os gestores da escola responsável pela entrega também deverão fazer a correta higienização das mãos e utilizar máscaras.  Depois de devolvidas, as atividades do estudante serão colocadas em um classificador e servirão de portfólio e como diagnóstico para a continuidade do ano escolar. Essa será uma forma de dar continuidade ao aprendizado e também de se preparar para a avaliação externa Prova Salvador (Prosa).  Para os alunos dos anos iniciais, com idade entre 2 e 5 anos, serão divulgados cards e vídeos curtos de até cinco minutos, com orientação para que as famílias desenvolvam atividades lúdicas em casa, a exemplo de brincadeiras e contação de estórias.  Os vídeos serão divulgados no canal da Smed no YouTube e também no site da Smed. Alguns deles serão gravados por docentes e outros terão orientações sobre como inserir ensinamentos em atividades do dia a dia.  Veja mais notícias do estado no G1 Bahia.",2020-04-27,https://g1.globo.com/ba/bahia/noticia/2020/04/27/estudantes-da-rede-municipal-em-salvador-recebem-atividades-pedagogicas-em-casa-a-partir-desta-segunda-feira-27.ghtml
UFRR abre inscrições para mestrado em geografia ,"A Universidade Federal de Roraima (UFRR) lançou processo seletivo com 15 vagas para o mestrado em geografia. As inscrições começam a partir desta quinta-feira (19).  Os interessados podem se inscrever até o dia 4 de outubro na secretaria do Programa de Pós-Graduação em Geografia, campus Paricarana, no horário de 8h às 11h30 e 14h às 17h30. A taxa custa R$ 100.  Confira o edital.  Conforme o certame, 25% das vagas são destinadas a pessoas com deficiência e autodeclarados negros e indígenas. O curso é dividido em duas linhas de pesquisa, são elas: “Produção do Território Amazônico” e “ Dinâmica da Paisagem Amazônica”.  O processo seletivo será realizado em em três etapas, com a aplicação de uma prova escrita prevista para o dia 11 de novembro, seguindo de prova de proficiência em língua estrangeira e análise curricular.  O resultado final deve ser divulgado no dia 6 de dezembro. O aprovados devem ingressar no curso em 2020.",2019-09-17,https://g1.globo.com/rr/roraima/noticia/2019/09/17/ufrr-abre-inscricoes-para-mestrado-em-geografia.ghtml
