Título,Notícia,Data,Link
UFRR abre inscrições para mestrado em geografia ,"A Universidade Federal de Roraima (UFRR) lançou processo seletivo com 15 vagas para o mestrado em geografia. As inscrições começam a partir desta quinta-feira (19).  Os interessados podem se inscrever até o dia 4 de outubro na secretaria do Programa de Pós-Graduação em Geografia, campus Paricarana, no horário de 8h às 11h30 e 14h às 17h30. A taxa custa R$ 100.  Confira o edital.  Conforme o certame, 25% das vagas são destinadas a pessoas com deficiência e autodeclarados negros e indígenas. O curso é dividido em duas linhas de pesquisa, são elas: “Produção do Território Amazônico” e “ Dinâmica da Paisagem Amazônica”.  O processo seletivo será realizado em em três etapas, com a aplicação de uma prova escrita prevista para o dia 11 de novembro, seguindo de prova de proficiência em língua estrangeira e análise curricular.  O resultado final deve ser divulgado no dia 6 de dezembro. O aprovados devem ingressar no curso em 2020.",2019-09-17,https://g1.globo.com/rr/roraima/noticia/2019/09/17/ufrr-abre-inscricoes-para-mestrado-em-geografia.ghtml
Professores do 'Fera Aprovação' dão dicas de geografia e história,"O projeto da TV Asa Branca, ""Fera Aprovação"", será realizado no dia 2 de novembro, no Polo Caruaru. Professores do Colégio GGE e da Wizard irão participar da ação, que visa auxiliar os estudantes que estão nos preparativos para o Exame Nacional de Ensino Médio (Enem).  Os professores de geografia, Victor Hugo, e de história, Diogo Barreto, ambos do GGE, integrarão o time de docentes da iniciativa e aproveitam para dar algumas dicas antecipadas a quem for fazer o Enem. Confira:  Geografia - Victor Hugo   Olá fera, para você ficar sabendo, a população brasileira está passando por um processo conhecido como envelhecimento populacional, ou seja, a forte inserção da mulher no mercado de trabalho e o aumento da escolaridade fez com que as taxas de fecundidade diminuíssem. Esse envelhecimento é um fator positivo, porque é um sinal de desenvolvimento humano mais acentuado no Brasil.  Dentro dos principais impactos ambientais urbanos, podemos destacar as ilhas de calor, fenômeno climático que ocorre principalmente nas cidades com elevado grau de urbanização. Nessas cidades a temperatura média costuma ser mais elevada do que nas regiões rurais próximas, devido a alta concentração de asfaltos, indústrias e poucas áreas verdes.  História - Diogo Barreto  Olá fera, para você ficar sabendo, o AI-5, que completa 50 anos, representa as memórias do período conhecido como anos de chumbo, momento de maior repressão, censura, perseguição e tortura da ditadura, que ainda estão muito vivas nos dias atuais. Atualmente, as comissões da verdade se concentram em reparar erros que possibilitam um maior conhecimento que na época foram silenciados, assim valorizando os direitos humanos.",2018-10-18,https://g1.globo.com/pe/caruaru-regiao/aprovacao/noticia/2018/10/18/professores-do-fera-aprovacao-dao-dicas-de-geografia-e-historia.ghtml
"Alunas de Cacoal, RO, criam jogo para ajudar no ensino de história, geografia e filosofia","Duas alunas do curso técnico de informática do Instituto Federal de Rondônia (Ifro) de Cacoal (RO) município a 480 quilômetros de Porto Velho, criaram um jogo didático chamado ‘Conquistando o mundo’. O projeto tem como objetivo fazer os alunos estudarem as disciplinas de filosofia, geografia e história, de uma forma prazerosa e lúdica. De acordo com o professor de filosofia Clodoaldo Reis, a ideia surgiu após o grupo percerber a dificuldade dos estudantes em compreenderem os conteúdos interligados entre as disciplinas.  Até que o trabalho fosse concluído, as alunas levaram cerca de oito meses. Brenda Franco Canocia, é uma das estudantes que participou da elaboração do projeto. Ela conta que foi gratificante fazer parte da equipe, pois durante a pesquisa absorveu muito conhecimento.  “Nós queremos que outras pessoas que entrem em contato com esse jogo tenham a mesma experiência que nós tivemos. Durante a elaboração tivemos que nos dedicar muito, pois era preciso formar um banco de questões abrangentes, mas que não deixasse de ser atrativo e envolvente”, disse Brenda.  Segundo o professor Clodoaldo Reis, os conteúdos das disciplinas de geografia e história, são fundamentais para a interpretação e entendimento das teorias encontradas na disciplina de filosofia. Por isso ele acredita que o projeto é interdisciplinar e garante o intercâmbio de conhecimento entre os campos do saber.  ‘Conquistando o mundo’ não será trabalhado somente com os alunos do Ifro, a ideia é levar o jogo para várias escolas da região.  Veja mais notícias da região no G1 Cacoal e Zona da Mata",2018-05-20,https://g1.globo.com/ro/cacoal-e-zona-da-mata/noticia/alunas-de-cacoal-ro-criam-jogo-para-ajudar-no-ensino-de-historia-geografia-e-filosofia.ghtml
UERR oferta 20 vagas para curso de especialização em geografia ,"A Universidade Estadual de Roraima (UERR) lançou edital de especialização em geografia com ênfase em ensino. São oferecidas 20 vagas no curso que terá duração de 15 meses e será ministrado em Boa Vista.  Veja o edital.  As inscrições são gratuitas e serão realizadas de 2 a 30 de setembro, por meio do site da UERR (clique aqui) no menu Pós-Graduação, na área do Processo Seletivo para o Curso de Especialização em Geografia com Ênfase em ensino.  A especialização é voltada para graduados em geografia ou em cursos de áreas afins, que atuam ou pretendem atuar na docência de geografia.",2019-08-13,https://g1.globo.com/rr/roraima/noticia/2019/08/13/uerr-oferta-20-vagas-para-curso-de-especializacao-em-geografia.ghtml
"Livro infantil une realidade e fantasia para contar história, geografia e cultura da Paraíba ","A obra infantojuvenil ""As aventuras de Luluca na Paraíba"", escrito e ilustrado pelas paraibanas Clotilde Tavares e Minna Miná, tem lançamento na quarta-feira (7), em João Pessoa e na quinta-feira (8), em Campina Grande. O livro conta a história, geografia e a cultura paraibana, misturando o real e o fantástico.  O livro narra a viagem mágica da menina Luluca, que percorre os recantos mais encantadores da Paraíba. Entre diversas descobertas, Luluca conhece uma baleia, na praia de Cabedelo, e a partir desta amizade parte em uma missão conhecendo histórias e caminhos paraibanos.  O livro já está em pré-venda através do site da editora. O lançamento oficial ocorre na quarta-feira (7), na livraria Leitura, em João Pessoa no Manaíra Shopping e em Campina Grande no Partage Shopping.",2019-08-05,https://g1.globo.com/pb/paraiba/noticia/2019/08/05/livro-infantil-une-realidade-e-fantasia-para-contar-historia-geografia-e-cultura-da-paraiba.ghtml
Professor de geografia é preso suspeito de assaltar pedestres na Zona Centro-Sul de Manaus,"Um professor de geografia de 35 anos, foi preso suspeito de realizar assaltos a pedestres na Zona Centro-Sul de Manaus. Ele e outros três homens, armados com um revólver calibre 38, foram presos no bairro flores, Zona Centro Sul de Manaus. Na fuga, dois suspeitos invadiram uma residência e tentaram se esconder debaixo da cama da família.  De acordo com a polícia, o bando começou a fazer arrastão no conjunto Versalhes, no bairro Planalto, na Zona Centro Oeste da cidade. Eles utilizavam um veículo modelo HB20 de cor cinza, que pertence ao professor. No local eles teriam roubado um celular, que foi rastreado pelo dono.  No bairro Flores, o grupo se dividiu. Parte seguiu foi pra Rua Castro Alves, no parque Centenário.  “Nos deslocamos em direção ao bando. Conseguimos localizar o veículo e dois suspeitos que tinham deixado o carro e estavam a pé. Eles tentaram fugir pelos becos, entraram numa área de mato e depois chegaram a invadir uma residência. Eles e esconderam embaixo da cama da família e conseguimos fazer a prisão”, disse o tenente da 12 Companhia Interativa Comunitária (Cicom), Willian Dias.  Segundo a polícia, o bando estava com um revólver calibre 38. Os outros dois foram encontrados também nas proximidades do parque Centenário. Policiais da 12ª Companhia Interativa Comunitária (Cicom) ainda chegaram a livrar os outros dois suspeitos das mãos da população.  “Os moradores nos informaram que o bando já realizou vários assaltos na região”, disse.  O grupo foi apresentado no 12º Distrito Integrado de Polícia (DIP).",2019-02-13,https://g1.globo.com/am/amazonas/noticia/2019/02/13/professor-de-geografia-e-preso-suspeito-de-assaltar-pedestres-na-zona-centro-sul-de-manaus.ghtml
2ª fase da Unicamp: confira os conteúdos mais cobrados em geografia e história,"Goegrafia urbana, climatologia, fonte de energia, geografia agrária e pedologia estão entre os conteúdos mais cobrados na segunda fase do vestibular da Unicamp na prova de geografia entre os anos de 2014 e 2017, segundo pesquisa exclusiva do Poliedro para o G1.  Confira os itens mais pedidos em uma tabela e um gráfico abaixo.  A segunda fase da Unicamp começa neste domingo (13) com as provas de redação, língua portuguesa e literaturas da língua portuguesa.  Na segunda-feira (14), os alunos fazem os testes de matemática, geografia e história. Na terça-feira (15), os vestibulandos fecham a segunda fase com física, biologia e química.  Na prova de história da 2ª fase da Unicamp, os conteúdos mais pedidos entre os anos de 2014 e 2017 foram: Brasil Império, Idade Média, Idade Antiga e Brasil Séculos XVIII e XIX.  Veja mais notícias da região no G1 Campinas",2019-01-11,https://g1.globo.com/sp/campinas-regiao/noticia/2019/01/11/2a-fase-da-unicamp-confira-os-conteudos-mais-cobrados-em-geografia-e-historia.ghtml
Veja a nova geografia política no Congresso e nos estados ,"Vamos ver como ficaram as forças políticas nos estados. A última vez que teve um número tão grande de partidos elegendo governadores foi há 20 anos.  Treze partidos vão comandar os 26 estados e o Distrito Federal. A distribuição ficou assim: PT foi o partido que elegeu mais governadores: quatro. PSB, PSDB, MDB e PSL vão comandar três estados cada. PSD, PSC e DEM elegeram dois governadores. PDT, PP, PCdoB, PHS e Novo elegeram um governador cada.  Apesar dessa fragmentação, dá para ver como fica a divisão política do país, com os governadores eleitos no primeiro e no segundo turno. Quais declararam apoio ao novo presidente, quais se identificam como oposição ou são neutros.  Começando com os que apoiaram o candidato vencedor, Jair Bolsonaro, do PSL. O partido dele elegeu três governadores: em Roraima, Rondônia e Santa Catarina. Ele também recebeu apoio do PSC, que elegeu dois governadores: no Rio de Janeiro e no Amazonas.  Em 12 estados e no Distrito Federal, os partidos que venceram se declararam neutros durante o segundo turno, mas muitos governadores eleitos deram apoio individual a Jair Bolsonaro.  Foi o caso de João Doria, em São Paulo, Eduardo Leite, no Rio Grande do Sul e Reinaldo Azambuja em Mato Grosso do Sul. Os três são do PSDB.  Ronaldo Caiado em Goiás e Mauro Mendes em Mato Grosso, ambos do DEM, também apoiaram Bolsonaro, apesar da neutralidade do partido.  Esse também foi o caso de Romeu Zema, eleito pelo Novo em Minas Gerais. Gladson Cameli, do PP, no Acre; e Ratinho Júnior, do PSD, no Paraná.  No total, entre partidos que apoiaram Bolsonaro e governadores que deram apoio individualmente, são 13 estados com o novo presidente do Brasil, incluindo os três maiores colégios eleitorais: São Paulo, Minas e Rio.  Agora, os partidos que apoiaram Fernando Haddad. O partido dele, o PT, elegeu quatro governadores: na Bahia, Ceará, Piauí e Rio Grande do Norte.  Também apoiaram Haddad o PCdoB, que ficou com o governo do Maranhão; e o PSB, que elegeu três governadores - dois apoiaram Haddad: é o caso de Pernambuco e Paraíba. A exceção foi Renato Casagrande, eleito no Espírito Santo. Ele ficou neutro na disputa.  A mesma coisa aconteceu com Waldez Góes, do PDT, eleito no Amapá. Ele ficou neutro, apesar de o partido dele ter feito um apoio crítico a Haddad.  Já Renan Filho, do MDB, em Alagoas e Belivaldo Rocha, do PSD, em Sergipe, apoiaram individualmente Fernando Haddad, apesar da neutralidade dos partidos. Então, no total, nove estados ficaram com Haddad, apenas a Bahia está entre os maiores colégios eleitorais, é o quarto.  Além de Renato Casagrande, do PSB, e Waldez Góes, do PDT, que permaneceram neutros durante o segundo turno, Helder Barbalho, no Pará, Ibaneis Rocha, no Distrito Federal - ambos do MDB - e Mauro Carlesse, do PHS, no Tocantins, não declararam apoio a nenhum candidato na disputa à presidência.",2018-10-30,https://g1.globo.com/jornal-nacional/noticia/2018/10/29/veja-a-nova-geografia-politica-no-congresso-e-nos-estados.ghtml
Processo seletivo para professor visitante na área de Geografia é realizado no IFMG em Formiga,"Estão abertas as inscrições do processo seletivo para professor visitante na área de Geografia do Instituto Federal de Minas Gerais (IFMG) no campus Formiga. Os candidatos podem se inscrever pela internet até dia 4 de dezembro. A taxa é de R$ 50.  A remuneração pode chegar a R$ 6.200,14 de acordo com a titulação do candidato. A carga horária de trabalho é de 40 horas semanais.  As fases de seleção serão a entrega da documentação (eliminatória), avaliação do curriculum lattes e avaliação do conteúdo do projeto (classificatória), apresentação oral do projeto (classificatória e eliminatória).  O cronograma e outros detalhes podem ser acessados no edital.  Para concorrer à vaga, o candidato dever ter diploma de graduação e o título de doutor em geografia ou de título de doutor em outras áreas das ciências humanas conforme classificação Capes, no mínimo, há dois anos.  Caso não tenha o título de doutor, é necessária ter comprovada a competência em ensino, pesquisa e extensão tecnológicos ou reconhecimento da qualificação profissional pelo mercado de trabalho, atestados pela Comissão de Seleção.  O candidato deve ser docente ou pesquisador de “reconhecida competência” na área de atuação e produção científica relevante, preferencialmente nos últimos cinco anos.",2018-11-22,https://g1.globo.com/mg/centro-oeste/concursos-e-emprego/noticia/2018/11/22/processo-seletivo-para-professor-visitante-na-area-de-geografia-e-realizado-no-ifmg-em-formiga.ghtml
Poli confirma segundo caso de coronavírus na USP; Geografia e departamento de Língua Italiana suspendem aulas,"A Escola Politécnica (Poli) anunciou nesta sexta-feira (13) mais um caso de contaminação por coronavírus na Universidade de São Paulo (USP). De acordo com a Poli, a contaminação de um de seus alunos foi confirmada por um laudo emitido pelo Hospital Albert Einstein na noite de quinta-feira (12), mas as aulas não foram suspensas.  Depois de um caso confirmado, a Geografia, da Faculdade de Filosofia, Letras e Ciências Humanas (FFLCH), anunciou que suspendeu as aulas até terça-feira (17). Além disso, a direção da Faculdade afirma que há 11 pessoas em quarentena: 9 alunos, 1 professor e 1 funcionário.  ""Com base em informações de especialista, o Departamento de Geografia está enquadrado em uma condição de ""cluster"", o que deveria indicar a adoção de um protocolo específico, pois já temos a confirmação de que 7 casos de alunos em quarentena estão relacionados ao aluno que testou positivo, quer dizer: pertencem à mesma turma/classe"", diz a nota.  ""A data prevista para a volta às atividades (17 de março) não é aleatória; neste dia completa-se o ciclo epidemiológico de 14 dias do vírus, contados a partir de 4 de março. Esse foi o último dia em que o aluno com diagnóstico confirmado esteve em nossas dependências"", completa.  O departamento de Área Didática em Língua e Literatura Italianas, na FFLCH, ""a nossa área pode ser considerada 'grupo vulnerável', pois, além da relação com a Itália, há professores que pertencem a grupos de risco. Além disso, a situação das salas de aula é precária, não possuem ventilação e a proximidade entre alunos é muito grande"", diz comunicado aos alunos.  Já a Escola Politécnica informou que assim que recebeu o resultado do teste, a diretoria encaminhou o caso ao Comitê Permanente USP Covid - 19 e está aguardando retorno. O departamento disse ainda que não tem poder para suspender as aulas sem autorização da Reitoria.  ""Em que pese a gravidade do momento, a Diretoria da Escola Politécnica, assim como acontece em todas as Unidades da USP, NÃO tem a autorização dos Órgãos Centrais para suspender aulas e demais atividades, nem liberar alunos, professores e funcionários"", disse o comunicado emitido pela Escola Politécnica.  Em nota enviada nesta sexta-feira (13), a USP afirmou que as aulas estão mantidas na maioria dos departamentos. As seguintes atividades foram suspensas:  Durante uma coletiva de imprensa realizada na manhã desta sexta-feira (13) o secretário estadual de saúde, José Henrique Germann, afirmou que subiu para 50 o número de casos de pacientes confirmados com a doença no estado. Até quinta-feira (12), eram 46 pessoas.  Na quarta-feira (11) a Organização Mundial de Saúde (OMS) declarou pandemia global por causa da rápida expansão do coronavírus no mundo.   O ministro da Saúde do Brasil, Luiz Henrique Mandetta, afirmou que a declaração de pandemia não muda a situação do país.  Para Mandetta, houve ""demora da OMS"" para fazer a declaração, já que o número de casos fora da China aumentou 13 vezes nas últimas duas semanas e o número de países afetados triplicou.  Segundo dados da própria OMS, já foram registrados mais de 118 mil casos de coronavírus ao redor do mundo e 4.291 mortes foram computadas nas últimas duas semanas.",2020-03-13,https://g1.globo.com/sp/sao-paulo/noticia/2020/03/13/escola-politecnica-confirma-segundo-caso-de-coronavirus-na-usp.ghtml
