Título,Notícia,Data,Link
História do Jornal da Globo,"Conheça a história do jornal e suas principais mudanças ao longo dos anos.  1979: Estreia - No ano em que a Rede Globo comemorou o seu 14º aniversário, estreou o Jornal da Globo - um noticiário de fim de noite recheado de análises, grandes reportagens, séries e entrevistas de estúdio. As informações internacionais eram apresentadas diretamente de Londres e Nova York. Fábio Perez era o editor-chefe e Sérgio Chapelin, o apresentador.  1982: Nova fase - O JG passou a ser apresentado de segunda a sexta, às 23h15, e sofreu uma pequena mudança no formato. Um dos blocos do jornal passou a se dedicar à análise da notícia mais importante do dia. Renato Machado, Belisa Ribeiro e Luciana Villas Boas formavam o time fixo do telejornal. Carlos Monforte também fazia parte da equipe como comentarista.  1983: Reforço - O JG ganhou o reforço de dois especialistas em humor: Jô Soares e o cartunista Chico Caruso. Jô participava com comentários diários e as charges iam ao ar uma vez por semana. Cada charge exigia, além dos desenhos, a montagem em cartões e várias sequências de filmagens. Só depois saía a animação.  1986: Novos apresentadores - Nesse ano, o Jornal da Globo passou a ser apresentado pelos jornalistas Eliakim Araújo e Leila Cordeiro. Leila permaneceu na bancada até maio de 1989.  1989: A bancada se renova - Em maio de 1989, Fátima Bernardes foi escolhida para apresentar o JG ao lado de Eliakim Araújo, substituindo Leila Cordeiro, que foi deslocada para a bancada do Jornal Hoje. Mas logo depois, em julho, Eliakim e Leila deixariam a emissora, e William Bonner, que apresentava o Fantástico e o SPTV, foi escalado para JG.  1993: Em São Paulo - Lílian Witte Fibe voltaria à Globo, assumindo o posto de âncora do JG. Lílian era também editora do jornal, tendo autonomia para decidir e fazer comentários. O JG passou a priorizar notícias de Brasília e a prestação de serviços com Alexandre Garcia (política), Joelmir Beting (economia), Juca Kfouri (esporte) e Paulo Francis (Nova York).  1996: Novo formato - Em 1º de abril de 1996, Mônica Waldvogel assumiu seu posto como editora e âncora do telejornal. A jornalista - depois de 13 anos de uma bem sucedida carreira como repórter em Brasília - logo conquistou o público com a sua maneira peculiar de relatar os acontecimentos. Na época, o jornal ia ao ar à 00h30.  1997: A estreia de Sandra Annenberg - No dia 10 de março, a jornalista estreou no Jornal da Globo. Na função de editora-executiva e apresentadora contava com a colaboração de Alberto Villas na coordenação do jornal. Também em 1994, o Jornal Nacional completa 25 anos e Cid Moreira encerra a edição com texto comemorando o aniversário.  2000: Nova âncora - Carlos Tramontina assumiu interinamente a função de apresentador do Jornal da Globo. Após um período de negociações, a emissora anunciou o nome de Ana Paula Padrão para a vaga de titular na ancoragem do telejornal. Ana Paula assume a bancada do JG no dia 07 de agosto de 2000, onde ficou até maio de 2005.  2005: Mais dinâmico - O jornal passa a ter como comentaristas fixos Carlos Alberto Sardenberg e Arnaldo Jabor. Em maio de 2005, William Waack e Christiane Pelajo assumem a bancada. Eles realizam um antigo projeto da TV Globo, de contar com repórteres na bancada para dar mais dinamismo. O jornalista Erick Bretas se torna editor-chefe.  2009: Um novo cenário - O JG ganha uma nova bancada, mais funcional, utilizada não só pelos apresentadores, mas também por comentaristas e convidados. O cenário recebeu o reforço de cinco telões para uma maior interação com imagens e gráficos de economia ou de futebol. Na época, o editor-chefe era o jornalista Ricardo Villela.  2014: Cenário a serviço da notícia – O Jornal da Globo, agora com seis telas que se agrupam em diferentes disposições, consegue abordar as notícias com mais dinamismo e profundidade. Os comentários ficaram mais visuais e criativos. O jornalista Jorge Sacramento é o atual editor-chefe.  2015: Jornal da Globo ainda mais analítico - A partir de outubro de 2015, William Waack começa a comandar o Jornal da Globo sozinho na bancada. Focado na análise do noticiário do dia, com mais informalidade, William Waack, colunistas, correspondentes e repórteres fazem um JG mais vibrante e quase todo ao vivo.  2017: Nova âncora - A partir do dia 27 de dezembro de 2017, a jornalista Renata Lo Prete assume a bancada do Jornal da Globo.",2018-04-19,https://g1.globo.com/jornal-da-globo/noticia/historia-do-jornal-da-globo.ghtml
História do Jornal da Globo,"Conheça a história do jornal e suas principais mudanças ao longo dos anos.  1979: Estreia - No ano em que a Rede Globo comemorou o seu 14º aniversário, estreou o Jornal da Globo - um noticiário de fim de noite recheado de análises, grandes reportagens, séries e entrevistas de estúdio. As informações internacionais eram apresentadas diretamente de Londres e Nova York. Fábio Perez era o editor-chefe e Sérgio Chapelin, o apresentador.  1982: Nova fase - O JG passou a ser apresentado de segunda a sexta, às 23h15, e sofreu uma pequena mudança no formato. Um dos blocos do jornal passou a se dedicar à análise da notícia mais importante do dia. Renato Machado, Belisa Ribeiro e Luciana Villas Boas formavam o time fixo do telejornal. Carlos Monforte também fazia parte da equipe como comentarista.  1983: Reforço - O JG ganhou o reforço de dois especialistas em humor: Jô Soares e o cartunista Chico Caruso. Jô participava com comentários diários e as charges iam ao ar uma vez por semana. Cada charge exigia, além dos desenhos, a montagem em cartões e várias sequências de filmagens. Só depois saía a animação.  1986: Novos apresentadores - Nesse ano, o Jornal da Globo passou a ser apresentado pelos jornalistas Eliakim Araújo e Leila Cordeiro. Leila permaneceu na bancada até maio de 1989.  1989: A bancada se renova - Em maio de 1989, Fátima Bernardes foi escolhida para apresentar o JG ao lado de Eliakim Araújo, substituindo Leila Cordeiro, que foi deslocada para a bancada do Jornal Hoje. Mas logo depois, em julho, Eliakim e Leila deixariam a emissora, e William Bonner, que apresentava o Fantástico e o SPTV, foi escalado para JG.  1993: Em São Paulo - Lílian Witte Fibe voltaria à Globo, assumindo o posto de âncora do JG. Lílian era também editora do jornal, tendo autonomia para decidir e fazer comentários. O JG passou a priorizar notícias de Brasília e a prestação de serviços com Alexandre Garcia (política), Joelmir Beting (economia), Juca Kfouri (esporte) e Paulo Francis (Nova York).  1996: Novo formato - Em 1º de abril de 1996, Mônica Waldvogel assumiu seu posto como editora e âncora do telejornal. A jornalista - depois de 13 anos de uma bem sucedida carreira como repórter em Brasília - logo conquistou o público com a sua maneira peculiar de relatar os acontecimentos. Na época, o jornal ia ao ar à 00h30.  1997: A estreia de Sandra Annenberg - No dia 10 de março, a jornalista estreou no Jornal da Globo. Na função de editora-executiva e apresentadora contava com a colaboração de Alberto Villas na coordenação do jornal. Também em 1994, o Jornal Nacional completa 25 anos e Cid Moreira encerra a edição com texto comemorando o aniversário.  2000: Nova âncora - Carlos Tramontina assumiu interinamente a função de apresentador do Jornal da Globo. Após um período de negociações, a emissora anunciou o nome de Ana Paula Padrão para a vaga de titular na ancoragem do telejornal. Ana Paula assume a bancada do JG no dia 07 de agosto de 2000, onde ficou até maio de 2005.  2005: Mais dinâmico - O jornal passa a ter como comentaristas fixos Carlos Alberto Sardenberg e Arnaldo Jabor. Em maio de 2005, William Waack e Christiane Pelajo assumem a bancada. Eles realizam um antigo projeto da TV Globo, de contar com repórteres na bancada para dar mais dinamismo. O jornalista Erick Bretas se torna editor-chefe.  2009: Um novo cenário - O JG ganha uma nova bancada, mais funcional, utilizada não só pelos apresentadores, mas também por comentaristas e convidados. O cenário recebeu o reforço de cinco telões para uma maior interação com imagens e gráficos de economia ou de futebol. Na época, o editor-chefe era o jornalista Ricardo Villela.  2014: Cenário a serviço da notícia – O Jornal da Globo, agora com seis telas que se agrupam em diferentes disposições, consegue abordar as notícias com mais dinamismo e profundidade. Os comentários ficaram mais visuais e criativos. O jornalista Jorge Sacramento é o atual editor-chefe.  2015: Jornal da Globo ainda mais analítico - A partir de outubro de 2015, William Waack começa a comandar o Jornal da Globo sozinho na bancada. Focado na análise do noticiário do dia, com mais informalidade, William Waack, colunistas, correspondentes e repórteres fazem um JG mais vibrante e quase todo ao vivo.  2017: Nova âncora - A partir do dia 27 de dezembro de 2017, a jornalista Renata Lo Prete assume a bancada do Jornal da Globo.",2018-04-19,http://g1.globo.com/jornal-da-globo/noticia/2010/04/historia-do-jornal-da-globo.html
Uma breve história da selfie desde 1839,"""Onze anos atrás, eu & Britney inventamos a selfie!"", escreveu Paris Hilton em sua conta no Twitter no domingo, postando duas fotos dela e de Britney Spears em 2006.  Mas, como alguns dos seguidores do Twitter apontaram, nem a socialite nem a cantora americana existiam quando a selfie foi inventada. Elas chegaram atrasadas cerca de 167 anos para reivindicarem esse feito.  A BBC mostra a seguir como a selfie começou – e como evoluiu desde a invenção da fotografia.  A mais antiga fotografia selfie acredita-se que seja de Robert Cornelius aos 30 anos, que a tirou do lado de fora de sua loja de lâmpadas na Filadélfia, nos EUA.  Ele parece não saber se a foto vai funcionar ou não – isso não surpreende, já que a tecnologia daquela época significava que ele teria que permanecer em pé por mais de 15 minutos para conseguir a foto.  Ah, selfies no espelho. Enquanto a maioria de nós associa esse retrato ao início dos anos 2000 (antes das câmeras com lentes frontais), volte cem anos atrás e você descobrirá que a realeza russa já fazia essas fotos.  A duquesa Anastásia Nikolaevna, filha mais nova do czar Nicolau 2º, tirou a foto que circulou no Twitter depois do post de Paris Hilton quando tinha 13 anos, em 1914.  Em uma carta a seu pai, a duquesa escreveu: ""Tirei essa foto de mim mesma me olhando no espelho. Foi bem difícil porque minhas mãos estavam trêmulas"".  O fotógrafo nova-iorquino Joseph Byron tirou uma selfie dele e de seus amigos (apesar de nenhum deles parecer saber onde a câmera está) em um terraço em 1920.  A câmera era uma caixa grande e pesada – o que explica por que dois deles a estão segurando.  Antes de as irmãs Kardashian posarem em selfies no banheiro, Frank Sinatra já o fazia.  A selfie reproduzida nas redes sociais foi tirada quando o cantor tinha 23 anos, antes de ele ficar realmente famoso. Ele usa um chapéu e faz um sinal de 'ok' para a câmera.  Todos nós conhecemos uma pessoa que ""se encontrou consigo mesma"" viajando pela Ásia – e conseguiu documentar toda essa experiência por meio de selfies.  Isso foi o que o George Harrison, guitarrista dos Beatles, fez quando ele foi para a Índia em 1966 e levou sua câmera olho de peixe.  Justiça seja feita, isso levou a banda a fazer algumas das melhores músicas de todos os tempos.  Os australianos são conhecidos por encurtarem as palavras e colocarem a terminação ""-ie"" em algumas delas.  Então não surpreende que o primeiro registro da palavra selfie (abreviação da palavra self-portrait, que, em inglês, significa autorretrato) foi registrada num forum online da Austrália em 2002.  Um homem chamado Nathan Hope postou uma foto de seu lábio cortado em uma festa de aniversário de 21 anos de um amigo, em que ele escreveu ""desculpem o foco, era uma selfie"".  Um macaco tornou-se centro de uma batalha judicial sobre direitos autorais.  A famosa selfie tirada por Naruto foi trabalho do fotógrafo David Slater, que deixou vários macacos brincarem com sua câmera.  A imagem travou uma disputa legal sobre quem seria dono da foto - basicamente questionando se seria quem realmente apertou o botão.  Uma corte dos EUA decidiu que Naruto não poderia ser dono dos direitos autorais porque ele é um macaco.  Em um ano em que selfies com o papa Francisco viralizaram e Barack Obama foi criticado por tirar uma selfie com David Cameron e com o primeiro-ministro dinamarquês Helle Thorning, o dicionário inglês Oxford escolheu ""selfie"" a sua palavra do ano.  Em 2014, quando apresentava a cerimônia do Oscar, Ellen DeGeneres disse, ao vivo, que queria ter a foto mais retuitada de todos os tempos.  Ela então foi à plateia e fez uma selfie com os atores Bradley Cooper, Jennifer Lawrence e Meryl Streep. Ela postou, e logo a imagem viralizou e virou a imagem mais retuitada até então. Neste ano, o recorde de retuítes passou para um adolescente que participou de uma campanha pedindo um ano de nuggets grátis para uma rede de fast food.",2017-11-26,https://g1.globo.com/mundo/noticia/uma-breve-historia-da-selfie-desde-1839.ghtml
HiperMuseus: tecnologia e história formam novos profissionais,"Historiadores, museólogos, restauradores. Essas profissões vêm à mente quando a gente pensa em pessoas que trabalham em museus. Mas os museus do futuro vão exigir profissionais cada vez mais conectados e atentos às tendências da tecnologia. No Rio de Janeiro, um programa pretende aliar o conhecimento às propostas de inovação por meio de museus superconectados. É o Laboratório HiperMuseus. Para mais informações, acesse aqui.",2019-07-05,https://g1.globo.com/globonews/noticia/2019/07/05/hipermuseus-tecnologia-e-historia-formam-novos-profissionais.ghtml
Sesc realiza palestra sobre história de Buíque,"Na terça-feira (30) será realizada uma palestra “Vistas da Janela: uma reflexão sobre a história e as transformações de Buíque”, em Buíque no Agreste de Pernambuco. A palestra será promovida pelo Laboratório de Autoria Literária Cyl Gallindo, do Sesc.  O objetivo da palestra é aproximar os moradores da memória e território da cidade em que se vive. A palestra se baseará no livro “As Janelas do Sobrado- memórias da minha infância e dos meus Heróis”, de Paulo Tarciso.  A iniciativa vai ser a partir das 19h30, na Escola Técnica Estadual Jornalista Cyl Gallindo. A entrada é gratuita.  Serviço: Palestra “Vistas da Janela: uma reflexão sobre a história e as transformações de Buíque” Data: 30 de julhoHora: 19h30Local: ETE Jornalista Cyl Gallindo.",2019-07-29,https://g1.globo.com/pe/caruaru-regiao/noticia/2019/07/29/sesc-realiza-palestra-sobre-historia-de-buique.ghtml
Mulheres Fantásticas: a história da paquistanesa Malala,"Era uma vez uma menina que amava livros. Seu nome era Malala Yousafzai. Ela também amava ir pra escola. Malala vivia num lindo país, o Paquistão. Mas lá tinha um grupo radical que achava que escola não era lugar pra menina, não. O Talibã também as proibiu de muitas outras coisas!  Quando seu país virou um filme de terror, Malala tomou coragem. Começou a escrever sobre tudo aquilo, pra quem quisesse ler. Mas o seu pai não queria deixar pista e os dois inventaram um nome de mentirinha pra enganar os extremistas. As palavras de Malala - ou melhor, de Gul Makai - se espalharam por todo o planeta. Até que um dia, voltando da escola, a identidade dela foi descoberta.  Foram três tiros. Quando Malala acordou em Londres, suas palavras já tinham acordado... o mundo. E o que parecia fim virou início. Ela hoje é a pessoa mais jovem a ganhar o Prêmio Nobel da Paz e deixa mais essa lição:  A paixão pelos estudos levou Malala a uma das universidades de maior prestígio do mundo. Atualmente, ela estuda filosofia, política e economia em Oxford, na Inglaterra. No ano passado, ela visitou o Brasil e escolheu passar o aniversário com uma mulher fantástica, que transformou uma história de violência num universo cheio de cores. Panmela Castro é artista plástica e tem uma ONG que ensina a arte do grafite pra mulheres.",2019-03-11,https://g1.globo.com/fantastico/quadros/mulheres-fantasticas/noticia/2019/03/10/mulheres-fantasticas-a-historia-da-paquistanesa-malala.ghtml
Hoje é dia de história em quadrinhos,"Alexandre Henderson conversa com colecionadores de verdadeiras relíquias da história em quadrinhos, uma turma fascinada por personagens que encantam leitores de todas as idades no mundo inteiro. E quando um super-herói quer ter o seu gibi pra ficar famoso, faz o quê? Alexandre revela o grande desejo do seu herói “Homem Como Será?” - ter um gibi só seu, e vai atrás de desenhistas que possam concretizar esse sonho!",2019-11-09,https://g1.globo.com/como-sera/noticia/2019/11/09/hoje-e-dia-de-historia-em-quadrinhos.ghtml
Ouça a música 'A Minha História',"A minha historia é muito tristeMas agora vou lhe contarNascendo no interiorBem cedo aprendi trabalhar  Mas, minha mãe disse ao meu paiO caçula não vai levarVeja essa vidinha nossaCinco filhos estão na roçaO mais novo vai estudar  Porem meu pai não entendiaTamanha preocupaçãoDisse que o que eu mereciaEra ir cedo pra plantação  E minha mãe por ser teimosaE ter muita conviccçãoJurou diante da famíliaQue um dia colocariaUm diploma em minhas mãos  Minha mãe com o fazendeiroNosso patrão, foi conversarDisse pra ele que o dinheiro Com o tempo podia acabar  Que o sonho que tinha pra mimNinguém poderia tirarQue em nome de nosso SenhorSeu filho seria um doutorBem distante daquele lugar  O fazendeiro comovidoDecidiu me ajudarFez um compromisso comigoAo vê a minha mães chorar  Me levou pra capitalFez de sua casa meu larE daquele dia em dianteCom fé, muito perserveranteEu comecei a estudar  A vida seguir seu cursoComo deveria serE depois de muito anosVi meu sonho acontecer  Me formei em medicinaUm doutor conceituadoQuando chegou no hospitalQuase morto, muito maisUm paciente infartado",2017-09-20,https://g1.globo.com/mg/grande-minas/musica/noticia/ouca-a-musica-a-minha-historia.ghtml
A história por trás de um flagrante,"Talha-mar (Rynchops niger), nas origens do nome científico: ave com bico preto brilhante que corta a água.  Os flagrantes de Octavio Campos Salles comprovam de hábitos específicos do talha-mar, além de impressionarem pela beleza das imagens.  A aventura do guia de fotografia pela natureza começou através dos trabalhos de pesca e como guia pela Amazônia. A paixão só cresceu e o Terra da Gente também contribuiu com essa história de aventura pelas matas.  “A minha viagem mais marcante sem dúvida foi uma expedição para a Serra do Aracá (AM), o local ainda era praticamente desconhecido e, inclusive, uma das minhas inspirações foi uma reportagem antiga do Terra da Gente”, conta o fotógrafo.  Com a habilidade de dominar até mesmo terrenos desconhecidos, Octavio foi explorando essas técnicas diferenciadas também nas imagens que flagrava. E o resultado dessas descobertas, fez o rapaz explorar ângulos e cores impressionantes.  O flagrante do talha-mar foi realizado às margens do Rio Negro, no Mato Grosso do Sul. A ave é conhecida pela velocidade em que pesca, geralmente durante o crepúsculo e à noite. Ao voar rente à água, em alta velocidade, captura peixes e camarões, mas sem nunca mergulhar a cabeça.  Octavio costuma fazer seus registros no final do dia, momentos que, em geral, outros profissionais já começam a guardar seus equipamentos. “As aves estavam voando um pouco mais na luz, caçando peixinhos na superfície do rio, enquanto o fundo já estava bem escuro, na sombra”, explica ele.  O fotógrafo conseguiu a intenção pretendida ajustando definições da câmera para essas condições de pouca exposição de luz, diminuindo a amplitude de contraste. “Muitas pessoas perguntam se eu escureci o fundo no Photoshop, mas não é o caso, é apenas saber explorar um ""ponto fraco"" das câmeras”, conta Octavio.  *Supervisionado por Lizzy Martins",2018-10-24,https://g1.globo.com/sp/campinas-regiao/terra-da-gente/noticia/2018/10/24/a-historia-por-tras-de-um-flagrante.ghtml
Relembre acidentes aéreos que marcaram a história,"Este ano completa 10 anos do acidente com o Airbus da Air France que vitimou 228 pessoas, entre elas 58 brasileiros. O avião que saiu do Aeroporto do Galeão, no Rio de Janeiro, tinha como destino o aeroporto Charles de Gaulle, em Paris, França. Mas caiu no Oceano Atlântico. O Fantástico mostrou novos detalhes da queda e imagens raras do resgate dos destroços.  Esse é apenas um dos muitos casos de acidente que chocaram o país e o mundo. Relembre outros casos de desastres aéreos nos últimos anos.  Acidente da TAM em São Paulo, em julho de 2007   Em 17 de julho de 2007, um Airbus da TAM saiu de Porto Alegre com destino ao aeroporto de Congonhas, em São Paulo. Chovia muito no dia e a principal pista de pouso não foi suficiente para o avião, que ultrapassou os limites do aeroporto e se chocou em um posto de gasolina e um prédio.  Ao todo, 198 pessoas morreram, 186 a bordo e outras 12 no solo, entrando para a história como o pior desastre aéreo já registrado em terras brasileiras.  Voo MH370 da Malaysia Airlines, em março de 2014  Em 8 de março de 2014, o voo MH370 da Malaysia Airlines desapareceu enquanto viajava entre Kuala Lampur e Pequim com 239 pessoas a bordo. Cerca de uma hora após a decolagem, o controle aéreo perdeu o contato com a aeronave, nenhum pedido de socorro foi enviado.  As buscas por destroços foram encerradas após três anos. Os investigadores não chegaram a nenhuma conclusão sobre o que aconteceu a bordo da aeronave. Acredita-se que tenha caída no oceano Índico, mas o avião nunca foi encontrado.  Voo MH17 Malaysia Airlines, em julho de 2014   O voo MH17 partiu de Amsterdã com destino a Kuala Lumpur, capital da Malásia, no dia 17 de julho de 2014, levando 298 pessoas. A aeronave foi derrubada por um míssil, mas não chegaram a conclusão de quem disparou. É o desastre aéreo com maior número de mortos desde 1996.  AirAsia, em dezembro de 2014  No dia 28 de dezembro, um Airbus da Indonesia AirAsia saiu de Surabaya, segunda maior cidade da Indonésia, com destino a Cingapura. Menos da metade do caminho, a aeronave caiu no mar de Java, matando os 156 passageiros e 6 tripulantes.  Acidente da Chapecoense, na Colômbia, em novembro de 2016   O avião que levava a delegação do time de futebol da Chapecoense de Santa Cruz de La Cierra, na Bolívia, para Medelín, na Colômbia, caiu durante a noite. Morreram 71 dos 77 passageiros a bordo da aeronave, entre jogadores, jornalistas e tripulação.",2019-05-20,https://g1.globo.com/fantastico/interatividade/noticia/2019/05/20/relembre-acidentes-aereos-que-marcaram-a-historia.ghtml
