Título,Notícia,Data,Link
Exposição itinerante une meio ambiente e tecnologia,"Domingo (03/09), o Shopping Catuaí Palladium, em Foz do Iguaçu, recebe a exposição itinerante Conexão Estação Natureza. Promovida pela Fundação Grupo Boticário de Proteção à Natureza, o espaço contempla atividades que unem o contato com o meio ambiente e a tecnologia e permitem experiências sensoriais e interativas que despertam para a importância da conservação.  A exposição é dividida em sete estações que se conectam. A primeira experiência é um cinema sensorial em seis telas dispostas em 360 graus que promovem uma imersão em paisagens naturais. Durante o vídeo, efeitos especiais criam a sensação de vento, calor e chuva e liberam aromas diversos da natureza.  Estações como a Estação Conservação, Estação Guardiões da Natureza e Estação Belezas Naturais utilizam equipamentos tecnológicos recém-lançados como mapas interativos touch screem, plataformas interativas de games e óculos de realidade virtual.  Bicicletas inteligentes ficam disponíveis aos visitantes que, ao pedalar, geram energia limpa para carregar celulares. O objetivo da atividade é mostrar ao público ações rotineiras que contribuem para a redução das mudanças climáticas.  A última estação apresenta uma escultura de um boto-cor-de-rosa com filhotes, criada a partir de arames, fios e tecidos artesanais. A espécie é endêmica da América do Sul e sofre com a caça, a pesca ilegal e a poluição dos cursos d’água.  O Conexão Estação Natureza foi desenvolvido em 2015, já passou por 19 cidades brasileiras e recebeu mais de dez milhões de pessoas.  A exposição pode ser visitada até o dia 17/09 e a participação é gratuita ao público. As atrações são para todas as idades e toda a estrutura é acessível a portadores de deficiências físicas, visuais e auditivas.  O Shopping Catuaí Palladium fica na Avenida das Cataratas, 3.570, Vila Yolanda, em Foz do Iguaçu (PR).",2017-09-01,https://g1.globo.com/sp/campinas-regiao/terra-da-gente/noticia/exposicao-itinerante-une-meio-ambiente-e-tecnologia.ghtml
Cordel expressa preocupações com o meio ambiente,"Manoel Monteiro cresceu sentindo o cheiro da terra molhada pelas primeiras chuvas e ouvindo os pássaros na cumeeira ao amanhecer. Mas também ouviu a lamúria das secas, “os bichos pedindo água, os pássaros piando tristes”. Menino, não tivesse ido a uma feira com o pai, talvez não visse os cordelistas nordestinos roubando a atenção dos que passavam com as histórias que declamavam. Talvez não tivesse também vertido em versos tantas preocupações com o meio ambiente. “Faço um trabalho comprometido com a preservação do nosso solo exaurido pelo uso, sem pieguices e sem comprometimento”, afirmou o poeta em entrevista concedida ao Terra da Gente em 2011. Monteiro morreu em 2014 e deixou mais de 150 folhetos publicados.  De verso em verso, o poeta nascido em Bezerros (PE) e criado em Campina Grande (PB) pede aos leitores que “cuidem carinhosamente da natureza ou então se preparem para o holocausto”.  Entre mais de 150 folhetos de sua autoria, O Rio São Francisco, em suas 63 sextilhas, derrama respeito pelo rio e pela população que dele se serve minimamente. Cordel que também atenta para as causas do meio ambiente, O Planeta Água Está Pedindo Socorro compõe em versos um manual para o uso racional da água.  Há que destacar ainda A Evolução do Papel. Da China aos dias de hoje, o folheto passa por Gutenberg, ressalta a função da Imprensa e a sua inexistência caso não existisse o papel. Entre os “mil papéis do papel”, Monteiro aborda a importância da reciclagem para a saúde do Planeta.  O folheto Salvem a Fauna! Salvem a Flora! Salvem as Águas do Brasil! tem uma síntese à altura num posfácio assinado pelo jornalista e escritor José Nêumanne. Sobre este trabalho de Monteiro, a quem qualifica como um “obcecado pela saúde humana, animal e vegetal”, Nêumanne diz tratar-se de “um manifesto ecológico que consegue ser pungente sem reproduzir a chatice que normalmente os apelos naturalistas têm”.  Da obra de Monteiro, A Espanhola Inglesa e O Gato de Botas, traduzidos para a língua do cordel, foram propostos ao Ministério da Educação e Cultura (MEC) para a grade curricular do ensino público já em 2012. Segundo o poeta, a utilização dos folhetos em escolas representa “a maioridade do cordel”.  Manoel Monteiro não tinha dúvidas de que o cordel é, de fato, um argumento capaz de despertar nos leitores a consciência sobre a necessidade de preservar o meio ambiente. “Qualquer mensagem veiculada pela poesia cala fundo na alma humana. Felizmente o homem é um animal emotivo”, disse. Sempre que convidado a falar sobre o cordel para estudantes, o poeta abordava a importância do cuidado com as plantas, os animais, as águas... “Vejo a aprovação no brilho dos olhos da estudantada. Poesia é convincente.”  VIVA SÃO JOÃO  Esse costume perverso  De destruir a floresta  Pra fazer fogueira ou pasto  Está provado, não presta,  Nem pra santo nem ninguém,  Portanto, pra nosso bem,  Vamos salvar o que resta.  (Trecho de Viva São João! Sem Fogueira e Sem Balão, de Manoel Monteiro)",2017-12-21,https://g1.globo.com/sp/campinas-regiao/terra-da-gente/noticia/cordel-expressa-preocupacoes-com-o-meio-ambiente.ghtml
Aracaju celebra Semana Nacional do Meio Ambiente ,"Começa neste domingo (4) e segue até sexta-feira (9) a V Semana Nacional do Meio Ambiente, evento realizado pela Secretaria Municipal de Meio Ambiente de Aracaju (SE).  Diversas ações coletivas vão acontecer em vários pontos da capital, em prol de uma cidade mais sustentável. Na programação tem passeio ciclístico, atividades educativas nas escolas, além de visitas guiadas no Oceanário, Museu da Gente Sergipana, Cine Vitória, Casa de Ciência e Tecnologia (CCTECA) e Parque da Sementeira.  O evento é promovido para fazer a população refletir sobre as ações do homem no planeta Terra e celebra o Dia Mundial do Meio Ambiente, comemorado na segunda-feira (5). Acesse o link e confira a programação.",2017-06-03,https://g1.globo.com/se/sergipe/noticia/aracaju-celebra-semana-nacional-do-meio-ambiente.ghtml
Sesc Sorocaba promove encontros sobre meio ambiente e reciclagem,"Encontros e bate-papos gratuitos sobre meio ambiente serão realizados nesta terça-feira (20) e quarta-feira (21), às 19h, na área de convivência do Sesc Sorocaba (SP).  O projeto têm como objetivo abordar temas como consumismo, sustentabilidade e reciclagem.  Terça-feira (20) às 19h - “ Um caminho para uma vida mais sustentável e plena”O monge zen budista Jorge Koho Mello falará sobre Simplicidade Voluntária, um movimento coletivo e pessoal, que procura modificar hábitos para alcançar uma vida com mais significado e menos complicação, menos impulsiva e mais contemplativa, que gere como desdobramento um coexistir mais pleno e sustentável.  Quarta-feira (21) às 19h - “Lixo Menos é Mais”No encontro o Grupo Gestor do Programa Lixo Menos é Mais do Sesc Sorocaba apresentará algumas das ações que visam a redução, reuso e reciclagem de uma série de insumos utilizados na unidade para uma gestão mais sustentável.  O Sesc Sorocaba está localizado na Rua Barão de Piratininga, 555, Jardim Faculdade. Mais informações podem ser obtidas pelo telefone (15) 3332-9933.",2017-06-20,https://g1.globo.com/sao-paulo/sorocaba-jundiai/noticia/sesc-sorocaba-promove-encontros-sobre-meio-ambiente-e-reciclagem.ghtml
Semana do Meio Ambiente inicia atividades em Belém ,"O Bosque Rodrigues Alves recebeu na sexta-feira (2) a programação de abertura da XIV Semana do Meio Ambiente de Belém, realizada pela Secretaria Municipal de Meio Ambiente (Semma) em parceria com a Empresa Brasileira de Pesquisa Agropecuária (Embrapa).  Com o tema ""Sustentabilidade, educação e compromisso socioambiental"", a Semana do Meio Ambiente tem o objetivo de conscientizar a população para a preservação da fauna e da flora da Amazônia, além de celebrar o Dia Mundial do Meio Ambiente, comemorado no dia 5 de junho.  Neste sábado (3), foram distribuídas 200 mudas à população no Hangar Centro de Convenções da Amazônia. Uma das mudas distribuídas foi a do pau-rosa, espécie rara apreciada para a fabricação de perfumes e que está ameaçada de extinção.  A programação continua neste domingo (4) no Bosque Rodrigues Alves com exposições, oficinas e contação de histórias para crianças. Na segunda-feira (5) a programação será realizada no Horto Municipal e na terça-feira (6) ocorre o encerramento com um ciclo de palestras no auditório da FIEPA.  03/06 - SábadoLocal: Bosque Rodrigues Alves – 8h às 12hExposições: Tipos de solos/Alimentação dos animaisBatalhão da Polícia MilitarPlantio do Pau rosa  04/06 – DomingoLocal: Bosque Rodrigues Alves - 8h às 12hExposição: SESMA (DEvs)EMBRAPA – Exposições/ Oficinas de Bio-jóias/doação de mudas/Demonstração de compostagem /Trabalho de educação ambiental (Enactus e Catadores de Materiais Recicláveis)Exposição dos animais TaxidermizadosOficinas de materiais recicláveis (Brinquedoteca) Contadores de Histórias  05/06 – Segunda-feiraPraça Milton Trindade (Horto Municipal) 8h às 12hOficina Pequeno JardineiroExposição Animais TaxidermizadosExposição FAUNA e FLORA do BosqueDemonstração Compostagem (EMBRAPA)Projeto ENACTUS (UFPA)Apresentação CRIE – Centro de Referência em Inclusão Educacional Gabriel Lima Mendes  06/06 – Terça-feiraCiclo de Palestras / Auditório FIEPA 9hTema: Sustentabilidade, Educação e Compromisso socioambiental.Palestrante: Fidelis Martins Paixão – Advogado. Educador Ambiental, Mestre em Gestão dos Recursos Naturais e Desenvolvimento local na Amazônia. Pesquisador Associado do Programa Trópico em Movimento UFPA e Membro da Facilitação Nacional da REBEA – Rede Brasileira de Educação Ambiental",2017-06-03,https://g1.globo.com/pa/para/noticia/semana-do-meio-ambiente-inicia-atividades-em-belem.ghtml
Piauí inaugura a primeira Delegacia de Proteção ao Meio Ambiente ,"Foi inagurada nesta quinta-feira (10) a Delegacia de Proteção ao Meio Ambiente, ao lado do Parque Potycabana, na Zona Leste de Teresina. Além de combater os crimes contra os animais, a delegacia pretende coibir ações de desmatamento, poluição e poluição sonora, englobando as ações da delegacia do silêncio. A unidade contará com uma delegada, quatro agentes e um escrivão.  Segundo a delegada Bruna Verena, que será coordenadora da unidade, a delegacia vem suprir a necessidade de investigação de crimes ambientais e auxiliar na proteção atmosférica e sonora. ""Vamos atuar em todos os crimes contra o meio ambiente e o papel é prestar à população mais um serviço de proteção. É um marco histórico para o estado, pois somos a primeira delegacia a tratar desse tema no Piauí"", disse.  Para os ativistas de proteção ao meio ambiente, a criação da delegacia é uma grande conquista, porque nos outros distritos nem sempre há uma atenção para o assunto, tendo em vista a falta de preparo dos profissionais.  ""Estávamos precisando dessa delegacia especializada, pois muitos crimes ficavam impunes. Agora, com esse ponto centralizado e específico, vai ser um contribuição para o combate à violência contra animais e o ambiente"", disse Daniela Ramos, presidente da Associação Piauiense de Proteção e Amor aos Animais (Apipa).  O secretário estadual de segurança, Fábio Abreu, explicou que a unidade receberá com o passar do tempo mais policiais provenientes da Delegacia do Silêncio e alguns policiais militares que dão suporte ao meio ambiente.  ""É um projeto que estamos iniciando e vamos precisar do apoio da população para melhorá-lo. Todas as estruturas da segurança ligadas ao meio ambiente estarão unificadas e acredito que vamos atender de forma eficaz tanto ocorrências ligadas ao ambiente quanto as relacionadas à perturbação pública"", ressaltou o secretário.  Durante a inauguração, governador Wellington Dias destacou a necessidade de existir na estrutura de investigação, uma área que pudesse cuidar de forma competente de crimes ambientais que preocupam o Piauí.  ""Os produtores ligados à terra já são, por lei, obrigados a cumprir regras. Mas existem aquelas que invadem terras públicas, realizam desmatamento, incêndios, matam animais e destroem áreas de produções privadas. Nesses casos precisa-se de alguém que conheça muito a legislação, para que essas pessoas não sejam absolvidas sem punição. Há a necessidade de evitar maus tratos aos animais e essa área especializada vai garantir a proteção deles, além da flora"", destacou.",2017-08-10,https://g1.globo.com/pi/piaui/noticia/piaui-inaugura-a-primeira-delegacia-de-protecao-ao-meio-ambiente.ghtml
"Secretário de Meio Ambiente de Ecoporanga, ES, é preso","O secretário de Meio Ambiente de Ecoporanga, no Noroeste do Espírito Santo, Thiago Caldeira Rosa Cabral, foi preso nesta quinta-feira (15), durante uma operação do Grupo de Atuação Especial de Repressão ao Crime Organizado (Gaeco). Ele também foi exonerado do cargo.  O Ministério Público do Espírito Santo (MP-ES) não detalhou por que Thiago foi preso, mas, este ano, ele já foi alvo de uma operação que levou à prisão do vereador de Ecoporanga Robério Pinheiros Rodrigues (PSDB), em junho. Thiago foi encaminhado ao Centro de Detenção Provisória de São Domingos do Norte.  De acordo com as denúncias, os dois facilitavam um sistema de fraudes em licitações comandado por um grupo de empresários.  A defesa de Thiago não foi encontrada para comentar o caso. Em nota, a prefeitura de Ecoporanga disse que prestou todas as informações solicitadas e seguiu as orientações do Ministério Público.",2019-08-16,https://g1.globo.com/es/espirito-santo/noticia/2019/08/16/secretario-de-meio-ambiente-de-ecoporanga-es-e-preso.ghtml
Santarém ganhará Delegacia de Conflitos Agrários e Meio Ambiente,"A Superintendência Regional de Polícia Civil do Baixo Amazonas está tomando as providências para implantar em Santarém, no oeste do Pará, a Delegacia de Combate aos Conflitos Agrários e Meio Ambiente (Deca/Dema).  A delegacia especializada, que deve começar a funcionar até o final de abril, terá como delegado titular Edinaldo Sousa, que deixa de responder pela especializada em homicídios.  ""O delegado Edinaldo tem especialização na área de conflitos agrários e está habilitado a assumir a nova especializada que contará com equipe própria para atendimento às demandas da área e também relacionadas a crimes ambientais"", disse o superintendente da Polícia Civil, Nelson Silva.  Ainda de acordo com o superintendente, a Deca/Dema deverá funcionar inicialmente na UIPP do Santarenzinho.  Santarém também ganhará em breve uma Divisão de Homicídios na 16ª Seccional Urbana de Polícia Civil. A implantação está dependendo apenas da chegada de delegados que estão vindo de outros municípios da região para Santarém.  ""Hoje nós temos uma equipe especializada em investigação de homicídios, mas pelo crescimento da cidade, há necessidade de termos uma divisão. Com a saída do delegado Edinaldo para a Deca/Dema, precisamos de um delegado com perfil para assumir essa função na Divisão de Homicídios"", explicou Nelson Silva.  Segundo o superintendente, hoje, a maior parte dos homicídios dolosos em Santarém - cerca de 80% - têm ligação com o tráfico de drogas.",2018-04-11,https://g1.globo.com/pa/santarem-regiao/noticia/santarem-ganhara-delegacia-de-conflitos-agrarios-e-meio-ambiente.ghtml
Secretaria do Meio Ambiente de Sorocaba abre vagas de estágio ,"A Secretaria do Meio Ambiente, Parques e Jardins (Sema) de Sorocaba (SP) abriu nesta segunda-feira (26) inscrições para vagas de estágio para estudantes universitários.  Os candidatos interessados no processo seletivo devem se inscrever até quinta-feira (29), das 8h às 16h, no Centro de Integração Empresa Escola (Ciee) e apresentar os originais do RG e CPF.  Podem participar estudantes do segundo ao penúltimo semestre dos cursos de Biologia, Gestão Ambiental, Engenharia Agronômica, Pedagogia e Administração de Empresas.  Além de cumprirem as horas de estágios da faculdade e terem uma bolsa auxílio, os estudantes terão a oportunidade de ganhar experiência a área de Educação Ambiental e também em outras áreas de atuação da Sema.  A prova do processo seletivo será aplicada no Ciee, dia 4 de abril, em dois horários. Os candidatos podem participar às 9h ou 14h. No dia da prova só serão aceitos candidatos que já tenham efetuado as inscrições.  O Ciee está localizado na rua Rui Coelho de Oliveira Filho, 119, no Jardim Faculdade. Mais informações podem ser obtidas pelo telefone (15) 3212-2900.  Veja mais notícias da região no G1 Sorocaba e Jundiaí",2018-03-26,https://g1.globo.com/sp/sorocaba-jundiai/noticia/secretaria-do-meio-ambiente-de-sorocaba-abre-vagas-de-estagio.ghtml
Justiça condena empresa por poluição do meio ambiente em Icoaraci,"Uma empresa foi condenada por crimes ambientais em icoaraci, em Belém. Seu proprietário, Durval Pena Correa, foi condenado a pena de 2 anos e 1 mês de reclusão por crimes ambientais cometidos durante o processo de beneficiamento da castanha. As informações foram divulgadas nesta sexta-feira (29).  A empresa DP Correa Indústria e Comercio-ME, localizada na estrada Maracacuera, vinha poluindo o meio ambiente despejando fuligem nas comunidades do entorno no momento do beneficiamento do produto.  Como a proprietário da empresa não possui antecedentes a pena foi substituída por prestação pecuniária no valor de 20 salários mínimos a serem destinados a uma entidade privada de destinação social, além de multa no valor de 1 salário-mínimo. O juiz concedeu ao acusado Durval Pena Correa o direito de recorrer em liberdade, lima vez que não vislumbrou requisitos para decretação de sua prisão cautelar.  Já a pessoa jurídica DP Correa Indústria e Comércio-ME, foi condenada a pagar 50 dias-multa e ainda prestar serviços à comunidade, contribuindo com entidade municipal ambiental ou cultura municipal, no importe de 20 salários mínimos.  Um laudo elaborado pelo Instituto de Criminalística constatou que a empresa estava causando danos ao meio ambiente durante o processamento industrial da castanha. O produto é submetido a um sistema de secagem, descanso e cozimento para facilitar a retirada da amêndoa.  Durante o processo de desidratação da amêndoa ocorre o dano ao meio ambiente, pois é nesse processamento de incineração dos resíduos que dispersa ao meio ambiente uma grande quantidade de fuligem levada pelos ventos para as áreas do entorno da indústria, levando a efeito níveis de poluição atmosférica. O laudo também apontou que a fuligem pode causar inúmeros problemas respiratórios e sérios danos à saúde dos moradores da área.  Os peritos constataram ainda que a empresa operava com licença ambiental vencida desenvolvendo suas atividades, portanto, em total desacordo com a legislação chegando a ser notificada pela Secretaria de Meio Ambiente em 2013.  A denúncia chegou ao MP que, em 2018, ofereceu denúncia contra a empresa e seu proprietário requerendo a condenação dos mesmos com base na Lei de crimes ambientais.",2019-03-29,https://g1.globo.com/pa/para/noticia/2019/03/29/justica-condena-empresa-por-poluicao-do-meio-ambiente-em-icoaraci.ghtml
