Título,Notícia,Data,Link
Dona Pilar ensina a fazer o avoado de mapará à moda de Limoeiro do Ajuru,"O É do Pará foi a Limoeiro do Ajuru para mostrar as belezas e encantos do município e, é claro, não poderia voltar de lá sem apresentar uma receita típica da região, o avoado de mapará. Quem vai nos ensinar a preparar este delicioso prato é a Dona Pilar, que mora a 40 anos na cidade.  Limpar o mapará, fazer leves cortes e colocar para assar na brasa. Em seguida, cortar cebola e misturar com suco de limão, sal e pimenta de cheiro amassadas. Depois que o peixe ficar pronto é servir e comer.",2020-05-09,https://g1.globo.com/pa/para/e-do-para/noticia/2020/05/09/dona-pilar-ensina-a-fazer-o-avoado-de-mapara-a-moda-de-limoeiro-do-ajuru1.ghtml
Moda Center e 'Calçadão' ampliam número de transportadoras para receberem encomendas em Santa Cruz do Capibaribe,"Após reunião realizada em Santa Cruz do Capibaribe, no Agreste de Pernambuco, ficou definida a ampliação de 30 para 50 o número de transportadoras (ônibus ou caminhões) que podem receber encomendas no Moda Center. Também foi ampliado para 50 o número de vans que vão realizar a mesma atividade no Calçadão Miguel Arraes.  Para isso, as transportadoras precisam fazer o agendamento para a semana seguinte, a partir da quinta-feira, em horário comercial. O agendamento pode ser através do Departamento Comercial do Moda Center, por meio do WhatsApp (81) 9.9652-0590, tanto para receber no Moda Center, quanto no Calçadão.  Os condôminos do Moda Center poderão fazer retiradas de mercadorias dos boxes e lojas de segunda à sexta-feira, das 8h às 17h, entrando pela entrada principal. Nas segundas-feiras, a entrada para retirada de mercadorias deve acontecer pelo portão de emergência, localizado na lateral do estacionamento do Setor Laranja. O acesso estará devidamente sinalizado.  Para o recebimento de mercadorias em outros locais, é necessário que o transportador entre em contato com a prefeitura pelo telefone (81) 9.8258-1833. As demais regras para as transportadoras e comerciantes seguem em vigor.",2020-05-08,https://g1.globo.com/pe/caruaru-regiao/noticia/2020/05/08/moda-center-e-calcadao-ampliam-numero-de-transportadoras-para-receberem-encomendas-em-santa-cruz-do-capibaribe.ghtml
"Faculdade realiza debate virtual sobre 'Moda em Tempos de Conflitos', em Caruaru","O curso de Moda da Faculdade Senac Pernambuco, em Caruaru, vai realizar nesta quinta-feira (7) o encontro virtual gratuito ""Papo de Moda"". Durante o bate-papo, os professores do curso vão abordar sobre como a indústria da moda se reinventou após os conflitos marcantes da história da humanidade.  Vão participar do debate virtual Luiz Clério, Alba Valéria, Karina Fernandes e Tatalina Oliveira, que será a mediadora. “A partir de outras grandes crises e conflitos históricos, como a peste bubônica, 1ª e 2ª Guerras Mundiais e a gripe espanhola, vamos refletir quais as mudanças ocorridas no âmbito comportamental e da cadeia de moda para refletirmos sobre o que esperar pós-Covid-19”, explicou Tatalina.  A ideia do debate do ""Papo de Moda em Tempos de Conflito"" é auxiliar os profissionais e estudantes da área, na tentativa de pensar em perspectivas de criação, produção, comercialização e consumo pós-pandemia. O encontro tem início às 15h, os interessados precisam acessar o link do encontro virtual para participar.",2020-05-07,https://g1.globo.com/pe/caruaru-regiao/noticia/2020/05/07/faculdade-realiza-debate-virtual-sobre-moda-em-tempos-de-conflitos-em-caruaru.ghtml
A moda da máquina de costura volta com o coronavírus,"Olivier Bruynincx trabalha ""sete dias por semana"". Seu emprego? Vendedor de pequenas máquinas de costura que, com a confecção de máscaras para combater a pandemia de coronavírus, experimenta um retorno ""histórico"" na Bélgica.  À frente desde 2014 de uma pequena empresa familiar na comuna de Ixelles, esse comerciante se viu sobrecarregado pela demanda de particulares, apesar das restrições de confinamento.  A ponto de trabalhar ""sete dias por semana, quase dia e noite, para consertar máquinas de costura"", diz Bruynincx, cuja experiência fez de sua empresa uma das mais conceituadas da capital belga.  Em meados de março, quando as lojas fecharam por causa do confinamento decretado na Bélgica, ""primeiro entramos em pânico, porque não sabíamos o que ia acontecer"", reconhece o homem de 41 anos.  Mas ""continuamos atendendo o telefone e muito rapidamente começamos a receber muitos pedidos de reparos (...), porque muitas pessoas tiraram do armário sua máquina antiga para começar a costurar máscaras"", acrescenta à AFP.  Nesse contexto, diz ele, ""era muito difícil recusar"". ""Reduzi meus prazos de entrega de 15 para cerca de 3-4 dias para ajudar o mais rápido possível"", explica Bruynincx, para quem a demanda por tiras elásticas é outra consequência.  ""Não estou exagerando. Recebo 40 ou 50 ligações por dia para pedir elásticos. Era um item que nunca vendíamos em geral, talvez 10 metros por ano. Agora, venderei quilômetros e quilômetros"".  Na segunda-feira, Olivier Bruynincx respirou ""aliviado"". Como todas as lojas de tecidos e mercearias na Bélgica, seu comércio reabriu no primeiro dia de desconfinamento, operando em um setor considerado prioritário.  O uso de uma proteção que cubra o nariz e a boca é obrigatório no transporte público para maiores de 12 anos, além de ser recomendado para qualquer movimento nas ruas da Bélgica. No entanto, é difícil implementar medidas de distanciamento social em uma loja estreita, onde há o risco de atingir os carretéis de linha.  ""Tentamos nos adaptar"", diz ele. Sua loja aceita apenas quatro clientes por vez. Uma vendedora e seu pai, aposentado, ajudam.  Em frente à loja, um punhado de clientes é forçado a esperar na fila, a uma boa distância um do outro. Entre eles, Nathalie Cable precisa comprar tiras e fios elásticos.  A designer de interiores, que agora faz máscaras para uma das 19 comunas de Bruxelas, deixou seu trabalho habitual para se dedicar a costurar essas proteções ""entre 15 e 20 horas por semana"". Costurar é ""algo que eu sempre gostei"", confessa, sorrindo. E quando sua comuna chamou voluntários, ela rapidamente começou a fazer até 30 máscaras faciais por semana.  ""Imagino que há pessoas que vão mais rápido que eu. Não sou profissional"", admite a mulher. ""Mas todos precisam contribuir com seus grãos de areia para ajudar a sair dessa crise"".",2020-05-05,https://g1.globo.com/economia/noticia/2020/05/05/a-moda-da-maquina-de-costura-volta-com-o-coronavirus.ghtml
"Taxa de condomínio do Moda Center terá desconto acima de 50%, em Santa Cruz do Capibaribe","A taxa condominial do Moda Center, em Santa Cruz do Capibaribe, no Agreste de Pernambuco, vai ter um desconto de 52% referente ao mês de abril. Como não houve feira, a diretoria do centro de compras concedeu o abatimento provisório. Considerando que já há um desconto para quem paga sem atraso, a redução passa dos 60%.  O centro de compras também suspendeu provisoriamente os contratos de 60% de seus colaboradores. O parque está arcando com 30% do salário e os benefícios adquiridos por esses colaboradores, como seguro de vida e vale-alimentação.  Além da versão digital, que estará disponível a partir desta quarta-feira (6) no site do Moda Center, os boletos também podem ser solicitados pelos telefones (81) 3759-1007 e 3759-1015 ou por meio dos e-mails financeiro@modacentersantacruz.com.br, sac@modacentersantacruz.com.br e cobranca@modacentersantacruz.com.br.  Para os condôminos que optarem pelo boleto impresso, será montada uma estrutura de atendimento na portaria do Moda Center, também a partir desta quarta, das 8h às 18h.",2020-05-06,https://g1.globo.com/pe/caruaru-regiao/noticia/2020/05/06/taxa-de-condominio-do-moda-center-tera-desconto-acima-de-50percent-em-santa-cruz-do-capibaribe.ghtml
Empreendedores de moda e gastronomia do Rio criam feira online com lives para vender produtos para o Dia das Mães,"Em tempos de isolamento social por conta do coronavírus, o abraço pelo Dia das Mães, comemorado no próximo dia 10, vai ter de ficar para depois. Mas não há desculpas para deixar de enviar uma lembrancinha.  Para isso, o comércio online está mobilizado. Um desses exemplos é o coletivo de compras Retoke, uma feira online que reúne 50 pequenos produtores e empreendedores.  Eles se reuniram e vão organizar entre o feriado do Dia do Trabalhador ( 1º) até o domingo (3), uma live para exibir produtos de moda, beleza e gastronomia, voltados especialmente para o público feminino. A ideia surgiu com as apresentações dos artistas na internet.  A coordenadora da feira, Marina Carneiro, explica que as lives vão acontecer no Instagram do coletivo e deve contar com a participação de três influenciadoras digitais. Elas vão dar dicas os presentes, que vão de roupas, bijuterias, acessórios, cafés, cervejas, doces, artesanatos, objetos de decoração, sorvetes, entre outras opções.  ""Todos tínhamos lojas e participávamos de feiras físicas. Com a pandemia tivemos de abandonar tudo. Aí, vendo as lives dos artistas durante a quarentena surgiu a ideia de fazer uma live onde os empreendedores exibem seus produtos, divulgam seus links e o público pode fazer as compras online"", explica Marina.  As entregas podem ser feitas no mesmo dia ou agendadas para o Dia das Mães. Para que os presentes cheguem às mães no tempo certo, Marina contratou motoboys, que estarão baseados em pontos variados para fazer as entregas nas zonas Sul, Norte (região da Grande Tijuca e Méier), Oeste (Barra, Jacarepaguá e Recreio) do Rio e em Niterói, na Região Metropolitana.  Ela acredita que a live é uma forma de garantir acesso fácil aos produtos e promover uma interação do público com os produtores.  Uma chef de cozinha vai planejar um cardápio especial e receber encomenda para almoço do Dia das Mães.  ""Decidimos organizar a feira com antecedência para dar tempo de organizar a logística de entregas. Para as entregas ao longo da semana, contamos também com o serviço dos Correios"", acrescenta Marina.",2020-04-30,https://g1.globo.com/rj/rio-de-janeiro/noticia/2020/04/30/empreendedores-de-moda-e-gastronomia-do-rio-criam-feira-online-com-lives-para-vender-produtos-para-o-dia-das-maes.ghtml
Máscaras se tornam criativas e item de moda nos Estados Unidos na era do coronavírus,"A pandemia de coronavírus fez com que uma simples máscara facial evoluísse para um item de moda nos Estados Unidos e no mundo.  Disponível em uma infinidade de estilos e padrões, a cobertura facial passou a ser vista em todos os lugares e substituiu rapidamente a camiseta como a maneira mais estilosa para quase todos - dos bombeiros e torcedores da NBA a amantes de punk rock e gatos – expressarem ao mundo o que amam.  ""As pessoas estão ficando criativas com essas máscaras. Adoro a individualidade"", disse Johnny Pisano, músico que adicionou máscaras a uma linha de camisetas que ele vende online para os fãs.  As máscaras têm uma imagem de Pisano realizando seu movimento de palco tradicional – um pulo enquanto toca baixo.  Nos Estados Unidos, 55% dos adultos relataram usar máscaras em público, de acordo com uma pesquisa da ABC/Ipsos divulgada em 10 de abril.  Agora elas são obrigatórias em vários supermercados, consultórios médicos e lojas dos EUA, e muitos seguem as determinações oficiais de usar máscara quando saem de casa e não é possível manter o distanciamento social para evitar a propagação da doença.  A tendência também chegou ao Brasil e estilistas estão usando retalhos de tecidos para confeccionar máscaras estampadas e cheias de estilo.  Além de vender as máscaras estilizadas no varejo, lojas também doam para profissionais da saúde e de serviços essenciais.",2020-04-22,https://g1.globo.com/pop-arte/noticia/2020/04/22/mascaras-tornam-se-criativas-e-item-de-moda-nos-estados-unidos-na-era-do-coronavirus.ghtml
"Moda Center se torna local para entrega de mercadorias a transportadoras, em Santa Cruz do Capibaribe","A partir da segunda-feira (27), o Moda Center, em Santa Cruz do Capibaribe, no Agreste de Pernambuco, vai se tornar o local para que os comerciantes façam a entrega das mercadorias, previamente vendidas, para as transportadoras vindas de várias partes do país.  A medida atende ao decreto municipal que visa promover, aos poucos, a movimentação da economia local diante das restrições impostas pelo avanço do novo coronavírus. Dessa forma será realizado o escoamento dos artigos de moda e vestuário produzidos pelos fabricantes.  As entregas vão acontecer de segunda à sexta-feira, das 8h às 17h, de forma agendada, em uma estrutura montada em parte do estacionamento frontal do Moda Center. As transportadoras vão ter que agendar o dia e horário para receber as mercadorias, através do WhatsApp (81) 99652-0590.  As vendas de forma presencial em boxes e lojas do parque continuam proibidas. Os fornecedores e as transportadoras precisam obedecer a um conjunto de regras para entregar e receber a mercadoria respectivamente. Confira as regras:  Fornecedores- A mercadoria deverá estar em fardos, já amarrados e embalados para serem entregues à transportadora;- Sob nenhuma hipótese poderá haver negociação ou venda. A ação é exclusivamente para entrega;- A entrega deve acontecer o mais rápido possível para que se tenha uma boa fluidez no processo;- Só será permitida a entrada de até duas pessoas por veículo;- Só será permitida a entrada de pessoas usando máscara;- Não será permitida a entrada de pessoas do grupo de risco da Covid-19, como idosos e crianças;- Não será permitida a entrada de pessoas para esperarem a transportadora dentro do Moda Center. A entrada só será liberada se a referida transportadora já estiver no parque.  Transportadoras- As entregas só poderão ocorrer de segunda à sexta-feira, das 8h às 17h;- Serão autorizadas até 10 transportadoras por dia;- Será autorizada a entrada de até 5 pessoas por transportadora;- Todos devem usar máscara e trazer álcool em gel para seu uso pessoal;- Não será permitida a entrada de pessoas do grupo de risco da Covid-19;- Esta ação é exclusiva para entrega de mercadorias. Está vedado todo e qualquer tipo de comercialização. O procedimento de compra e venda deve acontecer previamente entre fornecedor e cliente, seja por telefone, WhastApp ou redes sociais.",2020-04-24,https://g1.globo.com/pe/caruaru-regiao/noticia/2020/04/24/moda-center-se-torna-local-para-entrega-de-mercadorias-a-transportadoras-em-santa-cruz-do-capibaribe.ghtml
"Moda Center indica cursos online gratuitos para comerciantes e empreendedores, em Santa Cruz do Capibaribe","Para auxiliar os comerciantes na busca por capacitações, o Moda Center, em Santa Cruz do Capibaribe, no Agreste de Pernambuco, selecionou oito cursos online e gratuitos. A capacitação possibilita o desenvolvimento e aperfeiçoamento de novas habilidades para administrar os empreendimentos.  O Sebrae está oferecendo cursos, e-books e jogos na plataforma Cursos Online Sebrae. São mais de 150 aulas gratuitas em temas como cooperação, empreendedorismo, finanças, inovação, leis, organização, pessoas, planejamento e vendas. Também é possível filtrar cursos para quem pensa em abrir um negócio ou para quem já tem um negócio.  O grupo de educação Cogna disponibilizou 51 cursos em áreas como cultura digital, desenvolvimento de carreira, empreendedorismo e mindset ágil. Na plataforma de cursos online eduK, as aulas podem ser reprisadas após três meses da exibição original para assinantes. Há cursos gratuitos em áreas como alimentação, confecção de roupas, decoração, estética e fotografia.  A Conquer criou uma plataforma chamada Zona de Quarentena para oferecer transmissões ao vivo e cursos gratuitos durante o período de isolamento social. São artigos, ebooks, podcasts e vídeos sobre análise de dados, carreira, comunicação, empreendedorismo, inovação, liderança, negociação,produtividade e vendas.  A plataforma digital de educação executiva LIT (da Saint Paul Escola de Negócios) liberou o acesso dos seus cursos. Os usuários podem se inscrever até 30 de abril para ter acesso a mais de 100 cursos. Há aulas em temas como digital, finanças, gestão, inovação, liderança, marketing e negócios.  A Fundação Getúlio Vargas (FGV) liberou 55 cursos online gratuitos em sua plataforma de ensino online. Todos têm certificação ao final. Após ser aprovado, o aluno emite o certificado. A Perestroika, escola de metodologias criativas, liberou gratuitamente o CLIP, curso sobre colaboração, pensamento em rede e interdependência.  A Udemy transformou alguns cursos pagos e gratuitos, durante este período de quarentena. Excel, Motion Graphics, Introdução ao Design Thinking estão entre as opções disponíveis na área de tecnologia e programação.",2020-04-23,https://g1.globo.com/pe/caruaru-regiao/noticia/2020/04/23/moda-center-indica-cursos-online-gratuitos-para-comerciantes-e-empreendedores-em-santa-cruz-do-capibaribe.ghtml
"Moda Center prorroga o vencimento da taxa condominial, em Santa Cruz do Capibaribe","A suspensão por tempo indeterminado das feiras no Polo de Confecções de Pernambuco fez a administração do Moda Center, em Santa Cruz do Capibaribe, no Agreste, tomar a decisão de prorrogar o vencimento da taxa condominial.  O pagamento pode ser realizado até o dia 25 de abril, garantindo o desconto de pontualidade, bem como o abatimento provisório na taxa referente às despesas do mês anterior.  Os boletos com os valores a serem pagos podem ser acessados pelo site do Moda Center, solicitados pelos telefones (81) 3759-1007 e (87) 3759-1015 e nos seguintes e-mails: financeiro@modacentersantacruz.com.br; sac@modacentersantacruz.com.br e cobranca@modacentersantacruz.com.br  Os condôminos que desejarem o boleto impresso podem ir ao centro administrativo do parque, com atendimento de segunda a sexta-feira, em horário comercial.",2020-04-17,https://g1.globo.com/pe/caruaru-regiao/noticia/2020/04/17/moda-center-prorroga-o-vencimento-da-taxa-condominial-em-santa-cruz-do-capibaribe.ghtml
