Título,Notícia,Data-Hora,Link
Como proteger as crianças na pandemia do novo coronavírus ,"Você pode ouvir todos os episódios de ""Novo coronavírus: perguntas e respostas"" no G1, no Spotify, no Castbox, no Google Podcasts, no Apple Podcasts, no Deezer ou no aplicativo de sua preferência. Assine ou siga o programa ""Novo coronavírus: perguntas e respostas"", para ser avisado sempre que tiver novo episódio no ar.  Entre os casos de contágio do novo coronavírus, as crianças são preocupação. Existem cuidados específicos para as crianças e bebês, além do uso de álcool gel.  Especialistas chamam a atenção para como proteger as crianças na pandemia e no contágio da COVID-19.",2020-03-23 18:52:30.175,https://g1.globo.com/bemestar/coronavirus/podcast/novo-coronavirus-perguntas-e-respostas/noticia/2020/03/23/como-proteger-as-criancas-na-pandemia-do-novo-coronavirus.ghtml
Coronavírus: veja situação em Sergipe após medidas contra a pandemia,"A pandemia de coronavírus fez com que governo federal, estados e municípios anunciassem diversas medidas para tentar conter a transmissão da doença. Em Sergipe, o poder público suspendeu aulas, eventos públicos, além da visitação em presídios e centros de detenção para menores.  As agências bancárias e correspondentes poderão funcionar, desde que, de forma obrigatória, reduzam a quantidade de funcionários, limitem a quantidade de atendimento da população com a adoção de agendamento remoto, com a disponibilização de senha por telefone ou internet para aqueles serviços que exijam a presença física e sejam referentes aos programas bancários destinados a aliviar as consequências econômicas do novo coronavírus, assim como, os atendimentos de pessoas com doenças graves e o funcionamento de caixas eletrônicos.  O decreto do governo do estado determina que o transporte coletivo de passageiros, público e privado, urbano e rural, municipal e intermunicipal, em todo o território sergipano, não exceda à capacidade de passageiros sentados.  A Assembleia Legislativa de Sergipe (Alese) e a Câmara Municipal de Aracaju (CMA) informaram nesta quarta-feira (18), que adotaram medidas de combate ao avanço do coronavírus.  Na Alese, está suspensa a entrada de pessoas que não sejam servidores ou parlamentares no prédio. Ainda de acordo com o comunicado, serão realizadas somente sessões ordinárias deliberativas em que ocorrem votações. O contato com a população será realizado através da ouvidoria da casa e dos canais de comunicação dos parlamentares.  Já a Câmara, que atualmente funciona no prédio da Alese, suspendeu as sessões. Caso haja a necessidade de votação de projetos urgentes, será permitida apenas a entrada de parlamentares e servidores da Casa.  O tempo que durará as medidas não foi informado.  Visitações em todas as nove unidades prisionais ficam suspensas pelo mesmo período. A decisão abrange visitas sociais, íntimas, religiosas e de advogados, salvo em casos excepcionais, que devem ser resgatados por portaria.  O Instituto Médio Legal (IML) de Sergipe informou que todos os atendimentos ao público estão suspensos, com exceção de perícias necroscópicas (em vítimas de mortes violentas) e exames de constatação de violência sexual, para as ocorrências nas últimas 24h. As perícias que estavam agendadas serão remarcadas pelo instituto.  As agências do Instituto Nacional do Seguro Social (INSS) em Sergipe suspenderam os atendimentos sem agendamento por 15 dias, a partir desta quarta-feira (18). Para agendar, é necessário ligar para o telefone 135 ou pelo site.  O SergipePrevidência informou que suspendeu alguns atendimentos presenciais, redirecionando os serviços aos canais virtuais. Entre os serviços suspensos estão: a emissão de contracheque e informe de rendimento para a declaração do Imposto de Renda Retido da Fonte (DIRF).  Estão suspensas as atividades do Censo Previdenciário e da Prova de Vida, bem como todos os bloqueios referentes a eles. Os atendimentos via web estão disponíveis no Portal do Segurado, e no aplicativo “MeuRPPS”, disponível no Play Store. Por telefone, os contatos são (79) 3198-0800 com fucionamento das 7h às 13h ou envio de mensagens via WhatsApp para o canal da Ouvidoria através do número (79) 98853-6399, das 7h às 17h.  O Instituto de Identificação informou a suspensão de todos os atendimentos presenciais na sede e em todos os pontos de atendimento na capital e no interior do estado, a partir dessa quinta-feira (19), como medida de conter o coronavírus. Segundo o órgão, ficam mantidas apenas as entregas de documentos que já foram confeccionados.  A Câmara de Dirigentes Lojistas (CDL) de Aracaju, responsável pelo Serviço de Proteção ao Crédito (SPC), informou que decidiu restringir a partir desta quarta-feira (18) o serviço de consultas presenciais. O atendimento virtual pode ser feito pelo aplicativo 'SPC Consumidor'.  Estão suspensos temporariamente os serviços de nova emissão da carteira de identidade nas unidades do Ceac. Serão entregues apenas os documentos já emitidos. Os serviços prestados pelo Detran continuam de forma online, com a entrega dos documentos somente por agendamento. Quem estiver com a habilitação vencida, vai ser baixada uma portaria, através do Detran, prorrogando esse prazo.  O único serviço da Deso que vai ser feito no Ceac é o parcelamento de dívidas. A segunda via, a ligação e religamento de água somente através do site também. Entrega de documentos programados para os próximos 30 dias deverá ser agendada das 8h às 16h pelo site. Os atendimentos nas unidades do RioMar Shopping e da Rua do Turista vão acontecer das 8h às 16h. Já no Terminal Rodoviário e no Shopping Peixoto, em Itabaiana, serão das 8h às 12h.  Fica suspensa, por sete dias, a partir do dia 20 de março, a realização de eventos e de reuniões de qualquer natureza, de caráter público ou privado, incluídas excursões, cursos presenciais, missas e cultos de qualquer credo ou religião.  Também fica proibida a entrada de novos hóspedes no setor hoteleiro.  As igrejas e templos não devem realizar cultos até que dure o decreto estadual. A Arquidiocese de Aracaju informou que todas as missas sejam suspensas nas igrejas Matriz, capelas e oratórios, além das celebrações penitenciais comunitárias. Já as confissões individuais estão mantidas. Algumas instituições, a exemplo da Igreja do Evangelho Quadrangular realiza cultos on-line.  A Secretaria de Estado da Inclusão e Assistência Social informou que partir desta quinta-feira (19), o restaurante popular Padre Pedro, no Centro da capital, vai fornecer alimentação em quentinhas para evitar aglomeração.  A empresa estadual adotou algumas medidas relativas ao funcionamento das unidades de atendimento ao público com atendimento presencial, que são válidas até o dia 31 de março.",2020-03-17 16:47:55.510,https://g1.globo.com/se/sergipe/noticia/2020/03/17/veja-as-medidas-de-prevencao-ao-coronavirus-adotadas-em-sergipe.ghtml
Bahia Farm Show é adiada por causa da pandemia de coronavírus,"Prevista para ocorrer de 26 a 30 de maio, no município de Luís Eduardo Magalhães, oeste da Bahia, a Bahia Farm Show foi adiada por causa da pandemia de coronavírus. A nova data do evento ainda não foi divulgada pela Associação de Agricultores e Irrigadores do estado (Aiba), que organiza a feira.  “A nossa decisão atende às orientações das autoridades competentes e está em consonância com o posicionamento dos organizadores dos demais eventos de grande porte, sejam eles do segmento agrícola ou não. Permaneceremos em alerta e constante vigilância, acompanhando os desdobramentos desta pandemia e adotando todas as medidas cabíveis para garantir a segurança da população, com a responsabilidade e transparência que a situação exige”, diz nota divulgada pela organização da Bahia Farm Show.  Em 2019, a Bahia Farm Show movimentou cerca de R$ 1,9 bilhão em volume de negócios e gerou, de forma indireta e direta, três mil empregos, segundo dados divulgados pela Aiba. Para a edição deste ano estavam confirmados 201 expositores dos segmentos de maquinário e equipamentos agrícolas, sementes, defensivos e fertilizantes, aviação, veículos, software, tecnologia de irrigação, entre outros produtos e serviços.  Até a manhã desta terça-feira (23), a Bahia tinha mais de 60 casos confirmados de coronavírus.",2020-03-24 10:45:01.532,https://g1.globo.com/ba/bahia/noticia/2020/03/24/bahia-farm-show-e-adiada-por-causa-da-pandemia-de-coronavirus.ghtml
Descubra os cuidados com os animais domésticos na pandemia do coronavírus,"Você pode ouvir todos os episódios de ""Novo coronavírus: perguntas e respostas"" no G1, no Spotify, no Castbox, no Google Podcasts, no Apple Podcasts, no Deezer ou no aplicativo de sua preferência. Assine ou siga o programa ""Novo coronavírus: perguntas e respostas, para ser avisado sempre que tiver novo episódio no ar.  Muito se fala da preocupação das crianças, idosos e pessoas do grupo de risco. Mas, existem cuidados a serem tomados com os animais doméstico na pandemia do coronavírus?  Especialistas dão dicas do que é necessário ser feito.",2020-03-23 18:55:41.666,https://g1.globo.com/bemestar/coronavirus/podcast/novo-coronavirus-perguntas-e-respostas/noticia/2020/03/23/descubra-os-cuidados-com-os-animais-domesticos-na-pandemia-do-coronavirus.ghtml
Entenda os impactos da pandemia de coronavírus nas economias global e brasileira,"O coronavírus tem provocado abalos nos mercados globais e paralisado atividades econômicas no mundo todo, com impactos nas cadeias globais de suprimentos e no comércio global, e com vários países ampliando medidas restritivas e fechando as fronteiras para tentar frear a propagação da pandemia, o que também tem elevado os temores de uma recessão global.  Para vários economistas e observadores, o choque econômico já é maior do que a crise financeira de 2008 e a economia global já entrou em recessão, devendo sofrer anos até se recuperar das perdas e impactos da pandemia.  Veja a seguir os principais impactos e possíveis consequências do avanço do coronavírus nas economias global e brasileira:  A pandemia tem levado governos a determinar o confinamento da população e o fechamento de todos os serviços considerados não essenciais.  Embora o maior número de casos confirmados ainda estejam concentrados na China, a Europa se tornou o novo epicentro do coronavírus, com países como Itália, Espanha e França e Espanha fechando fronteiras e impondo quarentena nacional à população.  Na China, embora parte das atividades estejam sendo retomadas, o coronavírus fechou fábricas e deixou regiões inteiras do país isoladas, com muitos cidadãos trancados em suas casas por medo do contágio, o que reduziu drasticamente o consumo e a produção industrial.  No Brasil, medidas de restrições de circulação de pessoas começaram com a suspensão de aulas e, gradativamente foram sendo ampliadas, com a determinação também de fechamento do comércio, restaurantes e parques.  Eventos programados para os próximos meses também têm sido cancelados no mundo todo. Nos Estados Unidos, por exemplo, o Festival Coachella, que ocorreria em abril na Califórnia, por exemplo, foi adiado para outubro. Até a estreia mundial de ""Sem tempo para morrer"", novo filme do agente James Bond, foi adiada.  Até mesmo a Olimpíada de Tóquio, marcado inicialmente para ser realizada entre 24 de julho e 9 de agosto próximos, foi adiada para 2021.  Para diversos analistas, a economia global não só irá desacelerar em 2020 como também vários países deverão entrar em recessão.  Para Angel Gurría, secretário-geral da Organização para a Cooperação e Desenvolvimento Econômico (OCDE, ou clube dos países ricos), o choque econômico já é maior do que a crise financeira de 2008 ou a de 2001, e a economia global vai sofrer anos até se recuperar do impacto da pandemia de coronavírus. Um crescimento global previsto para este ano de 1,5%, segundo ele, já soa otimista demais.  O Goldman Sachs passou a prever que o PIB da China irá crescer 3% em 2020, ante projeção anterior de alta de 5,5%. Em 2019, o PIB chinês registrou o menor crescimento em 29 anos, mas mesmo assim teve o expressivo avanço de 6,1%,.  Vale lembrar que a China é a segunda maior economia do mundo, com uma participação no PIB global da ordem de 18%.  Para os EUA, o Goldman Sachs passou a projetar estagnação nos EUA nos primeiros três meses do ano, contra crescimento de 0,7% esperado antes. Para o 2º trimestre, a estimativa é de contração de uma 0,5%, ante projeção inicial de estabilidade.  O coronavírus traz consequências não só para o comércio global como também provoca impactos nas cadeias globais de suprimentos como um todo, sobretudo para os principais parceiros comerciais chineses.  O fornecimento de bens e serviços é afetado porque as fábricas e escritórios fecham as portas. Como resultado, a produção cai. E, ao mesmo tempo, a demanda também diminui, porque os consumidores ficam em casa e param de gastar.  A China produz atualmente mais de 20% de todos os bens intermediários manufaturados que são consumidos no mundo. O país é um dos principais vendedores de chips, circuitos integrados e outras partes e peças que vão se tornar celulares, máquinas de lavar, televisores e diversos outros eletrônicos em outros países.  A China é a principal fonte de componentes do Brasil. Por aqui, a fábrica da LG e unidades da Samsung e da Motorola tiveram produção suspensas antes mesmo da quarentena determinada pelos governos, por falta de componentes eletrônicos que deveriam vir da China.  A pandemia tem provocada perdas históricas nas bolsas. Na Europa, as ações recuaram despencaram a mínimas de 2012. Nos EUA, o índice S&P 500 já recuou mais de 3% desde seu fechamento recorde no dia 19 de fevereiro.  No mundo, estima-se aproximadamente US$ 14 trilhões em valor de mercado perdidos, e até ativos seguros, como o ouro, estão sendo vendidos para compensar as perdas.  Entre as ações mais afetadas estão as de companhias aéreas, empresas do setor de turismo, tecnologia e automóveis, mas com o derretimento dos mercados, todos os setores perderam valor de mercado e passaram a rever as projeções e resultados para o ano..  O temor de uma recessão global tem levado os bancos centrais a reduzirem as taxas de juros e a anunciar medidas de estímulo. Diversos governos passaram a prometer grandes quantidades de dinheiro para reduzir os impactos econômicos da pandemia de coronavírus, mas o sentimento de pânico ainda prevalece nos mercados, uma vez que ainda é difícil mensurar a duração das medidas de restrição e dimensão dos impactos da crise.  Para piorar o cenário global, a Arábia Saudita e a Rússia iniciaram uma guerra de preços por maior participação no mercado de petróleo, que derrubou a cotação da commodity para abaixo de US$ 25 - patamar que não era registrado desde 2003.  O corte de preços e aumento da produção anunciado pela Arábia Saudita, maior exportadora de petróleo do mundo, veio na esteira do fracasso das negociações entre a Organização dos Países Exportadores de Petróleo (Opep) e a Rússia, que é o 3º maior produtor mundial e se opôs à proposta de cortes mais profundos na produção sugeridos pelos países do grupo para estabilizar os preços do petróleo.  Em meio à tensão global, grades companhias como Apple, Microsoft, AB InBev, United Airlines, IAG, Mastercard, Toyota, Danone e Diageo passaram a alertar seus acionistas que o surto afetará seus resultados.  A Associação Internacional de Transporte Aéreo (Iata), por exemplo, estima que o setor de transporte aéreo de passageiros pode sofrer perdas de até US$ 200 bilhões em receita este ano, em meio ao fechamento de fronteiras em vários países e uma vez que pessoas em todo o mundo também têm cancelado viagens.  No Brasil, a Petrobras também já adiantou que o resultado financeiro da companhia no primeiro trimestre deverá ser impactado, principalmente em razão da queda no preço internacional do petróleo.  As interrupções na atividade econômica e as incertezas sobre o futuro tem provocado abalos no mercado brasileiro. O dólar superou pela 1 vez na história o patamar de R$ 5,20. Já a Bovespa perdeu o patamar de 70 mil pontos, chegando a acumular queda de mais de 40% em 2020.  As preocupações em torno dos impactos do coronavírus também tem pesado nas revisões para baixo nas projeções para o crescimento da economia brasileira em 2020.  O mercado brasileiro reduziu para 1,4% a previsão a alta do PIB em 2020, segundo a última pesquisa Focus do Banco Central, mas diversos bancos e consultorias já estimam que o país irá registrar retração neste ano, correndo o risco de enfrentar uma nova recessão.  O governo federal também revisou sua estimativa para o PIB e passou a prever uma expansão de apenas 0,02% para este ano, admitindo o risco de recessão.  Choques da economia chinesa geralmente afetam significativamente o Brasil. Vale lembrar que a China é o destino de quase 30% de tudo que o Brasil exporta atualmente.  Além de importante comprador de commodities brasileiras como minério de ferro e soja, o país asiático também tem papel relevante como fornecedor para a indústria local, especialmente a de produtos eletroeletrônicos.  Soja, minério e carne  Do lado da exportação, o principal impacto de curto prazo tem sido nos preços das principais commodities vendidas pelo Brasil. As cotações da soja, do petróleo e do minério de ferro têm recuado diante do temor de uma desaceleração da economia chinesa e de uma recessão global.  A soja representa cerca de 30% de tudo o que o Brasil exporta para a China, seguido de petróleo (24%) e minério de ferro (21%).  As exportações de carne brasileira para a China, que estavam em alta depois de a peste suína africana atingir a oferta de carne do país asiático desde meados de 2018, também devem ser afetadas.  A maior preocupação é de que o surto se estenda por muito tempo ou uma desaceleração ainda mais forte da economia chinesa.",2020-02-26 13:09:25.519,https://g1.globo.com/economia/noticia/2020/02/26/entenda-os-impactos-do-avanco-do-coronavirus-na-economia-global-e-brasileira.ghtml
"Corte de água e energia é proibido em Cajazeiras, Paraíba, durante pandemia de coronavírus","Uma medida provisória que impede o corte, suspensão ou interrupção de serviços de água, energia e internet durante a pandemia do novo coronavírus foi publicada pela prefeitura de Cajazeiras, no Sertão da Paraíba, no domingo (22).  De acordo com a medida, os serviços são essenciais e devem ser mantidos. A medida entrou em vigor após a sua publicação.  Conforme a medida, a empresa pública de fornecimento de água, Companhia de Água e Esgotos da Paraíba (Cagepa), a concessionária de fornecimento de energia elétrica, Energisa e todas as empresas privadas de fornecimento de internet estão impedidas de realizar interrupção dos serviços.",2020-03-24 11:40:10.129,https://g1.globo.com/pb/paraiba/noticia/2020/03/24/corte-de-agua-e-energia-e-proibido-em-cajazeiras-paraiba-durante-pandemia-de-coronavirus.ghtml
Moradores de rua necessitam da ajuda das pessoas em época de pandemia do novo coronavírus ,"Você pode ouvir todos os episódios de ""Novo coronavírus: perguntas e respostas"" no G1, no Spotify, no Castbox, no Google Podcasts, no Apple Podcasts, no Deezer ou no aplicativo de sua preferência. Assine ou siga o programa ""Novo coronavírus: perguntas e respostas"", para ser avisado sempre que tiver novo episódio no ar.  Muitas vezes esquecidos, as pessoas de origem humilde e em situação de rua também precisam ser olhados com cuidado.  Especialistas explicam que os abrigos devem respeitar a distância de segurança entre as pessoas e, se necessário, reservar um lugar diferente para quem apresente sintomas específicos da COVID-19.",2020-03-23 18:20:26.832,https://g1.globo.com/bemestar/coronavirus/podcast/novo-coronavirus-perguntas-e-respostas/noticia/2020/03/23/moradores-de-rua-necessitam-da-ajuda-das-pessoas-em-epoca-de-pandemia-do-novo-coronavirus.ghtml
Coronavírus: artistas se apresentam online para suprir carência de shows em tempos de pandemia ,"Cinemas, teatros, casas de shows. Está tudo fechado ao público em tempos de disseminação do coronavírus. Em Belo Horizonte, vários artistas e promotores culturais estão se empenhando para minimizar o vazio causado pelo isolamento social. Show privado do cantor Rogério Flausino, contações de histórias para adulto e criança, reprodução de entrevista com quem é destaque na cena cultural da capital. O cardápio é variado. É só escolher o que mais agrada e aproveitar.  O cantor e compositor Rogério Flausino, nascido na capital, fez, no último domingo (22) a que ele disse ter sido a “1ª live com muita música e bate papo”. A apresentação deve mais de 40 mil visualizações.  Um dos principais projetos de Belo Horizonte, o “Sempre um papo”, que recebe convidados de destaque na cena cultural para uma conversa presencial com o público, criou o #OutonoEmCasa, para acesso no canal do projeto no Youtube, onde estão hospedados mais de 400 gravações com escritores e escritoras brasileiros e portugueses. Ao longo dessa quarentena, o projeto vai selecionar e indicar programas com os escritores que estão disponíveis no canal.  Os amantes da contação de histórias comemoram, na última sexta-feira(20) o Dia Internacional dos Contadores de Histórias. Mas em tempos de coronavírus, os encontros entre precisam ser cancelados. Mas ganharam uma nova roupagem: estão acontecendo virtualmente. Desde o primeiro minuto desta sexta-feira, uma maratona de histórias está rolando para comemorar esta que é uma tradição milenar. E que muita gente não quer que morra durante os dias de isolamento social motivados pela disseminação da Covid19.  Narradores de diversas partes do Brasil e, também, da América Latina se reuniram em uma rede social postando uma nova contação a cada dez minutos. E seguem, diariamente, chamando os seguidores para acompanhar o trabalho via redes sociais: em posts programados ou com exibições ao vivo. Em Belo Horizonte, uma das participantes é Anna Lirah.  “O momento é adverso, mas, sem dúvida, está gerando diversos movimentos, como este que é uma oportunidade de conhecermos quem tem multiplicado esta arte encantadora pelo nosso país e pelo mundo. Eu tenho feito lives meio que de surpresa nesses últimos dias porque esta forma de contar também é nova pra mim” – comentou a contadora de história.  E aproveitando que o filho, Otto Levy, de cinco anos, está sem aulas devido ao isolamento social, teve a ideia de inclui-lo na contação.  “Como excluí-lo deste momento se o objetivo desta iniciativa é justamente entreter as crianças que estão em casa sem opção de lazer, e aqui estamos só nós dois dentro do apto, nesta quarentena?“  Além de Anna Lirah, o grupo musical “Coração Papita” e a contadora de histórias Rúbia Mesquita, também de Belo Horizonte e conhecidos nas plataformas digitais, estão disponibilizando contação de histórias em vários horários.",2020-03-23 19:37:58.243,https://g1.globo.com/mg/minas-gerais/noticia/2020/03/23/de-rogerio-flausino-a-contacao-de-historias-artistas-se-apresentam-online-para-suprir-carencia-de-shows-em-tempos-de-pandemia-de-coronavirus.ghtml
Pandemia de coronavírus derruba confiança do consumidor ao menor nível em 3 anos,"O índice de confiança do consumidor do Brasil caiu ao menor nível em mais de três anos em março, já como consequência dos impactos provocados pelo coronavírus e apontando um cenário preocupante para os próximos meses, segundo pesquisa da Fundação Getulio Vargas (FGV).  Os dados divulgados nesta terça-feira (24) mostraram queda de 7,6 pontos no Índice de Confiança do Consumidor em março, para 80,2 pontos, patamar mais baixo desde janeiro de 2017.  ""O cenário para os próximos meses é preocupante, com forte impacto econômico e social. Embora seja difícil imaginar alguma recuperação da confiança no horizonte visível, esperamos que o sucesso das medidas de isolamento para reduzir a disseminação do vírus possam ao menos conter parte do desânimo que virá com a queda do PIB e o aumento do desemprego”, disse.  Em março, o Índice de Situação Atual (ISA) recuou 4,8 pontos, para 76,1 pontos, o menor nível desde julho de 2019. O Índice de Expectativas (IE) caiu 9,3 pontos para 83,9 pontos, mais baixo desde dezembro de 2016.  De acordo com a FGV, o aumento da incerteza gerado pela queda dos preços do petróleo e pelo avanço do coronavírus no Brasil contribuíram para o aumento do pessimismo em relação ao futuro da economia.  Segundo a FGV, houve perda de confiança para consumidores em todas as classes de renda, influenciado pelo aumento do pessimismo em relação à situação econômica nos próximos meses.  Nas famílias de menor poder aquisitivo (até R$ 2,1 mil), no entanto, a queda foi influenciada pela redução forte na intenção de compras, cujo indicador caiu 9,9 pontos.  Dentre as classes de renda, a maior queda advém na das famílias com renda familiar mensal entre R$ 2,1 mil e R$ 4,8 mil, cujo índice de confiança recuou 10,8 pontos.  Nesse cenário de economia mais difícil nos próximos meses, consumidores também preveem redução da oferta de empregos e uma piora da situação financeira das famílias.  “Apesar do impacto maior ter sido nas expectativas das famílias com relação à economia, há deterioração das expectativas em relação a situação financeira familiar e ao emprego, principalmente para os consumidores com renda familiar entre R$ 2,1 mil e R$ 4,8 mil, o impacto afeta diretamente sua propensão a consumir cujo indicador caiu 12,8 pontos e suas perspectivas de obter emprego nos próximos meses, que reduziu 10,1 pontos”, afirma Viviane Seda Bittencourt.",2020-03-24 13:15:12.495,https://g1.globo.com/economia/noticia/2020/03/24/pandemia-de-coronavirus-derruba-confianca-do-consumidor-ao-menor-nivel-em-3-anos.ghtml
"Com pandemia do coronavírus, aposentada de Salvador é surpreendida com festa de aniversário por chamada de vídeo","A família de uma aposentada de Salvador usou a tecnologia para comemorar o aniversário da idosa. Através de chamada de vídeo, Rita Maria da Silva Santos festejou seus 67 anos, na segunda-feira (23), com todos da família, mas sem estar perto de ninguém.  A pandemia do novo coronavírus obrigou a população a mudar de comportamento, evitar aglomerações e fazer o isolamento social. Até a manhã desta terça-feira, o número de casos confirmados de pessoas infectadas pelo novo coronavírus na Bahia havia passado de 60.  Diante da situação, uma das filhas de Rita, a servidora pública Isabel Cristina Santos, de 41 anos, teve a ideia de surpreender a mãe com um aniversário por chamada de vídeo.  Segundo a servidora pública, a mãe estava triste porque, além de não poder reunir a família em casa, como faz todo ano, estava muito preocupada com as pessoas que estão doentes, em meio à pandemia do coronavírus.  Rita planejou um jantar em família e já tinha convidado cerca de 40 pessoas. Porém, ela teve que cancelar tudo por causa da pandemia. Entretanto, a aposentada teve uma surpresa organizada pela filha Isabel, que providenciou até convite.  Por volta das 20h de segunda-feira, parte da família estava na mesma casa que Rita: Isabel, o pai, a irmã e o namorado da irmã.  Eles se reuniram para um café, e Isabel fez vídeo-chamadas usando três celulares, reunindo os familiares que estavam distantes, incluindo a filha mais nova da aposentada, que mora no Pará.  Juntos, todos cantaram parabéns para Rita, que chegou a chorar de emoção.  A aposentada ainda revelou que se puder, ainda este ano, quer fazer uma festa de aniversário, mas não apenas para comemorar mais um ano de vida, ela quer celebrar o fim da pandemia no país.  Veja mais notícias do estado no G1 Bahia.",2020-03-24 11:30:03.959,https://g1.globo.com/ba/bahia/noticia/2020/03/24/com-pandemia-do-coronavirus-aposentada-de-salvador-e-surpreendida-com-festa-de-aniversario-por-chamada-de-video.ghtml
