Título,Notícia,Data,Link
É #FAKE que pesquisa recente indique a hidroxicloroquina como o tratamento mais eficaz contra o coronavírus,"Uma mensagem que tem circulado nas redes sociais e que foi compartilhada pela Secretaria Especial de Comunicação Social da Presidência da República afirma que a hidroxicloroquina é o tratamento mais eficaz ""atualmente disponível"" contra o coronavírus segundo uma pesquisa com médicos de 30 países. A postagem cita como referência o mês de abril. É #FAKE.  O post cita como fonte das informações o site Sermo, uma comunidade virtual que reúne médicos de vários países. A página faz semanalmente uma pesquisa com os integrantes sobre Covid-19 e os tratamentos usados.  Na última atualização, feita no período de 11 a 13 de maio, a hidroxicloroquina aparece na 9ª posição entre os tratamentos mais eficazes apontados pelos médicos consultados para pacientes com Covid-19 fora do hospital e na 17ª posição entre os tratamentos mais eficazes para pacientes com Covid-19 tanto em grau moderado no hospital como na UTI.  O tratamento mais eficaz para quem não foi hospitalizado, segundo a pesquisa, é um que é indicado para o tratamento da artrite reumatoide. Já para os pacientes na UTI é o oxigênio, seguido da medicina tradicional chinesa e do plasma.  O site afirma que 20 mil médicos, de 30 países, são ouvidos regularmente, mas o número de profissionais consultados sobre a hidroxicloroquina é bem menor.  No último levantamento, apenas 201 médicos deram sua opinião sobre a eficiência da hidroxicloroquina em pessoas com o vírus fora do hospital. Desses, 34% consideraram a droga muito ou extremamente eficaz. Do restante, 38% consideraram moderadamente eficaz, 23% ligeiramente eficaz e 4%, não eficaz.  Em relação aos pacientes nos hospitais com grau moderado, 415 médicos responderam à pesquisa. Desses, 23% afirmaram que o medicamento é muito ou extremamente eficaz. Outros 37% disseram ser moderadamente eficaz, 30% ligeiramente e 10%, não eficaz.  Sobre os pacientes na UTI, 164 médicos foram consultados. Do total, 20% afirmaram que o medicamento é muito ou extremamente eficaz. Outros 35% disseram ser moderadamente eficaz, 31% ligeiramente e 14%, não eficaz.  Mesmo em abril, período apontado como de referência pela Secom, nenhuma das quatro pesquisas feitas pelo site coloca a hidroxicloroquina como o medicamento mais eficaz. Numa outra pesquisa que teve início no dia 30 de março e foi finalizada no dia 2 de abril, o medicamento também fica em segundo, atrás do plasma, e depois vai caindo de posição ao longo das semanas.  Além disso, a pesquisa não tem caráter científico. Trata-de de uma enquete. As comparações ficam prejudicadas porque os médicos não respondem sobre todos os tratamentos. Então, na última, enquanto 164 avaliaram a eficiência da hidroxicloroquina na UTI, apenas 30 classificaram a eficácia do uso da vitamina C em comprimido, que aparece com um percentual menor.  A Organização Mundial da Saúde diz que a cloroquina pode causar efeitos colaterais e não tem eficácia comprovada no tratamento da Covid-19. Apesar de não haver evidências científicas de que o medicamento funcione, o governo brasileiro fez um protocolo recomendando que ele seja usado no tratamento contra a doença desde o primeiro dia de sinais e sintomas.  O boato, que já circulou em outros momentos em outros idiomas, foi checado também pela Agência Lupa e por agências internacionais como a Fullfact.  Procurada, a Secom não se manifesta sobre a mensagem postada.",2020-05-21,https://g1.globo.com/fato-ou-fake/coronavirus/noticia/2020/05/21/e-fake-que-pesquisa-com-6-mil-medicos-indique-a-hidroxicloroquina-como-o-tratamento-mais-eficaz-contra-o-coronavirus.ghtml
19 pesquisadores são detidos durante pesquisa sobre Covid-19 em MT; grupo foi liberado,"Uma pesquisa financiada pelo governo federal sobre a Covid-19 resultou na detenção de 19 pessoas em Mato Grosso.  Conforme o secretário estadual de Saúde, Gilberto Figueiredo, o estado só foi notificado sobre a pesquisa no dia 14 de maio, quando os pesquisadores já estavam visitando casas em cidades de Mato Grosso, com questionários e testes rápidos de coronavírus, o que causou pânico na população.  De acordo com a Polícia Civil, em Cuiabá, um homem e uma mulher foram conduzidos à delegacia nesta quinta-feira (21) após a polícia ter sido acionada por uma moradora do Bairro CPA 1. No local, os policiais militares encontraram o casal que confirmou estar fazendo os testes, apresentando um ofício da Universidade de Pelotas e o crachá do Ibope Inteligencia, bem como o material vinculado.  Em Barra do Garças, a 516 km de Cuiabá, 15 pessoas foram conduzidas pela Polícia Militar à delegacia da cidade. O grupo assinou um Termo Circunstanciado de Ocorrência (TCO) por exercício de profissão ou atividade econômica, sem preencher as condições a que por lei está subordinado o exercício e também por infringir determinação do poder público, destinada a impedir introdução ou propagação de doença contagiosa.  Em Rondonópolis, a 218 km da capital, dois profissionais que estavam atuando na pesquisa foram conduzidos à delegacia, tiveram o material recolhido e após serem ouvidos, foram liberados.  Conforme o Ministério da Saúde, o estudo ""Evolução da Prevalência de Infecção por Covid-19 no Brasil: Estudo de Base Populacional"" é coordenada pelo Centro de Epidemiologia da Universidade Federal de Pelotas (UFPel), do Rio Grande do Sul, sendo a execução do trabalho de campo a cargo do Instituto Brasileiro de Opinião Pública e Estatística (Ibope).  O Ministério da Saúde apoia e financia a pesquisa, que objetiva medir a evolução da prevalência de Covid-19 na população brasileira, e enviou 150 mil testes.  O Ministério da Saúde também afirma que as Secretarias Estaduais de Saúde receberam ofício do sobre a realização da pesquisa, mas não deixa claro quando foram notificadas.  A notificação também teria sido enviada aos Conselho Nacional de Secretários de Saúde (Conass) e ao Conselho Nacional de Secretarias Municipais de Saúdes (Conasems).  Ainda de acordo com o Ministério da Saúde, as próximas etapas acontecem nos dias 28 e 29 de maio, e 11 e 12 de junho.  Durante a visita dos entrevistadores do Ibope, é aplicado um questionário sobre a existência de doenças preexistentes e possíveis sintomas de Covid-19 nos últimos 30 dias, além da realização de um teste sanguíneo rápido que utiliza metodologia por punção digital.  Serão realizados 250 testes em 133 municípios, totalizando 33.250 testes em cada uma das três etapas do estudo. Nos domicílios em que alguém testar positivo, pretende-se testar todos os moradores. Além disso, as equipes que estão indo a campo já foram testadas.  O teste utilizado é o rápido. O entrevistador chega à casa, pergunta se há interesse e disponibilidade em participar. Para tirar dúvidas o cidadão pode ligar para 0800 800 5000 ou enviar um e-mail para pesquisa.covid-19@ibopeinteligencia.com  Durante a pesquisa, as pessoas são entrevistadas e testadas em casa, por meio de sorteio aleatório. Se o resultado do teste der positivo, os profissionais entregam informativo com orientações e repassam o contato do participante para a Secretaria de Vigilância em Saúde do Ministério da Saúde, que ficará responsável por informar as secretarias de saúde locais para acompanhamento e suporte dos casos pelos serviços saúde.  Os dados coletados servirão de base para estimar o percentual de brasileiros infectados, avaliar os sintomas mais comumente relatados, estimar recursos hospitalares necessários ao enfrentamento da pandemia e permitir o desenho de estratégias para abrandar as medidas de isolamento social.",2020-05-21,https://g1.globo.com/mt/mato-grosso/noticia/2020/05/21/sem-divulgacao-pesquisa-financiada-pelo-ministerio-da-saude-sobre-covid-19-em-mt-causa-panico-e-19-pessoas-sao-presas.ghtml
"Uma a cada 6 crianças espanholas sofre depressão durante a pandemia, diz pesquisa","Cerca de uma a cada seis crianças espanholas se sentiu deprimida com frequência durante a pandemia, e aquelas de origem mais pobre sofrem mais, disse uma instituição de caridade nesta quinta-feira (21).  A Espanha adotou um dos isolamentos mais rigorosos do mundo, que incluiu manter as crianças a portas fechadas durante semanas para conter o surto que já matou quase 28 mil pessoas.  A Save the Children disse que sua pesquisa de abril mostrou que, embora o isolamento tenha permitido que as famílias desfrutassem de mais tempo juntas, mesmo assim 17% das crianças se sentiram deprimidas frequente ou diariamente e que as novas adversidades econômicas estão ampliando as desigualdades.  Nas famílias mais necessitadas, 32,3% das crianças tiveram dificuldade para dormir, e 30,1% sentiram medo da doença Covid-19 -- quase um terço a mais do que em lares menos vulneráveis. Aquelas de origem mais humilde também choravam mais, de acordo com a pesquisa de mais de 1.800 entrevistas com crianças e familiares.  A Save the Children disse que uma de cada quatro famílias vulneráveis sofreu com a perda de empregos ou a diminuição de rendimentos, aumentando a tensão e a incerteza das crianças. Em alguns casos, famílias tiveram que dividir acomodações com estranhos para diminuir o valor do aluguel.  ""Ficar isolado em apartamentos minúsculos com pessoas que não são parte de sua família na verdade é um risco, porque estas famílias estão enfrentando dois tipos de estresse. Elas perderam o emprego por não poderem trabalhar e estão isoladas em lugares minúsculos"", disse Andres Conde, chefe da Save the Children da Espanha, à Reuters.  A instituição fez um apelo às autoridades para ampararem as famílias pobres suprindo suas necessidades básicas.  O governo espanhol vem repetindo que não negligenciará ninguém e que está planejando pagar uma renda mensal básica a cerca de um milhão das famílias mais pobres.",2020-05-21,https://g1.globo.com/bemestar/coronavirus/noticia/2020/05/21/uma-a-cada-6-criancas-espanholas-sofre-depressao-durante-a-pandemia-diz-pesquisa.ghtml
Pesquisa mostra que 43% das empresas baianas pararam de funcionar durante a pandemia do coronavírus,"Durante a pandemia do coronavírus, 43% das empresas baianas paralisaram as atividades por funcionar apenas presencialmente, de acordo com uma pesquisa realizada pelo Sebrae.  A mesma pesquisa mostra que 14% dessas empresas estão funcionando, porém não têm estrutura para atender digitalmente. Por outro lado, 31,6% dos negócios em funcionamento dispõem de ferramentas tecnológicas para operar.  A pesquisa, realizada em todo o Brasil, ouviu 10 mil empresários para entender a realidade dos micro e pequenos negócios no país.  A respeito do faturamento, 86% dos empresários observaram queda na receita durante a pandemia – apenas 2,3% registraram aumento. No Brasil, um número semelhante: 88% tiveram queda no faturamento.  Para driblar o período de isolamento social imposto pela Covid-19, as empresas estão apostando nas vendas online: na Bahia, 30% dos entrevistados afirmaram que começaram a utilizar as redes sociais para tal prática, enquanto 4% utilizam um site.  Apenas 7% dos empresários relataram que utilizam plataformas e aplicativos de vendas online.  Para compensar a queda no faturamento, 85,9% dos empresários entrevistados afirmaram ter buscado uma forma de crédito, sendo que 62% deles tiveram o pedido negado.  Veja mais notícias do estado no G1 Bahia.",2020-05-21,https://g1.globo.com/ba/bahia/noticia/2020/05/21/pesquisa-mostra-que-43percent-das-empresas-baianas-pararam-de-funcionar-durante-a-pandemia-do-coronavirus.ghtml
"Um quarto dos norte-americanos tem receio de vacina contra coronavírus, diz pesquisa ","Um quarto dos norte-americanos tem pouco ou nenhum interesse em tomar uma vacina contra coronavírus, revelou uma pesquisa Reuters/Ipsos publicada nesta quinta-feira (21). Alguns expressaram o receio de que a rapidez recorde com que candidatas a vacina estão sendo desenvolvidas possa comprometer a segurança.  Embora especialistas de saúde digam que uma vacina para evitar infecções é necessária para se voltar à vida normal, a pesquisa aponta para uma possível questão de confiança no governo de Donald Trump, já criticado por suas orientações de segurança frequentemente contraditórias durante a pandemia.  Cerca de 36% dos entrevistados disseram estar menos dispostos a tomar uma vacina se o presidente disser que ela é segura e 14% ficariam mais interessados.  A maioria dos participantes da pesquisa feita com 4.428 adultos entre 13 e 19 de maio disse que seria muito influenciada por orientações da Agência de Alimentos e Remédios ou resultados de estudos científicos de larga escala que mostrassem que a vacina é segura.  Menos de dois terços dos entrevistados disseram estar ""muito"" interessado ou ter algum interesse em uma vacina. Alguns especialistas de saúde esperavam que o interesse fosse maior, dada a grande conscientização a respeito da Covid-19 e as mais de 92 mil mortes relacionadas ao coronavírus só nos Estados Unidos.  ""É um pouco menor do que pensei que seria com toda a atenção na Covid-19. Eu esperaria algo em torno de 75%"", disse o doutor William Schaffner, especialista em doenças infecciosas e vacinas do Centro Médico da Universidade Vanderbilt de Nashville.  Quatorze por cento dos consultados disseram que não têm nenhum interesse em tomar uma vacina, e 10% disseram não estar muito interessados. Outros 11% não tinham certeza.  Estudos estão em andamento, mas especialistas estimam que ao menos 70% dos norte-americanos precisariam estar imunes por meio de uma vacina ou uma infecção anterior para se chegar ao que é conhecido como ""imunidade de rebanho"" – quando uma quantidade suficiente de pessoas é resistente a uma doença infecciosa para evitar sua disseminação.  Trump prometeu ter uma vacina pronta até o final do ano, mas normalmente é preciso 10 anos ou mais para se desenvolver e testar a segurança e a eficiência destes medicamentos. Muitos especialistas acreditam que uma vacina totalmente testada e aprovada pelo governo não estará amplamente disponível antes de meados de 2021.  Existem mais de 100 candidatas a vacina contra a Covid-19 sendo desenvolvidas globalmente, inclusive algumas já nos testes clínicos em humanos.  A pesquisa Reuters/Ipsos foi realizada pela internet, em inglês, em todo o território norte-americano, e tem intervalo de credibilidade, uma medida de precisão, de mais ou menos 2 pontos percentuais.",2020-05-21,https://g1.globo.com/bemestar/coronavirus/noticia/2020/05/21/um-quarto-dos-norte-americanos-tem-receio-de-vacina-contra-coronavirus-diz-pesquisa.ghtml
UFPB inicia pesquisa com plasma de recuperados para tratamento de pacientes graves da Covid-19 ,"O Hemocentro da Paraíba, localizado em João Pessoa, recebeu nesta quinta-feira (21) a primeira amostra de plasma, que é a parte líquida do sangue, de um paciente recuperado da Covid-19. A coleta foi feita para um trabalho de pesquisa do uso do plasma no tratamento de pacientes em estado grave da Covid-19, feita em parceria com pesquisadores da Universidade Federal da Paraíba (UFPB).  A pesquisadora Daniele Idalino Janebro ressaltou que o projeto tem como foco salvar vidas. “Pretendemos pesquisar de que forma o uso do plasma convalescente, com vários anticorpos, pode estar neutralizando os vírus SARS-CoV-2”, explicou.  A primeira amostra foi doada pelo analista clínico, Bergson Vasconcelos, que também compõe a equipe de pesquisa do plasma para tratamento de pacientes graves da Covid-19. Ele relatou em vídeo que contraiu o coronavírus e se recuperou da doença, que se manifestou praticamente assintomática nele.  “Sou integrante da pesquisa, junto com a equipe do hemocentro, junto com a equipe da UFPB, vim dar minha contribuição. A gente tem que ser o primeiro a fazer o teste, a testar todo procedimento”, comentou.  A diretora-geral do Hemocentro da Paraíba, Shirlene Gadelha, ressaltou a importância do projeto que busca ajudar pacientes graves. “O Hemocentro da Paraíba entra na luta pela vida e com o estudo clínico para infusão de plasma convalescente no tratamento de pacientes graves acometidos com o coronavírus"".  Pessoas que tiveram Covid-19 e estão recuperadas podem doar o plasma entrando em contato pelo telefone (83) 3133-3465.",2020-05-21,https://g1.globo.com/pb/paraiba/noticia/2020/05/21/ufpb-inicia-pesquisa-com-plasma-de-recuperados-para-tratamento-de-pacientes-graves-da-covid-19.ghtml
"Pesquisa diz que Manaus tem 200 mil infectados pelo novo coronavírus, 20 vezes o número de casos confirmados pelo governo","Um estudo feito pela Universidade Federal de Pelotas apontou que Manaus pode ter mais de 200 mil infectados pela Covid-19, 20 vezes o número de casos confirmados pelo governo. A pesquisa é realizada em 133 cidades do país. Na capital amazonense foram entrevistadas e testadas 250 pessoas - o que representaria 11% da população contaminada. A cidade foi uma das primeiras a ter o resultado divulgado.  Financiada pelo Ministério da Saúde, a pesquisa possui três fases e foi iniciada na última semana. O estudo é um dos maiores do mundo sobre a extensão da pandemia da Covid-19. Oficialmente, de acordo com os mais recentes dados do governo, o Amazonas tem mais de 23 mil contaminados - 11.643 concentrados em Manaus. O estado tem 1.561 mortes pela doença.  Pelas ruas de Manaus, com a ajuda do Instituto Brasileiro de Opinião Pública e Estatística (Ibope), os pesquisadores bateram de porta em porta para aplicar o teste rápido na população da capital. Nos primeiros resultados foi constatado dados alarmantes: uma em cada dez pessoas está ou já esteve infectada com o novo coronavírus.   Logo na primeira fase, os pesquisadores apontaram que 11% da população foi infectada, o que corresponde, aproximadamente, 200 mil pessoas. Os dados apontam ainda que, para cada pessoa notificada, 20 são subnotificadas.  O coordenador do estudo Epicovid-19, Pedro Hallal, ao comentar sobre o resultado da pesquisa em Manaus, fez uma comparação do percentual que teve em outro país.  Além de buscar o percentual da população que possui anticorpos, a pesquisa também quer ver a velocidade que a doença se alastra pelo Brasil, o percentual das pessoas que apresentaram sintomas e estimar o nível de letalidade da doença.  ""Pelas estatísticas oficiais, nos dados de Manaus, a letalidade seria altíssima, perto até de 10%, mas quando a gente olha os dados reais obtidos na pesquisa, mostramos então, que a letalidade do coronavírus está ao redor de 0,5% em Manaus, muito parecido com algumas estimativas presentes na literatura internacional"", afirmou o coordenador.",2020-05-21,https://g1.globo.com/am/amazonas/noticia/2020/05/21/manaus-pode-ter-200-mil-contaminados-pela-covid-19-aponta-estudo.ghtml
Ibope faz pesquisa em 25 regiões de Campo Grande para ajudar no combate a covid-19 ,"Pesquisadores do Ibope estão percorrendo 25 regiões de Campo Grande para coletar informações sobre a covid-19. Eles trabalham individualmente, um em cada bairro, para evitar aglomeração, e com equipamentos de proteção: avental, luvas, toucas, máscaras e álcool em gel nas mãos.  As regiões foram escolhidas pelo próprio instituto. O morador que aceita participar da pesquisa responde a um questionário com 16 perguntas sobre o coronavírus e passa por um teste rápido, feito dentro da residência.  O teste dura em média 20 minutos, e toda vez que o pesquisador sai da casa, descarta todo material que utilizou. Os casos positivos são repassados para a Secretária de Saúde.  Segundo o Ibope, no começo do trabalho, os pesquisadores enfrentaram uma certa dificuldade porque muitos moradores desconfiaram da ação.  A pesquisa foi retomada em parceria com a Vigilância em Saúde, que também está percorrendo os bairros. O instituto afirma que quem tiver dúvidas pode chegar as informações através do crachá do funcionário, que conta com sistema QR CODE. Além disso, é possível confirmar os dados sobre o pesquisador através do telefone: 0800 800 5000.  A pesquisa está sendo feita em três etapas, a primeira deve terminar nesta sexta-feira (22).",2020-05-21,https://g1.globo.com/ms/mato-grosso-do-sul/noticia/2020/05/21/ibope-faz-pesquisa-em-25-regioes-de-campo-grande-para-ajudar-no-combate-a-covid-19.ghtml
Pesquisa aponta que mais de 57% das famílias de Salvador estão endividadas; maior índice desde 2016,"A taxa de famílias endividadas subiu para 57,1%, em Salvador, neste mês de maio, segundo dados da Pesquisa de Endividamento e Inadimplência do Consumidor (PEIC), realizada pela Federação do Comércio de Bens, Serviços e Turismo do Estado da Bahia (Fecomércio-BA) e divulgada na quarta-feira (20). O índice representa o maior percentual registrado na capital baiana desde outubro de 2016.  De acordo com o estudo, o número de endividados sofreu um acréscimo de 7,2% desde abril, quando foi registrado um índice de 49,9%. Os dados representam que, atualmente, 530 mil famílias em Salvador estão com algum tipo de dívida, 94,4 mil a mais em relação ao mesmo período do ano passado.  Segundo a pesquisa, a fatura de cartão de crédito é a principal dívida das famílias de Salvador, com uma fatia de 90,3%.  “Um dado que chama mais atenção é o aumento do percentual do crédito consignado, de 3,5% em abril para 6,6% em maio. Apesar do aumento mensal, o lado positivo é que o crédito está atrelado a algum tipo de segurança como salário e pensão, por exemplo, e que o risco de inadimplência é baixo”, analisa o consultor econômico da Fecomércio-BA, Guilherme Dietze.  O percentual de famílias que não conseguiram pagar as dívidas até data do vencimento passou de 16,9% em abril para os atuais 21,6%, o maior patamar desde janeiro de 2018. Em números absolutos, significa 200 mil famílias inadimplentes, um aumento de 40 mil em apenas um mês.  Guilherme Dietze aponta que o número de endividados é maior na parcela da população que tem menor salário. Entre famílias com renda de até dez salários mínimos, a taxa de endividamento é de 58,8%. Já nas famílias que ganham mais, a taxa é de 39%.  O grupo com renda mais baixa registrou 23,2%, cinco pontos percentuais acima do mês anterior. Já na faixa com renda mais elevada, o percentual ficou em 8,1%, pouco acima dos 6,3% vistos em abril.  “É natural pensar que as famílias com renda mais baixa são as que mais sofrem neste momento, pois, em sua maioria, não têm recursos guardados para complementar a renda neste momento de pandemia”, concluiu o consultor econômico.  Confira mais notícias do estado no G1 Bahia.",2020-05-21,https://g1.globo.com/ba/bahia/noticia/2020/05/21/pesquisa-aponta-que-mais-de-57percent-das-familias-de-salvador-estao-endividadas-maior-indice-desde-2016.ghtml
Solidariedade S/A: pesquisa para vacina contra o coronavírus e incentivo a pequenas empresas,"Empresas privadas e estatais têm feito doações para ajudar o Brasil no combate à pandemia.  A Johnson & Johnson, a maior empresa de saúde do mundo, doou mais de R$ 4,2 milhões em ações contra a Covid-19. Além de destinar álcool em gel, produtos de higiene e sabonetes para comunidades, a Johnson & Johnson investiu em programas para profissionais de saúde que poderão passar por consultas virtuais com psicólogos e fazer cursos de capacitação à distância.  A empresa está investindo mais de US$ 1 bilhão para a pesquisa, sem fins lucrativos, de uma vacina contra o novo coronavírus, em parceria com governo americano.  “Todos nós brasileiros precisamos estar unidos para vencer essa pandemia. A gente se sente muito orgulhoso de colaborar nesse momento com a comunidade. Mas mais do que o orgulho, a gente sabe que isso é nossa responsabilidade”, afirma André Mendes, presidente da divisão de consumo da Johnson & Johnson Brasil.  A Península Participações, empresa de investimento privado, vai doar R$ 50 milhões para ajudar pessoas e empresas afetadas pela crise do novo coronavírus. Comunidades vulneráveis do estado de São Paulo receberam cestas básicas, num total de R$ 4,5 milhões.  A empresa também doou R$ 5 milhões para o movimento Estímulo 2020, criado na pandemia para incentivar empresas de pequeno porte.  A Península investiu na compra de equipamentos e na contratação de profissionais para os principais hospitais da rede pública de São Paulo.  “Essa crise é a mais violenta que eu já vi na vida. Tenho uma esperança de que, na saída dela, o mundo será mais solidário. Mas é preciso começar agora, é preciso dar amor, carinho, solidariedade às pessoas mais carentes, àqueles mais necessitados”, destaca Abílio Diniz, presidente do Conselho da Península Participações.",2020-05-21,https://g1.globo.com/jornal-nacional/noticia/2020/05/20/solidariedade-sa-pesquisa-para-vacina-contra-coronavirus-e-incentivo-a-pequenas-empresas.ghtml
