Título,Notícia,Data,Link
"Empresa oferece 20 vagas para profissionais de tecnologia em regime remoto, em João Pessoa","Uma empresa de digital commerce está com 20 vagas abertas para novos funcionários home office, em João Pessoa, com contratação imediata. As vagas estão disponíveis para desenvolvedores e outros profissionais de tecnologia, como designers e gerentes de produto.  As inscrições são feitas pela internet por meio de um link disponível no site da empresa. Desde que começou o home office causado pela pandemia do coronavírus a empresa continua contratando e recebendo novos funcionários de forma remota. Além de encontros diários com a liderança, a empresa criou a figura do buddy - um colega de trabalho que atua como padrinho do novo colaborador.  A empresa está com seu processo seletivo aberto e para garantir a segurança de todos, devido à pandemia do novo coronavírus, a empresa VTEX adotou o home office como medida obrigatória e todo o processo seletivo está sendo realizado online.",2020-05-07,https://g1.globo.com/pb/paraiba/noticia/2020/05/07/empresa-oferece-20-vagas-para-profissionais-de-tecnologia-em-regime-remoto-em-joao-pessoa.ghtml
Bolsas dos EUA interrompem perdas de dois dias com empresas da tecnologia dando suporte,"As ações dos Estados Unidos (EUA) encerraram em alta nesta segunda-feira (4), com os ganhos de grandes empresas de tecnologia e Internet e a valorização dos preços do petróleo superando preocupações provocadas pelas novas tensões entre os EUA e a China e o sentimento de pessimismo em razão da reunião anual da Berkshire Hathaway, de Warren Buffett.  O Dow Jones subiu 0,11%, para 23.749,76 pontos, o S&P 500 ganhou 0,42%, para 2.842,74 pontos, e o Nasdaq valorizou 1,23%, para 8.710,72 pontos.  Os principais índices dos EUA abriram em baixa, mas subiram ao longo da tarde para interromper as perdas de dois dias.  As ações têm se recuperado acentuadamente desde o fim de março, quando houve forte movimento de venda causada pelo coronavírus, auxiliadas por um grande estímulo monetário e fiscal. Os investidores agora estão focados no impacto do afrouxamento em vários Estados das restrições projetadas para interromper o surto, a fim de auxiliar suas economias.  O governador de Nova York, Andrew Cuomo, esboçou nesta segunda-feira uma reabertura, em fases, da atividade comercial no Estado mais atingido pela pandemia do Covid-19.  ""Você pode afrouxar as restrições e começar a entrar na fase de atividade econômica e ainda manter o número de casos baixo? É nisso que o mercado está focado no momento"", disse Quincy Krosby, estrategista-chefe de mercado da Prudential Financial em Newark, Nova Jersey.  Os ganhos da Microsoft, Apple e Amazon foram os maiores impulsos para o S&P 500, após reação mista na semana passada aos balanços de grandes nomes da tecnologia.  O setor energético foi o segmento do S&P 500 com melhor desempenho, com alta de 3,7% em meio à valorização dos preços do petróleo.  As ações da Delta Air Lines Inc, da American Airlines Group Inc, da Southwest Airlines Co e da United Airlines Holdings Inc recuaram entre 5% e 8% e estavam entre as maiores perdas para o S&P 500 após uma ação da Berkshire Hathaway de venda de participações nas principais companhias aéreas dos EUA.  As ações da Berkshire recuaram 2,6% e pesaram sobre o S&P 500 depois que o conglomerado registrou uma perda líquida trimestral recorde, de quase 50 bilhões de dólares. Buffett, cujos comentários são observados de perto pelos investidores, reconheceu na reunião anual da Berkshire, no sábado, que a pandemia global pode prejudicar significativamente a economia e seus investimentos.  Um novo aumento das tensões entre os EUA e a China representa outro desafio para o mercado. O secretário de Estado norte-americano, Mike Pompeo, afirmou no domingo que ""há uma quantidade significativa de evidências"" de que o novo coronavírus surgiu em um laboratório chinês. Um editorial do Global Times, da China, afirmou que Pompeo estava ""blefando"".",2020-05-04,https://g1.globo.com/economia/noticia/2020/05/04/bolsas-dos-eua-interrompem-perdas-de-dois-dias-com-gigantes-da-tecnologia-dando-suporte.ghtml
Tecnologia criada por empregados da MRN para higienizar as mãos vai auxiliar no combate à Covid-19,"Força de vontade, trabalho conjunto e uma boa dose de criatividade foram os ingredientes usados por empregados da Mineração Rio do Norte, empresa que opera mina bauxita no distrito de Porto Trombetas, no município de Oriximiná, no oeste do Pará, para criar um dispositivo conectado à pia que permite o acionamento da torneira e do recipiente de sabão com os pés, evitando assim o toque com as mãos.  A ideia surgiu entre os empregados da Usina de Geração e Distribuição de Energia, que durante reuniões pensaram formas de contribuir com a MRN nas ações de prevenção à Covid-19. Eles pesquisaram na internet alguns dispositivos já existentes e decidiram adaptá-lo. E tudo isso com baixíssimo custo, pois reaproveitaram os materiais disponíveis na área, como a pia já instalada, reservatório de sabão, grampos de telha galvanizada e tubulações. As únicas aquisições foram a torneira e as conexões das tubulações.  “A iniciativa de se fazer o melhor foi muito notória, pois tivemos 100% de mão de obra da equipe local. Em termos de visual e de praticidade, conseguimos um excelente resultado. Uma tecnologia totalmente sustentável e essencial para esse momento que vivemos, pois estimula, cada vez mais, a assepsia das mãos que combate o Coronavírus e uma série de outras doenças”, explicou o gerente técnico da seção da Usina de Geração e Distribuição de Energia da MRN, Carlos Leite.  Para desenvolver a engenhoca foram gastos dois dias e 16 horas de trabalho. A pia fica localizada logo na entrada da área, permitindo que os empregados façam a higienização ao iniciar e finalizar o expediente.  Um dos participantes da construção foi o mecânico Jaílson Marinho. “Fico orgulho de fazer parte de uma equipe que se preocupa com a saúde e bem-estar dos empregados. É um projeto que contribui para todos. Na verdade, começamos a entender o quanto é importante a lavagem das mãos e ter sempre os melhores hábitos de higiene”, afirmou.  Daniel Almeida, mecânico da MRN, também deu sua parcela de contribuição, gravando um vídeo para explicar como funciona a tecnologia e incentivar a assepsia constante das mãos. “Estamos ajudando a empresa na questão da prevenção, incentivando a higienização das mãos ao entrar e sair do trabalho. Nosso compromisso não é apenas com o negócio, mas também com a sociedade e para isso todos devem desenvolver boas práticas de segurança e saúde. Vou fazer 14 anos na empresa e para mim foi um privilégio participar desse momento de inovação”, comentou.",2020-05-05,https://g1.globo.com/pa/santarem-regiao/noticia/2020/05/05/tecnologia-criada-por-empregados-da-mrn-para-higienizar-as-maos-vai-auxiliar-no-combate-a-covid-19.ghtml
Tecnologia de Apple e Google que pretende alertar sobre o contágio do novo coronavírus: o que se sabe até agora,"Para ajudar a combater a pandemia de coronavírus, Apple e Google anunciaram na última sexta (10) a criação conjunta de uma tecnologia para alertar contatos de pessoas infectadas por coronavírus.  O sistema único das rivais deve permitir que smartphones com sistema Android, do Google, e iOS, usado nos iPhones, consigam trocar informações via Bluetooth e alertar sobre o risco de contágio, de maneira anônima.  Veja abaixo como o que se sabe até agora sobre o sistema. Ainda existem questões não explicadas. O G1 procurou Apple e Google na última segunda (13), para mais esclarecimentos.  Nesta quarta-feira (15), após a publicação da reportagem, o Google enviou algumas informações extras sobre o sistema e afirmou que a tecnologia só será usada durante a pandemia de coronavírus. A Apple ainda não se pronunciou sobre os questionamentos.  Google e Apple anunciaram que o sistema estará disponível a partir de maio.  No final de abril, as empresas começaram a disponibilizar para desenvolvedores selecionados as primeiras versões beta do conjunto de funções e procedimentos que permitem criar os aplicativos (conhecido como API).  Nesta primeira fase, ele deverá ser utilizado dentro de aplicativos que podem ser criados por autoridades governamentais como uma ferramenta para combater a pandemia.  A ideia é que o recurso funcione em todo o mundo, tanto em smartphones com sistema Android (do Google) quanto iOS (da Apple).  Nos próximos meses, a ideia das empresas é expandir a plataforma para que ela se integre diretamente aos sistemas operacionais, dispensando o uso de um aplicativo. Assim, poderiam alcançar um número maior de usuários. Mesmo assim, segundo elas, a pessoa só estará conectada ao dispositivo se quiser.  O que se sabe até agora é que os alertas serão enviados somente com autorização do usuário infectado. Ele mesmo terá que avisar no sistema o fato de ter contraído o coronavírus.  A Apple e o Google não informaram se haverá critérios para que o usuário confirme a veracidade da informação. Isso provavelmente ficará a cargo de políticas dos países que quiserem desenvolver os aplicativos onde o sistema vai rodar.  Google e Apple também não deixaram claro como a pessoa deve proceder caso receba o alerta de contato com algum infectado por coronavírus.  Provavelmente, caberá a cada governo ou entidade que empregar essa tecnologia criar estruturar políticas de resposta e orientação para que as pessoas tomem a atitude adequada.  Além disso, seria difícil que todo o mundo adotasse um mesmo protocolo, já que diferentes localidades passam por problemas que não são iguais aos de outras.  ""A tecnologia será ofertada para o mundo todo, mas cada região tem uma estrutura própria – inclusive na disponibilidade de testes (para o coronavírus)"", afirma o colunista de segurança digital do G1, Altieres Rohr.  Quando o usuário baixar algum aplicativo que tenha esse sistema de alertas da Apple e do Google, o smartphone dele passará a gerar uma chave de segurança que servirá como base na comunicação com os outros aparelhos.  Esses códigos serão recebidos por outros celulares dos quais o aparelho dele chegar perto e que também tenham um app com o mesmo sistema de alertas. E vice-versa.  As chaves recebidas ficarão guardadas nos aparelhos por 14 dias, que é o período de quarentena para pacientes assintomáticos ou com sintomas leves do coronavírus.  O uso das chaves temporárias evita o acesso à localização e à identidade dos donos de smartphones, dizem Google e Apple. Cada celular com o aplicativo vai baixar as chaves geradas; elas não ficarão armazenadas em um servidor externo, por exemplo.  O colunista do G1, Altieres Rohr, lembra que é fundamental que esses códigos sejam exclusivos de cada aparelho, para não haver risco de duplicidade.  Se um usuário souber que tem o coronavírus, ele poderá autorizar o sistema a baixar sua base de dados (chaves) em celulares que tenham esse tipo de aplicativo.  ""Se o aplicativo encontrar uma dessas chaves entre as que foram recebidas, será exibido um alerta indicando que você foi exposto ao vírus"", complementa Rohr.  O app vai alertar somente usuários que tiveram contato com a pessoa infectada nos últimos 14 dias, e sem revelar a identidade dela.  As empresas dizem que, para que a tecnologia funcione nos aparelhos, é preciso o consenso do usuário.  Num primeiro momento, ele terá de baixar um aplicativo que possua o recurso para poder ativá-lo. Futuramente, quando a plataforma fizer parte dos sistemas operacionais, Apple e Google também dizem que as pessoas só participarão se optarem por isso.  De acordo com as gigantes da tecnologia, o sistema deverá funcionar tanto em celulares com sistema Android (Google) quanto iOS (Apple).  O Google disse ao G1 que a tecnologia será compatível em smartphones com sistema Android 6.0 ou mais recentes, o que pode fazer 25% dos celulares com o sistema operacional da empresa ficarem de fora por incompatibilidade técnica (leia mais sobre os desafios do sistema).  Isso porque existem aparelhos mais antigos circulando que podem não fazer as atualizações mais recentes. O problema relação ao Android é que o sistema que corresponde ao maior número de smartphones em uso no mundo e é aplicado em aparelhos de diversos fabricantes, dos quais dependem as atualizações.  No caso do iPhone, como a Apple é a fabricante e a criadora do sistema operacional, existe um controle maior da empresa.  Diferente do monitoramento que é feito com dados de operadoras de telefonia móvel (leia mais ao fim da reportagem), que usam antenas, o sistema da Apple e do Google vai recorrer à conexão Bluetooth.  A tecnologia já está sendo usada em Singapura, em um aplicativo do governo chamado TraceTogether, como medida de combate à pandemia.  O Bluetooth é aquele sistema utilizado para fazer a conexão sem fio do celular com aparelhos de som, por exemplo. Essa conexão é conhecida por não gastar muita energia do aparelho.  Além disso, ela atua por meio de ondas curtas e de baixo alcance, ou seja, só funciona se as pessoas de fato estiverem perto uma das outras. Isso garante uma alta precisão para determinar o contato próximo entre duas pessoas, que é a função do sistema do Google e da Apple.  O colunista do G1 Altieres Rohr explica que o Bluetooth permite reconhecer que dois aparelhos estiveram perto sem depender de um rastreamento completo de sua localização. É mais preciso do que as antenas, por exemplo.  Outra vantagem desse tipo de conexão é justamente o fato de a informação - no caso, um código (chave) emitido do celular do usuário para outro que tenha esse sistema de alertas - não precisa ""percorrer"" grandes distâncias.  ""Como o Bluetooth sinaliza apenas dispositivos a uma distância de menos de 10 metros, é relativamente seguro transmitir a chave temporária por ele"", explica Rohr.  Esta informação não estava explícita no comunicado inicial das empresas. Após questionamento feito pelo G1, o Google esclareceu que a tecnologia Bluetooth terá que estar sempre ativada.  Podem ser um entrave:  Leia mais sobre cada tópico na coluna de Altieres Rohr  Não. O uso de chaves temporárias trocadas por conexão Bluetooth é diferente dos dados obtidos junto a operadoras de telefonia móvel, que estão prestando esse serviço para alguns estados, a fim de identificar a adesão ao isolamento social. Esta não é a finalidade da ferramenta conjunta do Google e da Apple.  ""Da maneira que foi projetada, a tecnologia do Google e da Apple é útil apenas para os usuários, e não para a realização de políticas públicas. Ela não é capaz de monitorar movimentações em massa ou o respeito ao isolamento social"", explica Altieres Rohr.  No entanto, ainda não se sabe como os criadores dos futuros aplicativos que terão essa ferramenta poderão usar essas informações. ""Os aplicativos desenvolvidos por governos e outras entidades podem associar os dados obtidos de várias formas, combinando-os com outros sistemas de monitoramento"", acrescenta o especialista.  Separadamente, tanto Google quanto Apple anunciaram que terão algum tipo de monitoramento de movimentação, de forma independente desse sistema conjunto. O Google já divulgou relatórios sobre isso inclusive no Brasil.  Rastreamentos de movimentação populacional já estão sendo feitos durante a pandemia mundial de coronavírus. No Brasil, alguns estados como São Paulo estão utilizando informações das operadoras de celulares para detectar se as pessoas estão saindo do isolamento social.  O uso dessa ferramenta no âmbito federal foi adiado após intervenção do presidente Jair Bolsonaro, que pediu que sejam feitas análises para garantia da eficiência e da proteção da privacidade dos brasileiros.  Ao G1, o Sinditelebrasil, que representa as principais operadoras de telefonia do país, informou que os dados que formam ""mapas de calor"" e são organizados de forma agregada e anônima. ""Em nenhum momento serão coletados dados de celulares nem serão gerados dados individuais. Não se identificam pessoas, mas a quantidade de linhas por antena"", disse o sindicato, em nota.  As operadoras utilizam dados de identificação das torres para esse monitoramento.  Quando o celular está conectado à rede, ele se conecta uma ""torre"" ou ""célula"" da rede. A localização da torre é conhecida, então quem tiver acesso a essa informação pode saber onde o celular se encontra, mas a precisão é muito baixa – algumas células podem ter alcance de vários quilômetros.  Para aumentar um pouco mais a precisão, a operadora pode ainda fazer um cálculo de triangulação a partir das três torres de rede mais próximas do usuário, a partir da potência do sinal que cada torre recebe do aparelho.  Quando o sinal está mais forte, o aparelho está mais perto; se o sinal é mais fraco, o celular está mais longe. Estimando a distância do celular de cada uma das três torres próximas, a operadora consegue estabelecer onde o aparelho está.  Além das operadoras, a empresa de tecnologia In Loco também coleta dados de aplicativos para mostrar como está o isolamento no Brasil.",2020-04-15,https://g1.globo.com/economia/tecnologia/noticia/2020/04/15/tecnologia-de-apple-e-google-que-pretende-alertar-sobre-o-contagio-do-novo-coronavirus-o-que-se-sabe-ate-agora.ghtml
"IF Goiano oferece mais de 6,6 mil vagas em cursos gratuitos à distância em Goiás","O Instituto Federal Goiano (IF Goiano) tem 6,620 mil vagas para cursos à distância. As inscrições devem ser feitas pela internet até dia 14 de maio. São oferecidos conhecimentos em 33 áreas diferentes - confira quais ao final da reportagem.  Para se inscrever, o candidato precisa acessar o portal o IF Goiano, fornecer um endereço válido de e-mail da Google, números do Registro Geral (RG) e Cadastro de Pessoa Física (CPF), além de preencher o formulário com todos os dados solicitados e clicar em “enviar”.  No caso de menores de 18 anos, é preciso ainda que os responsáveis preencham um termo de autorização anexado ao edital.  Cada curso exige um nível diferente de escolaridade: de ensino fundamental incompleto (ao menos até o 5º ano) até o ensino médio completo. As idades mínimas também podem variar entre 15 e 18 anos.  As oportunidades são oferecidas por unidades de dez cidades: Campos Belos, Catalão, Cristalina, Hidrolândia, Ipameri, Iporá, Morrinhos, Posse, Rio Verde e Urutaí.  A lista preliminar de candidatos inscritos deve ser divulgada no próximo dia 15, sendo as 24 horas seguintes reservadas para interposição de recursos. As aulas devem começar nos dias 25 e 29 de maio.  Confira aqui o número de vagas para cada curso. Abaixo, a lista de cursos oferecidos:  Cursos à distância do IF GoianoInscrições gratuitasData: até 14 de maioOutras informações: proex@ifgoiano.edu.br / (62) 3605 - 3600  Veja outras notícias da região no G1 Goiás.",2020-05-08,https://g1.globo.com/go/goias/noticia/2020/05/08/if-goiano-oferece-mais-de-65-mil-vagas-em-cursos-gratuitos-a-distancia-em-goias.ghtml
"Startup está com 116 vagas de emprego abertas em Ribeirão Preto, SP; veja lista","Devido a pandemia do novo coronavírus muitas pessoas perderam ou tiveram o contrato de trabalho temporariamente suspenso. Na contramão da crise, uma startup de Ribeirão Preto (SP) que comercializa veículos, está com 116 vagas de empregos abertas. Há oportunidades para as áreas comercial, de operações, marketing, corporativo, tecnologia e para estagiários.  A Dryve é uma empresa de base tecnológica e funciona por meio de um aplicativo que comercializa e financia veículos online, conectando vendedores a compradores, atendendo pessoas físicas e jurídicas, de forma segura e prática.  Os interessados devem cadastrar o currículo no site da empresa ou pelo e-mail carreiras@dryve.com.br. Os requisitos e o salários podem ser conferidos no link da vaga pretendida. O telefone para mais mais informações é (16) 3325-6466.  Comercial   Operações   Marketing   Corporativo  Tecnologia   Estágio    Veja mais notícias da região no G1 Ribeirão Preto e Franca",2020-05-07,https://g1.globo.com/sp/ribeirao-preto-franca/noticia/2020/05/07/startup-esta-com-116-vagas-de-emprego-abertas-em-ribeirao-preto-sp-veja-lista.ghtml
"Coronavírus: sem poder sair de casa, idosos se adaptam ao uso da tecnologia para fazer compras","Para quem não tem o hábito de resolver as coisas pela internet, a pandemia do coronavírus trouxe, além do risco da doença, um outro problema - como resolver as coisas sem sair de casa.  Pensando nisso, algumas empresas decidiram facilitar a vida de quem tem como prioridade a proteção. O aumento dos casos e, consequentemente, a adaptação imediata das medidas para evitar a transmissão, exigiram soluções rápidas por parte dos empresários.  Em contrapartida, quem também não tinha o hábito de usar a internet para resolver as situações do dia a dia, precisou se adaptar.  Em Curitiba, um supermercado, por exemplo, teve que acelerar o processo de desenvolvimento de um aplicativo de compras e também precisou se adaptar ao que era mais prático para os clientes, o WhatsApp.  Para muitos, principalmente os idosos, o uso do aplicativo de conversa para fazer os pedidos foi a salvação.  É o caso da Carmen Lucia Sosnowski, de 68 anos, por exemplo. Ela disse que sempre gostou de fazer compras presencialmente. Mas, com o avanço da idade, começou a evitar por conta de dores nas pernas.  ""Com o coronavírus, então, aí que eu não pude sair mais de jeito nenhum"", contou. Além de fazer parte do grupo de risco, a aposentada também cuida da mãe, que tem 96 anos e é cadeirante.  Ela contou que quando soube que poderia fazer as compras por WhatsApp, ficou bem mais tranquila. Não costumava usar muito, segundo ela, mas com o isolamento social teve que se adaptar.  ""Esse aplicativo agora eu sei usar bem. Me comunico com várias pessoas e poder usar ele para fazer as minhas comprinhas é uma mão na roda. Uma não, duas"", brincou.  Carmen disse ainda que, pelo menos uma vez por semana, chama a equipe do mercado, manda uma listinha e, em menos de duas horas, os produtos chegam na casa dela.  Ela contou que também usa a internet para comprar outros itens para a casa e afirmou que, sem a tecnologia, a vida durante o isolamento seria muito sem graça.  ""Abençoada a tecnologia, viu. A gente resolve muita coisa através dela. Agora ninguém me segura, eu já comprei até coisas de outros países"", ressaltou.  O sociólogo aposentado Cesar de Almeida, de 76 anos, também aprovou o uso do aplicativo de conversa para fazer as compras.  ""Acho que as compras online otimizam bastante as relações de comércio, porque além de preservar o isolamento para aqueles que, como eu, se vêem nessa contingência de isolamento. Eu encontrei uma forma descomplicada e rápida de ser atendido, sem burocracia e sem maiores delongas”, declarou.  O sociólogo da Pontifícia Universidade Católica do Paraná (PUC-PR) Cézar Bueno disse que a crise vivida atualmente, por causa do coronavírus, pode ser entendida como uma questão civilizatória.  ""Pela primeira vez nós temos uma pandemia que colocou o mundo todo em isolamento obrigatório. E isso, dentre muitas consequências, atinge diferentes grupos da sociedade. Cada grupo é atingido de um modo. E, de maneira muito intensa, atinge os idosos"", explicou.  Bueno argumentou que, nesse sentido, as plataformas digitais podem cumprir um papel revolucionário durante todo o processo de isolamento.  ""Estabelecer uma relação de encurtamento da distância entre as pessoas, por exemplo, uso da tecnologia para fins de resolução de problemas, entre muitas outras funções"", destacou.  Ainda segundo o sociólogo, um dos fatos importantes dessa pandemia, é o de que vivemos um momento em que as plataformas digitais estão sendo usadas para melhorar a vida das pessoas. ""Eu acho que é muito válida essa perspectiva, e os idosos precisam muito dessa inclusão, desse aprendizado"", afirmou Bueno.  A pandemia, ainda conforme o professor Cézar Bueno, vai passar e vai deixar um custo socioeconômico altamente significativo. Mas, segundo ele, também vai trazer muito aprendizado.  A crise, segundo ele, também está fazendo com que muitas pessoas mudem as suas visões de mundo. ""É um momento em que muita gente está revendo os seus conceitos diante da imposição da realidade"", completou o sociólogo.  A proprietária do mercado Triunfo, Angela Maria Peters, disse que os clientes nunca foram tão próximos do mercado quanto nesse atual momento de pandemia.  Ela afirmou que, em muito pouco tempo, o aplicativo de compras foi colocado em prática, mas os pedidos pelo WhatsApp são os que fazem mais sucesso.  ""Nós colocamos um funcionário só para cuidar disso e eu percebo que o cliente valoriza mais essa troca, porque sabe que tem uma pessoa por trás de tudo interagindo, não fica aquela coisa automática sem nenhum contato humano"", explicou. Atualmente, segundo ela, são cerca de 1,5 mil clientes que fazem os pedidos pelo aplicativo de conversa.  Veja mais notícias no G1 Paraná.",2020-05-02,https://g1.globo.com/pr/parana/economia/noticia/2020/05/02/coronavirus-sem-poder-sair-de-casa-idosos-se-adaptam-ao-uso-da-tecnologia-para-fazer-compras.ghtml
RN tem 2º pior índice de isolamento social entre os estados do Nordeste,"O índice de isolamento social para conter o avanço da pandemia do novo coronavírus no Rio Grande do Norte caiu para 40,7 % na quarta-feira (6). O levantamento é feito pela empresa de tecnologia In Loco, que tem feito um acompanhamento nacional sobre o assunto, com base em dados de 60 milhões de brasileiros, usuários de vários aplicativos de smartphones.  O RN tem o 2º pior índice de isolamento entre os estados do Nordeste, a frente apenas do Sergipe (40,5%), e a 8ª menor taxa do Brasil. De acordo com a Organização Mundial de Saúde (OMS), restringir a circulação de pessoas é a alternativa mais eficaz contra a propagação do vírus e é também a única forma que os governos têm para conter o avanço da pandemia.  A taxa de distanciamento divulgada nesta quinta-feira (7) é uma das menores registradas desde a chegada da Covid-19 no RN. O índice de 40,7% está bem abaixo do que a Secretaria Estadual de Saúde Pública (Sesap) considera ideal para frear o coronavírus - cerca de 60% de isolamento.  Em entrevista coletiva na quarta-feira (6), o secretário adjunto da Sesap Petrônio Spinelli reforçou que o estado está mais próximo do lockdown, do que de uma reabertura. ""Criou-se uma ilusão de que era possível flexibilizar, as pessoas começaram a se sentir livres porque 'nós estamos de máscara agora, então podemos ir para a rua' e nós não podemos ir para a rua. A queda no isolamento é prenúncio de medidas mais rígidas"", acrescentou.  O bloqueio total, conhecido como lockdown foi instituído nesta semana em cidades do Maranhão e do Pará, e já é estudado em outras áreas do país, como Recife e Rio de Janeiro. Nele, a população só pode sair de casa para realização de atividades essenciais, como ir ao supermercado ou a uma consulta médica.  Até a manhã desta quinta-feira (7), o RN tem 72 mortes por coronavírus e 1.644 casos confirmados da doença.   A tecnologia da In Loco é embarcada em aplicativos de parceiros e clientes (bancos e grandes varejistas, por exemplo). Os usuários que voluntariamente instalam esses softwares podem ou não permitir a coleta de dados pela In Loco, que informa claramente as finalidades previstas na sua política de privacidade.  A única informação coletada é a localização dos celulares, que é utilizada para fins de autenticação e verificação de segurança e anti-fraude, além de contagem de visitas em determinados estabelecimentos.  ""Toda essa captação é feita sem identificar as pessoas. A tecnologia da In Loco foi desenvolvida de forma a não coletar dados de identificação civil, como nome, RG, CPF e e-mail"", explicaram representantes da empresa. Os dados anônimos de localização coletados são agregados e transformados em estatísticas que são compartilhadas com órgãos públicos.",2020-05-07,https://g1.globo.com/rn/rio-grande-do-norte/noticia/2020/05/07/rn-tem-2o-pior-indice-de-isolamento-social-entre-os-estados-do-nordeste.ghtml
"Motoristas que utilizam pedágios da Rodovia Ayrton Senna, no Alto Tietê, podem fazer pagamento por aproximação","Um novo meio de pagamento foi disponibilizado para motoristas que utilizam os pedágios da rodovia Ayrton Senna no Alto Tietê. Trata-se do sistema NFC, que permite que pagamentos sejam feitos por aproximação, ou seja, por meio da troca de informações entre dispositivos compatíveis, como cartões de crédito e débito, relógios e pulseiras.  Vale lembrar que o recurso está disponível apenas para dispositivos que também têm essa tecnologia. Ao passar pelas cabines que dispõem desse recurso, o operador de pedágio digitará o valor a ser pago pelo motorista, que poderá apenas aproximar o cartão de crédito ou débito da máquina para realizar o pagamento, sem a necessidade de inserir senha.  “O motorista encontra um dispositivo, o mesmo que já está sendo utilizado no mercado, nas lojas, aproxima o cartão, não tem que digitar senha. Está bem sinalizado, fácil de usar. Estamos há cinco dias com a operação, e o usuário tem mostrado que conhece a tecnologia. As principais bandeiras de cartão estão habilitadas, estão preparadas e já trouxeram a tecnologia para o Brasil”, explica o gerente de atendimento ao usuário Luiz Tavares.  De acordo com Luiz, não é necessário fazer cadastro para realizar o pagamento no pedágio. “A pessoa precisa se certificar com a operadora dela de que a solução dela já está preparada para iniciar a operação. Não é preciso fazer cadastro, mas sim se certificar de que o que ela tem em mãos funciona e fazer um teste antes, mas é bem simples e fácil de se habilitar”.  Segundo o gerente de atendimento ao usuário, o sistema está em funcionamento nas quatro praças de pedágio do sistema Ayrton Senna/Carvalho Pinto, nos dois sentidos, em todas as pistas de cabine manual.  Além da praticidade, a medida visa também à segurança de funcionários e usuários em meio à pandemia do novo coronavírus, uma vez que, dessa forma, não há contato entre os dois. A ação também busca reduzir a circulação de dinheiro em espécie nas cabines.  “Desde o início da pandemia, nós nos preparamos para a utilização de álcool em gel em máscaras para nossas equipes. Para nossos usuários, nós colocamos dispenser para fora da cabine, para que ele tenha toda a segurança necessária neste momento”.",2020-05-07,https://g1.globo.com/sp/mogi-das-cruzes-suzano/noticia/2020/05/07/motoristas-que-utilizam-pedagios-da-rodovia-ayrton-senna-no-alto-tiete-podem-fazer-pagamento-por-aproximacao.ghtml
Via Varejo compra empresa de tecnologia logística ASAPLog,"A Via Varejo, dona da Casas Bahia e Ponto Frio, anunciou nesta segunda-feira (27) a compra da startup curitibana ASAPlog, especializada em soluções de logística urbana e conexão de transportadoras em etapas de longas distâncias. A companhia não revelou o valor do negócio, embora tenha informado que ele é ""um passo importante na transformação digital"" da Via Varejo e que atua em escala nacional.  Segundo a empresa, a compra da ASAPLog vai apoiar a estratégia de ""minihubs"" da Via Varejo, onde mercadorias são despachadas das próprias lojas físicas da empresa aos clientes de comércio eletrônico, em vez de grandes centros de distribuição.  A companhia afirmou que o negócio ajudará a reduzir ""drasticamente o custo logístico e o prazo de entrega"", sendo também importante para melhoria de atendimento a vendedores de sua plataforma de marketplace.",2020-04-27,https://g1.globo.com/economia/noticia/2020/04/27/via-varejo-compra-empresa-de-tecnologia-logistica-asaplog.ghtml
