Título,Notícia,Data,Link
Setores de turismo e de eventos se preparam para atravessar a pandemia,"Em todo o mundo, a aviação tem sido um dos setores mais impactados pela pandemia do novo coronavírus. No Aeroporto Internacional de São Paulo, em Guarulhos, as operações de pouso e decolagem caíram 85%. Além das gigantes da aviação, pequenas empresas do mercado de turismo já sentem os efeitos do cancelamento de voos.  É como um efeito dominó. Na esteira da aviação, estão as agências de viagens. Sem voos e com restrição de circulação de pessoas, não há passageiros. E não é só o turismo de lazer que foi afetado. O mercado de viagens de negócios, que representa a maior fatia das vendas do setor, também sente os efeitos da crise.  De portas fechadas, uma pequena agência de viagens corporativas em São Paulo foi pega num momento em que estava retomando as vendas de pacotes. 97% das viagens foram remarcadas, por orientação da equipe da agência, que continua trabalhando de casa.  “O custo disso pra eles é menor do que o cancelamento”, explica Valéria Calicchio, gerente comercial da agência.  A agência tem fôlego financeiro para suportar a falta de novas vendas até o final de maio. A esperança é retomar os negócios logo que acabar a quarentena. “Como sempre apostamos no mercado corporativo, isso dá respaldo maior. Tudo parou, mas a nossa recuperação virá junto com eles”, afirma Valéria.  Outro setor diretamente afetado foi o de hospedagem. Um hostel no Rio de Janeiro, por exemplo, teve 99% das reservas canceladas. O hostel afastou os funcionários, negociou o aluguel do imóvel e dispensou a equipe de manutenção e pequenos reparos. Apenas um sócio está no hostel ajudando os únicos hóspedes que estão lá por necessidade.  “Temos dois hóspedes que vão a trabalho no Rio e moram fora. São do setor de construção civil. Estamos trabalhando com quartos privativos e preço diferenciado”, explica a sócia Thais Ulhoa Cintra.  O hostel também tem reserva financeira pra bancar alguns meses sem faturamento, mas começou a vender vouchers pra hospedagem futura. “Pra gente, a retomada vai começar com Réveillon. Até lá devemos ter a situação normalizada e até lá temos que tapar o sol com a peneira”, completa Thais.  KORPTUR GESTÃO DE VIAGENS CORPORTATIVAS Telefone: 11 2574-1234 www.korptur.com.br  HOSPEDARIA RIO HOSTELRua Vicente de Sousa, 29 - Botafogo Rio de Janeiro/RJTelefone: (21) 34962064Whatsapp: (21) 965480222www.hospedariario.com.br Email: falecom@hospedariario.com.brInstagram: @hospedariario.com.br  GRU AIRPORT Rod. Hélio Smidt, s/nº - Aeroporto Guarulhos/SP - CEP: 07190-100Central de atendimento: (11) 2445-2945 www.gruairport.com.brFacebook: GRU AirportInstagram: @gruairportspLinkedin: Gru Airport",2020-05-10,https://g1.globo.com/economia/pme/pequenas-empresas-grandes-negocios/noticia/2020/05/10/setores-de-turismo-e-de-eventos-se-preparam-para-atravessar-a-pandemia.ghtml
"Maria da Fé tem geada e recorde de menor temperatura do ano, com 3,3º C, segundo Inmet","A cidade de Maria da Fé (MG) registrou a menor temperatura local do ano nesta terça-feira (12). Segundo informação do Instituto Nacional de Meteorologia (Inmet), a mínima foi de 3,3º C, a menor registrada em 2020.  Os termômetros locais da Secretaria Municipal de Turismo registraram temperaturas ainda menores, de 1,4º C no Bairro Reserva, e 2ºC, no Bairro Lage. A geada cobriu áreas de vegetação, telhados e o teto de carros.  Mais duas cidades tiveram a menor temperatura do ano - Varginha e Passos. Em Varginha, fez 8,3º C e em Passos a temperatura foi 9º C.  Outros locais no Sul de Minas também tiveram a madrugada e início da manhã desta terça-feira mais frias. No distrito de Monte Verde, em Camanducaia (MG), o Inmet registrou a segunda menor temperatura do ano, com 2,6º C. A madrugada mais fria tinha sido no dia 9 de maio, com 2,3º C.  Em Caldas, a mínima foi de 2,6º C.  Veja mais notícias da região no G1 Sul de Minas",2020-05-12,https://g1.globo.com/mg/sul-de-minas/noticia/2020/05/12/maria-da-fe-tem-geada-e-recorde-de-menor-temperatura-do-ano-com-33o-c-segundo-inmet.ghtml
Prefeitura realiza mapeamento de serviços ligados ao turismo em Carmo do Cajuru,"A Prefeitura de Carmo do Cajuru está realizando um mapeamento dos serviços turísticos que são prestados na cidade. Para dar conta do mapeamento, o Executivo orienta que todas as empresas e os profissionais autônomos de serviços ligados ao atendimento turístico preencham um formulário informativo disponível no site da Prefeitura.  O objetivo é conhecer inserir todos os inscritos em uma área exclusiva voltada ao turista no portal oficial da cidade. O executivo reforçou que o turismo promete ser um dos mais importantes setores produtivos na retomada da economia nacional pós-pandemia.  A Prefeitura solicita que empresas de hospedagens, agências de viagens, restaurantes, lanchonetes, empresas de transporte, guias de turismo, entre outros, preencham o formulário até o dia 22 de maio e também compartilhem com outras empresas a solicitação.  As informações serão sistematizadas e inseridas em uma nova área do site, que vai agregar todas as questões importantes para visitantes e turistas que desejam conhecer Carmo do Cajuru.",2020-05-08,https://g1.globo.com/mg/centro-oeste/noticia/2020/05/08/prefeitura-realiza-mapeamento-de-servicos-ligados-ao-turismo-em-carmo-do-cajuru.ghtml
"Dia Nacional do Turismo: em tempos de coronavírus, Brasília oferece tour virtual","Nesta sexta (8), é celebrado o Dia Nacional do Turismo. Com o isolamento social, por causa da pandemia do novo coronavírus, o convite é fazer um tour virtual pela capital.  A Secretaria de Turismo do Distrito Federal reuniu dez pontos da cidade para um passeio que revela algumas peculiaridades de Brasília. A cidade tem, por exemplo, o último Cine Drive-In da América Latina.  Também fazem parte do passeio, o Planetário, as exposições do Centro Cultural Banco do Brasil (CCBB), o Complexo Cultural da República e o Clube do Choro (veja lista completa abaixo). Para fazer o tour, basta acessar o site da secretaria.  Segundo a secretária Vanessa Mendonça, ""as viagens virtuais são uma nova maneira de vivenciar as cidades"". Para ela, com o isolamento social, o turismo precisou se reinventar.  No tour virtual, cada local visitado tem um texto descritivo que conta a sua história. Além das linhas arquitetônicas de Brasília, é possível conhecer peculiaridades dos lugares.  Formado pela Biblioteca Nacional e pelo Museu Nacional, fica localizado no ponto central da cidade e é considerado um dos principais polos de cultura de Brasília. A arquitetura moderna do Museu Nacional marca a paisagem com suas formas, que parecem saídas de um filme de ficção científica. É considerado uma das últimas obras projetadas por Oscar Niemeyer e foi inaugurado no dia do aniversário do arquiteto, em dezembro de 2006.  É um dos principais templos culturais de Brasília, e seu nome é uma homenagem ao compositor e maestro brasileiro fundador da renomada Orquestra Sinfônica de Brasília. Sua fachada exibe a maior obra de arte integrada à arquitetura no país, o painel intitulado ""O Sol faz a festa"", formado por blocos de concreto de diferentes tamanhos.  A Torre de TV oferece uma impressionante vista panorâmica de Brasília e é um dos monumentos mais visitados da cidade. Projetado pelo arquiteto Lucio Costa e inaugurado em 1967, o Complexo conta com uma tradicional feira de artesanato e comidas típicas, além de servir como palco para grandes shows e outras expressões culturais. Em frente à Torre há uma fonte luminosa multicolorida.  O Clube do Choro de Brasília é palco dos mais importantes instrumentistas do país, reconhecido pelo Instituto do Patrimônio Histórico e Artístico Nacional como Patrimônio Cultural Imaterial de Brasília e do Brasil.  O Planetário de Brasília oferece ao público uma experiência inesquecível pelo espaço sideral e pela criação do universo. O edifício, que se assemelha a um disco voador pousado em pleno Eixo Monumental, foi projetado pelo arquiteto Sérgio Bernardes em 1974.  Inaugurado em 1973, o Cine Drive-In é o único do gênero em funcionamento na América Latina e tem capacidade de receber até 400 veículos por sessão. O cinema possui a maior tela de projeção cinematográfica do país, com 312 m². Além de Patrimônio Cultural, o Cine Drive-In é considerado patrimônio afetivo de Brasília.  Inaugurado em 1960, o Cine Brasília é palco do tradicional Festival de Brasília do Cinema Brasileiro, o mais antigo do gênero no país. O edifício foi projetado pelo arquiteto Oscar Niemeyer para receber grandes encontros e festivais. Além da exibição de filmes, o Cine Brasília também recebe apresentações da Orquestra Sinfônica de Brasília. O Cine Brasília tem capacidade para 600 espectadores por sessão e exibe em seu interior um grandioso painel do artista Athos Bulcão.  Sua fachada exibe obras coletivas de grafite assinadas por artistas urbanos da cidade. O Espaço Cultural Renato Russo dispõe de galerias de arte e salas de teatros para oferecer ao público apresentações artísticas e culturais diversas, além de eventos, encontros e festivais.  O CCBB Brasília é uma das mais visitadas instituições culturais do país. O moderno Centro projetado por Oscar Niemeyer oferece exposições, espetáculos teatrais, shows musicais e festivais de cinema de altíssima qualidade. Os espaços ao ar livre recebem exposições interativas, enquanto seus gramados são ocupados pelo público para diversas práticas, tais como yoga, piqueniques e as mais variadas atividades coletivas. Devido à sua privilegiada vista para o horizonte, o CCBB foi escolhido como palco da Meditação da Lua Cheia, um evento que recebe mensalmente dezenas de pessoas para contemplar a lua cheia e o mais belo céu do país.  A Caixa Cultural é um dos principais centros de arte e cultura de Brasília. O complexo cultural possui amplas galerias de arte, teatro, jardim de esculturas e um impressionante átrio de vitrais composto por 24 obras. Assinados pelo artista Lorenz Heilmair, os vitrais são a marca registrada do moderno edifício projetado pelo arquiteto João Diedman e representam os estados brasileiros, seus costumes e sua gente, uma homenagem da instituição ao povo brasileiro.  Leia mais notícias sobre a região no G1 DF.",2020-05-08,https://g1.globo.com/df/distrito-federal/noticia/2020/05/08/dia-nacional-do-turismo-em-tempos-de-coronavirus-brasilia-oferece-tour-virtual.ghtml
Arquiteto Leônidas Oliveira é anunciado como novo secretário de Cultura e Turismo de MG,"O arquiteto e urbanista Leônidas Oliveira foi anunciado pelo governador Romeu Zema (Novo) e pelo vice-governador Paulo Brant como o novo secretário de estado de Cultura e Turismo de Minas Gerais.  A informação foi dada nesta quinta-feira (7), no Palácio Tiradentes, na Cidade Administrativa, em Belo Horizonte, e a nomeação ocorrerá nos próximos dias.  Oliveira é ex-presidente da Fundação Municipal de Cultura de Belo Horizonte e da Belotur, e ocupou recentemente os cargos de presidente interino da Empresa Brasileira de Turismo (Embratur) e de diretor-executivo da Fundação Nacional de Artes (Funarte), ambas autarquias do governo federal. Também já presidiu o Fórum Nacional de Secretários de Cultura.  O novo secretário é graduado em arquitetura e urbanismo pela PUC Minas, mestre em restauração e reabilitação do patrimônio arquitetônico e urbano, pela Universidade de Alcalá/gregoriana de Roma, e doutor em arquitetura e urbanismo pela Universidade de Valladolid, Espanha.  O ex-secretário Marcelo Matte pediu exoneração do cargo no dia 24 de março. De acordo com o governo do estado, a saída foi publicada no Diário Oficial e ocorreu a pedido dele, que alegou motivos pessoais.",2020-05-08,https://g1.globo.com/mg/minas-gerais/noticia/2020/05/08/arquiteto-leonidas-oliveira-e-anunciado-como-novo-secretario-de-cultura-e-turismo-de-mg.ghtml
Coronavírus: Foz do Iguaçu autoriza reabertura de hotéis e anuncia plano para retomar turismo,"A Prefeitura de Foz do Iguaçu, no oeste do Paraná, autorizou a reabertura dos hotéis da cidade a partir de segunda-feira (11) e anunciou um plano para a retomada do turismo na cidade.  De acordo com a prefeitura, os hotéis deverão adotar o termo de responsabilidade sanitária municipal e seguir as medidas de prevenção ao novo coronavírus. Foz do Iguaçu tinha 58 casos confirmados da Covid-19 e duas pessoas morreram por causa da doença, segundo o boletim municipal de quinta-feira (7).  Conforme a determinação, os hóspedes deverão usar máscaras e cumprir o distanciamento social. A expectativa do setor, a princípio, é receber representantes comerciais que visitam a cidade a negócios.  A autorização para a reabertura de hotéis não é válida para os resorts de Foz do Iguaçu, que está prevista para junho.  Segundo o Sindicato de Hotéis, Restaurantes, Bares e Similares de Foz do Iguaçu e Região (Sindhotéis), Foz do Iguaçu conta com cerca de 30 mil leitos disponíveis, em aproximadamente 180 estabelecimentos, como resorts, hotéis e pousadas.  A rede hoteleira deverá reforçar a higienização do ambiente, fornecer álcool em gel e equipamentos de proteção para os funcionários, além de evitar a aglomeração de colaboradores nas trocas de turno.  As capas de proteção para travesseiros e colchões deverão ser substituídas e higienizadas a cada troca de hóspedes, segundo a prefeitura.  Conforme o plano municipal, os hotéis também deverão monitorar os casos suspeitos no local fazendo a aferição de temperatura ou informar o plantão coronavírus sobre hóspedes e colaboradores com sintomas da Covid-19.  As medidas sanitárias foram elaboradas pelas secretarias de Saúde e Turismo, Indústria, Comércio e Projetos Estratégicos.  O documento contou com sugestões do setor de turismo e apoio do Serviço Brasileiro de Apoio às Micro e Pequenas Empresas (Sebrae), Conselho Municipal de Turismo (Comtur), Sindhotéis e Visit Iguassu.  Conforme a prefeitura, a retomada da visitação turística na cidade está prevista para junho. Para que isso ocorra, os atrativos turísticos deverão cumprir algumas medidas de prevenção ao novo coronavírus:  Empresas de transporte: manter a higienização do transporte e limpeza do ar condicionado  Agências de viagens: devem cumprir as normas de higienização e distanciamento, e exigir que fornecedores assinem o termo de responsabilidade sanitária  Gastronomia: Manter a higienização do local para os clientes, o distanciamento de mesas e os cuidados específicos para servir a refeição e bebidas.  Conforme a prefeitura ainda, a previsão é que os eventos de pequeno porte sejam retomados no final de julho.  Veja mais notícias da região no G1 Oeste e Sudoeste.",2020-05-08,https://g1.globo.com/pr/oeste-sudoeste/noticia/2020/05/08/coronavirus-foz-do-iguacu-autoriza-reabertura-de-hoteis-e-desenvolve-plano-para-retomar-turismo.ghtml
Coronavírus: governo publica MP que libera R$ 5 bilhões para financiar empresas de turismo,"O governo federal publicou em edição do “Diário Oficial da União” desta sexta-feira (8) uma medida provisória que libera R$ 5 bilhões para o financiamento de empresas do turismo economicamente afetadas pela pandemia do novo coronavírus.  O texto, que já havia sido anunciado anteriormente, foi publicado na data em que é comemorado o Dia Nacional do Turismo e segue para análise do Congresso.  O montante vai abastecer o Fundo Geral do Turismo (Fungetur), criado na década de 1970 para financiar a infraestrutura do setor no país.  Segundo o Ministério do Turismo, a linha de crédito atenderá desde agências e locais de hospedagem até parques temáticos e centros de convenções.  Em coletiva de imprensa no Palácio do Planalto, o ministro Marcelo Álvaro Antônio afirmou que 80% dos recursos irão para empréstimos a micro, pequenas e médias e empresas. Os demais 20% serão disponibilizados para as grandes empresas.  “Nós sabemos que o turismo brasileiro é realizado, na proporcionalidade, em 80% por micro, pequenas e médias empresas”, disse Álvaro Antônio.  Os créditos poderão ser tomados junto a 17 instituições financeiras, entre as quais a Caixa Econômica Federal.  O ministro disse que os valores disponibilizados poderão ser utilizados livremente pelas empresas.  “Pode ser utilizado ou para capital de giro ou para compra de equipamentos ou para reformas. Então, é um recurso que, sendo acessado pelas empresas, será de livre utilização”, afirmou Álvaro Antônio.  O ministro declarou que as taxas praticadas nos empréstimos serão mais baixas, e as empresas terão carência de até 12 meses para começar a pagar os débitos.  Ele disse ainda que grandes empresas poderão acessar até R$ 30 milhões em empréstimos.  “Vai haver uma avaliação de crédito. Mas deixo aqui um exemplo importante: uma possibilidade de até R$ 200 mil, de esse crédito ser fidejussório, ou seja, com apenas o aval dos sócios da empresa”, afirmou o ministro.  “O Ministério do Turismo, através do Fungetur, entra no compartilhamento do risco [do crédito] de até 25% com as instituições financeiras, exatamente para flexibilizar a exigência de garantia, para que não seja tão exacerbada como tem sido nos créditos normais”, acrescentou.  Segundo o ministro, na próxima semana, será anunciado um pacote de crédito para guias de turismo.  Esses profissionais sem CNPJ, de acordo com Marcelo Álvaro Antônio, poderão tomar até R$ 5 mil emprestados. Conforme o ministro, existem mais de 20 mil guias turísticos registrados no país.  O Ministério do Turismo informou que planeja ações para o período pós-pandemia.  Entre essas ações, está uma campanha publicitária de estímulo ao turismo interno.  Outra medida é o lançamento de um selo de biossegurança para empresas a fim de aumentar a confiança dos consumidores nos estabelecimentos.",2020-05-08,https://g1.globo.com/turismo-e-viagem/noticia/2020/05/08/coronavirus-governo-publica-mp-que-libera-r-5-bilhoes-para-financiar-empresas-de-turismo.ghtml
"Dólar bate recorde e fecha a R$ 5,84; turismo passa dos R$ 6","O dólar bateu novo recorde nesta quinta-feira (7), cotado a R$ 5,8459, em alta de 2,51%. Pressionado desde a abertura, a moeda subiu após o Banco Central ter surpreendido o mercado ao promover um corte mais intenso que o esperado na taxa básica de juros, reduzindo a Selic de 3,75% para 3% no final da tarde da véspera.  Na máxima do dia, o dólar chegou a R$ 5,8763. Mas o destaque foi o dólar turismo cotado a R$ 6,0535, sem considerar o IOF. É a primeira vez que a cotação de fechamento supera os R$ 6. Veja mais cotações.  Na parcial da semana e do mês, a alta acumulada do dólar é de 7,47%. No ano, o avanço é de 45,79%.  A cotação de fechamento mais alta até esta quarta havia sido registrada na semana passada, quando a moeda encerrou o dia a R$ 5,65. Na parcial da semana e do mês, a alta acumulada é de 4,84%. No ano, o avanço é de 42,23%.  O Banco Central realizou nesta quinta-feira leilão de até 7,54 mil contratos de swap tradicional com vencimento em setembro de 2020 e janeiro de 2021.  O Copom não apenas cortou a Selic em 0,75 ponto percentual — mais do que a redução de 0,5 ponto esperado por ampla parte do mercado — como indicou possibilidade de outra flexibilização monetária nessa magnitude na próxima reunião do colegiado, nos dias 16 e 17 de junho.  O juro básico caiu para 3% ao ano, nova mínima histórica.  Juros ainda mais baixos reduzem o diferencial de taxas entre o Brasil e o mundo, o que prejudica a competitividade do país em termos de atração de capital ávido por retornos. Soma-se a isso o momento em que mercados emergentes de forma geral sofrem fortes saídas de recursos por causa da crise do Covid-19.  Já na quarta, analistas comentaram o potencial de impacto da decisão do Copom sobre o câmbio.  ""Essa decisão vai trazer pressão sobre o dólar, especialmente numa situação em que a taxa Selic tem pouco impacto agora sobre condições de crédito, que está emperrado. E vai adicionar componente de risco na curva de juros"", disse à Reuters João Maurício Rosal, economista-chefe da Guide Investimentos.  Na avaliação dos economistas da Itaú Asset Management, a avaliação de que o Copom levará a Selic a 1,5% este ano está mantida. A gestora era uma das casas que já apostava em uma redução mais agressiva da Selic e mantém a visão de que o juro básico pode ir a níveis inferiores a 2%, embora aponte que “há uma disposição do BC em encerrar o ciclo prematuramente por conta dos riscos fiscais e dos seus efeitos sobre os ativos de risco no Brasil”.",2020-05-07,https://g1.globo.com/economia/noticia/2020/05/07/dolar.ghtml
Curso gratuito e online de turismo está com inscrições abertas,"Os trabalhadores do setor de turismo de Santos, no litoral de São Paulo, podem se inscrever para um curso gratuito e online de qualificação empresarial. ​As inscrições para o primeiro módulo já estão abertas e devem ser feitas exclusivamente pela internet. As aulas tem como objetivo apoiar o setor turístico a lidar com os impactos do coronavírus e ajudar na superação da crise.  A capacitação, oferecida pela Secretaria de Turismo em parceria com o Santos Convention & Visitors Bureau, será ministrada para os interessados que trabalhem em hotéis, restaurantes, cervejarias, agências de viagens e demais estabelecimentos do trade turístico da Cidade. As aulas começam no próximo dia 18.  As inscrições podem ser feitas pelo site Visite Santos ou no facebook Visite Santos Oficial. Basta preencher o formulário e aguardar instruções por e-mail. No total, o curso conta com quatro módulos independentes e cada um tem 100 vagas disponíveis. Cada módulo dura duas semanas, com aulas sempre às segundas e quintas-feiras, das 10h às 11h.  O primeiro módulo da capacitação é o de 'Negociação Empresarial', que será realizado entre os dias 18 e 28 de maio. As aulas serão focadas em temas conceitos e modelos aplicáveis, negociações com bancos, negociações com clientes e fornecedores, análise de situações reais e solução de dúvidas.  Já o módulo 'Análise de Fluxo de Caixa', ministrado de 1º a 12 de junho, abordará conceitos e modelos aplicáveis, entradas do fluxo de caixa, saídas do fluxo de caixa, análise de situações reais e solução de dúvidas.  De 15 a 26 de junho, será a vez do tema 'Gestão de Pessoas', com aulas sobre conceitos e modelos aplicáveis, avaliação de desempenho e capacitação, formação de equipe com desempenho superior, análise de situações reais e solução de dúvidas.  O último módulo, 'Inovação', será realizado entre os dias 29 de junho e 9 de julho, abordando conceitos e modelos aplicáveis, mundo digital, criando experiência para o cliente, análise de situações reais e solução de dúvidas. Todos os participantes receberão certificado mediante 75% de presença virtual.",2020-05-06,https://g1.globo.com/sp/santos-regiao/noticia/2020/05/06/curso-gratuito-e-online-de-turismo-esta-com-inscricoes-abertas.ghtml
Bolsonaro se reúne com Regina Duarte e ministro do Turismo no Palácio do Planalto,"O presidente Jair Bolsonaro tem uma reunião marcada com Regina Duarte, secretária da Cultura, e Marcelo Álvaro Antônio, ministro do Turismo, nesta quarta-feira (6), em Brasília. O encontro consta na agenda oficial do presidente divulgada em seu site.  A reunião acontece um dia após o governo reconduzir o maestro Dante Mantovani para a presidência da Funarte (Fundação Nacional de Artes) e, horas depois, anular a nomeação. Mantovani ficou famoso por causa de um vídeo em que associou o rock ao satanismo.  Assim como a secretaria comandada por Regina, a Funarte é vinculada ao Ministério do Turismo.  No mesmo dia em que Regina assumiu a Secretaria da Cultura, em março deste ano, Mantovani foi exonerado do cargo em que estava havia três meses — a presidência da Funarte. Na ocasião, quem assinou a exoneração foi Braga Netto, ministro chefe da Casa Civil.  A nomeação de Mantovani (depois revogada) desta segunda-feira (5) foi feita sem o conhecimento de Regina. Segundo apuração do blog da Andréia Sadi, Regina disse a aliados que ""não entendeu"" a nomeação.  Desde antes de aceitar o cargo, Regina vem sofrendo ataques da ala ideológica do governo. Recentemente, o próprio Bolsonaro passou a reclamar da secretária.  Semana passada, ao ser questionado se a ex-atriz sairia do governo, o presidente respondeu: “Infelizmente, a Regina está em São Paulo, está trabalhando pela internet ali. E eu quero que ela esteja mais próxima. É uma excelente pessoa, um bom quadro"", disse.  A assessoria de Regina afirma que ela voltou a despachar em Brasília.  A revista Crusoé divulgou na internet um áudio de Regina Duarte com uma assessora. Nele, a assessora afirma que o outro nome já teria sido indicado para substituí-la, e Regina se mostra surpresa com a informação.  Assessora: Eu só acho o seguinte: qualquer decisão que você tomar, você vai falar olho no olho desse cara. O Edir Macedo indicou para ele um sujeito chamado Igor.  Regina Duarte: Então, assim, eles estão decidindo. Táá decidido.  Assessora: Não sei, não sei.  Regina Duarte: Que loucura isso, que loucura. Eu acho que ele está me dispensando.",2020-05-06,https://g1.globo.com/politica/noticia/2020/05/06/bolsonaro-se-reune-com-regina-duarte-e-ministro-do-turismo-nesta-quarta-6.ghtml
