Título,Notícia,Data,Link
"MPF questiona Turismo sobre blogueira, pastor e youtuber nomeados no Iphan","O Ministério Público Federal cobrou o ministro do Turismo, Marcelo Álvaro Antônio, sobre 17 nomeações para o Instituto do Patrimônio Histórico e Artístico Nacional (Iphan). A lista inclui uma blogueira, um pastor e um youtuber do Aliança pelo Brasil de 25 anos. Em ofício enviado na última quarta-feira, a Procuradoria Federal dos Direitos do Cidadão pediu os nomes das autoridades responsáveis por essas indicações e questionou se os nomeados têm ""capacidade técnica e compromisso com a missão"" do Iphan. O ministro tem até a próxima quarta-feira para responder ao MPF. Entre as nomeações questionadas pelos procuradores estão uma blogueira, um pastor e um blogueiro do Aliança pelo Brasil, o partido que Jair Bolsonaro tenta criar. A blogueira Monique Baptista Aguiar será a coordenadora da Coordenação Técnica da Superintendência do instituto no Rio de Janeiro.Já o pastor Zilfrank Antero, que também afirma ser coach motivacional, foi escolhido chefe da divisão administrativa da superintendência do Iphan na Paraíba.Já o selecionado para ser o coordenador administrativo do Iphan mineiro é Victor Lucchesi, youtuber do Aliança. Lucchesi tem 25 anos, sem qualquer experiência no serviço público.(Por Eduardo Barretto)ACESSE A HOME DA COLUNA E LEIA TODAS AS NOTAS, ENTREVISTAS E ANÁLISESLeia também:Acompanhe nas redes sociais: Facebook | Twitter | Instagram",2020-05-11,https://epoca.globo.com/guilherme-amado/mpf-questiona-turismo-sobre-blogueira-pastor-youtuber-nomeados-no-iphan-24421416
Marido da nova presidente do Iphan foi segurança de Bolsonaro,"O marido de Larissa Dutra, nova presidente do Instituto do Patrimônio Histórico e Artístico Nacional (Iphan), nomeada nesta segunda-feira, foi segurança de Jair Bolsonaro na campanha presidencial.O agente da Polícia Federal Gerson Dutra, conhecido como Patropa, foi um dos que acompanhou Jair Bolsonaro de perto em 7 de outubro de 2018, quando o então candidato foi votar no primeiro turno da eleição, no Rio de Janeiro.Patropa é amigo de Léo Índio, sobrinho de Jair Bolsonaro. Larissa Dutra foi escolhida para comandar o Iphan, que ficou cinco meses acéfalo. A nomeação tem sido criticada pela falta de currículo da nova comandante do órgão — ela, formada em turismo e hotelaria, não tem experiência na área de patrimônio artístico e histórico.Procurado, o Ministério do Turismo não comentou o fato de o marido de Larissa ter sido segurança de Bolsonaro e afirmou que a escolha foi baseada ""unicamente em critérios técnicos e na certeza de que fará um bom trabalho à frente do instituto"".Em março, Danilo Campetti, outro segurança da campanha de Bolsonaro, ganhou um cargo de assessor especial no Ministério da Agricultura, com salário de R$ 13,6 mil.(Por Guilherme Amado e Eduardo Barretto)ACESSE A HOME DA COLUNA E LEIA TODAS AS NOTAS, ENTREVISTAS E ANÁLISESLeia também:Acompanhe nas redes sociais: Facebook | Twitter | Instagram",2020-05-12,https://epoca.globo.com/guilherme-amado/marido-da-nova-presidente-do-iphan-foi-seguranca-de-bolsonaro-24421921
Excursão pró-Bolsonaro sairá do Rio para Brasília de ônibus e sem máscara,"Sairá na sexta-feira 15 do Rio de Janeiro uma caravana de ativistas pró-Bolsonaro para Brasília, de ônibus, a R$ 300 por pessoa, com o objetivo de participar de uma manifestação que vem sendo convocada para o dia 17 de maio, domingo, contra o STF e o Congresso.No ônibus, cabem 30 pessoas, e não há obrigatoriedade de usar máscaras contra a Covid. Uma das organizadoras mesmo não usará.As três bandeiras da excursão são ""Fora, Maia/ Maia na cadeia"", ""Contra a ditatoga do STF"" e ""Apoio ao presidente Bolsonaro"". O movimento se declara não-intervencionista, ou seja, não prega a intervenção militar.O ônibus semi-leito turismo incluirá, segundo os organizadores, ""poltrona soft com descanso de pernas, ar-condicionado, banheiro, frigobar, som e DVD"".Por mais R$ 65, será é possível se hospedar de sábado até segundo num hostel ""a 15 minutos da Praça dos Três Poderes"". É possível também ficar no acampamento da Esplanada.ACESSE A HOME DA COLUNA E LEIA TODAS AS NOTAS, ENTREVISTAS E ANÁLISESLeia também:Acompanhe nas redes sociais: Facebook | Twitter | Instagram",2020-05-12,https://epoca.globo.com/guilherme-amado/excursao-pro-bolsonaro-saira-do-rio-para-brasilia-de-onibus-sem-mascara-24421958
"Dependente do turismo, Paraty deve sofrer paralisação de 70% da economia","A guia de turismo Patrícia da Conceição, de 45 anos, moradora de Paraty, na Costa Verde fluminense, viu todos os trabalhos que tinha para os meses de março e abril serem cancelados com o isolamento social iniciado em meados do mês passado. Outro serviço, agendado para maio, foi transferido. Para 2021. Autônoma, e sem casa própria, Conceição viu sua renda reduzir-se a zero de um instante para o outro.""Eu vou sobreviver agora com o auxílio emergencial do governo”, conta. O auxílio, pago por meio da Caixa Econômica Federal, é de R$ 600,00 pelo período de três meses, totalizando R$ 1.800,00.O pequeno alívio, porém, não diminuiu sua aflição. Conceição é pessimista quanto à retomada do turismo em um mundo que deve conviver com períodos intermitentes de abertura e isolamento nos próximos dois anos. ""Vai ser o último setor a retomar normalmente"", acredita.O drama de Conceição é comum a uma série de moradores da cidade de Paraty, que deve sofrer uma paralisação de 70% em sua economia, quase toda dependente do turismo. O dado é da prefeitura de Paraty.Sandra Regina Santos Cermelli, de 56 anos, tem como única fonte de renda o aluguel de quartos de sua casa, no Centro Histórico da cidade, com a qual sustenta a si e as três filhas, que ainda dependem dela. Com o isolamento social, viu também sua renda reduzir-se a zero. Sem reservas, aguarda a aprovação para obter o auxílio emergencial de R$ 600,00. ""Estou pensando na opção empréstimo de banco. Ou seja, um grande buraco"", conta.Ela cogita também a produção de conservas e congelados. ""Temos grupos em Paraty no Facebook, para venda e, também, para trocas"", diz.A situação, porém, não aflige apenas profissionais autônomos ou pessoas que vivem de uma pequena renda, como o aluguel por temporada, algo comum na cidade. Na última segunda-feira (20), após um mês parado, o empresário Eric da Silva Porto, demitiu sete funcionários. ""Fiquei só com o meu gerente"", diz. Outros três funcionários, em período de experiência, já haviam sido demitidos logo no início do isolamento.Apesar do período iniciado em março ser considerado de baixa temporada na cidade, Silva conta que trata-se de uma época importante para o turismo local. Um dos motivos é o número de estrangeiros que permanecem no Brasil logo após o fim do carnaval. ""Nesse período a gente recebe muito estrangeiro. O cara passou em Salvador, vai pro Rio e do Rio pra Paraty. A gente consegue ter uma boa lotação na cidade com esse fator"", explica.As festas – pelas quais Paraty é conhecida – também são outra fonte importante de renda. Sejam as tradicionais locais – como a Festa do Divino, no mês de maio (que não acontecerá em 2020) – quanto festivais como a Flip – Festa Literária Internacional de Paraty, que leva as pousadas a um nível de ocupação superior a 90% e teve sua 18ª edição, que aconteceria entre 29 de julho e 2 de agosto, adiada para novembro. ""Todos os eventos atraem turistas. Cada evento tem um público diferente e gera uma repercussão diferente para o município"", afirma.Silva, que preside atualmente o Paraty Convention&Visitors Bureau, uma associação formada por empresários e profissionais do setor turístico, espera que haja diálogo entre o setor público e representantes do setor privado para superar a crise. ""A gente precisa que todos esses setores discutam o que é saudável no momento e é pertinente para cada setor e aí gerar um diálogo com cada representante e formar esse plano a partir do diálogo"", diz o empresário.O isolamento de ParatyA cidade instituiu o isolamento social em 13 de março, um pouco antes da maior parte das cidades e estados do Brasil. Entre as medidas adotadas pela prefeitura de Paraty estão a suspensão de aulas, restrições à circulação, proibição de acesso às praias e cachoeiras e o fechamento da maior parte do comércio, pousadas e equipamentos municipais. Entre as medidas para mitigar os efeitos econômicos estão a distribuição de cestas básicas e a criação de linhas de crédito e financiamento para agentes culturais e profissionais autônomos.Na cidade, como no restante do país, o isolamento não é consensual. Em Paraty, porém, a situação chegou ao paroxismo no início desta semana. O vice-prefeito da cidade, o pastor Valdecir Ramiro (PP), gravou um vídeo, divulgado na internet, pedindo apoio ao presidente Jair Bolsonaro (sem partido) na redução do isolamento social, como deixa implícito no vídeo.""Este homem [o presidente Jair Bolsonaro] está ficando sozinho. Foi Deus e o povo de Deus que o colocou ali. O vírus é uma realidade. Devemos nos cuidar, obedecer os critérios da Organização Mundial da Saúde (OMS). Mas a gente tem que entender o presidente. Ele está preocupado com vidas, sim. Mas ele está preocupado economicamente com as pessoas. Agora é a hora de nós, que votamos nele, se manifestar (sic) a favor dele"", disse.ÉPOCA tentou falar com o prefeito, Luciano Vidal (MDB), e o vice-prefeito, mas não obteve retorno. A secretária de Turismo de Paraty, Nena Gama, afirmou que não há mudança com relação ao isolamento social, que deve permanecer, inicialmente, até 30 de abril.""Paraty é uma cidade movida a turismo, então é natural que o próprio prefeito esteja muito pressionado [pela redução do isolamento social]. Embora exista essa exigência, essa necessidade de estarem retomando as atividades de alguma forma, a gente tem um apoio muito grande das comunidades, as pessoas estão entendendo a gravidade do momento. O momento exige esse fechamento"", explicou Nena.Segundo a secretária, a prefeitura de Paraty tem tomado medidas econômicas de apoio aos empresários locais. ""Os pequenos e médios a prefeitura está abrindo uma linha de crédito junto ao Banco do Brasil, como avalista, para fazer empréstimo a juros baixíssimos. A prefeitura já suspendeu alguns pagamentos de impostos – isso não quer dizer que não pagos em algum momento. Existe essa preocupação em atender esses pequenos empresários, autônomos e tudo mais"", disse.A prefeitura estima uma perda de até 50% na arrecadação do ICMS e de até 70% tanto na arrecadação do ISS quanto na arrecadação de royalites de petróleo.Ela não faz previsões quanto ao que deve ocorrer a partir de 30 de abril. ""Tudo vai depender também de como a coisa vai se desenrolar, não só em Paraty mas em nossa região"", afirma.Leia também:",2020-04-23,https://epoca.globo.com/sociedade/dependente-do-turismo-paraty-deve-sofrer-paralisacao-de-70-da-economia-24388947
"Covid-19, o livro","A Companhia das Letras comprou os direitos do livro que o escritor americano de ciência David Quammen está escrevendo sobre a Covid-19.Quammen é autor de Spillover, em que previu que haveria uma pandemia de coronavírus, a possível ligação com morcegos e que havia altas chances de a China ser o primeiro epicentro.A editora está lançando Spillover em quatro e-books fatiados durante o isolamento.ACESSE A HOME DA COLUNA E LEIA TODAS AS NOTAS, ENTREVISTAS E ANÁLISESLeia também:Acompanhe nas redes sociais: Facebook | Twitter | Instagram",2020-05-12,https://epoca.globo.com/guilherme-amado/covid-19-livro-24422097
Brasil tem 22 presos mortos e 531 infectados por Covid,"O sistema penitenciário brasileiro já contaria, segundo dados do Ministério da Justiça, 531 presos infectados por coronavírus e 22 mortos.O maior número é no Centro-Oeste — 369 casos. Depois, o Nordeste, com 160 ocorrências, o Sudeste, com 135, o Norte, com 62, e o Sul com dois casos.ACESSE A HOME DA COLUNA E LEIA TODAS AS NOTAS, ENTREVISTAS E ANÁLISESLeia também:Acompanhe nas redes sociais: Facebook | Twitter | Instagram",2020-05-12,https://epoca.globo.com/guilherme-amado/brasil-tem-22-presos-mortos-531-infectados-por-covid-24422099
Ministro do Turismo nomeia blogueiro do Aliança e pastor para Iphan,"O ministro do Turismo, Marcelo Alvaro Antonio, nomeou um pastor e um blogueiro do Aliança pelo Brasil para cargos de chefia no Instituto do Patrimônio Histórico e Artístico Nacional (Iphan). O pastor Zilfrank Antero, que também afirma ser coach motivacional, foi escolhido chefe da divisão administrativa da superintendência do Iphan na Paraíba no último dia 25. ""As pessoas não invejam o que você tem, invejam quem você é. Elas não querem os seus bens, querem a sua essência"", ensina nas redes sociais. Desde a última sexta-feira, Victor Lucchesi, blogueiro do Aliança pelo Brasil, é o coordenador administrativo do Iphan mineiro. Lucchesi tem apenas 25 anos e não possui qualquer experiência no serviço público.  Em seu canal no Youtube com 26 mil seguidores, Lucchesi reza fielmente a cartilha bolsonarista: duvida da existência de panelaços e divulga que a cloroquina teve eficácia comprovada. Na sexta-feira, o ministro havia nomeado uma blogueira para o Iphan do Rio de Janeiro.(Por Eduardo Barretto)Leia também:Acompanhe nas redes sociais: Facebook | Twitter | Instagram",2020-04-19,https://epoca.globo.com/guilherme-amado/ministro-do-turismo-nomeia-blogueiro-do-alianca-pastor-para-iphan-24380366
Moro recusa convites para escrever livros,"Sergio Moro decidiu que não vai escrever livro nenhum agora. Estava com duas propostas e uma sondagem sobre a mesa.A quem o pergunta, diz que não é hora para ""autopromoção"".ACESSE A HOME DA COLUNA E LEIA TODAS AS NOTAS, ENTREVISTAS E ANÁLISESLeia também:Acompanhe nas redes sociais: Facebook | Twitter | Instagram",2020-05-12,https://epoca.globo.com/guilherme-amado/moro-recusa-convites-para-escrever-livros-24421976
TRT derruba decisão que afastava funcionários de grupo de risco de hospitais do Rio,"O presidente do Tribunal Regional do Trabalho da 1ª Região, desembargador José da Fonseca Martins, derrubou nesta segunda-feira uma decisão que mandava afastar do trabalho presencial nos hospitais do Rio de Janeiro os empregados no grupo de risco.Martins escreveu que tirar esses profissionais do atendimento hospitalar durante a pandemia traria ""evidente risco de lesão à saúde, à ordem e à economia públicas"". A decisão atende a um pedido da Fundação Saúde do Rio de Janeiro, gestora da saúde pública do estado. Até então, o Sindicato dos Auxiliares e Técnicos de Enfermagem do estado havia obtido duas decisões favoráveis da Justiça do Trabalho, nas últimas duas semanas.(Por Eduardo Barretto)ACESSE A HOME DA COLUNA E LEIA TODAS AS NOTAS, ENTREVISTAS E ANÁLISESLeia também:Acompanhe nas redes sociais: Facebook | Twitter | Instagram",2020-05-12,https://epoca.globo.com/guilherme-amado/trt-derruba-decisao-que-afastava-funcionarios-de-grupo-de-risco-de-hospitais-do-rio-24421963
Ministro do Turismo nomeia blogueira para Iphan no Rio,"O ministro do Turismo, Marcelo Alvaro Antonio, nomeou uma blogueira para um cargo de coordenação no Instituto do Patrimônio Histórico e Artístico Nacional (Iphan) no Rio de Janeiro.De acordo com a nomeação, publicada nesta sexta-feira no Diário Oficial, Monique Baptista Aguiar será coordenadora da Coordenação Técnica da Superintendência do instituto no Estado.Dona do blog Com olhar turístico, Monique se identifica em suas redes sociais como ""blogueira"", ""digital Influencer, turismóloga, criativa e apaixonada por fotos e viagens"".(Por Naomi Matsui)ACESSE A HOME DA COLUNA E LEIA TODAS AS NOTAS, ENTREVISTAS E ANÁLISESLeia também:Acompanhe nas redes sociais: Facebook | Twitter | Instagram",2020-04-17,https://epoca.globo.com/guilherme-amado/ministro-do-turismo-nomeia-blogueira-para-iphan-no-rio-24378146
